arm	evt	cid	run	subrun	stm	tgm	fc	label	length	L_stop	body	body_n	ent	ent_n	rise	shoulder	sh_nofirst	excess	rejected
work-mcp1k-r2probe	48301	13	18255	1	1	0	0	STM	130.4	106.4	0.99	96	0.88	5	0.89	0.0	0.0	0.0	0
work-mcp1k-r2probe	48895	17	18255	1	0	0	0	nu-candidate	235.5	175.3	0.93	205	1.0	5	1.07	0.0	0.0	0.0	0
work-mcp1k-r2probe	50765	15	18255	1	1	0	0	STM	300.7	284.1	0.92	374	0.99	5	1.09	0.0	0.0	0.0	0
work-mcp1k-r2probe	56387	11	18255	1	1	0	0	STM	301.7	301.6	0.92	400	0.74	5	0.81	0.0	0.0	0.0	0
work-mcp1k-r2probe	58343	16	18255	1	1	0	0	STM	237.1	243.7	0.93	306	0.67	5	0.72	0.0	0.0	0.1	0
work-mcp1k-r2probe	58755	21	18255	1	1	0	0	STM	401.1	404.3	0.9	556	0.96	6	1.07	0.0	0.0	0.0	0
work-mcp1k-r2probe	59459	20	18255	1	1	0	0	STM	367.1	377.7	0.91	509	0.79	5	0.87	0.0	0.0	0.0	0
work-mcp1k-r2probe	59723	13	18255	1	1	0	0	STM	158.0	110.7	0.86	101	1.07	4	1.24	0.0	0.0	0.2	0
work-mcp1k-r2probe	59863	15	18255	1	1	0	0	STM	210.5	195.3	0.91	237	0.9	5	0.99	0.0	0.0	0.1	0
work-mcp1k-r2probe	60559	19	?	?	?	?	?	?	0.0	122.3	1.02	119	0.8	5	0.78	0.0	0.0	0.0	0
work-mcp1k-r2probe	61997	12	18255	1	1	0	0	STM	123.0	175.8	0.95	202	0.96	5	1.01	0.0	0.0	0.2	0
work-mcp1k-r2probe	62019	9	18255	1	1	0	0	STM	119.9	72.0	0.88	42	0.87	5	0.99	0.0	0.0	0.0	0
work-mcp1k-r2probe	62303	12	18255	1	1	0	0	STM	97.6	96.4	1.05	80	0.9	5	0.86	0.0	0.0	0.2	0
work-mcp1k-r2probe	62613	17	18255	1	0	0	0	nu-candidate	301.4	295.4	0.96	391	1.1	5	1.15	0.0	0.0	0.1	0
work-mcp1k-r2probe	62943	24	18255	1	1	0	0	STM	74.3	74.6	0.93	46	1.23	5	1.32	0.0	0.0	0.0	0
work-mcp1k-r2probe	62979	11	18255	1	1	0	0	STM	152.5	154.6	0.92	175	0.93	5	1.01	0.0	0.0	0.0	0
work-mcp1k-r2probe	63515	1	18255	1	1	0	0	STM	81.9	88.3	0.98	70	1.03	6	1.05	0.0	0.0	0.0	0
work-mcp1k-r2probe	64475	23	18255	1	0	0	0	nu-candidate	340.4	261.1	0.94	341	0.73	5	0.78	0.0	0.0	0.0	0
work-mcp1k-r2probe	65053	13	18255	1	1	0	0	STM	168.9	149.6	0.93	162	1.04	5	1.12	0.0	0.0	0.1	0
work-mcp1k-r2probe	65289	13	18255	1	1	0	0	STM	186.6	242.6	0.89	311	1.08	6	1.21	0.0	0.0	0.6	0
work-mcp1k-r2probe	65647	12	18255	1	1	0	0	STM	149.4	151.1	0.92	167	0.9	5	0.97	0.0	0.0	0.1	0
work-mcp1k-r2probe	66624	4	18259	1	1	0	0	STM	135.5	134.0	0.91	141	0.69	5	0.76	0.0	0.0	0.0	0
work-mcp1k-r2probe	66822	13	18259	1	1	0	0	STM	254.7	261.4	0.92	347	0.99	5	1.08	0.0	0.0	0.0	0
work-mcp1k-r2probe	68054	18	18259	1	1	0	0	STM	74.1	75.2	1.05	47	1.03	6	0.98	0.0	0.0	0.3	0
work-mcp1k-r2probe	68956	13	18259	1	1	0	0	STM	468.1	428.1	0.94	606	0.86	4	0.92	0.0	0.0	0.0	0
work-mcp1k-r2probe	69066	3	18259	1	1	0	0	STM	130.6	104.7	0.96	91	0.87	6	0.91	0.0	0.0	0.0	0
work-mcp1k-r2probe	71486	6	18259	1	1	0	0	STM	232.0	216.8	0.89	267	1.25	5	1.4	0.0	0.0	0.2	0
work-mcp1k-r2probe	167398	3	18259	1	1	0	0	STM	180.6	180.4	0.93	215	1.07	6	1.16	0.0	0.0	0.0	0
work-mcp1k-r2probe	169736	15	18259	1	1	0	0	STM	70.4	72.0	1.03	41	1.12	5	1.09	0.0	0.0	0.2	0
work-mcp1k-r2probe	171050	4	18259	1	1	0	0	STM	134.1	105.2	0.96	92	1.03	6	1.08	0.0	0.0	0.1	0
work-mcp1k-r2probe	172552	3	18259	1	1	0	0	STM	92.4	95.5	0.94	83	1.01	4	1.08	0.0	0.0	0.0	0
work-mcp1k-r2probe	172788	26	18259	1	0	0	0	nu-candidate	340.8	293.9	0.96	386	1.27	5	1.33	0.0	0.0	0.1	0
work-mcp1k-r2probe	174422	13	18259	1	1	0	0	STM	385.4	392.0	0.93	540	0.92	5	0.99	0.0	0.0	0.0	0
work-mcp1k-r2probe	174642	9	18259	1	1	0	0	STM	350.3	356.5	0.92	492	1.34	5	1.45	2.6	2.1	1.2	0
work-mcp1k-r2probe	176022	9	18259	1	1	0	0	STM	254.6	264.3	0.93	342	1.07	6	1.15	0.0	0.0	0.3	0
work-mcp1k-r2probe	176160	10	18259	1	1	0	0	STM	126.2	121.9	0.94	120	0.69	6	0.74	0.0	0.0	0.0	0
work-mcp1k-r2probe	278640	17	18255	1	0	0	0	nu-candidate	130.3	135.7	0.96	143	1.1	5	1.14	0.0	0.0	0.0	0
work-mcp1k-r2probe	278662	1	18255	1	1	0	0	STM	269.0	246.2	0.91	317	0.85	5	0.94	0.0	0.0	0.0	0
work-mcp1k-r2probe	281095	20	18255	1	1	0	0	STM	454.8	466.2	0.92	661	1.19	5	1.29	0.0	0.0	0.1	0
work-mcp1k-r2probe	281241	10	18255	1	1	0	0	STM	182.3	185.3	0.95	220	0.91	5	0.95	0.0	0.0	0.0	0
work-mcp1k-r2probe	281857	19	18255	1	1	0	0	STM	111.5	112.9	1.0	107	1.06	5	1.06	0.0	0.0	0.0	0
work-mcp1k-r2probe	281953	10	18255	1	0	0	0	nu-candidate	82.2	84.9	0.89	60	0.93	5	1.05	0.0	0.0	0.0	0
work-mcp1k-r2probe	282033	13	18255	1	1	0	0	STM	180.3	185.3	0.91	226	1.94	5	2.14	1.0	0.0	0.2	0
work-mcp1k-r2probe	282459	10	18255	1	0	0	0	nu-candidate	106.8	89.9	0.9	71	1.18	5	1.31	0.0	0.0	0.2	0
work-mcp1k-r2probe	282715	14	18255	1	1	0	0	STM	501.2	511.9	0.89	723	0.76	6	0.85	0.0	0.0	0.0	0
work-mcp1k-r2probe	283009	23	18255	1	0	0	0	nu-candidate	315.2	248.6	0.9	323	1.03	5	1.15	0.0	0.0	0.1	0
work-mcp1k-r2probe	283485	15	18255	1	1	0	0	STM	200.4	201.8	0.91	247	0.96	5	1.05	0.0	0.0	0.1	0
