# doc pdvd/97 round 2 -- d97r2_video_picks.py on d103vflip; skipped after visual check: 039252_13/70,039252_9/103,039253_6/40,039349_10/66,039349_23/56,039349_53/48,039349_58/55,039349_59/60
cls	rank	key	tier	source	hand	ratio	contrast	muon_len	ke_best	ke_region	kink	mlen	conn	mdis	ncl	npieces	n_mgam	n_dots	n_mu	n_e	n_gamma	em_near	michel_near	gamma_near	sf_rows	sf_qneg	sf_holes	sf_dev1	sf_dev_p90	tf_rows	tf_qneg	tf_dev1	tf_dev_p90	tf_wig1	stop	mstart	pf	ev_who	evidence
detached	1	039349_1/62	0	new_agent:high (pdvd_stm_michel_smx11_verdicts.json)	STM_MICHEL/attached	0.965	1.844	182.233	36.871	24.858	-1.000	23.323	2	3.036	1	1	0	1	2	1	1	1	1	1	278	0	0	0.000	0.275	345	0	0.020	0.326	0.000	199.0,-169.1,142.7	201.3,-170.7,143.8	mu- 115 MeV(mu- 348 MeV(gamma 36 MeV(e- 36 MeV)))	record:high	182 cm muon entering on the z=298 side wall (face.z 0.5 cm at x=+276.5) and ending at (199.0, -169.2, 142.7) in the top volume, 141 cm below the anode and 196 cm above the cathode. The end sits right on CRU seams: 0.7 cm from the y=-168.5 seam and 7 cm past the z=149.65 seam. dx=-78 of a 178 cm chord (-0.44), so the fit end is the lower end. The dQ/dx plateau is ~5.5-6.5e4. The last 3 cm carry four points at 0.9-1.23e5 and the 5-15 cm stretch sits a little high at 7-8e4. That is ragged, since similar single highs appear elsewhere on the body, but the end does climb. The decisive evidence is topology: 62001, a 23 cm arm (34 points, mean 4.6e4, at plateau), starts 3 cm from the stop vertex and leaves at a large angle, perpendicular to the muon in the d azimuth and curling away in c and e, going up in x while the muon was coming down (cos_fwd -0.62). A muon at its end cannot turn 130 degrees upward and continue at plateau charge, so this is a second particle attached at the stop: the electron. In f_meas the muon body lies in another CRU, so only the end, the arm and the stop CRU show. No grey carries the muon line on past the end in any plane; the only nearby grey is a separate curved track 80 V channels away. The seam corner is the only thing that weakens the call, and a kinked arm of real charge from the vertex outweighs it.
detached	2	039349_48/64	0	record:owner (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.958	1.779	124.634	31.109	37.229	-1.000	15.118	2	3.895	1	1	1	1	2	2	1	2	2	1	192	0	0	0.000	0.229	252	0	0.000	0.361	0.000	236.8,275.0,69.2	239.5,277.2,70.9	mu- 295 MeV(e- 4.99 MeV, mu- 29 MeV(gamma 31 MeV(e- 31 MeV)))	record:owner	
backward	1	039349_5/54	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.117	2.114	137.157	43.649	32.250	120.666	5.270	1	0.000	1	3	0	1	1	1	0	1	1	0	214	0	0	0.000	0.293	265	0	0.008	0.402	0.000	99.4,-73.7,251.6	99.4,-73.7,251.6	mu- 331 MeV(e- 43 MeV)	record:high	141 cm chain, enters through the z = 298 wall (face.z 0.2 at x = +217) and stops at x = +99 in the top volume, 95.8 cm above the cathode face, 47 cm from the z = 298 wall, 74 cm from the y = 0 seam, 102 cm from the z seam. dx = -118 of a 133 cm chord, so the fit end is the lower end. Profile: plateau ~6e4, climbing along the muon curve to 0.8-1.0e5 at s = 4-10 cm and 1.1-1.4e5 at s = 1-3 cm (the terminal chain segment 54015, 4.2 cm, averages 1.0e5); the last one or two points are back at ~6e4 - a single partial-charge end point, not a sustained collapse, so the pin stays. A kinked arm leaves within 2-4 cm of the stop: 54013 (junction, 2.6-4.2 cm) into 54017 (8.6 cm, 4.8e4, cos_fwd -0.58) and on to 54014 (5.6 cm, out to 13.3 cm); in all three azimuths it departs at a clear angle (roughly 60-90 deg) from the muon line, at or below plateau charge - a second particle, the Michel. The hot charge is on the chain before the fit end, not on a forward tip, so no undershoot. f_meas: the muon charge ends at slice ~1200 in U, V and W with the Michel cells hooking back; a separate grey kinked track has its apex near slice 1300 and in W happens to sit near the extrapolation of this line, but in U and V it is 25-40 channels off the line, so it is another object, not a continuation. No dead band at the end.
backward	2	039349_17/24	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.044	2.045	69.732	17.077	31.522	129.826	7.697	1	0.000	1	1	0	0	1	1	0	1	1	0	110	0	0	0.000	0.316	134	0	0.015	0.377	0.015	-70.1,-77.8,193.8	-70.1,-77.8,193.8	mu- 186 MeV(e- 17 MeV)	record:high	Fitted chain 71 cm in the bottom volume. Entry at x = -4.3 just under the cathode (thin grey context carries the muon from the cathode up to x ~ +190 in the top volume, so it crossed the cathode from above); stop at (-70.4, -77.6, 193.9), 105 cm from the nearest side wall, 44 cm from the z = 149.65 seam, 78 cm from the y = 0 seam, 67 cm from the cathode, 270 cm from the anode. dx = -66 of a 69 cm chord, so the fit end is the lower end. Profile: plateau ~5.5-6e4 at 25-40 cm, climbing to 9-10e4 over 5-15 cm and 1.1-1.2e5 at 2.5-4 cm, last point ~9.7e4: a clear rise following the muon curve (terminal segment 24009 mean 9.6e4). Past the stop: two shower-typed pieces, 24008 (6.6 cm, d 0-5.7) and 24007 (5.2 cm, d 3.8-5.7), at 4.3-4.4e4, below the plateau, forming an arm that leaves the stop vertex at a clear angle to the body (perpendicular in the c azimuth, 30-40 deg off the body line in d). The cos_fwd values (-0.67, -0.87) read backward, but the arm starts at the vertex within 6 cm, so it is decay activity (Michel). C79 is 51 cm away with no charge value: delta / other. f_meas: the track charge ends at the stop in U, V and W, no dead band there, and the only grey nearby is a few isolated specks ~50 slices away, not on the track line.
multicluster	1	039349_9/50	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	0.960	1.868	224.023	28.227	25.149	77.838	6.609	1	0.000	2	3	1	2	1	1	0	1	1	0	352	3	0	0.006	0.277	389	0	0.000	0.290	0.000	118.3,-291.3,240.1	118.3,-291.3,240.1	mu- 519 MeV(e- 28 MeV)	record:high	231 cm, enters 0.1 cm from the z face, stops 45.3 cm from the y wall. The profile hugs the muon reference curve all the way to 1.5e5 -- as clean a Bragg as this sample has. A four-piece arm covers 0-12 cm past the stop (cos_fwd 0.13-0.68) with profile charge to -14 cm. 122009 is a 0.7 cm dot 42 cm out, forward and at 8.5e4 e/cm: gamma. 124016 is 52 cm out, sideways-backward and 0.3 MIP -- too far, too faint and off-axis to attribute -- but see below. [REVISED at the end of the pass: 124016 is tagged **gamma**, not delta / other. The rule settled on charge NOT being a criterion -- any isolated object past the stop and clear of the muon body line is a gamma, however faint. The reasoning above is left as written so the change is visible.]
multicluster	2	039349_54/58	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.889	1.741	176.873	27.555	31.664	103.469	11.308	1	0.000	2	2	1	1	1	1	0	1	1	0	282	1	0	0.000	0.276	320	0	0.000	0.292	0.000	208.4,-302.6,211.0	208.4,-302.6,211.0	mu- 417 MeV(e- 27 MeV)	record:high	181 cm, enters at the anode face, stops 33.8 cm from the y wall. Bragg rise 5e4 -> 9e4 on the muon curve. A 12.8 cm arm at 4.8e4 e/cm leaves the stop sideways (cos_fwd -0.07) -- range and charge of a ~25 MeV Michel. Two isolated dots: 139007 sits 14 cm out, just past the arm's tip and ~15 deg off its axis; 138006 is 50 cm out on the same side, clear of the muon body in the wide view. Both tagged gamma; the 50 cm one is the weakest call in this row.
energetic	1	039253_3/67	0	record:owner (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.118	2.154	158.319	50.248	32.728	47.213	12.920	1	0.000	1	2	0	1	1	1	0	1	1	0	269	0	0	0.000	0.264	297	0	0.007	0.298	0.000	182.6,-237.9,215.5	182.6,-237.9,215.5	mu- 377 MeV(e- 50 MeV)	record:owner	
energetic	2	039252_7/92	0	record:owner (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.942	1.863	325.048	38.616	36.574	111.873	12.311	1	0.000	1	1	2	0	2	2	0	2	1	0	506	1	0	0.000	0.277	585	0	0.012	0.345	0.000	63.0,289.5,60.0	63.0,289.5,60.0	mu- 666 MeV(mu- 114 MeV(e- 38 MeV), e- 3.18 MeV)	record:owner	
soft	1	039349_51/23	0	owner (pdvd_stm_michel_own103v_verdicts.json)	STM_MICHEL/attached	0.976	1.911	51.741	6.465	15.770	72.068	2.159	1	0.000	1	1	0	0	1	2	1	2	2	1	87	0	0	0.023	0.306	95	0	0.032	0.408	0.000	-186.2,61.6,49.3	-186.2,61.6,49.3	mu- 148 MeV(e- 6.47 MeV, gamma 0.59 MeV(e- 0.59 MeV))	record:owner	
soft	2	039349_47/32	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.920	1.801	98.332	9.642	19.047	58.973	4.034	1	0.000	1	1	0	0	1	1	0	1	1	0	157	1	0	0.000	0.371	176	0	0.000	0.391	0.000	-324.1,182.8,233.7	-324.1,182.8,233.7	mu- 247 MeV(e- 9.64 MeV)	record:high	98 cm chain, enters 0.4 cm from the z face and the fit ends 15.9 cm from the anode face, deep enough to be a real stop. The dQ/dx panel is a textbook Bragg: a 5.4e4 plateau beyond s=40 climbing smoothly through 6.5e4 at s=15, 8e4 at s=6, 1.0e5 at s=3 and 1.20-1.26e5 in the last centimetre, tracking the solid muon curve point for point with almost no scatter -- the cleanest rise I could ask for. Past the stop the Michel row 31007 plots as large markers on the negative axis at magnitude 2-5 cm carrying 3.5-5.9e4 e/cm, i.e. at or a little below this track s own MIP, and a muon sitting at 1.26e5 cannot continue at 4e4, so the arm is a second particle; 5.4 cm and 12.7 MeV is the right scale for a low-energy Michel. Frames d and e show it plainly: a short blue arm leaving the amber band at the star vertex at a wide angle (chain kink 56 deg), attached, no gap. I computed off-axis distances against the entry-stop chord (93.2 cm, and the chord length matches d_max 93.7 so the track is straight in 3-D even though frame b looks bent): the Michel is 2.0 cm off and 1.4 cm past the stop. The two survey-only clusters sit 50.7 and 39.8 cm BACK along the muon at 19.7 and 25.6 cm off the chord. They are well clear of the body line, so I weighed gamma, but the gamma rule needs the piece to be past the stop and these are behind it, on the opposite side from the Michel arm, in unrelated directions, and neither stage was ever offered them -- separate objects, so delta / other. Neither appears on the dQ/dx panel at s = -47 or -54, which is the known census gap, not evidence of absence. No dead channel at the stop in any plane; f_meas shows the track simply ending.
