# doc pdvd/97 round 2 -- d97r2_video_picks.py on d103vflip; skipped after visual check: none
cls	rank	key	tier	source	hand	ratio	contrast	muon_len	ke_best	ke_region	kink	mlen	conn	mdis	ncl	npieces	n_mgam	n_dots	n_mu	n_e	n_gamma	em_near	michel_near	gamma_near	sf_rows	sf_qneg	sf_holes	sf_dev1	sf_dev_p90	tf_rows	tf_qneg	tf_dev1	tf_dev_p90	tf_wig1	stop	mstart	pf	ev_who	evidence
detached	1	039349_23/56	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	1.026	2.116	156.000	21.189	32.232	-1.000	8.117	2	4.502	1	1	1	1	2	1	1	1	1	1	261	0	0	0.004	0.289	289	0	0.007	0.308	0.000	196.7,212.2,84.1	192.5,213.7,83.3	mu- 372 MeV(gamma 21 MeV(e- 21 MeV), mu- 30 MeV)	record:high	160 cm chain entering 0.2 cm from the x (anode) face and ending 83.2 cm from the nearest wall. This is the cleanest Bragg in my chunk: on the 6x stop crop the profile lies on the muon reference curve for its whole approach - 4.5e4 plateau at s=60-100, 5.5e4 at s=20-30, 6.5-7.5e4 at s=8-15, 8.5-9.3e4 at s=3-6, 9.9e4 at s=2 - and tops out at 1.31e5 (s=1.3) and 1.42e5 (s=0.7), i.e. the maximum charge sits at the fit last point with no collapse behind it, so the pin stays put. Past the stop the three azimuths show a diffuse light-blue spray, not an amber band, running forward about 11 cm at a visible kink: 54008 (7 pts, 3.6 cm, d_min 0.0 to 3.46, cos_fwd 0.89, 6.5e4 e/cm) then 54004 (15 pts, 8.5 cm, 3.46 to 10.92 cm, cos_fwd 0.79, 5.2e4 e/cm). Both sit at 1.0-1.2 times the local MIP plateau, and a muon that has just delivered 1.42e5 at its Bragg peak cannot carry on at MIP for another 11 cm, so the spray is a second particle: 11 cm at MIP is the right range for a ~25 MeV Michel, and inside 10 cm of the stop the rubric says direction does not discriminate anyway. I tagged 54008 michel even though the chain groups it with the muon and types it pdg 13, on the grounds that it lies past the charge maximum; I explicitly weighed the undershoot reading (that 54008 is the muon last 3.5 cm and the fit stopped short) and rejected it because the undershoot requires the tip to carry 0.9-1.2e5, several times MIP, and 6.5e4 is not that, while the 1.42e5 peak is behind the pin, not in the tip. 146006 is a 5-point, 2.4 cm, 8.8e3 e/cm speck 30.1 cm out at cos_fwd 0.65, isolated, on the same forward side as the Michel arm and well clear of the muon body line: a detached capture gamma, so kind is both. f_meas shows real measured charge in the arm in U and V with the nearest dead bands 15-20 channels off the stop.
detached	2	039349_58/55	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	1.020	2.000	122.855	31.610	40.196	-1.000	14.332	2	0.649	2	2	1	2	1	1	1	1	1	1	186	0	0	0.000	0.320	207	0	0.014	0.445	0.005	239.8,-167.4,252.5	239.7,-168.0,252.5	mu- 300 MeV(gamma 31 MeV(e- 31 MeV))	record:high	129.9 cm chain in two fitted rows, enters right on the x face (d_face 0.0) and the fit ends 45.8 cm from the nearest active face, well contained. The profile sits on a 4.5-5.5e4 plateau all the way out to s=100 and climbs from about 7e4 at s=12 onto the muon reference curve, peaking at 9.0-9.2e4 at s=5-6; over the last 5 cm it eases back to 7.3e4, 6.4e4 and 5.6e4 at the fit's last point. That terminal easing ends at about 1.15 of the plateau, nowhere near the far-below-plateau collapse that would say the fit overshot, so the pin stays where the fit put it and I read the ease-off as the last centimetres already sharing charge with the electron that starts 1 cm away. Three michel-group pieces sit at d_min 1.05, 2.12 and 8.77 cm carrying 1.6-3.6e4 e/cm, i.e. at or below MIP - a muon at its own Bragg peak cannot continue at MIP, so these are the second particle - and the three azimuths show them as one curled hook about 10 cm long leaving the stop and folding back, the textbook Michel shape; all three are michel. One 2-point 0.1 cm speck (165012) sits 46.9 cm out; its direction from the stop is cos 0.99 with the michel piece 246016 and 0.76-0.86 with the other two, so it lies squarely along the Michel arm's own line rather than scattered in an unrelated direction, and there is a clean charge-free gap between it and the stop, which by the attachment tie-break makes it a detached dot: gamma, hence kind both. The V plane has dense dead-channel bands running through this region but U and W show the stop and the hook cleanly and the measured-minus-predicted panels are flat there.
backward	1	039349_5/54	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.117	2.114	137.157	43.649	32.250	120.666	5.270	1	0.000	1	3	0	1	1	1	0	1	1	0	214	0	0	0.000	0.293	265	0	0.008	0.402	0.000	99.4,-73.7,251.6	99.4,-73.7,251.6	mu- 331 MeV(e- 43 MeV)	record:high	141 cm chain, enters through the z = 298 wall (face.z 0.2 at x = +217) and stops at x = +99 in the top volume, 95.8 cm above the cathode face, 47 cm from the z = 298 wall, 74 cm from the y = 0 seam, 102 cm from the z seam. dx = -118 of a 133 cm chord, so the fit end is the lower end. Profile: plateau ~6e4, climbing along the muon curve to 0.8-1.0e5 at s = 4-10 cm and 1.1-1.4e5 at s = 1-3 cm (the terminal chain segment 54015, 4.2 cm, averages 1.0e5); the last one or two points are back at ~6e4 - a single partial-charge end point, not a sustained collapse, so the pin stays. A kinked arm leaves within 2-4 cm of the stop: 54013 (junction, 2.6-4.2 cm) into 54017 (8.6 cm, 4.8e4, cos_fwd -0.58) and on to 54014 (5.6 cm, out to 13.3 cm); in all three azimuths it departs at a clear angle (roughly 60-90 deg) from the muon line, at or below plateau charge - a second particle, the Michel. The hot charge is on the chain before the fit end, not on a forward tip, so no undershoot. f_meas: the muon charge ends at slice ~1200 in U, V and W with the Michel cells hooking back; a separate grey kinked track has its apex near slice 1300 and in W happens to sit near the extrapolation of this line, but in U and V it is 25-40 channels off the line, so it is another object, not a continuation. No dead band at the end.
backward	2	039349_17/24	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.044	2.045	69.732	17.077	31.522	129.826	7.697	1	0.000	1	1	0	0	1	1	0	1	1	0	110	0	0	0.000	0.316	134	0	0.015	0.377	0.015	-70.1,-77.8,193.8	-70.1,-77.8,193.8	mu- 186 MeV(e- 17 MeV)	record:high	Fitted chain 71 cm in the bottom volume. Entry at x = -4.3 just under the cathode (thin grey context carries the muon from the cathode up to x ~ +190 in the top volume, so it crossed the cathode from above); stop at (-70.4, -77.6, 193.9), 105 cm from the nearest side wall, 44 cm from the z = 149.65 seam, 78 cm from the y = 0 seam, 67 cm from the cathode, 270 cm from the anode. dx = -66 of a 69 cm chord, so the fit end is the lower end. Profile: plateau ~5.5-6e4 at 25-40 cm, climbing to 9-10e4 over 5-15 cm and 1.1-1.2e5 at 2.5-4 cm, last point ~9.7e4: a clear rise following the muon curve (terminal segment 24009 mean 9.6e4). Past the stop: two shower-typed pieces, 24008 (6.6 cm, d 0-5.7) and 24007 (5.2 cm, d 3.8-5.7), at 4.3-4.4e4, below the plateau, forming an arm that leaves the stop vertex at a clear angle to the body (perpendicular in the c azimuth, 30-40 deg off the body line in d). The cos_fwd values (-0.67, -0.87) read backward, but the arm starts at the vertex within 6 cm, so it is decay activity (Michel). C79 is 51 cm away with no charge value: delta / other. f_meas: the track charge ends at the stop in U, V and W, no dead band there, and the only grey nearby is a few isolated specks ~50 slices away, not on the track line.
multicluster	1	039349_53/48	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	1.083	2.120	273.920	13.237	39.523	19.772	6.600	1	0.000	2	3	0	2	3	2	0	2	2	0	428	0	0	0.007	0.363	502	0	0.018	0.456	0.002	203.8,-257.7,171.1	203.8,-257.7,171.1	mu- 292 MeV(mu- 361 MeV(e- 26 MeV, mu- 7.57 MeV(e- 13 MeV)))	record:high	277.3 cm, one whole object - a single continuous spine from the entry 0.4 cm inside the z face to the star, no companion fragment in the wide view - stopping 77.9 cm from the nearest wall (y). Undershoot screen: the piece at the stop (45010, d_min 0, cos_fwd 0.66) carries 2.8e4 e/cm, about 0.4 of MIP, not the 0.9-1.2e5 muon tip that fakes a Michel, so the fit did not stop short. The profile is a clean Bragg: 5.4e4 plateau from s = 40 to 100, 6.5-7.8e4 at s = 10-18, 8.4-9.7e4 at s = 3-6, then 1.45, 1.51 and 1.57e5 at s = 1.5, 1.0 and 0.5, riding the muon reference curve into the stop with no terminal dip at all - the pin stays exactly where the fit put it. Past the stop the three michel-group segments form one connected arm that leaves the vertex with a 49 deg kink and runs out to 11.6 cm: 45010 (4.2 cm, 2.8e4), then 45012 (4.8 cm, 1.8e4) and 45011 (9.6 cm, 4.5e4). The whole arm sits at or below the muon plateau and a muon at 1.57e5 cannot continue at a third of MIP, so it is a second particle, and 12 cm with a kink is the right size for the chains 34 MeV electron. In all three azimuths the arm is unambiguous: a blue polyline hanging off the star, well clear of the muon body line. Beyond its tip sit the four points of 116014 at 16.4 cm, and I resolved these the way the rubric asks - their direction from the stop agrees with the arms own direction to 0.93, i.e. they lie squarely on the Michels side rather than in a random direction, but the frames show a clean charge-free gap of several centimetres between the arms last point at 11.6 cm and this piece, so attachment breaks the tie the other way: a detached compact dot, hence gamma and kind both. That is the one judgement call in the item; calling it a further piece of the electron would make the kind attached. The chain labels it gamma body exclusion, which is its reason for not counting it as a capture gamma, not a claim that it is muon body activity - at cos_fwd -0.12 and 16 cm out it is nowhere near the body line. Dead channels: U is busy here (bands at 2380-2400, 2420-2450 and one at 2480-2490 adjacent to the track), but V and W are clear at the stop and the 1.57e5 peak is measured, so the stop is real.
multicluster	2	039349_9/50	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	0.960	1.868	224.023	28.227	25.149	77.838	6.609	1	0.000	2	3	1	2	1	1	0	1	1	0	352	3	0	0.006	0.277	389	0	0.000	0.290	0.000	118.3,-291.3,240.1	118.3,-291.3,240.1	mu- 519 MeV(e- 28 MeV)	record:high	231 cm, enters 0.1 cm from the z face, stops 45.3 cm from the y wall. The profile hugs the muon reference curve all the way to 1.5e5 -- as clean a Bragg as this sample has. A four-piece arm covers 0-12 cm past the stop (cos_fwd 0.13-0.68) with profile charge to -14 cm. 122009 is a 0.7 cm dot 42 cm out, forward and at 8.5e4 e/cm: gamma. 124016 is 52 cm out, sideways-backward and 0.3 MIP -- too far, too faint and off-axis to attribute -- but see below. [REVISED at the end of the pass: 124016 is tagged **gamma**, not delta / other. The rule settled on charge NOT being a criterion -- any isolated object past the stop and clear of the muon body line is a gamma, however faint. The reasoning above is left as written so the change is visible.]
energetic	1	039253_3/67	0	record:owner (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.118	2.154	158.319	50.248	32.728	47.213	12.920	1	0.000	1	2	0	1	1	1	0	1	1	0	269	0	0	0.000	0.264	297	0	0.007	0.298	0.000	182.6,-237.9,215.5	182.6,-237.9,215.5	mu- 377 MeV(e- 50 MeV)	record:owner	
energetic	2	039349_59/60	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.106	2.196	270.699	45.679	49.086	74.547	14.467	1	0.000	1	1	0	0	3	1	0	1	1	0	440	4	0	0.000	0.250	483	0	0.017	0.322	0.006	104.4,218.5,66.0	104.4,218.5,66.0	mu- 49 MeV(mu- 579 MeV(mu- 46 MeV(e- 45 MeV)))	record:high	267 cm, enters 15.4 cm from the z face, stops 64.9 cm inside. Textbook Bragg to 1.35e5 on the muon curve. A 14.7 cm arm at 4.6e4 e/cm leaves the stop forward (cos_fwd 0.42) with charge out to -15 cm on the profile -- a full-energy Michel. One 1.1 cm dot 58 cm out, forward and isolated, tagged gamma; at 58 cm that is the weakest call in the row.
soft	1	039349_10/66	0	record:owner (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	1.012	1.981	159.126	9.726	26.121	39.567	8.400	1	0.000	1	1	0	0	4	3	0	2	2	0	250	3	0	0.000	0.320	310	0	0.010	0.376	0.003	280.3,186.4,165.7	280.3,186.4,165.7	mu- 189 MeV(mu- 27 MeV(e- 7.46 MeV, mu- 210 MeV(e- 9.06 MeV, mu- 7.92 MeV(e- 9.73 MeV))))	record:owner	172.6 cm chain in four segments, enters 5.7 cm from the y face and the fit ends deep inside the volume, 64.2 cm from the nearest (x) face and 133 cm from the z wall, so containment is not in doubt. The profile is the overshoot case. It sits on a 4.5-5.5e4 plateau from s=100 in to s=20, then climbs along the shape of the muon curve to 8.2-8.5e4 at s=10-13 and 9.4e4, 9.9e4, 1.01e5 and 1.05e5 at s=11-16 - a clean factor-two Bragg rise - and then collapses: 7.4e4 at s=9, 6.1e4 at s=7, 2.7e4 at s=6, a run of near-zero fit points from s=1-5 that I ignore as unmeasured, and 1.85e4 and 2.15e4 at the last point. That is a sustained fall to about 0.4 of the track own MIP plateau over the final 9 cm, exactly where a muon at its Bragg peak should be highest, and it coincides with a whole fitted segment: 58001 is 19 points over 10.9 cm at a mean 18555 e/cm against 48831, 42323 and 44642 for the other three. The three azimuths show why - past the black end-of-cloud marker the amber fit band runs on alone for about 10 cm to the star with no point-cloud halo beside it, and the cropped U panels of f_meas show the measured charge stopping where that band starts, with measured matching predicted and the dead bands far away. So I moved the pin to the 58001 / 58003 junction at 9.65 cm and tagged 58001 michel per the overshoot rule; the true stop is at the peak. The only other object is a 2-point 0.2 cm speck 50 cm out, delta / other. What makes this medium rather than high: the bridged stretch is faint enough that it could equally be read as the fit running past the muon end into a sparse tail with no decay electron at all, which would make it STM_ONLY with kind none.
soft	2	039349_51/23	0	owner (pdvd_stm_michel_own103v_verdicts.json)	STM_MICHEL/attached	0.976	1.911	51.741	6.465	15.770	72.068	2.159	1	0.000	1	1	0	0	1	2	1	2	2	1	87	0	0	0.023	0.306	95	0	0.032	0.408	0.000	-186.2,61.6,49.3	-186.2,61.6,49.3	mu- 148 MeV(e- 6.47 MeV, gamma 0.59 MeV(e- 0.59 MeV))	record:owner	
