item	verdict	kind	connected	confidence	comment
mcp1k-169356-r019	NO	NONE	NO	3	box holds only the blue-outlined green diagonal track; no un-imaged charge
mcp2k-98382-r024	YES	TRACK	YES	3	grey diagonal ~30-wire gap between imaged track and blob, no blue outline; same gap in W
mcp2k-75554-r011	YES	TRACK	YES	2	un-imaged diagonal segment ~40 wires continuing green candidate upward, no blue
mcp1k-58755-r057	NO	NONE	NO	2	large box, all visible tracks and green cluster already blue-outlined
mcp2k-91697-r029	YES	TRACK	YES	2	dark ~20-slice track segment in the blue-outline gap between upper and lower imaged parts
mcp1k-314507-r001	YES	TRACK	YES	3	dark 70-wire diagonal with no blue outline joining two imaged segments; W empty there
mcp2k-410064-r907	NO	NONE	NO	3	box contains one small already-imaged blob; rest empty
mcp2k-70538-r910	NO	NONE	NO	3	box sits above the imaged track end, empty white; only blue-outlined corner inside
mcp1k-175808-r041	NO	STRIPE	YES	2	faint single-wire vertical smear below U/V track end, nothing in W; induction tail
mcp2k-241626-r053	NO	NONE	NO	2	long diagonal inside box is blue-outlined along its length; no un-imaged ionisation
nuecc48-90055-r000	YES	TRACK	YES	3	dark 105-slice diagonal in V and W, no blue, joins green candidate end at slice 748
mcp2k-168209-r028	NO	NONE	NO	3	box holds only the blue-outlined green track; no un-imaged charge
mcp2k-70084-r010	NO	NONE	NO	3	narrow box below candidate, empty except hatched edge; no charge
mcp1k-281505-r018	YES	TRACK	YES	2	grey diagonal fills the blue gap between upper imaged track and lower imaged track
mcp1k-349835-r032	NO	NONE	NO	2	vertical tip inside box is green and blue-outlined; nothing extra above it
mcp2k-75554-r003	YES	TRACK	YES	3	dark 58-wire diagonal segment, no blue outline, between two imaged blobs on same track
mcp2k-56763-r026	NO	STRIPE	YES	2	faint 1-wire vertical smear below track end in U and V only, nothing in W
mcp1k-492649-r013	YES	TRACK	YES	3	dark rising diagonal in V and W with blue gap; U has no charge above slice 462
mcp2k-395695-r022	NO	STRIPE	YES	2	full-height grey streak hugging the dead-wire line in U only; no counterpart in V or W
mcp1k-490361-r040	NO	STRIPE	YES	2	faint vertical smear under the U/V track end, absent in W; induction tail
mcp2k-56972-r017	NO	STRIPE	YES	2	dark 1-wire vertical smear below candidate end in U and V, nothing in W
mcp2k-396057-r043	NO	NONE	NO	2	near-vertical track in box carries green candidate cells; already imaged
mcp1k-352233-r025	YES	TRACK	YES	2	~40-slice diagonal segment un-outlined in both V and W between imaged parts
mcp2k-321983-r054	NO	NONE	NO	2	large box; long diagonal and blob cluster all blue-outlined, no un-imaged ionisation
mcp1k-281214-r911	NO	NONE	NO	3	green blue-outlined diagonal crosses the box; nothing un-imaged
mcp2k-414200-r012	YES	TRACK	YES	3	~50-wire dark diagonal with no blue in U and W; V shows matching blob gap
nuecc48-256587-r900	NO	NONE	NO	2	dense shower inside box fully covered by blue outlines and green cells
mcp2k-400185-r042	YES	TRACK	YES	3	dark steep track ~25 slices above the green end, no blue; same in V orange box
mcp2k-478088-r051	NO	NONE	NO	2	panel-wide box; both long tracks and the green track are blue-outlined
mcp2k-179611-r037	NO	NONE	NO	2	diagonal in box carries green candidate cells; nothing un-imaged beside it
mcp1k-395654-r050	NO	NONE	NO	3	green blue-outlined rising track crosses the small box; only hatched dead wires beside
mcp1k-283009-r009	NO	NONE	NO	2	dark vertical stub under the horizontal track carries green cells down to its tip
mcp2k-49742-r030	NO	NONE	NO	2	steep line in box carries green candidate cells; charge faint, already in candidate
