# doc pdvd/98 -- per-candidate crop diagnostics and the two drift labels (d98_michel_crops.py)
# drift_tick = (tick*0.5 - cluster_t0_us - trigger_offset_us)*drift_speed/10, charge-weighted over the Z pixels;
# drift_fit = x_anode(W) - |x| over the role-3 fit points (353.10 PDHD / 341.55 PDVD)
det	key	apa	face	trigger_offset_us	drift_speed_mmus	cluster_t0_us	drift_tick	drift_fit	drift_fit_rms	drift_tick_sd	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	n_cells3	n_pts3	n_pts1	c_center	t_center	c0	t0	inrange
pdvd	039252_0/75	4	1	-2484	1.481	4450	268.3	267.8	1.782	1.611	1.969e+06	1.486e+05	0.07546	0.02934	618	168	39	538	8250	7557	8122	7045	1
pdvd	039252_1/30	2	0	-2494	1.481	1437	171.7	171.8	1.727	1.88	1.469e+06	7.135e+05	0.4859	0.4231	286	106	27	230	5211	204.9	5083	-307	1
pdvd	039252_12/117	7	1	-2512	1.481	2595	320.5	320.8	1.039	0.9638	1.066e+06	3.454e+05	0.324	0.1647	309	102	26	423	1.202e+04	4494	11888	3982	1
pdvd	039252_12/93	6	0	-2512	1.481	3557	173.1	172.6	0.8675	0.9675	1.425e+06	4.541e+05	0.3186	0.266	403	115	44	256	1.126e+04	4427	11133	3915	1
pdvd	039252_14/37	2	1	-2501	1.481	4338	93.66	93.63	0.467	0.7244	9.689e+05	5.534e+05	0.5711	0.52	251	102	18	168	5512	4939	5384	4427	1
pdvd	039252_14/86	4	1	-2476	1.481	5280	101.6	101.2	0.5949	0.6411	1.031e+06	3.64e+05	0.353	0.2951	303	109	16	177	8282	6980	8154	6468	1
pdvd	039252_15/94	7	1	-2479	1.481	4513	164.6	163.6	3.205	3.051	1.331e+06	3.08e+05	0.2313	0.1693	445	122	36	306	1.218e+04	6291	12056	5779	1
pdvd	039252_16/99	4	0	-2483	1.481	4014	113.7	112.7	2.301	2.072	9.378e+05	5.046e+05	0.538	0.395	264	84	14	513	8523	4598	8395	4086	1
pdvd	039252_2/51	3	0	-2493	1.481	4914	62.99	62.95	2.386	3.08	9.64e+05	3.036e+05	0.315	0.2431	326	195	23	52	5820	5692	5692	5180	0
pdvd	039252_2/90	4	1	-2465	1.481	6484	58.55	58.2	0.4704	0.6423	1.599e+06	2.791e+05	0.1745	0.1307	564	181	31	106	8236	8830	8108	8318	0
pdvd	039252_3/40	1	1	-2500	1.481	4701	78.94	78.5	1.455	1.355	1.515e+06	8.921e+05	0.5889	0.5196	445	155	23	450	2621	5467	2493	4955	0
pdvd	039252_3/77	4	0	-2499	1.481	2602	189.2	189	0.9084	0.722	1.155e+06	4.041e+05	0.35	0.2692	317	106	15	372	8573	2762	8445	2250	1
pdvd	039252_8/38	1	0	-2499	1.481	5063	123.4	123.9	1.259	1.39	1.271e+06	5.646e+05	0.4443	0.3381	458	141	33	301	2804	6795	2676	6283	1
pdvd	039253_1/31	0	1	-2497	1.481	6017	105.2	105.4	1.015	0.4616	1.313e+05	0	0	0	116	34	9	383	2095	8461	1967	7949	1
pdvd	039253_11/118	7	1	-2494	1.481	5031	37.77	37.62	0.6491	0.5942	7.788e+05	2.623e+05	0.3368	0.2486	184	66	15	63	1.219e+04	5583	12061	5071	0
pdvd	039253_12/35	0	0	-2488	1.481	1623	137.5	137.7	1.517	1.227	9.309e+05	3.158e+05	0.3393	0.2779	350	107	21	344	2412	127.7	2284	-384	1
pdvd	039253_14/45	2	1	-2486	1.481	3709	153.9	154.2	1.132	1.577	9.931e+05	1.997e+04	0.02011	0	486	127	28	451	5459	4525	5331	4013	1
pdvd	039253_15/41	3	1	-2503	1.481	4555	20.75	20.21	1.474	1.31	1.253e+06	3.611e+05	0.2883	0.2142	442	140	34	178	6081	4385	5953	3873	0
pdvd	039253_17/110	6	1	-2646	1.481	7420	24.51	24.35	1.946	2.029	1.22e+06	2.843e+05	0.233	0.1398	357	90	18	146	1.156e+04	9880	11428	9368	0
pdvd	039253_2/121	4	1	-2487	1.481	4152	177.5	177.2	0.5345	0.6081	1.031e+06	3.053e+05	0.2962	0.2214	318	101	18	118	8094	5726	7966	5214	1
pdvd	039253_2/32	2	0	-2514	1.481	2289	51.79	51.42	0.559	0.722	1.316e+06	4.298e+05	0.3267	0.2512	429	135	20	38	5004	250.9	4876	-261	0
pdvd	039253_2/78	5	1	-2487	1.481	4328	99.68	99.27	1.601	1.684	1.968e+06	1.173e+06	0.596	0.5707	306	136	24	514	8706	5028	8578	4516	1
pdvd	039253_2/92	4	1	-2487	1.481	3402	236.9	236.6	0.3981	0.4933	1.069e+06	2.386e+05	0.2233	0.1271	306	92	14	431	8283	5029	8155	4517	1
pdvd	039253_3/61	4	0	-2501	1.481	3676	186.3	186.1	0.488	0.572	1.417e+06	2.192e+05	0.1547	0.08068	433	123	31	328	8529	4867	8401	4355	1
pdvd	039253_4/77	4	0	-2471	1.481	4707	22.01	21.79	1.593	1.684	1.877e+06	6.779e+05	0.3611	0.2913	485	151	24	56	8385	4770	8257	4258	0
pdvd	039253_5/32	0	0	-2501	1.481	5911	19.69	19.73	1.065	1.023	8.122e+05	3.994e+05	0.4918	0.4077	251	83	12	225	2344	7085	2216	6573	0
pdvd	039253_7/34	3	1	-2534	1.481	3668	81.87	82.06	1.263	1.608	1.363e+06	5.967e+05	0.4377	0.3288	396	139	23	289	6010	3374	5882	2862	1
pdvd	039253_8/28	0	1	-2594	1.481	6245	13.03	12.34	2.397	1.095	6.601e+05	3.51e+05	0.5317	0.4631	184	66	8	331	1986	7477	1858	6965	0
pdvd	039253_8/68	4	1	-2564	1.481	6295	24.8	24.16	0.8568	0.9835	7.695e+05	3.09e+05	0.4016	0.3177	169	55	10	39	8228	7796	8100	7284	0
pdvd	039253_9/106	6	1	-2503	1.481	3433	114.4	114.9	2.903	3.527	1.328e+06	0	0	0	478	105	24	116	1.144e+04	3405	11316	2893	1
pdvd	039349_0/28	2	0	-2482	1.481	407.7	322.7	322.7	0.1038	0.2732	1.506e+06	1.027e+06	0.6818	0.6318	177	77	12	58	5069	209	4941	-303	1
pdvd	039349_1/61	4	1	-2377	1.481	3775	79.48	81.36	3.471	1.783	3.807e+05	2.195e+05	0.5766	0.4969	80	36	8	123	8104	3870	7976	3358	0
pdvd	039349_11/19	3	0	-2500	1.481	2373	84.69	85.01	0.7368	0.7755	8.202e+05	5.043e+05	0.6149	0.5641	98	59	17	85	5796	890.1	5668	378	1
pdvd	039349_18/40	4	1	-2367	1.481	3003	116.9	116.8	0.1384	0.593	1.208e+06	8.446e+05	0.6993	0.6728	74	50	17	222	8322	2851	8194	2339	1
pdvd	039349_18/34	4	0	-2367	1.481	4305	60.79	60.48	1.425	1.276	9.417e+05	4.142e+05	0.4398	0.3424	205	69	16	158	8581	4696	8453	4184	0
pdvd	039349_21/53	5	1	-2299	1.481	1628	203.9	204.5	1.325	1.117	2.708e+06	2.086e+06	0.7704	0.7018	215	112	23	315	8855	1413	8727	901	1
pdvd	039349_23/56	6	1	-2275	1.481	2384	151.1	150.2	3.273	3.076	1.302e+06	3.475e+05	0.2669	0.198	510	147	22	266	1.158e+04	2260	11449	1748	1
pdvd	039349_27/65	6	1	-2207	1.481	3055	278.3	277.6	4.08	4.068	1.391e+06	4.206e+05	0.3024	0.2151	587	172	27	508	1.167e+04	5454	11543	4942	1
pdvd	039349_3/47	4	0	-2210	1.481	3894	20.54	20.2	0.6904	0.4776	7.574e+05	2.184e+05	0.2884	0.2002	104	32	14	29	8548	3645	8420	3133	0
pdvd	039349_34/46	4	1	-2329	1.481	2895	94.9	95.08	2.44	2.769	1e+06	4.109e+05	0.4108	0.2587	355	103	16	47	8090	2414	7962	1902	1
pdvd	039349_35/67	6	1	-2323	1.481	4039	192.8	193	0.3692	0.6259	8.866e+05	3.324e+05	0.3749	0.3132	282	100	36	371	1.156e+04	6037	11432	5525	1
pdvd	039349_36/49	6	0	-2421	1.481	3941	108.9	108.5	2.047	2.305	1.752e+06	3.623e+05	0.2067	0.1513	553	133	27	99	1.116e+04	4510	11032	3998	1
pdvd	039349_37/38	4	1	-2237	1.481	3274	202.3	201.5	0.5341	1.105	5.161e+05	4.079e+05	0.7904	0.8137	75	32	4	442	8088	4806	7960	4294	1
pdvd	039349_38/72	0	1	-2370	1.481	2508	207.6	206.3	1.718	1.356	1.267e+06	1.006e+06	0.7936	0.7686	225	113	16	344	1975	3080	1847	2568	1
pdvd	039349_4/39	3	1	-2323	1.481	4787	8.097	8.164	1.54	1.38	1.31e+06	3.415e+05	0.2608	0.1983	483	122	19	153	5972	5038	5844	4526	0
pdvd	039349_42/56	6	0	-2206	1.481	3850	138.2	137.8	2.626	2.263	1.705e+06	6.278e+05	0.3682	0.3259	550	176	35	306	1.134e+04	5154	11215	4642	1
pdvd	039349_43/52	6	0	-2183	1.481	2177	78.3	77.73	3.213	3.691	1.365e+06	3.875e+05	0.284	0.2107	452	136	27	141	1.136e+04	1047	11233	535	0
