# per-point sample; dqdx in e/cm, rr/x/y/z/dx in cm
# drift_cm = 202.05 - |x| (anode at |x|=202.05); drift_us = drift_cm / 0.1563
particle	event	block	rr	dqdx	dx	x	y	z	drift_cm	drift_us
proton	59377	70	25.975	109325.2	0.5671	-141.89	-102.44	3.30	60.16	384.9
proton	59377	70	25.441	104619.3	0.5341	-141.95	-102.19	3.76	60.10	384.5
proton	59377	70	24.907	115012.8	0.5420	-142.01	-101.93	4.23	60.04	384.1
proton	59377	70	24.357	124845.3	0.6081	-142.08	-101.69	4.72	59.97	383.7
proton	59377	70	23.690	114779.1	0.5995	-142.08	-101.38	5.31	59.97	383.7
proton	59377	70	23.158	111136.2	0.5328	-142.20	-101.16	5.78	59.85	382.9
proton	59377	70	22.625	116345.5	0.5113	-142.31	-100.94	6.25	59.74	382.2
proton	59377	70	22.135	135074.6	0.5351	-142.36	-100.69	6.67	59.69	381.9
proton	59377	70	21.555	140301.3	0.5373	-142.38	-100.47	7.20	59.67	381.8
proton	59377	70	21.060	129916.8	0.6128	-142.51	-100.37	7.67	59.54	381.0
proton	59377	70	20.329	113001.7	0.6954	-142.58	-100.04	8.32	59.47	380.5
proton	59377	70	19.670	118550.2	0.7185	-142.66	-99.73	8.90	59.39	380.0
proton	59377	70	18.892	111181.9	0.6387	-142.66	-99.38	9.59	59.39	380.0
proton	59377	70	18.392	125567.4	0.4998	-142.77	-99.19	10.04	59.28	379.2
proton	59377	70	17.892	136239.8	0.4951	-142.89	-99.01	10.49	59.16	378.5
proton	59377	70	17.402	144099.5	0.4904	-142.94	-98.77	10.92	59.11	378.2
proton	59377	70	16.912	138363.3	0.5801	-143.00	-98.54	11.34	59.05	377.8
proton	59377	70	16.242	126851.6	0.6032	-142.96	-98.28	11.96	59.09	378.1
proton	59377	70	15.705	123136.2	0.5366	-143.09	-98.09	12.45	58.96	377.3
proton	59377	70	15.168	124056.8	0.5402	-143.22	-97.91	12.93	58.83	376.4
proton	59377	70	14.625	131455.8	0.5920	-143.26	-97.63	13.39	58.79	376.1
proton	59377	70	13.984	133201.6	0.6287	-143.31	-97.35	13.97	58.74	375.8
