# muons from dqdx_rr_sample/sample_points_d66old.tsv, protons from work-stmcamp-d66old (the doc-62 OWNER-identified list)
# muon rows are copied verbatim from --old-points; its single proton
# (289343 blk 90) is dropped there and re-read from the proton root, so it is counted once.
# per-point sample; dqdx in e/cm, rr/x/y/z/dx in cm
# drift_cm = 202.05 - |x|; drift_us = drift_cm / 0.1563
particle	event	block	rr	dqdx	dx	x	y	z	drift_cm	drift_us
muon	167200	160	46.006	71782.1	0.5655	96.60	-47.66	0.35	105.45	674.7
muon	167200	160	45.475	69072.2	0.5309	96.74	-47.41	0.80	105.31	673.8
muon	167200	160	44.944	52869.5	0.5219	96.88	-47.17	1.25	105.17	672.9
muon	167200	160	44.431	55450.2	0.5550	97.01	-47.06	1.74	105.04	672.1
muon	167200	160	43.834	53847.7	0.6792	97.15	-46.74	2.23	104.90	671.2
muon	167200	160	43.072	54891.4	0.6393	97.39	-46.55	2.92	104.66	669.6
muon	167200	160	42.555	53080.7	0.5922	97.55	-46.30	3.35	104.50	668.6
muon	167200	160	41.888	52672.5	0.6236	97.74	-46.08	3.95	104.31	667.4
muon	167200	160	41.308	61674.4	0.7341	97.93	-45.89	4.46	104.12	666.2
muon	167200	160	40.420	48856.4	0.8133	98.17	-45.60	5.26	103.88	664.6
muon	167200	160	39.681	56001.1	0.6455	98.45	-45.35	5.90	103.60	662.8
muon	167200	160	39.129	67162.5	0.6428	98.56	-45.21	6.42	103.49	662.1
muon	167200	160	38.396	55633.0	0.6193	98.73	-44.89	7.06	103.32	661.0
muon	167200	160	37.890	61160.1	0.6049	99.00	-44.80	7.48	103.05	659.3
muon	167200	160	37.186	56932.9	0.6355	99.14	-44.63	8.15	102.91	658.4
muon	167200	160	36.619	68613.6	0.5606	99.31	-44.31	8.58	102.74	657.3
muon	167200	160	36.065	57893.6	0.5545	99.46	-44.14	9.09	102.59	656.3
muon	167200	160	35.510	61641.2	0.5414	99.62	-43.98	9.59	102.43	655.4
muon	167200	160	34.982	57651.9	0.5282	99.79	-43.79	10.06	102.26	654.3
muon	167200	160	34.454	50625.0	0.6824	99.96	-43.61	10.52	102.09	653.2
