event	main_id	verdict	quality	conf	reason
174488	3	nu	unclear	med	16 cm stub whose dQ/dx sits at 150-250 ke/cm over its WHOLE length (2.5-4x MIP, far above the muon curve) and rises only 1.7x from rr=15 to rr=1 (a muon rises 2.5x) = flat-and-high proton-like profile, not a muon Bragg; touches the upstream wall z=0.8; disagree with the STM tag
174576	5	nu	cosmic-like	med	reaches the bottom wall y=-199 at z=28, sharp ~90 deg kink at (-195,-185,12), and the interior end at (-178,-104,68) has dQ/dx 25-45 ke/cm at rr<10 (BELOW MIP, no Bragg) = truncated, so nothing stopped
174642	9	STM	clean	high	enters the upstream wall z=2 at (-12,187), runs 337 cm and stops at (-96,129,337) with a textbook Bragg to 168 ke/cm at rr=0 (ks1=0.030)
174928	9	nu	cosmic-like	med	enters the anode x=201 at (201,141,248), 90 cm prong to a kink at (158,112,176) with a ~25 cm curled second arm; dQ/dx flat 50-60 with 20-40 ke/cm points at rr<10 and no coherent Bragg, so nothing stopped at the kink
174928	5	nu	junk	high	only 7 drawn points in a 1 cm blob at (-98,197,111) just inside the top wall; no track to judge (tagger called it TGM so the STM fit was skipped)
175104	7	nu	junk	high	14 drawn points in a 1 cm blob at (70,185,183), fully interior, no steiner pc hence no dQ/dx; nothing to judge
175428	17	nu	cosmic-like	low	HARD: 42 cm near-vertical track entering the top wall y=200 at z=456, interior end (-38,180,492); dQ/dx only creeps 55->80 ke/cm and the last 3 cm FALL to 43-48 (below MIP) with no 165 ke/cm peak, and the STM tag needed the off=3 fit variant to pass, so I read the end as truncated; also the skeleton claims 121 cm while only ~42 cm is drawn
48301	13	STM	clean	high	single 130 cm track entering the upstream wall z=2.3, textbook Bragg to 165 ke/cm at rr=0 (ks1=0.010), plus a Michel-like charge spray at the stopping end (-94,-69,93)
175808	18	nu	cosmic-like	med	enters the anode x=-201 at (-201,-36,404) and runs 135 cm straight to (-168,-80,281); dQ/dx is flat 45-55 ke/cm from rr=2 to rr=135 with only a single 300 ke/cm point at rr<1 = endpoint charge blob, not a Bragg profile
175896	17	nu	unclear	med	the dQ/dx fit returns NEGATIVE values (down to -250 ke/cm) over rr=5-25 and rr=60-80, i.e. unusable fit pathology; track crosses the downstream wall z=500.8 and carries several transverse charge sprays
48367	19	nu	cosmic-like	med	flat 40-60 ke/cm right down to rr=0 (one 118k outlier), no Bragg; reaches the bottom wall y=-199 at z=296 while the upper end just stops at (-162,-91,172); 3 disconnected horizontal fragments sit alongside
176022	9	STM	clean	high	265 cm track entering the upstream wall z=1.4 at (36,-2) and stopping at (185,23,206); dQ/dx tracks the green curve up to 170 ke/cm at rr=0 (ks1=0.041)
176160	10	STM	clean	high	enters the top wall y=200 at (72,z=210), runs 124 cm and stops at (138,140,300) with a 5 cm hook (Michel candidate) and a clean Bragg to 145-185 ke/cm at rr<5 (ks1=0.037)
277276	8	nu	clean	med	the rr<16 cm end sits at 140-290 ke/cm (2.5-5x MIP, far ABOVE the muon curve) = proton-like stub, matching the fit's own left dQ/dx=3.11 MIP over 14.8 cm; the long 135 cm prong is flat MIP and reaches the bottom wall y=-198 at z=442, so stub+prong reads as a vertex, not a muon Bragg
277958	13	nu	unclear	med	inverted profile: dQ/dx peaks at 110-143 ke/cm at rr=8-11 and COLLAPSES to 30-57 ke/cm over the last 6 cm, so nothing stopped at rr=0; 30 cm S-curved track crossing the upstream wall z=0.8 at (33,-89); the STM tag came from the short-track peak-5 fit variant
278640	17	STM	clean	high	enters the upstream wall z=2.2 at (9,-73), cathode-crosses at x=0 and stops at (-74,-80,102) with a textbook Bragg to 200 ke/cm at rr<1 (ks1=0.035); the mild slope change at x=0 is the cathode join, not a kink
278662	1	nu	cosmic-like	med	disagree with the STM tag: dQ/dx is flat 45-60 ke/cm from rr=2 out to rr=250 and only 1-2 points at rr<2 rise (148k), i.e. an endpoint blob not a Bragg profile, and it only passed on the com=15 eval variant; the track exits the bottom wall y=-199.7 at z=307 and its other end just stops at (-172,-83,100)
278684	10	nu	cosmic-like	high	enters the upstream wall z=-0.1 at (23,2) and runs 171 cm straight to (151,91,54) with dQ/dx flat 50-60 ke/cm right down to rr=0 (no Bragg, all 8 eval variants fail), so the far end is truncated; two detached red fragments sit near z=20-27
278794	7	STM	clean	high	enters the anode x=201.4 at (201,-25,43), runs 198 cm and stops at (64,-124,131) with a clean Bragg to 175-230 ke/cm (ks1=0.018); the dQ/dx curve goes pathological (negative) only in the last 40 cm near the anode end, which does not affect the stopping end
48895	17	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 50-55 ke/cm right down to rr=0 with no Bragg (the 160k spike sits at rr=25-30, off the end); the lower end exits the bottom wall y=-199.7 at z=350 and the upper end just stops mid-detector at (-165,-165,185)
279080	2	nu	junk	high	10 drawn points in a 1 cm blob at (-163,41,478), fully interior, no steiner pc so no dQ/dx; nothing to judge
279445	19	nu	clean	med	a 6 cm stub at the (-98,-94,290) end sits at 140-155 ke/cm (2.2-2.7x MIP, above the muon curve) and then drops discontinuously to 25-50 ke/cm by rr=8 (not a monotonic Bragg), the fit's own leftover is 13 cm at 2.02 MIP, and that end also carries a ~7 cm second prong; the long 144 cm prong exits the anode x=-201
