event	main_id	verdict	quality	conf	reason
405432	15	STM	clean	med	enters the anode x=201.2 at (201,83,118), 88 cm MIP track, textbook Bragg to 165 ke/cm at rr=0 (ks1=0.058) at (163,112,46) with a broad diffuse ~19 cm spray there = Michel candidate; the tagger's "extra tracks" rejection is that Michel, so I disagree with the nu-candidate label
405454	7	nu	junk	high	only 12 drawn points in a 1 cm blob at (188,-100,478), 12 cm clear of every wall; skeleton claims 56.7 cm but there is no track to judge and no steiner_pc so no fit
405740	14	nu	weak	med	22 cm short track along +z ending 2.8 cm short of the downstream wall (z=497.3); dQ/dx flat 47-70 ke/cm over rr 1.5-27 with only the last 1 cm elevated (116-137 ke/cm, still BELOW the muon curve) so no Bragg trend and no established boundary entry
406752	7	STM	clean	high	crosses the top wall at (-175,199.9,321) travelling 24 cm in y over 35 cm (a real crossing, not grazing), Bragg 185-207 ke/cm at rr<0.5 following the muon curve (ks1=0.061), small charge spray at the stopping end (-160,176,336) = Michel candidate
406796	9	nu	unclear	low	60 cm track from the cathode (x=-1.9, not a detector boundary) to (-54,-155,86); no DET_BOX face is closer than 39 cm so nothing entered; the far end carries a 7 cm branch plus a 3 cm 2-3x MIP charge spike (167-187 ke/cm above the muon curve) = vertex-like, and dQ/dx sags to 22-45 ke/cm at rr 5-11 so the fit is poor; faint grey charge just past the cathode leaves an un-merged cathode-crosser reading open
407148	15	nu	clean	med	two-prong V with apex at (140,101,103): 151 cm prong exits the anode x=201.3, 80 cm prong stops contained at (91,105,167); opening angle ~118 deg so no muon kink can join them, and dQ/dx at the apex only reaches 100-120 ke/cm (green curve is 168) so nothing stopped there
408534	9	nu	clean	high	vertex at (92,105,249): a 31 cm stub at 2.4 MIP average rising to 258 ke/cm (4.6 MIP, far ABOVE the muon curve) plus a 130 cm MIP prong exiting the anode x=201 = proton+MIP vertex, exactly the evt51051 signature; the tagger's own "long leftover, left dQ/dx=2.42 MIP" is that stub
409084	12	STM	clean	med	crosses the upstream wall at (86,-48,-0.5) travelling +z, 82 cm, Bragg to 263 ke/cm at rr=0 (ks1=0.020) with a small detached blob at the stopping end (110,-20,70) = Michel candidate; caveat: dQ/dx sits ~1.8x above the muon table over the WHOLE range (90-100 ke/cm where flat MIP is 56) so the charge scale looks mis-set, but the shape is a clean Bragg
409458	8	nu	weak	low	only 6.7 cm long / 9 fit points, a 5 cm blob sitting on the upstream wall (z=1.3); dQ/dx falls 173->45 ke/cm over 5 cm but the wall end is at or below MIP, impossible for a muon with 6 cm of range left, so this is a wall-truncated fragment not an identifiable stopping muon - I disagree with the STM tag
409546	8	nu	unclear	med	21 cm stub from the anode x=-201.4 to a dense blob at (-188,36,486); dQ/dx is NOT a muon Bragg - a 2-point spike of 230k and 450k e/cm (4-8 MIP, far above the 168 green curve) with the profile RISING with residual range (37-57 at rr 1-4, 100-130 at rr 5-20), so the trajectory/direction is unreliable; 8 fragments over the claimed 82 cm. I disagree with the STM tag
