event	main_id	verdict	quality	conf	reason
54175	18	nu	cosmic-like	high	no Bragg: last few cm sit at 20-70 ke/cm (below the 56 ke/cm MIP line) and the profile is flat MIP over 185 cm; enters the anode x=-201 at (y=155,z=182) and the far end just stops mid-detector at (-72,140,55) with a 13 cm hook -> truncated, not a stop
55583	8	nu	junk	high	only 9 drawn points in a <1 cm blob at (-103,107,16) although the table claims len=17.6 cm; no steiner_pc so no dQ/dx panel at all; nothing physical to judge
55595	8	nu	unclear	low	no convincing Bragg at either end: the inner end (x=-179,y=-50,z=193) has only 2 points at 120-150k then drops straight to MIP (ks1=0.09, nothing like the dense muon-curve train of evt48301), while the far end rises broadly over 30 cm to 100k exactly where the track flattens along the bottom wall = dx artifact, too broad for a Bragg; bottom end at y=-196.5 does cross (2.8 cm from the wall) but the 7 cm hook at the inner end reads vertex-like, so I cannot call the inner end a stop
48301	13	STM	clean	high	textbook: dense Bragg train hugging the muon curve from 190 ke/cm at rr=0 out to 30 cm (ks1=0.010), enters the upstream wall z=2.3 (outside FV) and stops at (-94,-69,93) with a charge spray = Michel candidate
55627	22	nu	clean	med	185 cm flat-MIP prong entering the anode x=-201 plus a 14 cm stub that kinks back in z at (-80,60,182) at 2.63 MIP; dQ/dx spikes to 245 ke/cm at rr=0, well above the 165 ke/cm muon maximum -> proton-like vertex stub, not a muon Bragg
55715	15	nu	clean	high	compact 3-prong star: vertex at (-43,-38,485) with a 12 cm prong up in y, a prong to (-52,-40,497) and a spray to (-33,-38,497); dQ/dx is bumpy with a 130 ke/cm plateau at rr=10-14 and 230 ke/cm at rr=0, nothing like the muon curve; sits at the downstream wall but is multi-prong from one point
56243	9	nu	unclear	med	fit pathology: the dQ/dx panel carries a smooth arc of NEGATIVE values (0 to -40 ke/cm) over rr=25-55; at rr=0 the charge is only 25-70 ke/cm so no Bragg; topology is a kink at (136,-28,110) with one prong to the anode x=201 and two detached blobs at y=-28
48367	19	nu	cosmic-like	med	flat 45-60 ke/cm from rr=3 out to 170 cm with only 2 points above 100k at rr=0 -> no Bragg; the lower end crosses the bottom wall y=-199 and the upper end stops mid-detector at (-162,-91,172) = truncated; track sits at near-constant x=-155..-162 with several parallel merge-fragment bands
56387	11	STM	clean	high	enters the top wall y=198.3 at (175,250), dense Bragg following the muon curve from 175 ke/cm at rr=0 through 30 cm (ks1=0.023), stops well contained at (137,-60,382)
56463	12	nu	cosmic-like	high	I disagree with the STM tag: the "stopping" end is the CATHODE at x=-3.3 and dQ/dx there is MIP-level 45-70 ke/cm, with the 120-148k bump 15-25 cm away from the end (res_L=16 cm); enters the top wall y=200 at (-122,168) and continues across the cathode -> truncated cathode crosser
57575	12	nu	weak	med	single featureless 313 cm cathode crosser along the beam (dz=265 vs dy=76) exiting the downstream wall z=499; inner end at (-46,-5,234) is contained but shows only 90 ke/cm at rr=0 then flat MIP, so no Bragg and no vertex structure to point to either reading
57661	18	STM	clean	med	dense Bragg train following the muon curve from 180 ke/cm at rr=0 over 30 cm, stopping end contained at (162,100,154); the other end crosses the top wall y=197.6; the tagger's "long leftover" rejection comes from a spurious 6 cm kink 2 cm below the wall - the 125 cm "leftover" IS the muon. ctx shows no charge continuing past the stopping end. Caveat: dz=19 cm over 124 cm (prolonged-W geometry)
58169	13	nu	junk	high	only 13 drawn points in a 1 cm blob at (127,-141,31) although the table claims len=128 cm; no steiner_pc, no dQ/dx panel; nothing physical to judge
58211	7	nu	junk	high	only 15 drawn points in a 1.5 cm blob at (188,87,402) although the table claims len=43 cm; no steiner_pc, no dQ/dx panel; nothing physical to judge
58343	16	STM	clean	high	enters the anode x=201.2 at (y=146,z=409), dense Bragg train on the muon curve from 170 ke/cm at rr=0 over 25 cm (ks1=0.024), stops well contained at (118,-68,352)
