event	main_id	verdict	quality	conf	reason
392354	13	nu	junk	high	11 drawn points in one 1x1x0.6 cm blob at (-183,32,435) with 2 stray grey dots ~8 cm away; no steiner PC so no dQ/dx, nothing fittable
392558	2	nu	weak	low	8 cm object touching the upstream wall z=1.3 at (-140,-165) with dQ/dx from 149 ke/cm at rr=0 down to only 77 ke/cm (1.4 MIP) at its far end: there is NO minimum-ionizing segment anywhere on it, so nothing shows a long track came in and slowed, and a heavily-ionizing stub at the wall fits equally well; disagree with the tagger's STM (14 fit points)
393542	22	nu	cosmic-like	med	tagger's STM is wrong: enters the top wall y=199.9 at (67,56) but the last 5 cm sit at 30-70 ke/cm, at/below the 56 MIP line, with the only bump at rr=7-9, so nothing stopped; 20 cm clipper hugging the top wall
393608	9	nu	cosmic-like	med	crosses the downstream wall z=500 at (96,101), far end at (101,88,456) has dQ/dx 15-40 ke/cm (below MIP) with only a 3 cm hook, so truncated not stopping; agree with the tagger's dQ/dx rejection
394488	2	STM	clean	high	enters the upstream wall z=0.8 at (-106,131), 22 cm to (-104,146,17.5), textbook Bragg on the muon curve to 173-240 ke/cm at rr=0 (ks1=0.019)
394532	8	nu	unclear	low	dQ/dx is unphysically negative (down to -250 ke/cm over rr=8-25, tagger reports left dQ/dx=-0.56 MIP) so no stopping profile can be read; touches the anode x=201 at (-188,22), far end at x=173 mid-detector
394642	13	nu	cosmic-like	high	300 cm track flat on the 56 MIP line (50-60 ke/cm) right down to rr=0, no Bragg; one end crosses the upstream wall z=0.2, the other stops dead at the cathode x=1.4 = unmerged cathode crossing
394906	16	nu	cosmic-like	med	tagger's STM (ks1=0.032) rests on nothing: dQ/dx sits at 50-65 ke/cm on the MIP line down to rr=0 with no Bragg; enters the upstream wall z=-0.5 at (154,25) and the 16 cm J-hook at the far end is 1.12 MIP, i.e. cut off not stopped
395060	19	nu	cosmic-like	high	130 cm, enters the upstream wall z=0.2 at (9,70) and the far end stops exactly at the cathode x=0.7 (unmerged cathode crossing); dQ/dx 37-73 ke/cm at rr<2, no Bragg
395610	22	nu	cosmic-like	high	200 cm straight line entering the top wall y=199.8 at (8.6,347), crosses the cathode, ends mid-detector at (-51,100,183); dQ/dx flat 40-60 ke/cm to rr=0, no Bragg = through-going/truncated cosmic
397194	13	STM	clean	high	260 cm entering the upstream wall z=0.8 at (-68,77), stops at (-136,-16,230) well inside every face, textbook Bragg to 190 ke/cm on the muon curve (ks1=0.009)
48301	13	STM	clean	high	single 130 cm track entering the upstream wall z=2.3, Bragg to 165-190 ke/cm at rr=0 on the muon curve (ks1=0.010), charge spray at the stopping end (93,-69) = Michel candidate
397238	1	nu	junk	high	8 drawn points in one 1 cm blob at (-72,-160,495); no steiner PC, no dQ/dx panel, no track to judge
397392	13	STM	clean	high	275 cm entering the upstream wall z=3.1 at (-12,28), Bragg to 184 ke/cm at rr=0 on the muon curve (ks1=0.029), and a ~30 cm charge fan at the stopping end (-80,33,255) = Michel candidate
397568	19	STM	weak	med	enters the upstream wall z=0.8 at (-41,113); Bragg bump to 120 ke/cm sits at rr=16 not rr=0 because a 12 cm 0.95-MIP hairpin arm (Michel candidate) follows the stopping point at (-40,121,71); no wall within 100 cm of that end so it did stop
48367	19	nu	cosmic-like	med	170 cm reaching the bottom wall y=-199.1 at (-160,297), other end mid-detector at (-162,-91,172) with dQ/dx flat 50-60 ke/cm (one 117 outlier) and res_L=18 cm, no Bragg = truncated; several merge-fragment stubs sit off the trajectory at x=-150
397722	18	nu	clean	high	vertex at (144,-98,87) with a 5 cm stub whose dQ/dx spikes to 255-295 ke/cm (3.6 MIP, well ABOVE the muon curve = proton-like) plus a 60 cm MIP prong exiting the anode x=201; proton+MIP topology, not a stopping muon
397920	8	STM	clean	med	disagree with the tagger's dQ/dx rejection: 270 cm collinear track entering the downstream wall z=500 at (185,-2.5) and ending at (36,10,270) far from every face, with a Bragg rise to 185 ke/cm at rr<2 (last 6.5 cm at 2.4 MIP) that is only ~10% above the muon curve, not the 250-300 ke/cm of a proton stub, and no stub at an angle
398238	13	STM	clean	high	145 cm cathode crosser entering the top wall y=199.8 at (-25,306), stops at (76,112,360) well inside every face, textbook Bragg to 190 ke/cm on the muon curve (ks1=0.021); the y-slope break at x=0/z=322 is the cathode join, not a kink
398260	5	nu	clean	high	2-prong vertex at (-107,-11,423) where dQ/dx spikes to 250-292 ke/cm (>4 MIP, well above the muon curve = proton-like); a 135 cm prong exits the downstream wall z=498 along +z (beam direction) and a 55 cm 1.65-MIP prong goes back to (-129,-45,456)
398414	18	nu	cosmic-like	med	16 cm near-vertical stub (dy=16, dz=3) touching the bottom wall y=-198.6 at (37,344); dQ/dx 15-60 ke/cm sits BELOW the MIP line all the way with the far end at 40 ke/cm, so nothing stopped -- truncated, cosmic-shaped
398722	10	STM	clean	med	22 cm entering the anode x=201.4 at (-109,298) and stopping at (194,-115,317); dQ/dx tracks the muon curve over the whole length rising to 178 ke/cm at rr=0 (ks1=0.021); caveat: it only gets 8 cm off the anode plane, so the entry is shallow
399042	14	STM	clean	med	33 cm crossing the bottom wall y=-199.1 at (-52,273) with a Bragg to 195 ke/cm at rr=0 on the muon curve (ks1=0.022) at the upper end (-74,-179,259); the whole track sits above MIP = the last 33 cm of a stopping muon, which forces the upward-going reading (entry through the bottom wall); STM here is geometric (one end crosses, the other stops with Bragg), so the odd direction does not by itself demote it
48895	17	nu	cosmic-like	high	the STM tag is wrong: flat 50-55 ke/cm right down to rr=0 with no Bragg; the (-165,-165,185) end just stops mid-detector while the other end exits the bottom wall y=-199.7 at (-150,350)
399052	15	nu	clean	med	3-prong vertex at (-128,-84,481): 28 cm arm to the downstream wall z=497, 27 cm arm to (-140,-59,486) with a charge blob, 45 cm arm to (-151,-109,460); no Bragg at any end (rr=0 sits at 50 ke/cm) and dQ/dx even goes negative near rr=50-55, a fit pathology worth noting
399284	6	STM	clean	high	267 cm entering the anode x=201.2 at (-70,283) and stopping at (12,-4,457), 12 cm short of the cathode and far from every face; sharpest Bragg in the slice, 200 ke/cm at rr=0 on the muon curve (ks1=0.008)
399382	15	nu	junk	high	15 drawn points in one 1x0.8x0.6 cm blob at (190,184,2.3) in the anode/upstream corner, no persisted trajectory and no dQ/dx; also note this row still carries auto_label "TGM lm" although the sample was meant to have TGM/LM removed
399382	1	nu	junk	high	6 drawn points in one 0.6 cm blob at (-190,-178,310) with no grey context anywhere near it; no steiner PC, nothing to judge
51865	11	nu	junk	high	19 drawn points in one 1.2 cm blob at (19,-124,347) and nothing else within the whole TPC in the ctx view, although the skeleton claims 87 cm over 6 fragments; no steiner PC
399426	2	nu	junk	high	9 drawn points in one 0.6 cm blob at (-84,81,5.5) inside a diffuse ~100-dot grey cloud; no steiner PC, no dQ/dx, no track
400174	8	nu	unclear	low	NO EVIDENCE FOR THIS ROW: the r0 shot set is byte-identical to r1, i.e. the grab captured main 2 (the 1 cm blob at -124,-154,47) instead of main 8, and info.json's r0 entry carries r1's bbox and fit text too; defaulting to nu because nothing shows the claimed 91 cm / 769-pt object, so the tagger's STM here is unverified
