event	main_id	verdict	quality	conf	reason
285366	1	nu	junk	high	only a 1.1 cm 13-point blob drawn at (-89,-25,27), fully contained and >20 cm from every face; no track, no dQ/dx panel (tagger skipped it as contained), nothing that could be a stopping muon
285366	13	nu	cosmic-like	med	disagree with the STM tag: the dQ/dx does NOT rise in shape toward rr=0 - it is flat at 80-100 ke/cm (1.5-1.8x MIP) from rr=65 all the way in, and the last two real points (75-78 ke/cm at rr=1-2) are LOWER than the body, with only a single 520 ke/cm (9 MIP) outlier at rr=0.5 and a fitted peak below expectation (r1=0.73); so although the track crosses the anode at x=201.4 and its far end at (146,-77,486) is contained with a small clump, nothing is shown to stop there - truncated/broken end
285443	7	nu	unclear	med	disagree with the STM tag: dQ/dx is pathological (negative values over rr=15-40, 130-315 ke/cm spikes at rr=45-57) and the last 10 cm sit at 40-50 ke/cm, i.e. below MIP with no Bragg; track reaches the downstream wall z=500.8 but the cluster also holds a disconnected red blob at y=60-90,z=415-430
285467	18	nu	cosmic-like	high	flat 45-60 ke/cm right down to rr=0 (below MIP for rr<10), no Bragg; enters the upstream wall z=-0.1 near the cathode and the other end just stops mid-detector at (82,-88,50) - truncated, featureless straight 100 cm track
285564	9	nu	clean	high	fully contained (x 64-79, y -9..19, z 397-427, every face >70 cm away except x, 122 cm from the anode) so it cannot be a stopping muon; dense round blob at the (65,16,400) end plus a curving 64 cm prong = vertex-like
285564	16	nu	junk	med	drawn main is a 0.9 cm 13-point blob at (-38.5,-71.6,229); skeleton len 26.9 cm describes charge that is not drawn, no STM fit was persisted, nothing to judge as a track
285663	7	nu	junk	med	drawn main is a 5 cm 57-point arc hugging the anode plane at x=196-201, y=-24.5, z=35-37 while the skeleton claims 41 cm over 3 fragments; only 9 fit points spanning 10 cm, scattered 35-130 ke/cm - a fragment at the anode, not one physical track
285795	11	nu	unclear	med	disagree with the STM tag: at the claimed stopping end dQ/dx COLLAPSES to 5-25 ke/cm over the last 4 cm instead of rising, with a 100-165 ke/cm spike 25 cm back; the z=-0.5 end does cross the upstream wall but the far end at (137,-100,50) shows no Bragg, so nothing is demonstrated to stop
285929	13	STM	unclear	low	283 cm cathode crosser entering the anode at x=-201.4 and ending at (11,51,225) with a steep rise to 200-300 ke/cm confined to the last 3 cm (above the muon curve, r1=1.2-1.6, so read as a Bragg overshoot rather than a 5-12 cm proton stub); but the fit has negative dQ/dx over rr=15-25 and the last 10 cm are the joined TPC1 piece past the cathode, so the Bragg may be a cathode-join artifact - tagger called it nu on the dQ/dx eval
285999	22	STM	clean	high	31 cm arc starting on the anode plane x=-201.4 and travelling 22 cm in x to stop at (-179,79.5,312.5), far from every other face; dQ/dx follows the green muon curve to 165-200 ke/cm at rr<0.5 (ks1=0.019) - short but textbook
48301	13	STM	clean	high	130 cm single track entering the upstream wall at z=2.3 (outside FV), textbook Bragg climbing the green curve to 165-190 ke/cm at rr=0, and a charge spray at the stopping end (-94,-69,93) = Michel candidate
286065	3	STM	clean	high	238 cm track entering the top wall at y=199.9 and stopping at (-128,-8,461) with a textbook Bragg to 160-185 ke/cm at rr=0 (flat 50 ke/cm beyond rr=30); no vertex structure anywhere along it
48367	19	nu	cosmic-like	med	crosses the bottom wall at y=-199.1 (z=297) but the other end just stops mid-detector at (-162,-91,172) with flat 50-60 ke/cm to rr=0 (one 117 ke/cm last point, neighbours at 50) - no Bragg, so truncated not stopped; cluster also carries several long disconnected red bands at y=-100..-130 and a blob at (-137,-148,270)
286177	10	nu	weak	med	20 cm two-arm object whose apex sits ON the top wall: the track rises to y=199.5 then runs ALONG y=197-199 from z=228 to z=238.5, i.e. grazing the wall rather than crossing it (evt50787 rule); rise to 190 ke/cm at one arm end and 1.8 MIP on the 12 cm leftover arm, far too short to establish an entry+stop
286180	6	nu	clean	high	vertex topology: the last 12 cm at the (164,-110,270) end sit at 130-210 ke/cm (2.5-3.7 MIP, well ABOVE the muon curve = proton-like, the evt51051 signature), a 5 cm side branch leaves at (172,-104,278), and the long MIP prong exits the anode at x=201.2
286213	8	nu	junk	high	only a 1.1 cm 13-point blob at (-49.6,-29.5,167) is drawn; no steiner point cloud so no fit, and nothing resembling a track to judge
286329	14	STM	clean	med	enters the top wall at y=200.1 (x=90,z=371) and descends ~45 cm to (107,164,393) where a short hook = Michel candidate; dQ/dx climbs to 100-105 ke/cm at rr=4-9 and then falls over the last 5 cm because the hook offsets the true stopping point (fit res_L=5.7 cm) - Bragg present but not reaching 165 ke/cm
286353	9	nu	cosmic-like	high	crosses the bottom wall at y=-198.5 and runs 254 cm straight to a contained end at (-61,47,414) where dQ/dx only reaches 70-80 ke/cm (1.4 MIP) and is already flat 50 by rr=5 - no Bragg, so the far end is truncated not stopped; small merge blobs sit on the track at (-87,-25,388)
286527	16	nu	unclear	med	only a 26 cm piece (250 of 415 main points) is drawn, crossing the anode at x=201.4; grey un-merged charge continues past the claimed stopping end at (192,140,300), so the 170 ke/cm spike there is where the un-merge cut, not a stop; skeleton len 119 cm describes charge that is not drawn
286631	7	STM	clean	high	single 243 cm track entering the anode plane at x=201.2 (y=49,z=35) and stopping at (111,113,211), 90 cm inside every face; textbook Bragg riding the green curve to 200 ke/cm at rr<0.5, flat 55 beyond rr=30, no branches
286655	19	nu	unclear	med	138 cm multi-kink object: prongs/kinks at (-45,49,32) and (-47,40,55), a blob at (-33,33,85) and a red band lying along the upstream wall z=1-7; dQ/dx is flat 35-72 ke/cm at rr<15 (no Bragg) and the fit oscillates to negative values twice, so nothing stops and the fit is unusable
286681	3	nu	unclear	med	12.8k points forming a dense blob mass (x -145..-128, y -40..40, z 400-500) with only a thin arm reaching the downstream wall at z=501; no single resolvable track, dQ/dx scattered 50-230 ke/cm with r1=0.72 and res_L=31 cm - reads as an unresolved shower/merge region, certainly not a clean stopping muon
286681	10	nu	unclear	med	34 cm object at essentially constant x (Delta x=1.9 cm over 34 cm = isochronous, badly measured) touching the top wall at y=199.9; dQ/dx spikes to 315-415 ke/cm (6-7 MIP, left dQ/dx=6.26 MIP) in the last 3 cm, far above the muon Bragg curve, so this is not a muon stop
48895	17	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 50-55 ke/cm right down to rr=0 with no Bragg; the lower end exits the bottom wall at y=-199.7 and the upper end at (-165,-165,185) just stops mid-detector, i.e. truncated
286906	9	STM	weak	med	141 cm single track entering the anode plane at x=-201.2 (y=152,z=383) and ending at (-103,192,295) with a steep rise to 240-280 ke/cm in the last 1-2 cm; the overshoot above the 165 ke/cm muon curve (and a 2.6 cm 3.4 MIP leftover) is why the tagger failed the eval, but geometry + rise still read as a stopping muon
51865	11	nu	junk	high	drawn main is a 19-point blob at (19,-124,347) while the skeleton claims 87 cm over 6 fragments; no steiner point cloud, no fit, and the nearby grey charge is a separate diagonal track - nothing to judge
287007	12	STM	weak	med	crosses the anode at x=201.2 (y=133.5) and ends contained at (124,90,392) with a textbook Bragg riding the green curve to 160-185 ke/cm (ks1=0.017); flagged weak because the whole 127 cm track lies at constant z (dz=4.6 cm) - the prolonged-W geometry where 3-D and charge are least reliable - and only 823 of 2469 main points are drawn
