event	main_id	verdict	quality	conf	reason
347085	4	nu	unclear	low	near-vertical y=199.7(top wall)->y=94 at essentially constant z=285 (dz~5 cm over 185 cm) = prolonged-W geometry, and the fitted dQ/dx oscillates into NEGATIVE values (-30 ke/cm) so no Bragg can be read; at rr=0 it is 50-60 ke/cm flat, nothing stopped
348471	12	nu	clean	med	sharp ~90 deg kink at (-160,40,200) joining a 46 cm arm that reaches the anode x=-200.5 to a 128 cm arm at 1.20 MIP ending at (-182,20,248); dQ/dx at rr=0 is scattered 40-90 ke/cm with dips to ~0, no Bragg toward the 165 curve
348691	9	nu	cosmic-like	high	440 cm object: 350 cm MIP prong exits the downstream wall z=500.3, two short prongs reach the bottom wall y=-196.8, third arm runs to the cathode x=6 - through-going, nothing stops; dQ/dx flat ~50 ke/cm over 280 cm with an unphysical -300 ke/cm excursion at rr~25
348713	7	nu	clean	med	enters the anode x=201.1 at (88,65), kinks at (133,133,102) with a 38 cm arm at 1.83 MIP; terminal charge spikes to 240-310 ke/cm, well ABOVE the 165 ke/cm muon curve, and data sit ~1.3x expectation over the whole rr<30 => heavily-ionizing (proton-like) end, not a muon stop
348845	7	nu	clean	high	two prongs from a vertex at (165,70,436): 70 cm MIP prong exiting the downstream wall z=500.3 along +z (beam) plus a 25 cm transverse prong to (189,75,442); dQ/dx flat 40-70 ke/cm right down to rr=0, no Bragg
349241	15	nu	unclear	med	tagger says STM, I disagree on the entry: the whole object lives in a 6 cm slab z=2.5-8.8 running parallel to the upstream wall (dz=6.3 cm over a nominal 137 cm), the evt50787 grazing pattern, and it never travels across the wall. Bragg itself is real (200 ke/cm at rr=0 on the green curve). Also a length pathology - drawn extent is only ~53 cm and the constant-z plane is prolonged-W
349373	18	nu	junk	high	single 1 cm blob of 12 points at (20,-186,375), nothing else within 100 cm; no dQ/dx panel (no steiner_pc on the cluster), PE 225 - unjudgeable as a track
349879	17	nu	clean	med	~100 deg kink at (37,-149,256) splits a 262 cm MIP prong reaching the anode x=201.4 from a 45 cm prong at 2.26 MIP; the 45 cm prong rises to 280 ke/cm at rr=0 and sits ~1.5x ABOVE the muon curve over its whole length => heavily-ionizing prong off a vertex, not a muon stopping (a 100 deg scatter 45 cm before stopping is not muon-like)
349945	18	nu	clean	med	200 cm MIP prong reaching the anode x=-201.2, ending in a multi-prong dense region at (-152,-100,100) with >=3 short arms spanning x=-164..-140; dQ/dx is flat 30-70 ke/cm AT rr=0 with the high-charge blob offset ~12 cm from the tip, so nothing stopped at the end. Tagger reports STM as "n/a" for this bundle
350099	15	STM	clean	high	enters the downstream wall at (86,-194,500.3) with ~55 cm of z travel right at the wall (a real crossing, not grazing), textbook Bragg following the muon curve to ~185 ke/cm at rr=0, and a short hook at the stopping end (25,-145,384) = Michel candidate. Agrees with the tagger
48301	13	STM	clean	high	single 130 cm track entering the upstream wall at (-47,-92,z=2.3) (outside the FV plane), textbook Bragg on the green curve to 190 ke/cm at rr=0, charge spray at the stopping end (-94,-69,93) = Michel candidate
350121	2	nu	clean	high	vertex at (-43,-23,334) with a shower-like fan of >=3 short prongs plus a 180 cm MIP prong running +z (beam) and exiting the downstream wall z=500.2; dQ/dx flat 45-70 ke/cm at rr=0 apart from 2 stray points, no Bragg
350781	8	STM	clean	high	single clean 166 cm track entering the upstream wall at (69,54,z=-0.1) (below the detector face z=0.85), textbook Bragg hugging the muon curve to 175 ke/cm at rr=0, stopping at (184,111,102) well inside every face. Agrees with the tagger
351815	25	STM	clean	high	enters the top wall at (-126,y=199.6,369) travelling downward (dy=-25 cm over 53 cm, i.e. across the wall not along it), single 53 cm track, clean Bragg on the green curve to 190 ke/cm at rr=0 stopping at (-117,174,415). Agrees with the tagger
48367	19	nu	cosmic-like	med	172 cm near-vertical track (dx=26 cm) from (-162,-91,172) down to the bottom wall y=-199.1; upper end just stops mid-detector with dQ/dx flat 45-60 ke/cm to rr=0, no Bragg => truncated, not a stop. Several long constant-y streaks in x at y=-105..-148 look like prolonged-plane artifacts rather than a vertex
352123	10	nu	clean	high	clean V with apex at (187,-59,412): a 51 cm prong sitting at ~2x MIP the whole way and spiking to 300 ke/cm at its tip - well ABOVE the 165 ke/cm muon curve, i.e. proton-like - plus a 23 cm prong reaching the anode x=201.2; two prongs from one point is a vertex, not a muon stop
352365	12	nu	cosmic-like	high	perfectly straight 219 cm track, no kink and no vertex anywhere; one end at the cathode x=-2.6 (partner half is in the other TPC), the other exits the bottom wall y=-199.4; dQ/dx flat 50-60 ke/cm right down to rr=0 => through-going, nothing stopped
352937	1	nu	junk	high	single 1.2 cm blob of 14 points at (-65,78,489) with nothing else nearby; no dQ/dx panel (no steiner_pc on the cluster), flash PE 182, tagged low-energy - no track to judge
353223	15	nu	clean	high	tagger's STM is wrong here: dQ/dx is FLAT at 40-50 ke/cm (BELOW the 56 MIP line) from rr=0 out to rr=13, no Bragg at all. Topology is a V with apex at (-12,-152,481) whose 29 cm and 40 cm arms both run out through the downstream wall z=500; the 100 ke/cm humps at rr=30-50 are the cathode x=0 join
353487	3	STM	clean	high	enters the upstream wall at (-54,0,z=3.5) travelling +z (335 cm of z travel, perpendicular entry, so no grazing ambiguity), textbook Bragg hugging the muon curve to 175 ke/cm at rr=0 (ks1=0.037), stops at (-38,-7,338). Note the point cloud is +-20 cm wide in y all along (prolonged-plane y resolution) but the skeleton and dQ/dx are clean. Agrees with the tagger
