event	main_id	verdict	quality	conf	reason
70562	8	nu	junk	high	8 drawn points in a single 1 cm dot at (-164,69,469), >100 cm from every wall; no track and no dQ/dx fit (no steiner_pc), nothing to call STM on
70562	10	nu	junk	high	12 drawn points in one 0.6 cm dot at (183,-100,5) plus a detached grey fragment 6 cm away; not one physical object and no fit. NB auto_label LM leaked into a sample that was supposed to have LM removed
71046	19	nu	clean	med	vertex at (-85,124,346) with a ~2.5 cm stub at 4.2 MIP - dQ/dx spikes to 250-300 ke/cm, well ABOVE the muon curve = proton-like - plus a 190 cm flat-MIP prong running +z that exits the downstream wall at z=498
71266	15	nu	cosmic-like	med	dQ/dx sits flat on the 56 ke/cm MIP line all the way to rr=0 (only one 218 ke/cm outlier), no Bragg; straight featureless 95 cm track exits the downstream wall z=500 and the other end simply stops at (94,152,440)
71486	6	STM	clean	med	crosses the anode plane at (-201,96,108) and runs 232 cm to (-24,130,221) where it curls up over the last 10 cm; dQ/dx climbs along the muon curve to ~140 ke/cm with the peak displaced ~12 cm from the fitted end (res_L=12.1)
71530	15	STM	clean	med	crosses the anode plane x=-201 at (-201,52,280) with dx=31 cm across it (an entry, not grazing) and stops at (-170,49,297); dQ/dx tracks the muon curve up to ~113 ke/cm at rr<4. Only 327 of 604 pts drawn
48301	13	STM	clean	high	enters the upstream wall at z=2.3 (outside FV) and stops at (-94,-69,93.5); textbook Bragg riding the green curve to 190 ke/cm at rr=0, with a charge spray at the stopping end = Michel candidate
72256	9	nu	clean	high	vertex at (-16,53,443): an ~11 cm stub whose dQ/dx runs 130-307 ke/cm, 2-4x ABOVE the muon curve = proton-like, plus a 67 cm MIP prong heading +z and down that exits the downstream wall z=500
72586	17	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 40-60 ke/cm right down to rr=0 with no Bragg, and the claimed stopping end is the CATHODE (x=-2.3 cm, 0 TPC1 points in the fit) so this 302 cm track is simply cut there; the other end exits the bottom wall y=-199
48367	19	nu	cosmic-like	med	flat 45-60 ke/cm to rr=0 (one 118 ke/cm outlier), no Bragg; the 172 cm track exits the bottom wall y=-199 and the interior end (-162,-91,172) is truncated. Several near-parallel red fragments offset in x hang off the main track - merge pathology worth a look
72828	7	nu	unclear	low	12 cm object touching the anode x=-201 in the bottom corner; dQ/dx is 160-256 ke/cm over the whole 10 cm, 2-4x ABOVE the muon expectation, so this is not a muon at all - the STM accept off 17 fit points (r1=0.54) looks wrong. Too short to read topology
73070	5	nu	junk	high	12 drawn points in one 1.8 cm dot at (-85,83,251), fully contained and >80 cm from every wall; no fit (no steiner_pc); the nearby diagonal is grey context, not part of the bundle
166804	9	nu	weak	med	28 cm track exiting the downstream wall z=500 (last 4 cm graze along it); dQ/dx is flat 50-60 ke/cm from rr=3 out to 33 with only a 1.5 cm 240 ke/cm blob at the interior end (63,77,478) - a 4x MIP spike, not a muon Bragg, so not STM; the stub is the only vertex evidence
167112	16	nu	unclear	low	enters the top wall y=199.6 at (-142,200,255) and terminates 40 cm later in a 15 cm diffuse spray at (-112,172,226); dQ/dx spikes to 200 ke/cm at the trajectory tip but falls BELOW the MIP line (8-45 ke/cm at rr=5-16) instead of following the muon curve, so a stopping-muon+Michel and a hadronic/EM interaction are indistinguishable here - owner should look
167200	16	STM	clean	high	crosses the upstream wall at (96,-48,z=-0.5, outside the detector box) and stops 58 cm later at (114,-34,41) with a slight end curl; dQ/dx rides the muon curve from 165 ke/cm at rr=0 down to 55 ke/cm at rr=50 - textbook
167398	3	STM	clean	high	enters the anode plane at (-201,-59,282) and stops at (-103,-134,411) after 181 cm; textbook Bragg to 195 ke/cm on the green curve at rr=0
168388	6	nu	unclear	low	12 cm stub from the upstream wall (-184,28,1.3) to (-177,32,11); all 22 fit points sit at 130-275 ke/cm, 2-2.5x ABOVE the muon expectation over the whole length and never approach it, so this is not a muon - the STM accept looks like the same short-stub-at-a-wall failure mode as evt72828
168614	5	nu	cosmic-like	med	enters the top wall y=200 at (105,200,348), runs 174 cm down to (107,70,232) where it just stops; dQ/dx is flat 40-60 ke/cm from rr=3 outward with only a 2 cm 170 ke/cm spike, no muon Bragg, so the interior end is truncated. Track is at essentially constant drift x (dx=4.4 cm over 174 cm) and the points smear +/-10 cm in y-z - isochronous reconstruction, badly measured
48895	17	nu	cosmic-like	high	the STM tag is wrong: flat 40-60 ke/cm right down to rr=0 with no Bragg; the lower end exits the bottom wall at (-150,-199,350) and the upper end just stops mid-detector at (-165,-165,185). Owner's own comment on this bundle: Not STM
169356	16	nu	unclear	low	dQ/dx is a reconstruction pathology - a smooth parabola diving to MINUS 320 ke/cm around rr=25; away from it the profile is flat MIP with no Bragg. Topology is a top-wall entry at (70,199,251) plus a fork at (150,146,180) with two arms reaching x=183 and a detached vertical clump at x=140 - not one clean object
169598	2	nu	cosmic-like	high	straight 252 cm through-goer from the anode plane (-201,-2,356) to the top wall (-70,200,430) - crosses two boundaries, nothing stops. This is a TGM that leaked into a sample the doc-59 cut was supposed to have removed (auto_label TGM, no STM fit)
169598	18	STM	unclear	low	textbook Bragg to 190 ke/cm riding the green curve at the interior end (86,160,190), so something stopped there. The entry is the problem: the only boundary contact is the top wall y=200 at (158,199.5,186) where the bundle runs ~10 cm ALONG the wall, and the ctx view shows an un-merged grey cosmic passing right through (155-161,186-196) - so that entry piece may not belong to this particle. STM if the entry is real, nu if it is a mis-merge; I lean STM but the owner should decide
51865	11	nu	junk	high	19 drawn points in a single 1.2 cm dot at (19,-124,347), fully contained and >100 cm from every wall, no fit (no steiner_pc); the skeleton's 87 cm / 124 pts is the pre-un-merge blob, the main itself is one dot
169736	15	STM	clean	med	cathode crosser entering the upstream wall at (12,29,1.3) and stopping 70 cm later at (-18,19.5,64) with a short end hook; dQ/dx follows the muon curve to a 108 ke/cm peak displaced 9 cm from the fitted end (res_L=9.1). The slope break at x=0 in X-Y and the dQ/dx dip to 28 ke/cm at rr=29-35 are both the cathode join, not physics
169758	6	nu	cosmic-like	high	dQ/dx is flat 50-72 ke/cm at rr=0 where the muon curve wants 165, no Bragg; and that rr=0 end is the CATHODE (x=2.4 cm, all 111 fit points in TPC1 and none in TPC0), so the 69 cm track is simply cut there. The other end exits the downstream wall z=500
169774	2	nu	weak	low	a 13 cm hook touching the bottom wall at (-78,-199.5,191) and curling up to (-70,-190,194); dQ/dx is 30-80 ke/cm, at or below the MIP line and far below the muon expectation, so no Bragg and no stop. Only 22 fit points and the drawn extent is 13 cm against the skeleton's 78 cm - too little to read
