event	main_id	verdict	quality	conf	reason
281953	10	STM	clean	high	80 cm near-vertical track entering the top wall y=200 at (194,176) and stopping at y=120 well inside; textbook Bragg rising along the muon curve to 170-185 ke/cm at rr=0 (ks1=0.018)
282033	13	STM	clean	high	180 cm vertical track entering the top wall y=199.9 at x=180 z=48 and stopping at (177,20,34); clean Bragg to 170 ke/cm at rr=0 (ks1=0.014), no second prong
282057	19	nu	clean	med	small 16 cm two-prong at (-183,-84,490): 4 cm stub whose last points reach 200-240 ke/cm (well ABOVE the 165 muon curve = proton-like) plus a 12 cm MIP prong crossing the downstream wall z=500; not a muon Bragg
282072	7	nu	cosmic-like	med	310 cm track crossing the downstream wall z=500 at (179,182) and descending to (88,25,255); dQ/dx flat 45-55 ke/cm right down to rr=0, no Bragg, so the far end is truncated not stopping; a ~35 cm second arm branches at that end (tagger's "extra tracks")
282204	4	nu	unclear	low	159 cm V whose apex sits ON the anode plane at x=-198.5 (y 0, z 213) with two ~100/70 cm arms both ending contained mid-detector at x=-181; no STM fit ("not exactly one candidate exit point") so no Bragg evidence; apex-at-anode reads like an anode-plane/T0 fold, owner should look
282217	9	STM	clean	med	405 cm track entering the anode x=201 at (78,391) and stopping at (5,51,40) near the cathode; dQ/dx follows the muon curve up over the last 30 cm to 170-285 ke/cm at rr=0; I disagree with the tagger's reject ("long leftover 30.5 cm at 2.35 MIP") -- that leftover IS the bent Bragg end; ctx confirms the fitted path itself reaches x=200 and no grey continues past the stopping end
282385	11	nu	clean	med	straight 150 cm MIP prong exiting the anode x=201 plus a 9 cm stub at 2.7 MIP (dQ/dx jumps discontinuously from the flat 50 ke/cm to 150-215 ke/cm, above the muon curve) with a sharp kink at (147,-120,337); proton stub + exiting muon like evt51051, not a smooth muon Bragg
48301	13	STM	clean	high	single 130 cm track entering the upstream wall z=2.3 (outside FV) and stopping at (-47,-69,93) with charge spray = Michel candidate; textbook Bragg to 165 ke/cm at rr=0 (ks1=0.010)
282459	10	nu	cosmic-like	high	90-degree V at apex (152,185,89): one 90 cm arm exits the anode x=201, the 20 cm arm ends at y=193 where GREY charge continues to the top wall y=200 (ctx) => through-going, and dQ/dx is flat 50-60 ke/cm to rr=0 with no Bragg
282666	10	nu	clean	med	three prongs from a vertex at (-110,-63,145): dQ/dx spikes to 265-295 ke/cm (5 MIP, far above the muon curve) in the last 2 cm = proton-like, plus a 70 cm prong to (-150,-20,178) and a 130 cm prong exiting the anode x=-201
282715	14	nu	cosmic-like	high	500 cm straight track from (140,187,85) -- grey charge continues from there to the top wall -- to the downstream wall z=497.6 at (8,-68); dQ/dx dead flat 45-60 ke/cm to rr=0 with NO Bragg, so the tagger's STM accept is wrong (same failure mode as evt48895): through-going cosmic
48367	19	nu	cosmic-like	med	172 cm near-vertical track crossing the bottom wall y=-199 at (-160,296) with its upper end just stopping at (-162,-91,172); dQ/dx flat 50-60 ke/cm to rr=0 (single 117 ke/cm point, eval fails ks1=0.075) so that end is truncated; several transverse fragments at y=-100..-130 out to x=-141 hang off it
282871	15	nu	junk	high	a single 1.3 cm 14-point blob at (-194.5,152.5,385.5) and nothing else; no steiner PC so no fit, no track to judge (LM-flagged)
282952	7	nu	cosmic-like	med	5.6 cm 35-point clump wedged in the anode/downstream corner (x=-201.3, z=497-501, y=19-22), straddling two boundaries with no track body; no dQ/dx (STM skipped it as TGM) -- the TGM tag looks right to me, it is certainly not a stopping muon
282952	13	nu	junk	high	13-point 1.0 cm isolated blob at (185.5,-177.5,333); no steiner PC, no fit, nothing to judge
283009	23	nu	clean	med	vertex region at (-178,25,285): dense blob at 150-185 ke/cm (above the muon curve) 20 cm from the end plus a 12 cm horizontal stub at y=20, and a 250 cm MIP prong along +z exiting the downstream wall z=501; the last 20 cm of the low end sits at or below MIP, so it is a proton end not a muon Bragg (tagger says the same)
283229	6	STM	clean	med	172 cm track entering the anode x=201 at (67,207) and stopping at (86,-20,118) well inside; dQ/dx climbs along the muon curve to 165-185 ke/cm at rr<2 and a short low-charge spray hangs off the stopping end (Michel candidate); I disagree with the tagger's dQ/dx-eval reject (ks1=0.067 is only marginal); ctx: the fitted path itself reaches the anode, nothing grey continues past the stop
283463	14	nu	junk	med	two 5-10 cm clumps hugging the upstream wall z=1-14 at (-68,50) and (-63,42) joined by an L-shaped 40-point fit; dQ/dx is 30-55 ke/cm (BELOW the MIP line) at rr=0 with no Bragg, so the tagger's STM accept (ks1=0.188, r1=2.39) is fitting a fragment
283485	15	STM	clean	high	200 cm track entering the upstream wall z=1.3 at (-182,-181) and stopping at (-64,-49,94) well inside; clean Bragg along the muon curve to 140-170 ke/cm at rr<3 (ks1=0.041); only a small delta-ray spur mid-track
283529	12	STM	clean	high	65 cm track entering the anode plane x=-201.4 at (-44,270) and stopping at (-170,-16,223) with a short hook (Michel candidate); Bragg to 180-230 ke/cm at rr<1 following the muon curve (ks1=0.060)
48895	17	nu	cosmic-like	high	the STM tag is wrong: flat 50-55 ke/cm right down to rr=0, no Bragg (the high points sit at rr=25-30); upper end just stops mid-detector at (-165,-165,185) while the lower end crosses the bottom wall y=-199.7 at z=350 (owner's own comment on this bundle: "Not STM")
283581	1	nu	junk	high	a single 6-point 0.7 cm blob at (-150,-90,380) and nothing else; no steiner PC, no fit
283713	17	nu	unclear	low	480 cm nearly beam-parallel track crossing the downstream wall z=501 at (-117,94); the upstream end at z=25-40 is a messy multi-prong (a ~40 cm vertical piece plus a 22 cm transverse arm at 2.2 MIP) tipped by 200-265 ke/cm points ABOVE the muon curve, and dQ/dx dips to 10-30 ke/cm at rr=20-40 -- a reconstruction pathology, owner should look
283771	21	nu	cosmic-like	med	186 cm track crossing the downstream wall z=500 at (104,123); dQ/dx flat 45-60 ke/cm to rr=0 (a single 138 ke/cm point) so nothing stopped, and the upper end at (99,171,378) carries only a 10 cm transverse spur; a second near-parallel red streak in Y-Z suggests two overlapping tracks in the bundle
51865	11	nu	junk	high	19 drawn points in a 1.3 cm blob at (19,-124,347) with a few grey dots along a broken line; 109 pts over 87 cm = 1.2 pts/cm, no steiner PC, no track to judge
283817	14	STM	clean	high	118 cm smoothly curving track entering the upstream wall z=0.8 at (-68,64) and stopping at (-93,-8,86) well inside; textbook Bragg along the muon curve to 170 ke/cm at rr=0 (ks1=0.016), single prong
283839	16	STM	weak	med	only an 18 cm stub at (-155,-120,6)-(-147,-135,1) but every point is above the MIP line and rises smoothly to 160-190 ke/cm at rr=0 along the muon curve (ks1=0.010) = a stopping tail; it touches the upstream wall z=1.0 at a shallow angle (dz=5 cm over 18 cm) so the entry is grazing-ish, and a parallel grey track runs 3 cm away -- worth a human re-check
283905	4	STM	clean	high	113 cm nearly horizontal track (y=107-112) entering the anode plane x=-201.4 at (108,160) and stopping at (-133,112,246) with an end hook; clean Bragg to 155-290 ke/cm at rr<1 along the muon curve (ks1=0.027)
283969	22	STM	clean	high	383 cm track entering at the upstream-wall/top corner (-53,196,1.3) and stopping at (-176,58,337) well inside; Bragg to 210 ke/cm at rr<2 following the muon curve (ks1=0.024); dQ/dx collapse to 15-30 ke/cm in the last 15 cm at the entry end is just the wall-edge charge
284103	8	STM	clean	med	165 cm track entering the anode x=201.4 at (-105,338) and stopping at (161,33,268) with 100-165 ke/cm at rr<3 on the muon curve; a thin 12 cm arm hangs off the stopping end (the tagger's "extra tracks") and reads as a Michel rather than a proton stub -- the Michel/proton call is the one soft spot; ctx: the black path itself reaches the anode and no grey continues past the stop
284145	11	STM	clean	med	240 cm track entering the anode x=201 at (27,278) and stopping at (55,-22,440) inside, with a textbook Bragg to 170-185 ke/cm (ks1=0.017); the tagger's "extra tracks" reject comes from two pieces merged in AT the anode plane (a 55 cm arm and a 20 cm stub), both far from the stopping end; ctx: the fitted path (not just the fragments) reaches x=200, and no grey continues past (55,-22,440)
284200	6	nu	unclear	low	fragmented corner object: a charge fan at z=475-485 spanning y=-110..-135, a separate piece at the anode x=200, and a third at (172,-118,493-500) near the downstream wall; the fit's dQ/dx goes NEGATIVE to -215 ke/cm over rr=32-50, a clear pathology -- owner should look, certainly not a stopping muon
50787	6	nu	clean	high	vertex at (126,-106,497) just inside the downstream wall: a 3.4 cm stub toward the wall plus a 47 cm prong with a Bragg-ish end (175 ke/cm at rr<1); the wall contact is GRAZING (the track runs parallel to the wall, only 6 cm of z over 49 cm), not an entry, so it is not STM
284211	14	nu	weak	low	genuinely ambiguous: 160 cm strongly C-curved track from the anode plane x=-201.4 (174,457) to a contained end at (-174,29,469), with a ~45 deg kink at (-176,45,452) after which the last 22 cm sits at 2.6 MIP (120-150 ke/cm, about 2x the muon expectation at rr=5-25); reads as a proton-like stub plus a MIP prong to the anode rather than a muon Bragg, but a single low-momentum stopping muon is not excluded
284255	7	nu	junk	high	11-point 1.0 cm blob at (79,-49,334) plus 3 tiny fragments elsewhere; no steiner PC, no fit, nothing to judge
284367	4	STM	clean	high	43 cm track entering the upstream wall z=0.8 at (-78,48) and travelling +z to stop at (-77,73,36) inside; clean Bragg to 165-200 ke/cm at rr<1 on the muon curve (ks1=0.029), single prong
284637	23	nu	cosmic-like	low	39 cm track touching the anode plane at (-200.3,-94.5,441) with a 3 cm hook; the charge rise to 130-170 ke/cm sits at rr=0 which the fit places at that hook apex only 8 cm inside the anode (kink@12, exit_L=7.7 cm, 31 cm of leftover at 1.31 MIP beyond), i.e. at an interior kink, while the contained end (-171,-105,423) stays at 56 ke/cm -- kink artifact, nothing stops; agree with the reject
52723	7	nu	clean	high	vertex at (92,29,450): a very short stub spiking to 215-280 ke/cm (4-5 MIP, far ABOVE the muon curve = proton-like) plus an 8 cm arm to (91,33,457) and a 60 cm flat-MIP prong exiting the downstream wall z=500 along +z (beam direction); classic 51051-type nu topology
284657	5	nu	clean	med	3-way junction at (-42,85,428): a 70 cm prong crossing the downstream wall z=498 along +z, a 22 cm arm to (-62,78,442) and a 15 cm piece to (-53,76,415); dQ/dx only half-rises (100-135 ke/cm at rr=5-10) and its last points collapse to 0/negative, so there is no muon Bragg at the contained end
