# PDVD Michel candidates (doc pdvd/25 M5): STM-tagged bundles whose cosmic-tagger flags 6-8 fired; michel_E = kine_best (MeV) of the highest-energy shower at the main vertex
event	evtno	nu_index	main_cluster	stm	tgm	fc	fired	f7	f8	f7_filled	f8_filled	isFC	michel_E	michel_id	michel_len	michel_pdg	n_showers	n_at_main	mvx	mvy	mvz	kine_Enu
039252_2	298595	20	57	1	0	0	1	1.00	0.00	1.00	0.00	0.00	32.86	57004	10.42	11	2	2	-335.60	50.07	194.04	556.67
039349_10	19609	1	58	1	0	0	1	1.00	0.00	1.00	0.00	0.00		58051	1634.16	13	8	1	53.11	332.66	146.27	
039349_10	19609	20	45	1	0	0	1	1.00	0.00	1.00	0.00	0.00					0	0	182.50	-85.46	0.95	374.68
039349_13	19669	1	47	1	0	0	1	1.00	0.00	1.00	0.00	0.00	657.06	47020	285.21	13	5	4	70.80	201.40	12.96	1783.40
039349_18	19769	17	37	1	0	0	1	1.00	0.00	1.00	0.00	0.00					0	0	262.37	-269.07	159.64	596.08
039349_18	19769	31	44	1	0	0	1	1.00	0.00	1.00	0.00	0.00	0.00	44017	65.77	11	1	1	314.97	-193.29	40.20	391.59
039349_29	22797	14	45	1	0	0	1	1.00	0.00	1.00	0.00	0.00					0	0	273.92	-168.30	279.87	356.15
039349_34	22897	7	25	1	0	0	1	1.00	0.00	1.00	0.00	0.00					1	0	-229.43	-294.98	215.44	898.74
039349_35	22917	0	62	1	0	0	1	1.00	0.00	1.00	0.00	0.00	41.53	62034	21.49	11	6	2	259.08	184.28	7.83	956.41
039349_35	22917	3	26	1	0	0	1	1.00	0.00	1.00	0.00	0.00	510.34	26035	273.96	13	1	1	-250.88	-322.10	19.10	834.05
039349_36	22937	10	48	1	0	0	1	1.00	0.00	1.00	0.00	0.00	20.80	48004	7.51	11	2	2	291.91	-126.30	4.60	372.39
039349_38	22977	3	63	1	0	0	1	1.00	0.00	1.00	0.00	0.00					3	0	26.91	-173.29	41.74	2219.67
039349_52	23257	17	11	1	0	0	1	1.00	0.00	1.00	0.00	0.00					0	0	-333.53	39.23	217.16	493.42
039349_53	23277	3	61	1	0	0	1	1.00	0.00	1.00	0.00	0.00	34.90	61017	493.37	11	2	2	218.60	98.86	3.89	883.52
039349_55	23317	21	61	1	0	0	1	1.00	0.00	1.00	0.00	0.00					2	0	230.13	-262.70	293.22	545.86
039349_8	19569	10	40	1	0	0	1	1.00	0.00	1.00	0.00	0.00					0	0	123.31	-294.47	203.33	498.92
