# doc 61 sec 5d -- reconstruction/tagger pathologies the scan surfaced, served on :5012
# alongside the 62 claimed STM mistakes (scan-d59k/stm-disagreements.tsv).
# REPORTED, NOT FIXED.  class:
#   negative-dqdx      the STM dQ/dx fit returns NEGATIVE charge somewhere on the track
#                      (every row whose reason names it; excursions to -320 ke/cm)
#   dqdx-normalisation the WHOLE track sits 1.5-2x above the muon table with the correct
#                      SHAPE (mostly cathode-hugging / drift-parallel).  The scan had to
#                      invent a discriminator -- does the far end return to the 56 ke/cm
#                      MIP line? -- and it decides STM-vs-proton here.  NEEDS AN OWNER
#                      RULING: 281632/289343/386838/389962/409084 were called STM on it,
#                      59377/61313/63603/72828/168388/174488/285366/291345/404684 nu, and
#                      389544 is the counter-case (rises FASTER than a muon => proton).
#                      Curated by hand from the reason texts, not a regex.
#   upward-going-bragg near-bottom-wall objects whose Bragg forces an UPWARD-going muon:
#                      a real sub-population, or the fit mis-assigning which end exits
#   tgm-miss           both ends on boundaries (through-going) but tgm=0
#   cosmic-tag-in-beam an in-beam bundle that carries a TGM or LM tag.  These are NOT
#                      leaks: they are the one cosmic-tagged in-beam bundle of each of
#                      the 6 'mixed' events that sec 5a's keep rule retains on purpose
#                      (an event stays if ANY in-beam bundle is keepable).  Listed at the
#                      owner's request so the class can be eyeballed rather than trusted;
#                      all 6 are the complete class, not just the 3 the agents named.
#   tgm-miss-withdrawn the owner ruled the TGM tagger right: the object is MULTIPLE TRACKS,
#                      so 'both ends on boundaries' never meant one through-going particle
#   through-going-recheck  a 'nu' verdict whose REASON rests on a through-going reading while
#                      also naming a kink/tangle/prong.  The verdict stands (multi-track is
#                      still not a stopping muon); the cosmic-like QUALITY is what may be wrong
class	batch	event	main_id	flash_gid	t_us	len_cm	tagger	verdict	quality	conf	reason
negative-dqdx	batch2	56243	9	1000001	0.905	185.3	nu-candidate	nu	unclear	med	fit pathology: the dQ/dx panel carries a smooth arc of NEGATIVE values (0 to -40 ke/cm) over rr=25-55; at rr=0 the charge is only 25-70 ke/cm so no Bragg; topology is a kink at (136,-28,110) with one prong to the anode x=201 and two detached blobs at y=-28
negative-dqdx	batch2	170808	14	1000003	1.008	112.7	nu-candidate	nu	clean	med	3-prong vertex at about (175,44,388): a 20 cm arm to (168,36,373), a 45 cm arm crossing the anode plane at (201,9,374) and a 60 cm arm ending at (190,70,440); dQ/dx at rr=0 is only 55-92 ke/cm so there is no Bragg and no stopping muon. Also note the fit's dQ/dx dives NEGATIVE (-35 ke/cm) over rr=62-72 and two dense filled blobs sit on the prongs
negative-dqdx	batch2	175896	17	8	0.521	103.4	nu-candidate	nu	unclear	med	the dQ/dx fit returns NEGATIVE values (down to -250 ke/cm) over rr=5-25 and rr=60-80, i.e. unusable fit pathology; track crosses the downstream wall z=500.8 and carries several transverse charge sprays
negative-dqdx	batch2	278794	7	1000000	0.695	203.1	STM	STM	clean	high	enters the anode x=201.4 at (201,-25,43), runs 198 cm and stops at (64,-124,131) with a clean Bragg to 175-230 ke/cm (ks1=0.018); the dQ/dx curve goes pathological (negative) only in the last 40 cm near the anode end, which does not affect the stopping end
negative-dqdx	batch2	280598	15	5	0.882	112.8	nu-candidate	nu	unclear	med	not one object: a closed loop in X-Y around (-125,157,478) plus a dense horizontal band at y=164-166 running out to the downstream wall z=501; dQ/dx has 2 high points at rr<1 then dives through zero to NEGATIVE at rr=4-7 (fit pathology), so no usable stopping evidence
negative-dqdx	batch2	284200	6	1000001	1.165	103.0	nu-candidate	nu	unclear	low	fragmented corner object: a charge fan at z=475-485 spanning y=-110..-135, a separate piece at the anode x=200, and a third at (172,-118,493-500) near the downstream wall; the fit's dQ/dx goes NEGATIVE to -215 ke/cm over rr=32-50, a clear pathology -- owner should look, certainly not a stopping muon
negative-dqdx	batch2	284657	5	13	1.995	96.9	nu-candidate	nu	clean	med	3-way junction at (-42,85,428): a 70 cm prong crossing the downstream wall z=498 along +z, a 22 cm arm to (-62,78,442) and a 15 cm piece to (-53,76,415); dQ/dx only half-rises (100-135 ke/cm at rr=5-10) and its last points collapse to 0/negative, so there is no muon Bragg at the contained end
negative-dqdx	batch2	285443	7	3	1.105	178.9	STM	nu	unclear	med	disagree with the STM tag: dQ/dx is pathological (negative values over rr=15-40, 130-315 ke/cm spikes at rr=45-57) and the last 10 cm sit at 40-50 ke/cm, i.e. below MIP with no Bragg; track reaches the downstream wall z=500.8 but the cluster also holds a disconnected red blob at y=60-90,z=415-430
negative-dqdx	batch2	285929	13	2	0.855	282.8	nu-candidate	STM	unclear	low	283 cm cathode crosser entering the anode at x=-201.4 and ending at (11,51,225) with a steep rise to 200-300 ke/cm confined to the last 3 cm (above the muon curve, r1=1.2-1.6, so read as a Bragg overshoot rather than a 5-12 cm proton stub); but the fit has negative dQ/dx over rr=15-25 and the last 10 cm are the joined TPC1 piece past the cathode, so the Bragg may be a cathode-join artifact - tagger called it nu on the dQ/dx eval
negative-dqdx	batch2	286655	19	10	1.396	138.0	nu-candidate	nu	unclear	med	138 cm multi-kink object: prongs/kinks at (-45,49,32) and (-47,40,55), a blob at (-33,33,85) and a red band lying along the upstream wall z=1-7; dQ/dx is flat 35-72 ke/cm at rr<15 (no Bragg) and the fit oscillates to negative values twice, so nothing stops and the fit is unusable
