# doc 61 sec 5b -- batch 2: events 11-393 of the d59k scan set (393-event
# FC-cut set), scanned 2026-07-26 by 10 Claude sub-agents from the same
# evidence images the owner sees on :5011.  UNVALIDATED.
# verdict is STM|nu ONLY (a non-stopping-muon stays a neutrino candidate);
# quality = clean|weak|cosmic-like|junk|unclear qualifies it (doc 61 sec 1).
# t_us/len_cm/auto_label/flash_gid are joined from nusel-evt<ID>.tsv, not typed.
event	main_id	flash_gid	t_us	len_cm	auto_label	verdict	quality	conf	reason
54175	18	1	1.265	210.5	nu-candidate	nu	cosmic-like	high	no Bragg: last few cm sit at 20-70 ke/cm (below the 56 ke/cm MIP line) and the profile is flat MIP over 185 cm; enters the anode x=-201 at (y=155,z=182) and the far end just stops mid-detector at (-72,140,55) with a 13 cm hook -> truncated, not a stop
55583	8	9	1.959	17.6	nu-candidate	nu	junk	high	only 9 drawn points in a <1 cm blob at (-103,107,16) although the table claims len=17.6 cm; no steiner_pc so no dQ/dx panel at all; nothing physical to judge
55595	8	0	1.801	188.1	nu-candidate	nu	unclear	low	no convincing Bragg at either end: the inner end (x=-179,y=-50,z=193) has only 2 points at 120-150k then drops straight to MIP (ks1=0.09, nothing like the dense muon-curve train of evt48301), while the far end rises broadly over 30 cm to 100k exactly where the track flattens along the bottom wall = dx artifact, too broad for a Bragg; bottom end at y=-196.5 does cross (2.8 cm from the wall) but the 7 cm hook at the inner end reads vertex-like, so I cannot call the inner end a stop
55627	22	5	1.740	195.6	nu-candidate	nu	clean	med	185 cm flat-MIP prong entering the anode x=-201 plus a 14 cm stub that kinks back in z at (-80,60,182) at 2.63 MIP; dQ/dx spikes to 245 ke/cm at rr=0, well above the 165 ke/cm muon maximum -> proton-like vertex stub, not a muon Bragg
55715	15	6	1.547	87.6	nu-candidate	nu	clean	high	compact 3-prong star: vertex at (-43,-38,485) with a 12 cm prong up in y, a prong to (-52,-40,497) and a spray to (-33,-38,497); dQ/dx is bumpy with a 130 ke/cm plateau at rr=10-14 and 230 ke/cm at rr=0, nothing like the muon curve; sits at the downstream wall but is multi-prong from one point
56243	9	1000001	0.905	185.3	nu-candidate	nu	unclear	med	fit pathology: the dQ/dx panel carries a smooth arc of NEGATIVE values (0 to -40 ke/cm) over rr=25-55; at rr=0 the charge is only 25-70 ke/cm so no Bragg; topology is a kink at (136,-28,110) with one prong to the anode x=201 and two detached blobs at y=-28
56387	11	1000004	1.274	301.7	STM	STM	clean	high	enters the top wall y=198.3 at (175,250), dense Bragg following the muon curve from 175 ke/cm at rr=0 through 30 cm (ks1=0.023), stops well contained at (137,-60,382)
56463	12	6	1.185	213.3	STM	nu	cosmic-like	high	I disagree with the STM tag: the "stopping" end is the CATHODE at x=-3.3 and dQ/dx there is MIP-level 45-70 ke/cm, with the 120-148k bump 15-25 cm away from the end (res_L=16 cm); enters the top wall y=200 at (-122,168) and continues across the cathode -> truncated cathode crosser
57575	12	3	1.081	312.6	nu-candidate	nu	weak	med	single featureless 313 cm cathode crosser along the beam (dz=265 vs dy=76) exiting the downstream wall z=499; inner end at (-46,-5,234) is contained but shows only 90 ke/cm at rr=0 then flat MIP, so no Bragg and no vertex structure to point to either reading
57661	18	1000005	1.818	124.0	nu-candidate	STM	clean	med	dense Bragg train following the muon curve from 180 ke/cm at rr=0 over 30 cm, stopping end contained at (162,100,154); the other end crosses the top wall y=197.6; the tagger's "long leftover" rejection comes from a spurious 6 cm kink 2 cm below the wall - the 125 cm "leftover" IS the muon. ctx shows no charge continuing past the stopping end. Caveat: dz=19 cm over 124 cm (prolonged-W geometry)
58169	13	1000008	1.528	127.6	nu-candidate	nu	junk	high	only 13 drawn points in a 1 cm blob at (127,-141,31) although the table claims len=128 cm; no steiner_pc, no dQ/dx panel; nothing physical to judge
58211	7	1000003	1.615	43.2	nu-candidate	nu	junk	high	only 15 drawn points in a 1.5 cm blob at (188,87,402) although the table claims len=43 cm; no steiner_pc, no dQ/dx panel; nothing physical to judge
58343	16	1000006	1.365	237.1	STM	STM	clean	high	enters the anode x=201.2 at (y=146,z=409), dense Bragg train on the muon curve from 170 ke/cm at rr=0 over 25 cm (ks1=0.024), stops well contained at (118,-68,352)
58345	7	1000009	1.568	97.0	STM	STM	clean	med	enters the top wall y=200.0 at (91,128) and ends 48 cm later at (84,169,93); dQ/dx climbs off the MIP line over the last 6 cm to 110-113 ke/cm and the stopping end carries a wide charge splay in Y-Z = Michel candidate. Peak only ~2 MIP rather than 165 ke/cm, hence med
58653	4	4	1.698	132.0	nu-candidate	nu	cosmic-like	high	dead flat 45-65 ke/cm the whole 132 cm including rr=0, no Bragg at all; perfectly straight, enters the anode x=-201 at (79,145) and simply ends mid-detector at (-136,40,90) -> truncated through-going, not a stop
58667	6	1000011	0.850	7.6	nu-candidate	nu	cosmic-like	high	7 cm vertical stub hanging off the top wall y=199.9 at (80,469); all 10 fit points lie at 40-70 ke/cm = flat MIP with no rise, so nothing stopped - an entry fragment of a cosmic
58711	15	1000007	1.812	43.6	STM	nu	weak	low	20 cm stub whose long axis is x (dx=17.9) with only dz=7.2 and dy=7.4, i.e. it lies nearly IN the plane of the downstream wall - GRAZING it the way evt50787 does, not entering across it; the far end at z=493 is 7 cm from the wall (neither crossed nor safely contained) and the dQ/dx flat-tops at 96 ke/cm instead of reaching 165k, so no leg of the STM case holds. I disagree with the STM tag
58755	21	3	1.988	401.1	nu-candidate	nu	cosmic-like	high	401 cm near-vertical track crossing the bottom wall y=-198.7 and running to y=195.8 at the top, with dz=31 cm over 401 cm = prolonged-W geometry where truncation is the default reading; flat MIP over 390 cm and only 2 points at 165-170k at rr=0 (res_L=24 cm), so the top end is not a demonstrated stop -> through-going cosmic shape
59003	18	10	1.578	144.0	nu-candidate	nu	cosmic-like	med	the rr=0 end is the CATHODE at x=-0.5 and its 3 cm 140 ke/cm spike is the usual cathode-join pile-up, not a Bragg; the other end crosses the downstream wall z=500.3; nearly horizontal (dy=16 cm over 144 cm) -> truncated cathode crosser with the TPC1 half missing
59025	19	0	1.605	271.4	nu-candidate	nu	clean	high	82 deg V at (-163,-26,132): a 265 cm prong stopping contained at (56,44,251) with a textbook Bragg (180 ke/cm, dense train on the muon curve) plus a 104 cm near-horizontal MIP prong reaching the anode x=-201; a muon cannot scatter 82 deg with 265 cm of range left, so the stopping muon starts at an interior vertex -> nu, not STM
59063	14	2	1.413	52.1	STM	nu	unclear	low	no Bragg anywhere: dQ/dx scatters 5-133 ke/cm point to point over the last 10 cm and sits at 55-75k where the muon would stop; the 52 cm arm runs almost purely along the drift direction (dz=8 cm, dy=10 cm) so dx is unreliable; enters the anode x=-201 and ends in a straight dense 10 cm prong perpendicular to it at (-150,0,303), which reads as a 2-prong junction rather than a Michel; I disagree with the STM tag
59085	3	6	1.778	35.8	nu-candidate	STM	clean	med	textbook Bragg: smooth 8-point train from 196 ke/cm at rr=0 down the muon curve, stopping contained at (-10,185,49); the other end crosses the top wall y=199.9 at z=72. The tagger's nu-candidate label is an artifact - it kinked out 3.3 cm below the wall and called the muon a 25.9 cm leftover with a degenerate ks=0.000 (only 5 peak points). ctx shows an isolated object with no charge past the stop; extra blob at (z=54,y=192) = delta/Michel
59179	15	5	1.213	169.7	nu-candidate	nu	clean	high	vertex at (-81,10,184): a 19 cm stub whose dQ/dx spikes to 253 ke/cm at rr=0 and holds a 110-130 ke/cm plateau out to rr=22 - far above the 165 ke/cm muon maximum, so proton-like - plus a 150 cm flat-MIP prong reaching the anode x=-201; the tagger's "long leftover" rejection is right for the wrong reason
59371	8	1000002	1.548	152.9	nu-candidate	nu	clean	med	two prongs from one point at (47,130,21): a 101 cm flat-MIP prong up to the top wall y=200.0 and a separate 23 cm near-horizontal prong along +z; dQ/dx has a single 230 ke/cm point at rr=0 (4 MIP, above the muon maximum) and then flat 40-60k, i.e. vertex activity rather than a Bragg train
59377	7	3	1.584	76.2	STM	nu	unclear	med	I disagree with the STM tag: EVERY point sits 1.6-2x above the muon expectation (310 ke/cm at rr=0, still 110-150k at rr=10-25), i.e. a heavily-ionizing/proton-like profile, not a muon losing energy; the tagger's ks1=0.010 is shape-only and its own r1=0.51/r2=0.37 flag the factor 2. Note the excess ratio is FLAT (1.85 at rr=0.3, 1.97 at rr=5, 1.90 at rr=10, 1.83 at rr=26), which a uniform dx/normalization error would also produce - so this one is less securely proton than evt61313. Caveat: the 27 cm track is isochronous (x fixed at -143+-2) and touches the upstream wall z=2.9, so an inflated dx is the alternative reading
59459	20	1000000	1.059	367.1	STM	STM	clean	high	enters the upstream wall z=1.3 at (x=1,y=28) - a beam-direction rock muon - runs 367 cm and stops contained at (137,122,329) with a dense textbook Bragg from 175 ke/cm down the muon curve (ks1=0.017); ctx shows no charge continuing past the stopping end
59663	1	9	0.564	1.3	nu-candidate	nu	junk	high	17 drawn points in a <1 cm blob at (-70,-193,491), table len=1.3 cm; no steiner_pc, no dQ/dx panel; nothing to judge
