# doc 61 sec 5c -- the STM tagger mistakes the hand scan claims, served on :5012.
# direction: misidentified = tagger tagged STM, scan says not a stopping muon;
#            missed        = tagger left it untagged, scan says it IS a stopping muon.
# UNVALIDATED -- this file is the list to check, not a result.
direction	batch	event	main_id	flash_gid	t_us	len_cm	tagger	verdict	quality	conf	reason
misidentified	batch1	48895	17	4	1.442	235.5	STM	nu	cosmic-like	high	the STM tag is wrong here: flat 50-55 ke/cm right down to rr=0, no Bragg; upper end just stops mid-detector, lower end exits the bottom wall. (Owner's own comment on this bundle: "Not STM")
misidentified	batch2	56463	12	6	1.185	213.3	STM	nu	cosmic-like	high	I disagree with the STM tag: the "stopping" end is the CATHODE at x=-3.3 and dQ/dx there is MIP-level 45-70 ke/cm, with the 120-148k bump 15-25 cm away from the end (res_L=16 cm); enters the top wall y=200 at (-122,168) and continues across the cathode -> truncated cathode crosser
misidentified	batch2	58711	15	1000007	1.812	43.6	STM	nu	weak	low	20 cm stub whose long axis is x (dx=17.9) with only dz=7.2 and dy=7.4, i.e. it lies nearly IN the plane of the downstream wall - GRAZING it the way evt50787 does, not entering across it; the far end at z=493 is 7 cm from the wall (neither crossed nor safely contained) and the dQ/dx flat-tops at 96 ke/cm instead of reaching 165k, so no leg of the STM case holds. I disagree with the STM tag
misidentified	batch2	59063	14	2	1.413	52.1	STM	nu	unclear	low	no Bragg anywhere: dQ/dx scatters 5-133 ke/cm point to point over the last 10 cm and sits at 55-75k where the muon would stop; the 52 cm arm runs almost purely along the drift direction (dz=8 cm, dy=10 cm) so dx is unreliable; enters the anode x=-201 and ends in a straight dense 10 cm prong perpendicular to it at (-150,0,303), which reads as a 2-prong junction rather than a Michel; I disagree with the STM tag
misidentified	batch2	59377	7	3	1.584	76.2	STM	nu	unclear	med	I disagree with the STM tag: EVERY point sits 1.6-2x above the muon expectation (310 ke/cm at rr=0, still 110-150k at rr=10-25), i.e. a heavily-ionizing/proton-like profile, not a muon losing energy; the tagger's ks1=0.010 is shape-only and its own r1=0.51/r2=0.37 flag the factor 2. Note the excess ratio is FLAT (1.85 at rr=0.3, 1.97 at rr=5, 1.90 at rr=10, 1.83 at rr=26), which a uniform dx/normalization error would also produce - so this one is less securely proton than evt61313. Caveat: the 27 cm track is isochronous (x fixed at -143+-2) and touches the upstream wall z=2.9, so an inflated dx is the alternative reading
misidentified	batch2	61313	18	6	0.942	39.6	STM	nu	unclear	med	I disagree with the STM tag: the whole 40 cm sits 1.7-2.1x above the muon expectation (283 ke/cm at rr=0, 150k at rr=10, 120k at rr=35) and the excess GROWS with residual range (1.7 -> 1.9 -> 2.0 -> 2.1), which a uniform dx error cannot produce - a ~250 MeV proton can; the tagger's ks1=0.041 is shape-only and its own r1=0.54/r2=0.41 flag the factor 2. Odd either way - a bare heavily-ionizing 40 cm track hanging off the anode plane x=-201.4 with no second prong; an inflated dx is the alternative reading
misidentified	batch2	62473	12	1	0.587	64.4	STM	nu	unclear	low	17 cm hook hugging the anode: x only -201 to -193 while dz=17 cm, so the anode contact is grazing, not a traverse; only 38 fit points with dQ/dx scattered 34-185 ke/cm whose maximum sits at rr=7 cm and points at rr<2 span 34-117 ke/cm -- no clean Bragg, so I disagree with the STM tag
misidentified	batch2	72586	17	3	1.175	301.6	STM	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 40-60 ke/cm right down to rr=0 with no Bragg, and the claimed stopping end is the CATHODE (x=-2.3 cm, 0 TPC1 points in the fit) so this 302 cm track is simply cut there; the other end exits the bottom wall y=-199
misidentified	batch2	72828	7	0	1.243	11.8	STM	nu	unclear	low	12 cm object touching the anode x=-201 in the bottom corner; dQ/dx is 160-256 ke/cm over the whole 10 cm, 2-4x ABOVE the muon expectation, so this is not a muon at all - the STM accept off 17 fit points (r1=0.54) looks wrong. Too short to read topology
misidentified	batch2	168388	6	5	1.453	12.7	STM	nu	unclear	low	12 cm stub from the upstream wall (-184,28,1.3) to (-177,32,11); all 22 fit points sit at 130-275 ke/cm, 2-2.5x ABOVE the muon expectation over the whole length and never approach it, so this is not a muon - the STM accept looks like the same short-stub-at-a-wall failure mode as evt72828
