scan_id	key	shown_arm	vol	latest_key	prod_key	guard	record_verdicts
1	039349_7/62	p98vonq	top	039349_7/62	039349_7/63	latest (p98vonq 039349_7/62 -> p99rwon): the edge guard rejects it, stop at tick 6355.2, 44.8 ticks before the frame end | production (p96vprod 039349_7/63 -> p99wflip): the edge guard rejects it, stop at tick 6357.4, 42.6 ticks before the frame end	latest 039349_7/62: STM_ONLY (high) | smx 039349_7/63: STM_ONLY (high)
2	039349_7/67	p98vonq	top	039349_7/67		latest (p98vonq 039349_7/67 -> p99rwon): the edge guard rejects it, stop at tick 6352.3, 47.7 ticks before the frame end	latest 039349_7/67: STM_ONLY (medium) | sw99 039349_7/67: STM_ONLY (medium)
3	039349_18/46	p98vonq	top	039349_18/46	039349_18/46	latest (p98vonq 039349_18/46 -> p99rwon): the edge guard rejects it, stop at tick 6355.8, 44.2 ticks before the frame end | production (p96vprod 039349_18/46 -> p99wflip): the edge guard rejects it, stop at tick 6356.7, 43.3 ticks before the frame end	
4	039349_22/51	p98vonq	top	039349_22/51		latest (p98vonq 039349_22/51 -> p99rwon): the edge guard rejects it, stop at tick 6349.8, 50.2 ticks before the frame end	latest 039349_22/51: THRU (medium) | sw99 039349_22/51: THRU (medium)
5	039349_26/23	p98vonq	bottom	039349_26/23		latest (p98vonq 039349_26/23 -> p99rwon): the edge guard rejects it, stop at tick 6371.1, 28.9 ticks before the frame end	latest 039349_26/23: THRU (high) | sw99 039349_26/23: THRU (high)
6	039349_32/48	p98vonq	top	039349_32/48		latest (p98vonq 039349_32/48 -> p99rwon): no guard line -- it stopped being a candidate another way (its event's flash match moved)	latest 039349_32/48: THRU (medium) | sw99 039349_32/48: THRU (medium)
7	039349_40/48	p98vonq	top	039349_40/48		latest (p98vonq 039349_40/48 -> p99rwon): the edge guard rejects it, stop at tick 6344.5, 55.5 ticks before the frame end	latest 039349_40/48: UNCLEAR (low) | sw99 039349_40/48: UNCLEAR (low)
8	039349_47/57	p96vprod	top		039349_47/57	production (p96vprod 039349_47/57 -> p99wflip): the edge guard rejects it, stop at tick 6387.9, 12.1 ticks before the frame end	smx 039349_47/57: STM_ONLY (high)
9	039349_48/21	p96vprod	bottom		039349_48/21	production (p96vprod 039349_48/21 -> p99wflip): the edge guard rejects it, stop at tick 6365.8, 34.2 ticks before the frame end	smx 039349_48/21: STM_MICHEL (owner)
10	039349_54/20	p98vonq	bottom	039349_54/20		latest (p98vonq 039349_54/20 -> p99rwon): the edge guard rejects it, stop at tick 6355.0, 45.0 ticks before the frame end	latest 039349_54/20: THRU (medium) | sw99 039349_54/20: THRU (high)
11	039349_59/14	p96vprod	bottom		039349_59/14	production (p96vprod 039349_59/14 -> p99wflip): the edge guard rejects it, stop at tick 6379.9, 20.1 ticks before the frame end	smx 039349_59/14: THRU (medium)
12	039349_64/65	p96vprod	top		039349_64/65	production (p96vprod 039349_64/65 -> p99wflip): the edge guard rejects it, stop at tick 6346.2, 53.8 ticks before the frame end	smx 039349_64/65: STM_MICHEL (low)
13	039349_67/35	p98vonq	bottom	039349_67/35	039349_67/37	latest (p98vonq 039349_67/35 -> p99rwon): the edge guard rejects it, stop at tick 6359.8, 40.2 ticks before the frame end | production (p96vprod 039349_67/37 -> p99wflip): the edge guard rejects it, stop at tick 6359.8, 40.2 ticks before the frame end	latest 039349_67/35: STM_ONLY (high) | smx 039349_67/37: STM_ONLY (high)
14	039349_69/44	p98vonq	top	039349_69/44		latest (p98vonq 039349_69/44 -> p99rwon): the edge guard rejects it, stop at tick 6373.0, 27.0 ticks before the frame end	latest 039349_69/44: UNCLEAR (medium) | sw99 039349_69/44: UNCLEAR (medium)
15	039349_72/9	p98vonq	bottom	039349_72/9	039349_72/11	latest (p98vonq 039349_72/9 -> p99rwon): the edge guard rejects it, stop at tick 6354.3, 45.7 ticks before the frame end | production (p96vprod 039349_72/11 -> p99wflip): the edge guard rejects it, stop at tick 6354.3, 45.7 ticks before the frame end	latest 039349_72/9: STM_MICHEL (owner) | smx 039349_72/11: STM_MICHEL (owner)
16	039349_75/63	p98vonq	top	039349_75/63		latest (p98vonq 039349_75/63 -> p99rwon): the edge guard rejects it, stop at tick 6364.4, 35.6 ticks before the frame end	latest 039349_75/63: STM_ONLY (medium) | sw99 039349_75/63: STM_ONLY (medium)
17	039349_76/31	p98vonq	bottom	039349_76/31	039349_76/25	latest (p98vonq 039349_76/31 -> p99rwon): the edge guard rejects it, stop at tick 6361.3, 38.7 ticks before the frame end | production (p96vprod 039349_76/25 -> p99wflip): the edge guard rejects it, stop at tick 6361.3, 38.7 ticks before the frame end	latest 039349_76/31: THRU (owner) | smx 039349_76/25: THRU (owner)
18	039349_81/41	p96vprod	top		039349_81/41	production (p96vprod 039349_81/41 -> p99wflip): the edge guard rejects it, stop at tick 6356.0, 44.0 ticks before the frame end	smx 039349_81/41: STM_MICHEL (medium)
19	039349_82/52	p98vonq	top	039349_82/52	039349_82/52	latest (p98vonq 039349_82/52 -> p99rwon): the edge guard rejects it, stop at tick 6378.6, 21.4 ticks before the frame end | production (p96vprod 039349_82/52 -> p99wflip): the edge guard rejects it, stop at tick 6376.7, 23.3 ticks before the frame end	latest 039349_82/52: STM_ONLY (high) | smx 039349_82/52: STM_ONLY (high)
