arm	evt	cid	run	subrun	stm	tgm	fc	label	length	ex	ey	ez	sx	sy	sz	chord	cos_y	rejected
work-mcp1k-d94probe	48301	13	18255	1	1	0	0	STM	130.4	-47.5	-92.3	2.7	-93.8	-69.3	93.3	104.3	0.22	0
work-mcp1k-d94probe	48895	17	18255	1	0	0	0	nu-candidate	235.5	-149.8	-199.2	349.3	-165.4	-165.7	185.5	167.9	0.2	0
work-mcp1k-d94probe	50765	15	18255	1	1	0	0	STM	300.7	-59.4	-65.3	1.9	11.4	-189.1	234.9	273.2	-0.453	0
work-mcp1k-d94probe	50787	6	18255	1	1	0	0	STM	48.9	125.1	-103.8	499.9	148.2	-145.0	494.2	47.6	-0.867	0
work-mcp1k-d94probe	52613	2	18255	1	1	0	0	STM	140.2	-201.2	71.1	398.9	-189.7	78.2	401.8	13.8	0.511	0
work-mcp1k-d94probe	56387	11	18255	1	1	0	0	STM	301.7	174.8	197.6	251.1	137.5	-59.5	381.7	290.8	-0.884	0
work-mcp1k-d94probe	58343	16	18255	1	1	0	0	STM	237.1	201.0	146.2	409.5	118.6	-67.5	352.2	236.2	-0.905	0
work-mcp1k-d94probe	58711	15	18255	1	1	0	0	STM	43.6	98.1	158.2	500.1	114.3	151.3	493.9	18.7	-0.37	0
work-mcp1k-d94probe	58755	21	18255	1	1	0	0	STM	401.1	-70.0	-197.9	197.4	-21.7	195.3	226.8	397.3	0.99	0
work-mcp1k-d94probe	59063	14	18255	1	1	0	0	STM	52.1	-200.4	-1.0	308.0	-150.1	4.1	302.7	50.8	0.101	0
work-mcp1k-d94probe	59377	7	18255	1	1	0	0	STM	76.2	-141.9	-102.4	3.3	-145.1	-91.1	26.2	25.8	0.441	0
work-mcp1k-d94probe	59459	20	18255	1	1	0	0	STM	367.1	1.2	28.8	1.6	136.3	122.4	329.0	366.3	0.255	0
work-mcp1k-d94probe	59723	13	18255	1	1	0	0	STM	158.0	-95.0	199.2	171.5	-106.5	102.8	158.1	98.0	-0.984	0
work-mcp1k-d94probe	59863	15	18255	1	1	0	0	STM	210.5	111.4	84.8	0.6	75.3	112.6	186.6	191.5	0.145	0
work-mcp1k-d94probe	60559	19	?	?	?	?	?	?	0.0	-138.1	161.5	0.8	-178.9	56.0	36.4	118.6	-0.89	0
work-mcp1k-d94probe	61093	6	18255	1	1	0	0	STM	31.6	-61.8	99.2	1.0	-45.8	87.6	17.9	26.0	-0.447	0
work-mcp1k-d94probe	61313	18	18255	1	1	0	0	STM	39.6	-201.4	77.8	126.4	-186.4	53.4	152.7	38.9	-0.627	0
work-mcp1k-d94probe	61997	12	18255	1	1	0	0	STM	123.0	184.6	156.6	0.0	76.9	34.2	61.5	174.2	-0.702	0
work-mcp1k-d94probe	62019	9	18255	1	1	0	0	STM	119.9	-121.3	199.6	431.2	-103.1	133.3	444.5	70.0	-0.947	0
work-mcp1k-d94probe	62303	12	18255	1	1	0	0	STM	97.6	93.6	-88.6	0.4	114.5	-74.5	91.0	94.1	0.15	0
work-mcp1k-d94probe	62473	12	18255	1	1	0	0	STM	64.4	-201.2	-15.3	353.2	-193.7	-22.1	363.6	14.5	-0.471	0
work-mcp1k-d94probe	62613	17	18255	1	0	0	0	nu-candidate	301.4	182.4	103.2	0.1	196.7	-129.1	159.5	282.1	-0.823	0
work-mcp1k-d94probe	62943	24	18255	1	1	0	0	STM	74.3	-200.6	-54.4	227.3	-131.1	-33.7	234.5	72.8	0.284	0
work-mcp1k-d94probe	62979	11	18255	1	1	0	0	STM	152.5	201.4	26.2	397.0	82.7	108.2	446.0	152.3	0.538	0
work-mcp1k-d94probe	63515	1	18255	1	1	0	0	STM	81.9	-182.5	-140.5	1.1	-191.6	-145.1	81.4	81.0	-0.056	0
work-mcp1k-d94probe	64475	23	18255	1	1	0	0	STM	340.4	-201.4	-138.0	270.2	-123.8	-152.5	27.5	255.2	-0.057	0
work-mcp1k-d94probe	65053	13	18255	1	1	0	0	STM	168.9	14.8	-135.6	1.6	-28.7	-163.7	135.1	143.2	-0.197	0
work-mcp1k-d94probe	65289	13	18255	1	1	0	0	STM	186.6	68.0	199.7	349.3	-125.5	89.2	428.1	236.3	-0.467	0
work-mcp1k-d94probe	65647	12	18255	1	1	0	0	STM	149.4	-194.8	147.8	318.6	-69.4	124.3	393.8	148.1	-0.159	0
work-mcp1k-d94probe	66329	2	18255	1	1	0	0	STM	42.0	-201.4	122.3	93.6	-176.5	146.5	71.8	41.0	0.592	0
work-mcp1k-d94probe	66624	4	18259	1	1	0	0	STM	135.5	-100.2	199.5	186.5	-85.8	71.4	204.9	130.3	-0.984	0
work-mcp1k-d94probe	66822	13	18259	1	1	0	0	STM	254.7	-110.4	133.7	1.0	-94.5	80.7	248.6	253.7	-0.209	0
work-mcp1k-d94probe	68054	18	18259	1	1	0	0	STM	74.1	6.1	-124.6	1.4	-23.5	-111.3	66.2	72.5	0.184	0
work-mcp1k-d94probe	68054	24	?	?	?	?	?	?	0.0	20.5	-197.1	178.7	12.7	-191.1	181.3	10.2	0.588	0
work-mcp1k-d94probe	68956	13	18259	1	1	0	0	STM	468.1	84.8	-198.5	41.4	164.2	42.4	373.9	418.1	0.576	0
work-mcp1k-d94probe	69066	3	18259	1	1	0	0	STM	130.6	-201.1	109.9	338.5	-136.0	163.2	399.2	103.8	0.514	0
work-mcp1k-d94probe	71486	6	18259	1	1	0	0	STM	232.0	-201.1	96.3	108.1	-24.2	128.6	220.7	212.2	0.152	0
work-mcp1k-d94probe	71530	15	18259	1	1	0	0	STM	66.9	-200.8	52.4	280.0	-170.7	48.6	297.2	34.8	-0.109	0
work-mcp1k-d94probe	167200	16	18259	1	1	0	0	STM	58.1	96.5	-47.9	0.1	113.2	-34.7	40.3	45.5	0.289	0
work-mcp1k-d94probe	167398	3	18259	1	1	0	0	STM	180.6	-201.2	-59.4	281.9	-103.6	-133.6	410.3	177.5	-0.418	0
work-mcp1k-d94probe	168388	6	18259	1	1	0	0	STM	12.7	-183.4	28.1	1.0	-177.3	31.6	11.1	12.2	0.281	0
work-mcp1k-d94probe	168432	22	?	?	?	?	?	?	0.0	-109.2	-198.6	500.2	-97.2	-173.4	454.5	53.6	0.47	0
work-mcp1k-d94probe	169356	23	?	?	?	?	?	?	0.0	98.7	199.2	157.3	90.9	189.4	148.8	15.1	-0.645	0
work-mcp1k-d94probe	169736	15	18259	1	1	0	0	STM	70.4	12.0	29.1	1.5	-17.2	20.1	63.1	68.8	-0.132	0
work-mcp1k-d94probe	171050	4	18259	1	1	0	0	STM	134.1	-144.6	112.9	1.2	-150.3	131.5	101.1	101.9	0.183	0
work-mcp1k-d94probe	171116	14	18259	1	1	0	0	STM	74.0	200.8	99.2	66.8	189.1	90.5	65.2	14.7	-0.593	0
work-mcp1k-d94probe	172552	3	18259	1	1	0	0	STM	92.4	-148.2	-32.8	1.1	-145.7	-2.2	87.3	91.5	0.334	0
work-mcp1k-d94probe	172596	15	18259	1	1	0	0	STM	59.2	-14.3	194.2	3.4	-37.7	179.5	10.9	28.5	-0.514	0
work-mcp1k-d94probe	172788	26	18259	1	0	0	0	nu-candidate	340.8	201.4	100.1	460.4	161.0	-146.1	331.2	281.0	-0.876	0
work-mcp1k-d94probe	174422	13	18259	1	1	0	0	STM	385.4	-82.6	-73.9	1.4	73.2	-129.4	348.8	384.8	-0.144	0
work-mcp1k-d94probe	174488	3	18259	1	1	0	0	STM	16.4	-113.3	-16.9	0.8	-118.0	-14.8	15.9	15.9	0.132	0
work-mcp1k-d94probe	174642	9	18259	1	1	0	0	STM	350.3	-12.2	186.8	2.0	-95.9	129.6	335.2	348.3	-0.164	0
work-mcp1k-d94probe	175428	17	18259	1	1	0	0	STM	121.2	-37.0	199.8	456.7	-38.6	180.7	492.3	40.4	-0.471	0
work-mcp1k-d94probe	176022	9	18259	1	1	0	0	STM	254.6	36.0	-1.9	1.9	185.5	22.4	205.9	254.1	0.096	0
work-mcp1k-d94probe	176160	10	18259	1	1	0	0	STM	126.2	71.7	199.8	210.0	137.0	144.0	293.6	119.8	-0.466	0
work-mcp1k-d94probe	277958	13	18255	1	1	0	0	STM	34.2	32.0	-88.3	1.4	31.7	-99.8	21.6	23.2	-0.493	0
work-mcp1k-d94probe	278640	17	18255	1	0	0	0	nu-candidate	130.3	8.6	-73.9	2.7	-73.9	-80.2	102.2	129.4	-0.049	0
work-mcp1k-d94probe	278662	1	18255	1	1	0	0	STM	269.0	-140.1	-199.1	308.6	-171.9	-83.4	99.2	241.4	0.479	0
work-mcp1k-d94probe	278684	20	?	?	?	?	?	?	0.0	22.2	60.2	1.0	16.5	82.3	56.6	60.0	0.367	0
work-mcp1k-d94probe	280092	6	18255	1	1	0	0	STM	49.2	144.9	-198.8	22.1	130.5	-189.9	40.7	25.2	0.355	0
work-mcp1k-d94probe	280281	14	18255	1	1	0	0	STM	53.1	-41.3	-131.7	497.7	-41.0	-176.2	470.8	52.0	-0.856	0
work-mcp1k-d94probe	281095	20	18255	1	1	0	0	STM	454.8	-70.1	-12.3	3.2	44.2	10.3	441.2	453.2	0.05	0
work-mcp1k-d94probe	281148	13	18255	1	1	0	0	STM	46.2	-11.9	124.3	1.0	-2.0	117.0	30.5	31.9	-0.226	0
work-mcp1k-d94probe	281241	10	18255	1	1	0	0	STM	182.3	5.0	157.6	0.8	-40.9	192.3	172.7	181.3	0.192	0
work-mcp1k-d94probe	281551	1	18255	1	1	0	0	STM	17.6	-166.3	199.5	186.8	-160.5	183.1	186.6	17.5	-0.943	0
work-mcp1k-d94probe	281632	8	18255	1	1	0	0	STM	54.5	-63.4	197.9	1.0	-50.4	178.6	41.7	46.8	-0.412	0
work-mcp1k-d94probe	281857	19	18255	1	1	0	0	STM	111.5	-96.3	-143.3	1.1	-129.2	-179.7	99.9	110.4	-0.33	0
work-mcp1k-d94probe	281953	10	18255	1	0	0	0	nu-candidate	82.2	194.4	199.7	181.5	195.4	120.5	176.9	79.3	-0.998	0
work-mcp1k-d94probe	282033	13	18255	1	1	0	0	STM	180.3	176.6	199.6	44.8	177.6	20.6	34.3	179.3	-0.998	0
work-mcp1k-d94probe	282459	10	18255	1	0	0	0	nu-candidate	106.8	201.4	156.8	159.1	153.0	184.8	89.4	89.3	0.314	0
work-mcp1k-d94probe	282715	14	18255	1	1	0	0	STM	501.2	7.8	-68.0	497.6	139.8	185.3	85.3	501.6	0.505	0
work-mcp1k-d94probe	283009	23	18255	1	0	0	0	nu-candidate	315.2	-153.9	133.8	500.0	-179.5	28.9	282.0	243.3	-0.431	0
work-mcp1k-d94probe	283485	15	18255	1	1	0	0	STM	200.4	-182.1	-181.7	0.9	-66.5	-50.4	93.3	197.8	0.664	0
work-mcp1k-d94probe	283529	12	18255	1	1	0	0	STM	120.5	-201.4	-44.2	269.5	-170.2	-16.5	222.9	62.5	0.443	0
work-mcp1k-d94probe	283817	14	18255	1	1	0	0	STM	165.2	-68.5	63.9	0.9	-91.6	-7.4	85.8	113.2	-0.629	0
work-mcp1k-d94probe	283839	16	18255	1	1	0	0	STM	49.1	-147.3	-134.6	0.9	-154.8	-120.5	5.6	16.6	0.846	0
work-mcp1k-d94probe	283905	4	18255	1	0	0	0	nu-candidate	109.7	-201.4	108.7	160.5	-133.8	110.9	246.0	109.0	0.02	0
work-mcp1k-d94probe	283969	22	18255	1	1	0	0	STM	383.0	-53.5	195.3	1.2	-175.5	58.8	336.9	382.4	-0.357	0
