sample	run	subrun	event	kind	class	numu_A	numu_B	Enu_base	Enu_hits	dvtx_cm	main_jacc	input_jacc	npts_in_A	npts_in_B	onlyA	onlyB	vias	mainlen_base	mainlen_hits	flash_base	flash_hits	dt01_base	dt01_hits	paired_base	paired_hits	vmoved_base	vmoved_hits	nt_base	nt_hits	vdef_base	vdef_hits	vtx_base	vtx_hits	pid_base	pid_hits	beamfl_base	beamfl_hits	bdt_changed
r3cv	713	8	29	GAINED	PR-only	-0.7462	1.5852	2078.6	1547.9	1.3	1.0	1.0	13253	13253	0	0		74.9	74.9	0.2259/30451.7/tpc1	0.2348/30507.3/tpc1			0	0	0	0	40	40	0	0	68.2,190.1,241.5	68.0,191.2,240.8	pi142 pi73 mu19 e200 e959 p272 e17 p3 e1	pi162 pi40 e62 e1004 mu28 mu7 mu1	tpc1:0.226/30452/g1000004	tpc1:0.235/30507/g1000009	ssm_312,shw_sp_165,br88,mip44,tro32,stw20,lol20,vis15,cosmict_13,spt12,numu_cc_12,sig11,stem9,anc9,mgt_8,hol8,mgo_6,lem5,cme4,nu_3,gap3,pio3,numu_2,sel_1,nue_1
r3cv	713	13	2	GAINED	QL-main	-999.0	2.8621	0.0	385.7		0.0	0.0	0	830	0	830	main1	0.0	35.7		1.6225/4894.5/tpc1		1092	0	0		0		4		0		88.1,57.9,469.9		p92 mu99 e81	tpc0:0.523/867/g7	tpc0:0.530/860/g7;tpc1:1.622/4894/g1000010	
r3cv	713	23	35	LOST	fragment	3.2608	-0.2333	926.5	718.4	2.5	1.0	0.995	2527	2514	13	0	own1	285.3	285.3	1.0219/10846.5/tpc0	1.0304/10851.4/tpc0	4	2	1	1	0	1	4	10	0	0	1.4,187.4,271.8	0.4,186.6,269.7	p3 p187 e1 e0 mu613	mu0 mu613	tpc0:1.022/10847/g9;tpc1:1.018/1983/g9	tpc0:1.030/10851/g13;tpc1:1.028/1982/g13	numu_cc_15,cosmict_11,nu_3,numu_3,neutrino_1,sel_1,vertex_1
r3cv	713	23	49	LOST	PR-only	0.9053	0.6305	1228.8	1228.5	0.0	1.0	1.0	2884	2884	0	0		98.5	98.5	1.3670/18678.7/tpc0	1.3768/18719.1/tpc0	4	5	1	1	0	0	4	4	0	0	-67.2,-80.6,441.1	-67.2,-80.6,441.1	pi80 mu98 pi156 e129 e14 e6 e0 e2 e0 e1 e1 e1 e2 e1 e3 p2 p3 e29 p308	pi80 mu97 pi156 e129 e14 e6 e0 e2 e0 e1 e1 e1 e2 e1 e3 p2 p3 e29 p308	tpc0:1.367/18679/g0;tpc1:1.371/389/g0	tpc0:1.377/18719/g7;tpc1:1.381/382/g7	ssm_217,cosmict_8,numu_cc_6,nu_3,numu_2
r3cv	713	30	1	LOST	PR-only	1.7829	0.8512	733.1	728.4	0.0	1.0	1.0	2656	2656	0	0		221.7	221.7	1.6232/18610.9/tpc0	1.6273/21170.2/tpc0			0	0	0	0	6	10	0	0	-117.9,112.7,113.2	-117.9,112.7,113.2	mu511 e59 e1 e1 e2 e1 e2 e2 e3 e2 e1 e1 e1 e1 e39	mu504 e28 e64 e9 e1 e1 e2 e1 e2 e2 e3 e2 e1 e1 e1 e1	tpc0:1.623/18611/g0	tpc0:1.627/21170/g13	numu_cc_13,shw_sp_8,cosmict_7,numu_2,neutrino_1
r3cv	713	31	7	GAINED	QL-main	-999.0	4.5374	0.0	836.7		0.0	0.0	0	1946	0	1946	main1,own1	0.0	204.1		0.3460/21370.0/tpc1			0	0		0		4		0		147.1,3.1,334.7		mu477 p96 p140		tpc1:0.346/21370/g1000009	
r3cv	713	50	21	LOST	PR-only	1.8686	0.7732	1914.1	2016.1	0.2	1.0	1.0	7633	7633	0	0		227.0	227.0	1.6161/40286.1/tpc0	1.6180/40370.0/tpc0			0	0	0	0	4	4	0	0	-166.6,105.3,28.5	-166.7,105.2,28.3	mu372 p215 pi194 p174 pi5 p105 mu166 p85 mu88 e13 e2 e4 e1 e1 e1 e1 e1 e1 e1 e1	pi385 pi197 p173 p203 p92 p202 mu43 mu167 e13 e2 e4 e1 e1 e1 e1 e1 e1 e1 e1	tpc0:1.616/40286/g0	tpc0:1.618/40370/g9	cosmict_13,numu_cc_12,nu_3,numu_3
r3cv	713	54	50	GAINED	QL-main	-999.0	4.287	0.0	1184.9		0.0	0.0	0	3016	0	3016	main1,own11	0.0	306.0		0.9134/19745.0/tpc1		16	0	1		0		4		0		58.1,-5.5,225.2		pi55 p84 p77 mu690 e2 e2 e3 e1 e1 e4 e1 e2 e1 e1		tpc0:0.929/260/g11;tpc1:0.913/19745/g11	
r3cv	713	59	39	GAINED	QL-main	0.7151	1.259	472.7	457.6	263.7	0.0	0.594	2635	1565	1070	0	main1,own3	98.3	85.5	0.5311/9285.7/tpc1	0.5417/9832.2/tpc1	5	3	1	1	0	0	6	4	0	0	65.0,138.2,415.0	59.5,-124.0,387.7	mu247 p4 p2 e1 p1 p3 p101	p136 p100 e77 e1 p3 e1 p101 e1 p1 e2 e1 mu1 e6	tpc0:0.536/1050/g9;tpc1:0.531/9286/g9	tpc0:0.545/1049/g13;tpc1:0.542/9832/g13	ssm_245,shw_sp_181,numu_cc_15,cosmict_14,nu_3,numu_3,neutrino_1,sel_1
r3cv	713	62	22	GAINED	fragment	0.8986	0.9634	925.4	922.6	0.1	1.0	0.996	1347	1342	5	0	own1	52.3	52.3	0.6583/14602.0/tpc1	0.6645/13585.7/tpc1			0	0	0	0	4	4	0	0	130.6,160.8,270.9	130.6,160.8,270.9	p248 mu77 p94 pi41 pi39 mu50 e4 e0 e2 e3 e1	p248 mu77 p93 pi41 pi37 mu49 e4 e0 e2 e3 e1	tpc1:0.658/14602/g1000001	tpc1:0.664/13586/g1000009	ssm_108,shw_sp_8,numu_cc_8,cosmict_6,nu_3,numu_2,sel_1
r3cv	713	77	23	GAINED	fragment	0.7544	1.3408	211.6	290.0	0.8	1.0	0.966	798	771	27	0	own3	31.2	31.2	1.5737/8081.4/tpc0	1.5851/6309.4/tpc0	18	11	1	1	0	0	8	8	0	0	-65.2,-27.2,472.1	-65.1,-26.4,472.0	mu97 e1 e1 e1 e1 e2 e1 e1 e1	mu98 p69 e1 e1 e1 e1 e2 e1 e1 e1	tpc0:1.574/8081/g5;tpc1:1.592/154/g5	tpc0:1.585/6309/g8;tpc1:1.596/129/g8	ssm_82,numu_cc_10,cosmict_9,shw_sp_8,nu_3,numu_2,sel_1
r3cv	713	91	12	GAINED	QL-main	-999.0	3.3542	0.0	645.2		0.0	0.0	0	2382	0	2382	main1,own1	0.0	230.1		0.2120/8187.8/tpc1		0	0	1		0		4		0		31.1,-112.8,4.5		mu540	tpc0:0.201/170/g19	tpc0:0.212/166/g13;tpc1:0.212/8188/g13	
r3cv	714	18	19	LOST	PR-only	1.1615	0.6245	558.2	567.1	0.4	1.0	1.0	2930	2930	0	0		76.8	76.8	0.4851/20324.4/tpc1	0.4960/20345.7/tpc1			0	0	0	0	8	8	0	0	51.0,90.7,194.8	51.1,90.7,194.4	e27 mu76 e47 e1 e66 e21 e9 e1 p4 p3 mu178 e18	e28 mu78 e47 e1 e6 e66 e21 e9 e1 p4 p3 mu178 e18	tpc1:0.485/20324/g1000005	tpc1:0.496/20346/g1000011	ssm_129,shw_sp_14,cosmict_11,numu_cc_7,nu_3,numu_2,sel_1
r3cv	714	73	17	GAINED	QL-main	-999.0	3.5724	0.0	521.6		0.0	0.0	0	958	0	958	main1	0.0	102.7		1.6890/8126.2/tpc1		34	0	1		0		4		0		162.8,-180.2,408.3		mu254 pi23		tpc0:1.723/131/g13;tpc1:1.689/8126/g13	
r3cv	715	6	49	GAINED	fragment	-0.9301	3.2019	593.5	834.6	25.7	1.0	0.982	3797	3729	68	0	own7	65.0	65.0	0.9721/11760.4/tpc1	0.9800/11783.3/tpc1			0	0	1	0	10	4	0	0	89.4,74.7,479.0	86.6,65.2,455.2	e42 mu15 e48 e10 e374	e173 mu142 e2 pi131 e141	tpc1:0.972/11760/g1000001	tpc1:0.980/11783/g1000016	ssm_216,shw_sp_176,br96,mip49,tro29,cosmict_24,lol23,vis20,stw15,numu_cc_14,spt12,stem11,anc8,hol8,pio7,sig7,lem7,cme6,gap5,mgo_5,mgt_5,nu_3,numu_2,neutrino_1,sel_1,vertex_1,nue_1
r3cv	715	15	49	GAINED	QL-main	-999.0	2.5953	0.0	1277.8		0.0	0.0	0	4762	0	4762	main1,own36	0.0	95.1		0.8895/22055.8/tpc0		13	0	1		0		4		0		-40.9,-122.5,75.8		mu201 e33 p296 e403 e181 e12 e23 e1 e1 e2 p4 e3 e2 e2	tpc1:0.895/201/g1000014	tpc0:0.890/22056/g13;tpc1:0.902/196/g13	
r3cv	715	36	46	GAINED	QL-main	0.2679	2.6895	230.1	1129.2	86.8	0.091	0.052	393	7277	12	6896	main1,own8	41.7	237.8	1.5231/14761.6/tpc0	0.9313/16760.6/tpc1		1	0	1	0	0	4	4	0	0	-1.0,-2.7,185.8	62.1,-11.6,126.9	mu123 e1 e0	pi326 mu433 p94 e1 e0 p4 e2 e4 p5 e3 e3 pi0	tpc0:1.523/14762/g1	tpc0:0.933/3498/g10;tpc0:1.534/14555/g11;tpc1:0.931/16761/g10	ssm_146,numu_cc_11,cosmict_10,shw_sp_8,nu_3,numu_2,sel_1
r3cv	715	79	37	GAINED	QL-main	-999.0	2.5711	0.0	625.2		0.0	0.0	0	5280	0	5280	main1,own2	0.0	113.5		1.7125/9001.2/tpc0		7	0	1		0		4		0		-10.7,5.8,390.5		mu281 e2 e2 mu234	tpc1:1.708/512/g1000018	tpc0:0.694/1930/g10;tpc0:1.713/9001/g11;tpc1:1.720/541/g11	
r3cv	715	80	2	GAINED	fragment	-1.1799	2.104	17.1	592.4	157.3	1.0	0.997	8419	8439	4	24	own1	243.3	243.3	0.7331/25964.6/tpc1	0.7408/26017.9/tpc1		28	0	1	0	1	8	4	0	0	102.3,56.9,272.5	86.6,90.3,119.6	e16 mu1	p78 mu393 e6	tpc1:0.733/25965/g1000003	tpc0:0.769/61/g8;tpc1:0.741/26018/g8	cosmict_16,numu_cc_15,shw_sp_10,nu_3,numu_2,neutrino_1,sel_1,vertex_1
r3cv	715	94	26	GAINED	QL-main	-999.0	2.8514	0.0	530.4		0.0	0.0	0	1552	0	1552	main1,own4	0.0	162.7		0.9860/14179.5/tpc0			0	0		0		4		0		-81.3,189.7,135.1		mu401 e15 e5 e4		tpc0:0.986/14180/g5	
r3cv	717	29	47	LOST	QL-main	1.5147	0.111	305.6	442.0	463.4	0.0	0.47	2079	977	1102	0	main1,own3	72.0	38.7	0.3918/8004.9/tpc1	0.3960/7982.7/tpc1			0	0	0	0	4	8	0	0	1.6,192.8,462.6	170.5,-95.3,141.3	pi105 e10 pi26 e12 e1 e9 e2 mu2	p204 e53 pi35 e1	tpc1:0.392/8005/g1000006	tpc1:0.396/7983/g1000009	ssm_223,shw_sp_165,numu_cc_15,nu_3,numu_3,neutrino_1,sel_1
r3cv	717	50	12	LOST	fragment	0.9288	-0.4539	1210.4	1507.0	9.0	1.0	0.986	8569	8450	119	0	own2	232.3	232.3	0.7150/34488.3/tpc0	0.7258/52412.8/tpc0	3	2	1	1	1	1	8	8	0	0	-26.2,-37.4,265.6	-28.5,-38.5,256.9	p212 mu5 e192 e12 e10 e39 e290 e0 e1 p3 e1 p11 e2 e3 e3 p8 p5 mu4 e21 e1 mu167	e31 e191 e424 p3 e1 e1 p11 e2 e3 e3 p8 p5 e8 e544 mu167	tpc0:0.715/34488/g0;tpc1:0.718/4595/g0	tpc0:0.726/52413/g9;tpc1:0.728/4690/g9	shw_sp_181,cosmict_17,numu_cc_10,nu_3,numu_2,sel_1
r3cv	717	88	28	GAINED	PR-only	0.8504	1.7011	430.6	713.8	0.1	1.0	1.0	1578	1578	0	0		96.6	96.6	0.3653/6637.2/tpc1	0.3727/6647.0/tpc1	1135	1136	0	0	0	0	8	4	0	0	109.5,180.1,415.7	109.4,180.1,415.7	pi164 p86 e14 e13 e3 e1 e3	pi164 p85 mu32 pi32 e3 e1 e1 e3	tpc0:1.500/93/g15;tpc1:0.365/6637/g1000008	tpc0:1.509/97/g9;tpc1:0.373/6647/g1000011	ssm_225,cosmict_13,numu_cc_10,shw_sp_9,nu_3,numu_2,neutrino_1,sel_1
r3cv	719	19	42	GAINED	QL-main	-999.0	3.1577	0.0	467.3		0.0	0.0	0	1403	0	1403	main1,own4	0.0	139.0		0.4264/8630.2/tpc0			0	0		0		4		0		-122.3,-9.4,369.4		mu328 e21 e1 p12		tpc0:0.426/8630/g11	
r3cv	719	81	30	LOST	PR-only	1.0096	0.67	1257.0	1303.3	0.1	1.0	1.0	4663	4663	0	0		164.1	164.1	0.6219/13354.3/tpc1	0.6316/13367.1/tpc1	1	1	1	1	0	0	8	8	0	0	1.1,146.9,396.1	1.1,146.8,396.0	p471 mu336 p8 p288 e15 e8 e2 e2 p3 e1 e1 e0	p287 p471 e528	tpc0:0.623/5079/g10;tpc1:0.622/13354/g10	tpc0:0.632/5091/g9;tpc1:0.632/13367/g9	ssm_291,shw_sp_184,br102,mip48,tro45,lol23,vis19,numu_cc_16,cosmict_14,spt12,stem11,stw10,anc8,pio7,sig7,lem7,hol7,gap4,cme4,nu_3,numu_3,sel_1,mgo_1,mgt_1,nue_1
r3cv	719	81	47	LOST	t0-merge	3.2603	-0.5715	2957.0	2225.7	25.3	0.858	0.878	16012	14072	1946	6	main1,own3	228.9	152.8	1.4644/51930.2/tpc0	1.4742/52020.1/tpc0	1	2	1	1	0	0	4	8	0	0	-49.7,56.8,38.8	-49.3,82.1,38.6	pi147 mu535 p168 pi160 p10 e166 e24 e384 e2 e2 e3 e28 e13 e26 e2 p33 e2 e3 e2 e5 p21 e56 e414 e60 e81 e87 e261	e1856 e267 e21 e28 e13 e2 e3 e5 p21 mu9	tpc0:1.464/51930/g1;tpc1:1.465/9592/g1	tpc0:1.474/52020/g10;tpc1:1.477/9591/g10	shw_sp_182,br108,tro46,mip42,cosmict_23,stw22,numu_cc_22,sig13,lol13,stem12,spt11,anc8,pio7,lem7,mgt_6,hol6,gap5,mgo_5,cme4,numu_4,nu_3,neutrino_1,sel_1,nue_1
r3cv	719	92	43	LOST	PR-only	1.0144	0.5931	558.0	560.8	0.3	1.0	1.0	852	852	0	0		58.5	58.5	1.0171/9110.2/tpc0	1.0260/9126.0/tpc0	103	311	0	0	0	0	4	4	0	0	-141.2,35.4,174.4	-141.5,35.2,174.3	mu157 pi61 e1 e3 p6 e84	mu159 pi63 e1 e3 p6 e84	tpc0:1.017/9110/g9;tpc1:1.120/149/g1000016	tpc0:1.026/9126/g6;tpc1:1.337/149/g1000006	cosmict_10,numu_cc_7,nu_3,numu_2
r3cv	719	96	13	GAINED	QL-main	-999.0	1.6886	0.0	604.9		0.0	0.0	0	378	0	378	main1,own3	0.0	22.9		0.7284/8228.8/tpc1			0	0		0		4		0		67.1,119.1,302.5		pi35 mu83 p57 pi32 e2 e3	tpc1:0.722/16880/g1000007	tpc1:0.728/8229/g1000012	
r3cv	720	26	50	GAINED	QL-main	-999.0	4.4781	0.0	803.0		0.0	0.0	0	1943	0	1943	main1,own2	0.0	150.4		0.6645/2954.7/tpc0		1	0	1		0		4		0		20.8,136.1,128.3		mu269 p308 e112	tpc1:0.653/8023/g1000007	tpc0:0.665/2955/g12;tpc1:0.664/7718/g12	
r3cv	720	45	32	GAINED	PR-only	0.3857	3.6707	1110.3	1227.7	0.3	1.0	1.0	3687	3687	0	0		182.9	182.9	0.8531/27656.2/tpc1	0.8585/27704.5/tpc1	12	13	1	1	0	0	8	4	0	0	107.7,-120.5,359.2	107.9,-120.4,359.1	pi81 p89 pi377 p145 e6 e38 e51 e1 e2 e1 e2 e1 e1 e3 e1 e2 e1 p0 e4 e2 e3 e1 e1 e2	pi81 mu366 pi215 p94 e5 e38 e4 e2 e1 e1 e2 e1 e4 e1 e3 e1 e1 e2 e1 e1 e1 p0 e1 e2 e1 e1 e2 p1 e1	tpc0:0.865/285/g12;tpc1:0.853/27656/g12	tpc0:0.872/284/g7;tpc1:0.859/27705/g7	numu_cc_15,cosmict_14,shw_sp_12,nu_3,numu_3,neutrino_1
