png	verdict	confidence	object	reason
mcf012_37.png	A	3	numuCC	A has a candidate starting inside at z~390 with forward-going tracks, and its in-time flash (tpc0 9001 PE, pred 10510) matches reasonably. B has no candidate, and its only flash (512 PE vs pred 2150) is poorly matched, so B misses a clear interaction.
mcf054_49.png	same	3	numuCC	Same charge, no red pieces, same vertex, and near-identical particle lists (mu98 vs mu97) and flash matches; no visible difference.
mcf151_7.png	A	2	numuCC	A picks a forward-going track starting inside at z~335 (protons at the vertex) whose flash is well matched (21370 PE vs pred 20165). B finds no beam-window flash and no candidate. A has one far unrelated red speck.
mcf011_42.png	A	3	numuCC	A's candidate is a forward track contained at both ends, vertex at the upstream end (z~370), and its flash matches well (8630 vs pred 7799). B finds no beam flash and no candidate.
mcf041_26.png	B	1	unclear	B picks a downward-forward track with its vertex near the top (y~190) and a curved end, possibly a top-entering stopping cosmic plus Michel (e15), or a numu muon. Its in-time flash (14180 PE) is under-predicted (9261). A found no beam flash at all. B is chosen weakly because in-time light exists, but the object is ambiguous.
mcf106_32.png	B	2	numuCC	Same charge and vertex, no red. The difference is PID: A calls the long straight forward track that exits downstream pi377 (no muon), while B calls it mu366, the more likely muon. Flash matches are identical.
mcf004_46.png	B	1	numuCC	A keeps only a ~40 cm TPC0 fragment (mu123) starting at the cathode; B links it across the cathode to a multi-prong vertex at z~128 with a long track to z~290, which looks like the real interaction, but B also absorbs a separate top-entering stopping track and over-predicts the TPC1 flash (24.7k vs 16.8k PE). Both imperfect; B is the more complete neutrino picture.
mcf083_2.png	A	3	numuCC	Same candidate charge and same light match in both; A puts the vertex at the upstream start (z~120) and calls it mu393+p78, B puts the vertex mid-track (z~275) and calls it a 16 MeV shower (Enu 17 MeV).
mcf054_35.png	A	1	numuCC	Same charge and same good light match; A IDs the short stub at the vertex as a proton (p187+mu613), B folds it in as shower-like with only mu613. A adds one tiny far-away red speck, which is harmless.
mcf053_22.png	same	2	unclear	Same candidate, vertex, particle list and light match; only differences are two isolated red specks in A far from the tracks.
mcf099_19.png	same	2	unclear	Same charge, particle list and light match; the vertex is shifted by ~10 cm within the same blob, no visible preference.
mcf029_50.png	A	2	numuCC	A has a three-prong interaction from a common vertex crossing the cathode, with predicted light matching both flashes (7718/7727, 2955/3187); B has no candidate even though a clear interaction sits in time.
mcf136_1.png	same	2	numuCC	Identical blue candidate (long muon-like track from an in-detector vertex, no red pieces) and the same vertex in both rows; only the shower sub-labels and the measured flash PE differ (A 21170 vs B 18611, both predicted ~18255, so B's ticks sit slightly closer), which is not a meaningful difference in the reconstruction.
mcf079_28.png	same	1	unclear	Same charge candidate (a track from y~180 bending along +z to the downstream face), same vertex, and near-identical flashes and predictions (6637/6647 PE measured vs 6252 predicted) in both rows; only PID differs (A pi164 p86 e14 e13, B pi164 p85 mu32 pi32), and I cannot tell from the image which is right.
mcf078_47.png	A	2	numuCC	A adds a long red straight track that starts at the common vertex (z~40, y~55) and runs to the anode at x=-200. It looks like the muon (mu535), and with it A's predicted light (34763 vs 51930 measured) is much closer than B's (23198); B keeps only the shower-like cluster and has no muon.
mcf016_49.png	B	3	numuCC	A has NO CANDIDATE and shows only a 201 PE tpc1 flash, while B matches a multi-prong interaction contained in the detector (vertex z~75, y~-120) to a 22056 PE tpc0 flash with good tick agreement (pred 18616). A misses a clear neutrino interaction; B's one small red blob at y~150 may be unrelated but is minor.
mcf139_47.png	A	2	unclear	Both rows contain the compact blob at z~150, y~-95, but B also adds a red straight track at the top downstream corner (vertex at y~190, looks like cosmic-like entry) and moves the vertex there. That over-predicts light on PMT channels 240-300 (pred 9536 vs 8005), whereas A's ticks follow the bars better (6236 vs 7983).
mcf089_13.png	A	1	unclear	A matches a small compact blob (z~300, y~120) to an 8229 PE flash; its predicted light is under by about 2x (3921) but the pattern broadly follows the bars. B has no candidate and a 16880 PE flash with no match. A weak preference for A, which at least finds an in-time object in the detector.
mcf138_23.png	B	2	numuCC	Same core candidate near the downstream wall (z~480, x~-65) in both rows; A adds far unrelated red specks at z~130-160 in the other TPC (x~+70, y~+145), while B's only extra is a small piece at the vertex giving a proton (mu98 p69). Both predict 2311 PE against a larger measured flash, so the Q/L match does not separate them.
mcf073_12.png	A	2	numuCC	A has a long track from vertex z~5, y~-113 running forward and down to exit at the bottom, matched to a big in-time tpc1 flash (8188 PE measured, 7332 predicted, ticks follow the bars). B has no candidate and its light reco lists only a 170 PE tpc0 flash, so it misses this activity. The vertex is at the upstream face, so this could be a dirt muon, but it is the in-time object.
mcf122_21.png	B	1	numuCC	The candidate charge is identical in both rows (no red), a multi-prong interaction at z~30, y~105 with a good Q/L match (about 40k measured vs 34.8k predicted). Only the PID differs: B calls the longest straight downward track (~140 cm) mu372, which fits a muon; A calls it pi385 and has only shorter muons.
mcf056_50.png	B	3	numuCC	A has no beam-window flash and no candidate. B finds a 19745 PE in-time flash (23777 predicted, a reasonable match) and a track that starts inside the detector at z~225, y~-5 and runs forward to z~480 (mu690 plus protons and a pion), a clear contained-vertex neutrino. Some red specks sit near the vertex.
mcf078_30.png	B	1	numuCC	The candidate charge is identical (no red), with a vertex at z~397, y~147 near the cathode and a good Q/L match (13.4k measured vs 13.8k predicted in both rows). Only PR differs: B marks the straight forward track as track-like and has a muon (p471 mu336 ...); A labels that track shower-like and has no muon (p287 p471 e528). The object could be cosmic-related since there is a prong toward the top, but it is in time.
mcf052_17.png	B	2	numuCC	A has no beam-window flash and no candidate. B has an in-time tpc1 flash (8126 PE measured vs 4159 predicted, a mediocre match) and a track starting inside at z~410, y~-180 that runs forward to exit downstream (mu254 pi23), which looks neutrino-like, not a top-to-bottom cosmic.
mcf007_43.png	same	3	numuCC	Identical candidate charge, vertex and tpc0 Q/L match (ticks follow bars in both); PID differs only by ~2 MeV (mu159 pi63 vs mu157 pi61), no red pieces.
mcf137_49.png	B	2	other-nu	Same main shower-like object at z~455-500 with similar light match (A 9801/11760, B 9480/11783), but A adds far unrelated red specks near the top (x~190, z 330-400) and puts its vertex mid-object (z~480) while B's vertex sits at the upstream start (z~457).
mcf104_2.png	B	3	numuCC	A has no candidate although the object at z~470-500, x~85 starts inside the detector; B finds a tpc1 in-time flash (4894 PE, pred 4192, ticks follow bars) matched to it and reconstructs p92 mu99 with vertex at the upstream end.
mcf094_12.png	same	1	numuCC	Same main candidate (long mu167 track to z=500 plus showers) and similar vertex; B adds a few red specks ~70 cm below the vertex (likely unrelated) but its flash prediction matches better (34448/34488 vs A 33419/52413); trade-off, no clear winner.
mcf100_39.png	unclear	1	unclear	Both share the lower blue activity (y -120 to -200); B additionally adds a red straight track from y~140 to the top wall (looks like a top-entering stopping cosmic) and calls it mu247, which improves the light match (10610/9286 vs A 6846/9832); A is protons only on a track leaving the bottom. Cannot tell which is the real in-time object.
mcf143_29.png	same	2	unclear	Identical charge, vertex (z~242, y~190) and flash match (pred 23513 both); only the PID labelling differs (A pi142 pi73 mu19 + showers, B pi162 pi40 mu28 + showers), neither shows a clear muon, difference not decidable.
