# doc pdvd/98 -- m3-200k-w predictions on the real-data Michel crops (d98_predict.py; bf16, CUDA)
# variants: Z = Michel only, muon zeroed; S = overlap cells scaled by (charge-pred_mu)/charge; M = muon left in; Zw = Z with the wider mask.  mu/sig in cm from the response plane.
# tier A = Bragg ratio>=0.8 & q2d_ovl<0.2 & n_stop_gammas==0 & frac_lost<0.2; inrange = 80<=drift_tick<=340
det	key	tier	inrange	drift_tick	drift_fit	mu_Z	sig_Z	mu_S	sig_S	mu_M	sig_M	mu_Zw	sig_Zw	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	ke_best	ke_region	ratio	q2d_ovl	n_stop_gammas	kind	source	conn_type	michel_len	kink_deg	apa	face	d97
pdhd	029107_12/108	B	1	324.8	326.9	365.6	93.03	365.6	93.03	365.6	93.03	365.6	93.03	1.632e+05	0	0	0	94	7.921	11.88	0.9715	0	1	both	agent	2	0.1084	-1	3	1	
pdhd	029107_15/142	B	1	275.4	275.8	92.58	13.32	155.5	39.01	175	43.69	92.58	13.32	1.458e+06	6.934e+05	0.4755	0.4169	323	26.54	49.9	0.896	0.2492	0	attached	agent	1	5.97	38.77	3	1	
pdhd	029107_16/106	B	1	283.4	282.7	184.4	32.21	108.6	19.24	192.2	26.09	182	32.21	1.272e+06	7.27e+05	0.5717	0.4533	246	30.06	32.81	1.028	0.2378	0	both	agent	1	5.559	88.75	3	1	
pdhd	029107_23/55	B	1	223.9	223.8	94.92	14.63	97.27	13.96	103.1	16.97	93.36	13.64	1.078e+06	4.194e+05	0.389	0.3116	153	25.64	33.33	1.013	0.3132	0	both	agent	1	10.07	40.6	2	0	
pdhd	029107_25/89	B	1	195.4	195	110.9	22.66	102.3	12.91	107.8	17.79	113.3	25.09	1.351e+06	6.837e+05	0.5062	0.3994	332	13.03	23.04	0.9009	0.2251	0	attached	agent	1	11.64	56.06	3	1	
pdhd	029107_25/123	B	1	313.4	312.6	310.9	67.14	309.4	38.25	331.2	37.81	293.8	66.88	1.213e+06	7.466e+05	0.6156	0.4129	317	11.54	23.12	1.269	0.1687	0	both	agent	1	3.993	31.06	2	0	
pdhd	029107_3/111	B	1	264.7	264.2	207.8	25.68	128.9	20.96	215.6	22.84	206.2	25.88	1.815e+06	8.6e+05	0.4738	0.3599	505	39.8	43.94	0.821	0.3037	0	both	agent	1	8.944	58.83	3	1	both
pdhd	029107_9/115	B	0	30.56	30.84	71.88	3.02	66.02	3.02	65.62	3.02	71.88	3.02	1.912e+06	8.632e+05	0.4514	0.3836	339	24.32	57.3	0.9311	0.3048	0	attached	agent	1	9.726	50.88	1	1	
pdhd	028084_12/101	B	1	220.9	221	102.3	18.5	92.58	12.71	94.53	12.52	101.6	18.94	1.108e+06	4.955e+05	0.4472	0.2454	348	26.27	35.64	0.6701	0.06685	0	both	agent	1	5.4	60.89	3	1	
pdhd	028084_12/117	B	1	291.9	291.2	126.6	25.68	83.2	4.064	140.6	16.97	126.6	25.68	3.673e+06	2.893e+06	0.7875	0.7005	400	26.7	73.12	0.6122	0.6804	0	both	agent	1	11.71	75.46	1	1	
pdhd	028084_19/59	B	0	71.65	71.79	83.98	5.73	70.31	3.02	73.05	3.02	83.98	5.73	1.27e+06	8.21e+05	0.6465	0.5753	203	19.05	37.42	0.7086	0.3223	0	both	agent	1	11.6	123.4	2	0	
pdhd	028084_20/116	B	1	114.1	115	90.23	8.738	84.38	5.821	93.36	10.38	90.23	8.602	1.17e+06	3.874e+05	0.3311	0.3095	359	22.56	40.16	0.6424	0.1616	0	attached	owner_review	1	1.883	58.49	3	1	
pdhd	028084_25/36	B	1	85.73	85.45	87.89	4.064	82.03	3.642	82.42	3.02	87.89	4.064	1.586e+06	4.768e+05	0.3007	0.2298	290	43.83	54.7	0.8654	0.1078	0	both	agent	2	15.93	-1	2	0	
pdhd	028084_4/119	B	1	307.9	307.9	221.9	32.21	237.5	29.33	234.4	30.03	221.9	32.21	1.558e+06	1.804e+05	0.1158	0.05521	491	23.98	61.02	0.7764	0.003257	0	both	agent	2	7.891	-1	2	0	
pdhd	028084_7/61	B	1	93.56	91.67	160.2	104.9	160.2	104.9	160.2	104.9	146.9	104.2	3.692e+04	0	0	0	62	1.811	10.69	0.6622	0	1	both	agent	2	0.1546	-1	2	0	
pdhd	028084_8/110	B	1	187.4	187.6	90.62	9.301	134.4	31.22	210.9	31.22	90.62	9.301	2.552e+06	2.205e+06	0.864	0.7981	159	19.69	70.27	0.7835	0.1625	0	attached	agent	2	8.618	-1	3	1	
pdhd	029107_2/108	B	1	181.1	179.8	144.5	21.97	96.48	11.58	142.2	14.75	116.4	21.13	4.637e+06	2.505e+06	0.5403	0.4375	798	38.05	73.33	0.7212	0.3999	0	attached	agent	2	8.764	-1	1	1	
pdhd	029107_20/57	B	1	311.3	310.7	198.4	30.03	145.3	29.56	189.1	28.21	198.4	30.03	1.134e+06	5.625e+05	0.4958	0.4015	307	21.73	33.82	0.7904	0.2374	0	both	agent	1	10.12	97.63	2	0	both
pdhd	029107_20/139	B	1	293.8	293.9	125.8	23.57	107	19.09	141.4	18.35	153.1	22.31	2.282e+06	9.483e+05	0.4155	0.3964	606	16.16	58.94	0.7585	0.2013	0	attached	agent	1	19.2	132.1	3	1	
pdhd	029107_23/128	B	1	276.6	274.9	163.3	18.94	119.5	17.38	121.9	17.93	163.3	18.94	4.002e+06	2.601e+06	0.65	0.1589	590	33.93	68.95	0.717	0.02534	0	attached	agent	2	9.621	-1	3	1	
pdhd	029107_25/110	A	1	125.3	125	84.38	8.738	84.38	8.738	84.38	8.738	86.72	9.157	8.733e+05	0	0	0	479	23.76	37.12	0.9224	0	0	attached	agent	2	16.19	-1	3	1	
pdhd	029107_3/107	B	1	334.6	333.7	199.2	40.72	96.09	5.218	203.1	32.21	225	35.38	5.894e+06	5.09e+06	0.8636	0.8472	257	19.05	70.01	0.8967	0.945	0	both	agent	2	8.805	-1	3	1	
pdhd	029107_4/69	B	1	310.8	311.7	203.1	64.06	203.1	64.06	203.1	64.06	203.1	64.06	2.161e+05	0	0	0	86	26	42.73	0.75	0	0	both	agent	1	7.855	76.08	2	0	
pdvd	039252_0/82	B	1	164.9	164.3	136.7	30.74	110.9	17.65	102.3	13.96	136.7	30.74	7.761e+05	3.014e+05	0.3884	0.3033	210	17.51	22.64	0.9987	0.1803	1	both	flat	1	4.966	39.11	5	1	
pdvd	039252_1/30	B	1	172.7	172.8	100.8	18.35	85.55	7.244	100.8	15.58	100.8	17.11	1.428e+06	3.391e+05	0.2374	0.1519	304	42.6	53.72	0.7333	0.0454	0	both	flat	1	15.41	58.27	2	0	
pdvd	039252_10/73	B	1	308	307.8	150	46.32	278.1	57.88	256.2	40.72	150	46.32	9.069e+05	4.373e+05	0.4821	0.4208	224	19.83	25.39	0.7747	0.3012	0	attached	flat	1	7.594	48.45	5	1	
pdvd	039252_12/95	B	1	173.2	173.2	110.2	23.2	103.1	17.11	118.8	23.2	110.2	23.2	1.313e+06	5.693e+05	0.4337	0.2545	366	27.32	48.33	0.6699	0.1824	0	both	flat	1	10.8	37.95	6	0	
pdvd	039252_14/37	A	1	93.92	94.16	94.53	19.09	94.53	19.09	94.53	19.09	94.92	19.39	3.288e+05	0	0	0	170	10.77	23.55	0.9123	0	0	both	flat	2	7.481	-1	2	1	
pdvd	039252_14/81	A	1	101.2	101.3	87.89	12.91	87.11	12.13	92.58	13.96	87.89	12.91	9.246e+05	1.523e+05	0.1647	0.08944	351	25.35	34.28	0.8116	0.105	0	both	flat	2	6.013	-1	4	1	
pdvd	039252_15/81	B	0	33.27	33.25	121.1	27.55	105.5	19.54	182.8	26.5	124.2	28.21	1.366e+06	7.498e+05	0.5488	0.342	305	22.03	34.43	1.021	0.3124	0	both	flat	1	9.397	81.72	6	0	
pdvd	039252_15/82	B	0	8.061	8.02	82.81	6.196	86.72	3.02	82.03	4.001	80.08	4.902	7.992e+05	5.196e+05	0.6501	0.5155	110	13.13	42.03	1.005	0.319	0	attached	flat	1	4.932	125.9	6	0	
pdvd	039252_15/91	A	1	164.6	164.3	132	23.57	120.3	21.97	130.5	24.51	132	23.57	1.194e+06	2.773e+05	0.2322	0.1703	419	38.16	29.8	0.9178	0.1521	0	both	flat	1	11.18	36.35	7	1	
pdvd	039252_16/88	B	1	113.4	112.7	92.19	15.7	100.8	16.71	101.6	16.71	92.19	15.7	8.414e+05	4.19e+05	0.498	0.3444	252	21.44	22.02	1.176	0.2996	0	attached	flat	1	8.2	61.5	4	0	attached
pdvd	039252_17/88	B	1	136.5	136.9	133.6	33.76	93.36	12.71	115.6	23.38	133.6	33.76	1.016e+06	3.825e+05	0.3765	0.2065	306	24.45	37.95	1.578	0.1256	0	attached	flat	1	10.37	87.5	6	1	attached
pdvd	039252_2/55	B	0	63.01	62.4	74.22	3.938	72.66	3.317	71.88	3.369	74.22	3.938	9.468e+05	2.71e+05	0.2862	0.2119	293	33.79	37.7	0.8102	0.1089	0	both	flat	1	10.71	72.11	3	0	
pdvd	039252_2/83	B	0	27.44	27.27	85.94	8.209	85.55	7.358	87.5	7.358	85.94	8.209	1.148e+06	4.042e+05	0.3521	0.31	279	27.55	33.65	0.8593	0.3876	0	both	flat	1	4.641	79.8	6	0	
pdvd	039252_2/86	A	0	58.46	58.36	82.42	4.463	75.78	4.001	80.47	5.554	82.42	4.463	1.278e+06	2.938e+05	0.23	0.1656	501	34.84	31.58	0.913	0.09105	0	both	flat	1	13.78	82.73	4	1	
pdvd	039252_3/40	B	0	79.01	78.49	82.42	4.751	77.34	3.586	85.94	6.493	82.42	4.751	1.516e+06	9.099e+05	0.6003	0.5533	434	26.73	37.85	0.9259	0.6135	0	attached	flat	1	14.33	126.2	1	1	
pdvd	039252_3/68	A	1	189	188.8	203.1	34.83	158.6	33.76	212.5	23.75	203.1	34.83	1.101e+06	3.214e+05	0.292	0.1972	341	27.38	31.81	0.8372	0.1575	0	attached	flat	1	11.5	82.45	4	0	
pdvd	039252_8/32	B	1	123.4	123.7	86.72	5.821	83.2	6.294	83.98	7.358	86.72	5.821	1.183e+06	4.793e+05	0.4052	0.2942	426	30.4	38.49	0.8808	0.2001	0	both	flat	1	11.56	54.48	1	0	
pdvd	039253_0/110	B	0	71.32	71.34	107.8	145.8	88.67	14.86	91.8	11.4	107.8	145.8	4.697e+05	4.634e+05	0.9866	0.9832	11	4.347	15.91	0.8857	1.104	2	both	flat	1	1.798	71.25	5	0	
pdvd	039253_0/44	A	1	140.5	140.2	98.44	26.5	90.62	13.12	94.14	14.98	98.44	26.5	9.611e+05	5.143e+05	0.5352	0.1683	217	4.958	26.14	0.9382	0.06765	0	attached	flat	2	5.341	-1	1	1	
pdvd	039253_1/36	A	1	105.2	105.4	178.9	67.14	178.9	67.14	178.9	67.14	178.9	67.14	1.325e+05	0	0	0	115	4.895	9.59	0.8144	0	0	attached	flat	2	4.775	-1	0	1	
pdvd	039253_10/77	B	1	320.2	320.4	206.2	98.63	159.4	67.66	159.4	67.66	206.2	98.63	1.569e+05	6.451e+04	0.4112	0.4238	75	4.607	6.725	0.6462	0	0	attached	flat	2	1.4	-1	7	1	
pdvd	039253_11/116	A	0	37.56	37.27	102.3	20.96	94.92	13.12	97.27	14.86	102.3	20.96	7.631e+05	2.111e+05	0.2767	0.1901	216	20.91	27.14	0.9027	0.1657	0	both	flat	1	7.411	44.25	7	1	
pdvd	039253_12/35	B	1	137.5	137.7	93.75	11.22	92.97	11.22	100.8	16.45	93.75	11.22	9.418e+05	3.197e+05	0.3395	0.2792	334	26.76	29.31	0.9174	0.1343	0	both	flat	1	7.938	66.02	0	0	
pdvd	039253_12/93	B	1	165.6	166.1	107.8	36.5	82.03	15.34	94.14	18.79	121.1	39.93	6.66e+05	3.068e+05	0.4607	0.468	111	4.611	36.31	0.3509	0.3324	1	attached	flat	1	2.561	75.07	6	1	
pdvd	039253_14/49	B	1	153.9	153.2	164.8	33.76	141.4	29.56	134.4	25.68	164.8	33.76	1.476e+06	4.735e+05	0.3207	0.2553	497	29.89	36	0.9512	0.09402	0	both	flat	1	12.47	94.48	2	1	
pdvd	039253_15/36	B	0	26.82	26.41	80.08	5.137	73.44	3.369	75.39	3.067	78.91	5.383	1.534e+06	1.13e+06	0.7366	0.6281	309	16.09	28.11	0.9666	0.944	0	attached	flat	2	8.791	-1	1	0	
pdvd	039253_15/45	A	0	20.91	20.53	134.4	27.99	130.5	27.55	140.6	28.21	130.5	29.1	1.303e+06	3.048e+05	0.2339	0.178	448	39.14	43.72	0.8002	0.09808	0	both	flat	1	7.505	78.51	3	1	
pdvd	039253_17/115	A	0	24.5	24.18	83.59	13.85	83.2	11.4	83.59	11.05	83.59	13.64	1.154e+06	2.632e+05	0.2281	0.1392	364	23.15	23.84	0.824	0.058	0	attached	flat	1	2.323	102.2	6	1	
pdvd	039253_17/77	B	1	132.5	132.5	90.23	16.84	118	27.55	107.8	21.8	89.45	16.97	9.732e+05	3.651e+05	0.3752	0.3253	244	18.84	40.11	0.6542	0.09318	0	attached	flat	1	10.06	107.3	6	1	
pdvd	039253_2/117	B	1	177.5	177.4	108.6	24.32	95.7	15.34	100	19.09	108.6	24.32	8.881e+05	2.655e+05	0.299	0.2227	299	14.26	29.32	0.9218	0.08338	0	both	flat	1	2.661	51.9	4	1	
pdvd	039253_2/34	B	0	51.8	51.4	83.2	3.02	78.52	3.02	79.69	3.02	82.81	3.02	1.363e+06	4.997e+05	0.3666	0.3047	398	31.52	48.12	0.7189	0.2589	0	attached	flat	1	7.461	42.73	2	0	
pdvd	039253_2/89	B	1	236.9	236.7	132.8	33.5	119.5	26.91	221.9	38.7	132.8	33.5	9.138e+05	4.01e+05	0.4388	0.3683	254	18.54	37.15	0.8384	0.1336	0	attached	flat	1	7.123	119.3	4	1	
pdvd	039253_3/29	B	0	18.21	17.89	83.59	11.76	79.69	6.596	81.25	7.474	83.59	11.76	1.045e+06	5.454e+05	0.5221	0.311	216	20.62	39.46	0.9713	0.03744	0	both	flat	2	7.533	-1	2	0	
pdvd	039253_3/66	B	1	165.2	164.7	220.3	26.91	197.7	27.55	209.4	22.49	220.3	26.91	1.214e+06	4.034e+05	0.3323	0.2367	477	36.92	47.46	1.208	0.1467	0	attached	flat	1	15.04	54.85	5	1	
pdvd	039253_3/79	B	1	209.1	208.6	105.5	20.48	91.41	12.32	117.2	21.46	105.5	20.48	1.251e+06	8.282e+05	0.6617	0.412	170	14.92	28.05	1.227	0.5478	0	both	flat	2	5.553	-1	7	1	both
pdvd	039253_4/79	B	0	22.3	21.86	80.86	4.326	83.59	3.02	91.8	3.02	80.86	4.463	1.663e+06	6.902e+05	0.415	0.3585	435	45.52	50.58	0.8956	0.2795	0	both	flat	1	14.82	139.1	4	0	
pdvd	039253_5/32	B	0	19.67	19.73	108.6	22.31	94.14	12.13	96.88	13.85	108.6	22.31	8.135e+05	4.023e+05	0.4945	0.4127	246	21.39	23.86	0.8071	0.218	1	both	flat	1	3.836	72.29	0	0	
pdvd	039253_6/79	B	0	36.15	34.99	86.33	8.876	78.91	4.127	80.08	4.826	93.75	3.02	8.18e+05	5.446e+05	0.6658	0.618	137	5.74	19.2	0.8264	0.429	0	attached	flat	1	3.006	97.26	5	1	
pdvd	039253_7/80	B	1	132.4	132.1	70.7	23.38	89.45	14.07	107.8	31.96	71.88	23.94	3.541e+05	2.67e+05	0.754	0.6423	21	3.142	7.508	0.6603	0.7271	0	attached	flat	1	1.839	63.02	6	0	
pdvd	039253_8/28	B	0	13.01	12.34	108.6	26.71	107	16.97	139.8	28.65	108.6	26.71	6.64e+05	3.559e+05	0.536	0.4676	165	18.31	20.49	0.7652	0.23	0	both	flat	1	3.23	51.16	0	1	
pdvd	039253_8/59	A	1	251.7	250	253.1	32.47	157.8	33.24	235.9	27.77	253.1	32.47	1.308e+06	2.338e+05	0.1788	0.1156	435	51.04	29.19	1.079	0.04254	0	both	flat	1	9.79	56.09	4	1	both
pdvd	039253_8/62	B	0	68.05	71.93	104.7	17.79	90.23	7.592	90.62	7.956	104.7	17.79	2.072e+06	9.941e+05	0.4797	0.3387	381	17.96	53.12	1.016	0.1125	0	both	flat	1	4.219	87.97	6	0	
pdvd	039253_8/65	B	1	111.2	112.4	93.36	9.597	87.11	7.358	100	12.91	93.36	9.597	1.848e+06	1.313e+06	0.7107	0.699	175	31.7	45.11	0.1744	0.4483	0	both	flat	1	10.8	59.7	4	1	
pdvd	039253_9/111	B	1	114.3	113.9	94.53	11.94	92.19	9.015	95.7	11.94	94.53	11.94	1.399e+06	1.877e+05	0.1342	0.09681	445	42.66	35.57	0.6992	0.08002	0	both	flat	1	10.18	30.75	6	1	
pdvd	039349_1/52	B	0	78.99	78.55	94.92	18.21	100	19.54	98.44	15.95	94.92	18.21	3.767e+05	2.428e+05	0.6446	0.5859	67	7.633	10.84	1.052	0.7137	0	attached	flat	1	1.798	57.53	4	1	
pdvd	039349_18/36	B	1	116.8	116.6	82.81	14.75	99.61	20.8	110.9	27.13	82.81	14.75	1.079e+06	8.59e+05	0.7964	0.778	53	12.82	24.19	0.8292	0.7507	0	attached	flat	1	8.96	89.81	4	1	
pdvd	039349_18/39	B	0	60.79	60.29	89.84	9.157	84.77	5.554	83.2	4.751	89.84	9.157	8.298e+05	3.567e+05	0.4299	0.3133	192	22.5	27.61	0.8184	0.2187	0	both	flat	1	8.863	90.3	4	0	
pdvd	039349_21/51	B	1	204.4	205.4	92.97	14.41	98.05	14.41	95.7	11.05	92.97	14.41	2.503e+06	1.872e+06	0.7482	0.7363	208	18.64	45.01	0.6259	0.7111	0	both	flat	1	12.01	52.19	5	1	
pdvd	039349_23/54	A	1	151.8	152.1	119.5	24.32	121.1	24.51	121.1	24.51	119.5	24.32	7.575e+05	7561	0.009981	0	429	23.73	34.16	0.8811	0	0	both	flat	2	8.523	-1	6	1	
pdvd	039349_27/62	A	1	277.8	277.4	189.1	24.7	176.6	24.89	215.6	22.31	189.1	24.7	1.259e+06	3.319e+05	0.2637	0.1679	581	38.77	27.3	1.143	0.1438	0	attached	flat	1	15.49	43.94	6	1	
pdvd	039349_29/45	B	0	78.94	77.86	172.7	46.14	107	17.79	157.8	25.28	172.7	46.14	1.439e+06	1.043e+06	0.7252	0.6809	187	25.9	43.47	0.8435	0.5375	1	both	flat	1	5.564	36.47	7	1	
pdvd	039349_3/46	A	0	20.58	20.16	95.31	14.52	92.19	11.94	91.8	11.4	95.31	14.52	6.544e+05	1.847e+05	0.2823	0.195	83	11.95	21.06	0.8538	0.1879	0	attached	flat	1	7.677	59.06	4	0	
pdvd	039349_30/45	B	1	202.9	202.6	118.8	27.34	169.5	31.47	149.2	27.77	118.8	27.34	1.042e+06	3.423e+05	0.3284	0.2842	250	23.23	37.1	0.8637	0.1642	0	attached	flat	2	8.77	-1	6	0	
pdvd	039349_31/39	B	0	38.34	38.18	79.3	3.422	80.08	3.165	79.69	3.02	79.3	3.422	8.538e+05	2.892e+05	0.3387	0.2008	199	23.34	26.46	0.7911	0.1007	0	attached	flat	1	2.4	21.05	4	1	
pdvd	039349_34/46	B	1	95.01	95.12	124.2	26.5	152.3	26.71	180.5	27.55	124.2	26.5	9.816e+05	4.395e+05	0.4477	0.3267	336	27.4	26.67	1.028	0.2317	0	attached	flat	1	9.46	106.9	4	1	
pdvd	039349_35/62	B	1	192.9	192.8	102.3	23.38	96.09	19.69	232.8	46.87	102.3	23.38	7.733e+05	2.274e+05	0.294	0.2178	294	26.81	24.82	0.7101	0.1194	0	attached	flat	1	5.074	94.71	6	1	
pdvd	039349_36/41	A	1	108.8	108.4	81.64	4.826	80.47	5.057	78.91	4.394	82.03	3.53	1.627e+06	3.2e+05	0.1967	0.1246	542	40.14	36.85	0.907	0.1061	0	attached	flat	1	5.577	45.35	6	0	
pdvd	039349_36/46	B	0	66.52	66.07	85.16	3.02	80.86	3.02	84.77	3.02	85.16	3.02	7.367e+05	3.948e+05	0.536	0.4547	127	4.599	41.01	1.051	0.1748	0	attached	flat	1	1.792	67.88	4	1	
pdvd	039349_36/63	A	1	303.7	303.4	139.1	38.4	225	33.5	226.6	28.88	139.1	38.4	1.486e+06	3.358e+05	0.2259	0.1656	281	18.61	51.81	0.8218	0.08789	0	both	flat	2	5.184	-1	7	1	
pdvd	039349_37/39	B	1	203.4	203.7	94.53	17.24	94.14	17.51	144.5	34.02	94.53	17.24	1.736e+06	9.516e+05	0.5481	0.519	281	31.07	32.71	0.7019	0.5479	0	both	flat	2	5.785	-1	4	1	
pdvd	039349_38/67	B	1	207.7	206.4	103.1	34.83	107	25.88	193.8	39.62	84.38	34.02	1.273e+06	1.016e+06	0.798	0.7716	202	20.79	23.73	0.9482	1.345	0	both	flat	1	9.239	138	0	1	
pdvd	039349_4/36	B	0	8.075	8.094	65.62	3.02	62.5	3.02	62.11	3.02	65.23	3.02	1.313e+06	3.476e+05	0.2648	0.2017	412	30.07	50.48	0.8397	0.08326	0	both	flat	1	8.917	72.52	3	1	
pdvd	039349_42/52	B	1	138.2	137.9	101.6	14.63	91.41	9.901	113.3	18.07	104.7	15.7	1.489e+06	5.303e+05	0.3561	0.3092	533	46.75	39.39	0.8679	0.2978	0	both	flat	1	10.19	77.79	6	0	
pdvd	039349_43/50	B	0	19.81	19.07	101.6	27.77	99.61	23.57	110.2	22.14	101.6	27.77	6.911e+05	3.457e+05	0.5001	0.402	170	14.61	17.27	0.8267	0.3332	0	attached	flat	1	3.468	32.16	4	1	
pdvd	039349_43/54	A	0	78.38	78.1	99.61	12.52	96.48	10.87	93.75	9.301	100	12.52	1.02e+06	2.339e+05	0.2294	0.1201	390	35.38	34.42	0.8803	0.05829	0	attached	flat	1	8.221	79.53	6	0	
pdvd	039349_47/31	B	0	15.72	15.62	86.72	10.54	79.3	3.02	79.3	3.02	83.59	12.71	7.295e+05	4.499e+05	0.6167	0.473	156	12.69	21.41	1.002	0.276	0	attached	flat	1	5.406	56.18	3	1	
pdvd	039349_5/64	B	1	271.4	270.9	256.2	38.86	223.4	35.66	270.3	34.02	256.2	38.86	2.267e+06	2.582e+05	0.1139	0.04506	466	46.21	62.96	0.7199	0.01439	0	attached	flat	2	14.92	-1	4	0	
pdvd	039349_52/36	B	1	187.5	187.2	121.9	34.02	125	30.74	135.9	37.81	121.9	34.02	8.429e+05	2.659e+05	0.3154	0.2474	165	15.89	27.77	0.8068	0.2196	0	both	flat	1	2.711	44.72	4	0	
pdvd	039349_53/45	A	1	200.3	200	137.5	31.47	121.1	24.13	139.1	27.34	137.5	31.47	1.453e+06	3.8e+05	0.2616	0.1614	367	34.06	39.06	1.154	0.1413	0	both	flat	1	4.192	49.09	5	1	
pdvd	039349_54/30	B	0	53.19	53.88	88.67	6.393	77.34	3.02	73.83	3.02	88.67	6.393	1.224e+06	6.799e+05	0.5556	0.4746	305	24.1	29.55	0.6603	0.2954	0	both	flat	1	6.352	47.95	3	1	
pdvd	039349_54/54	A	1	134.9	134.4	126.6	30.26	122.7	29.1	105.5	19.85	125	30.03	1.097e+06	2.302e+05	0.2099	0.1412	341	29.63	39.5	0.8075	0.1204	0	attached	flat	1	12.75	95.96	5	1	
pdvd	039349_58/72	A	1	105.5	104.9	93.36	14.07	93.36	14.07	93.36	14.07	93.36	14.07	7.697e+05	0	0	0	335	29.26	45.96	0.8328	0	0	both	flat	2	8.204	-1	5	1	
pdvd	039349_59/61	B	1	245	244.3	217.2	37.08	201.6	33.76	212.5	33.24	217.2	37.08	1.398e+06	3.826e+05	0.2737	0.1886	514	39.17	36.12	0.7991	0.091	0	attached	flat	1	14.67	68.36	6	1	
pdvd	039349_61/18	B	1	137.1	137.4	98.44	15.34	112.5	21.46	119.5	23.38	98.44	15.34	1.241e+06	4.6e+05	0.3708	0.3149	352	20.42	41.32	0.9448	0.2048	0	attached	flat	1	11.32	85.32	2	1	
pdvd	039349_61/50	B	1	211.2	210.1	91.8	11.05	135.9	32.72	168	35.38	91.8	11.05	9.22e+05	3.445e+05	0.3736	0.2681	239	15.97	23.91	0.8489	0.1709	0	both	flat	1	5.554	74.89	4	0	
pdvd	039349_61/51	A	1	235.9	234.9	137.5	36.5	135.9	33.5	154.7	34.83	169.5	38.7	1.352e+06	2.34e+05	0.1731	0.1296	297	31.6	41.87	0.8116	0.0899	0	both	flat	1	13.05	80.25	4	1	
pdvd	039349_63/67	B	0	56.83	54.87	82.03	8.209	77.34	7.021	82.81	6.805	82.03	8.209	1.653e+06	8.737e+05	0.5285	0.4811	413	40.01	28.69	1.102	0.5455	0	attached	flat	1	13.95	143.5	2	1	
