# doc pdvd/98 -- per-candidate crop diagnostics and the two drift labels (d98_michel_crops.py)
# drift_tick = (tick*0.5 - cluster_t0_us - trigger_offset_us)*drift_speed/10, charge-weighted over the Z pixels;
# drift_fit = x_anode(W) - |x| over the role-3 fit points (353.10 PDHD / 341.55 PDVD)
det	key	apa	face	trigger_offset_us	drift_speed_mmus	cluster_t0_us	drift_tick	drift_fit	drift_fit_rms	drift_tick_sd	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	n_cells3	n_pts3	n_pts1	c_center	t_center	c0	t0	inrange
pdvd	039252_15/82	6	0	-2479	1.481	4824	8.061	8.02	0.9971	1.153	7.992e+05	5.196e+05	0.6501	0.5155	110	40	9	59	1.115e+04	4799	11027	4287	0
pdvd	039252_15/91	7	1	-2479	1.481	4513	164.6	164.3	3.02	3.06	1.194e+06	2.773e+05	0.2322	0.1703	419	125	31	302	1.218e+04	6291	12056	5779	1
pdvd	039252_16/88	4	0	-2483	1.481	4014	113.4	112.7	2.413	2.318	8.414e+05	4.19e+05	0.498	0.3444	252	84	15	505	8523	4594	8395	4082	1
pdvd	039252_17/88	6	1	-2473	1.481	3784	136.5	136.9	1.849	1.693	1.016e+06	3.825e+05	0.3765	0.2065	306	97	18	115	1.169e+04	4466	11557	3954	1
pdvd	039252_2/55	3	0	-2493	1.481	4914	63.01	62.4	2.654	3.068	9.468e+05	2.71e+05	0.2862	0.2119	293	193	25	52	5820	5692	5692	5180	0
pdvd	039252_2/83	6	0	-2465	1.481	6040	27.44	27.27	1.491	1.89	1.148e+06	4.042e+05	0.3521	0.31	279	97	26	51	1.135e+04	7521	11221	7009	0
pdvd	039252_2/86	4	1	-2465	1.481	6484	58.46	58.36	0.4949	0.6462	1.278e+06	2.938e+05	0.23	0.1656	501	165	40	110	8233	8829	8105	8317	0
pdvd	039252_3/40	1	1	-2500	1.481	4701	79.01	78.49	1.489	1.315	1.516e+06	9.099e+05	0.6003	0.5533	434	166	25	442	2621	5468	2493	4956	0
pdvd	039252_3/68	4	0	-2499	1.481	2602	189	188.8	0.932	0.8803	1.101e+06	3.214e+05	0.292	0.1972	341	110	20	371	8572	2759	8444	2247	1
pdvd	039252_8/32	1	0	-2499	1.481	5063	123.4	123.7	1.318	1.392	1.183e+06	4.793e+05	0.4052	0.2942	426	138	25	298	2804	6795	2676	6283	1
pdvd	039253_0/110	5	0	-2493	1.481	5388	71.32	71.34	0.1713	0.5598	4.697e+05	4.634e+05	0.9866	0.9832	11	26	4	153	9048	6755	8920	6243	0
pdvd	039253_0/44	1	1	-2500	1.481	4644	140.5	140.2	0.2845	0.6189	9.611e+05	5.143e+05	0.5352	0.1683	217	61	10	135	2619	6186	2491	5674	1
pdvd	039253_1/36	0	1	-2497	1.481	6017	105.2	105.4	1.015	0.4643	1.325e+05	0	0	0	115	34	9	380	2095	8461	1967	7949	1
pdvd	039253_10/77	7	1	-2503	1.481	3442	320.2	320.4	0.4374	0.5295	1.569e+05	6.451e+04	0.4112	0.4238	75	30	3	346	1.2e+04	6204	11871	5692	1
pdvd	039253_11/116	7	1	-2494	1.481	5031	37.56	37.27	0.7739	0.731	7.631e+05	2.111e+05	0.2767	0.1901	216	72	13	68	1.219e+04	5580	12060	5068	0
pdvd	039253_12/35	0	0	-2488	1.481	1623	137.5	137.7	1.517	1.227	9.418e+05	3.197e+05	0.3395	0.2792	334	107	21	344	2412	127.6	2284	-384	1
pdvd	039253_12/93	6	1	-2481	1.481	2010	165.6	166.1	0.2824	1.079	6.66e+05	3.068e+05	0.4607	0.468	111	40	5	175	1.145e+04	1295	11322	783	1
pdvd	039253_14/49	2	1	-2486	1.481	3709	153.9	153.2	1.528	1.636	1.476e+06	4.735e+05	0.3207	0.2553	497	158	27	449	5459	4524	5331	4012	1
pdvd	039253_15/36	1	0	-2503	1.481	2805	26.82	26.41	0.8737	0.7024	1.534e+06	1.13e+06	0.7366	0.6281	309	116	16	537	2907	965.9	2779	454	0
pdvd	039253_15/45	3	1	-2503	1.481	4555	20.91	20.53	1.542	1.348	1.303e+06	3.048e+05	0.2339	0.178	448	143	35	176	6082	4387	5954	3875	0
pdvd	039253_17/115	6	1	-2646	1.481	7420	24.5	24.18	1.709	2.075	1.154e+06	2.632e+05	0.2281	0.1392	364	91	31	144	1.156e+04	9880	11428	9368	0
pdvd	039253_17/77	6	1	-2646	1.481	5959	132.5	132.5	0.3073	0.6688	9.732e+05	3.651e+05	0.3752	0.3253	244	98	22	124	1.165e+04	8416	11517	7904	1
pdvd	039253_2/117	4	1	-2487	1.481	4152	177.5	177.4	0.4724	0.5886	8.881e+05	2.655e+05	0.299	0.2227	299	99	15	120	8095	5727	7967	5215	1
pdvd	039253_2/34	2	0	-2514	1.481	2289	51.8	51.4	0.645	0.7294	1.363e+06	4.997e+05	0.3666	0.3047	398	139	23	38	5004	251.1	4876	-261	0
pdvd	039253_2/89	4	1	-2487	1.481	3402	236.9	236.7	0.386	0.5476	9.138e+05	4.01e+05	0.4388	0.3683	254	87	13	429	8285	5029	8157	4517	1
pdvd	039253_3/29	2	0	-2501	1.481	7060	18.21	17.89	2.13	2.374	1.045e+06	5.454e+05	0.5221	0.311	216	61	14	200	5125	9363	4997	8851	0
pdvd	039253_3/66	5	1	-2501	1.481	3088	165.2	164.7	2.935	2.826	1.214e+06	4.034e+05	0.3323	0.2367	477	149	26	273	8768	3405	8640	2893	1
pdvd	039253_3/79	7	1	-2501	1.481	2371	209.1	208.6	0.8369	0.8918	1.251e+06	8.282e+05	0.6617	0.412	170	86	18	153	1.219e+04	2564	12066	2052	1
pdvd	039253_4/79	4	0	-2471	1.481	4707	22.3	21.86	1.611	1.405	1.663e+06	6.902e+05	0.415	0.3585	435	146	26	64	8384	4774	8256	4262	0
pdvd	039253_5/32	0	0	-2501	1.481	5911	19.67	19.73	1.065	1.021	8.135e+05	4.023e+05	0.4945	0.4127	246	83	12	225	2344	7085	2216	6573	0
pdvd	039253_6/79	5	1	-2476	1.481	4683	36.15	34.99	0.3971	0.956	8.18e+05	5.446e+05	0.6658	0.618	137	37	6	130	8712	4901	8584	4389	0
pdvd	039253_7/80	6	0	-2533	1.481	4436	132.4	132.1	0.1475	0.1508	3.541e+05	2.67e+05	0.754	0.6423	21	20	4	255	1.131e+04	5594	11183	5082	1
pdvd	039253_8/28	0	1	-2594	1.481	6245	13.01	12.34	2.397	1.094	6.64e+05	3.559e+05	0.536	0.4676	165	66	8	331	1986	7477	1858	6965	0
pdvd	039253_8/59	4	1	-2564	1.481	4372	251.7	250	2.205	2.903	1.308e+06	2.338e+05	0.1788	0.1156	435	133	19	468	8299	7015	8171	6503	1
pdvd	039253_8/62	6	0	-2564	1.481	2564	68.05	71.93	0.9614	2.112	2.072e+06	9.941e+05	0.4797	0.3387	381	125	15	457	1.138e+04	917.7	11248	406	0
pdvd	039253_8/65	4	1	-2564	1.481	5075	111.2	112.4	1.666	1.923	1.848e+06	1.313e+06	0.7107	0.699	175	123	19	158	8109	6523	7981	6011	1
pdvd	039253_9/111	6	1	-2503	1.481	3433	114.3	113.9	3.456	3.571	1.399e+06	1.877e+05	0.1342	0.09681	445	136	29	121	1.144e+04	3404	11316	2892	1
pdvd	039349_1/52	4	1	-2377	1.481	3775	78.99	78.55	0.1745	0.2261	3.767e+05	2.428e+05	0.6446	0.5859	67	34	4	123	8105	3864	7977	3352	0
pdvd	039349_18/36	4	1	-2367	1.481	3003	116.8	116.6	0.2793	0.6702	1.079e+06	8.59e+05	0.7964	0.778	53	48	16	236	8323	2850	8195	2338	1
pdvd	039349_18/39	4	0	-2367	1.481	4305	60.79	60.29	1.425	1.282	8.298e+05	3.567e+05	0.4299	0.3133	192	70	16	143	8581	4696	8453	4184	0
pdvd	039349_21/51	5	1	-2299	1.481	1628	204.4	205.4	1.586	1.745	2.503e+06	1.872e+06	0.7482	0.7363	208	131	21	331	8854	1420	8726	908	1
pdvd	039349_23/54	6	1	-2275	1.481	2384	151.8	152.1	2.043	2.648	7.575e+05	7561	0.009981	0	429	114	15	268	1.158e+04	2269	11449	1757	1
pdvd	039349_27/62	6	1	-2207	1.481	3055	277.8	277.4	4.132	4.353	1.259e+06	3.319e+05	0.2637	0.1679	581	174	27	512	1.167e+04	5447	11543	4935	1
pdvd	039349_29/45	7	1	-2076	1.481	3064	78.94	77.86	0.9895	0.9764	1.439e+06	1.043e+06	0.7252	0.6809	187	73	10	385	1.214e+04	3042	12017	2530	0
pdvd	039349_3/46	4	0	-2210	1.481	3894	20.58	20.16	0.6279	0.4192	6.544e+05	1.847e+05	0.2823	0.195	83	31	14	29	8548	3646	8420	3134	0
pdvd	039349_30/45	6	0	-2393	1.481	3507	202.9	202.6	0.7315	0.8597	1.042e+06	3.423e+05	0.3284	0.2842	250	101	16	358	1.132e+04	4967	11196	4455	1
pdvd	039349_31/39	4	1	-2361	1.481	4476	38.34	38.18	0.5079	0.4533	8.538e+05	2.892e+05	0.3387	0.2008	199	68	15	80	8103	4749	7975	4237	0
pdvd	039349_34/46	4	1	-2329	1.481	2895	95.01	95.12	2.575	2.817	9.816e+05	4.395e+05	0.4477	0.3267	336	108	17	46	8090	2416	7962	1904	1
pdvd	039349_35/62	6	1	-2323	1.481	4039	192.9	192.8	0.57	0.6106	7.733e+05	2.274e+05	0.294	0.2178	294	98	18	366	1.156e+04	6037	11432	5525	1
pdvd	039349_36/41	6	0	-2421	1.481	3941	108.8	108.4	2.306	2.459	1.627e+06	3.2e+05	0.1967	0.1246	542	133	21	89	1.116e+04	4510	11032	3998	1
pdvd	039349_36/46	4	1	-2421	1.481	2880	66.52	66.07	0.4175	0.3751	7.367e+05	3.948e+05	0.536	0.4547	127	40	4	244	8193	1816	8065	1304	0
pdvd	039349_36/63	7	1	-2421	1.481	3324	303.7	303.4	0.6073	0.7364	1.486e+06	3.358e+05	0.2259	0.1656	281	145	32	556	1.22e+04	5908	12070	5396	1
pdvd	039349_37/39	4	1	-2237	1.481	3274	203.4	203.7	0.3339	1.162	1.736e+06	9.516e+05	0.5481	0.519	281	97	17	437	8090	4821	7962	4309	1
pdvd	039349_38/67	0	1	-2370	1.481	2508	207.7	206.4	1.691	1.327	1.273e+06	1.016e+06	0.798	0.7716	202	113	16	339	1975	3081	1847	2569	1
pdvd	039349_4/36	3	1	-2323	1.481	4787	8.075	8.094	1.594	1.371	1.313e+06	3.476e+05	0.2648	0.2017	412	122	18	150	5972	5038	5844	4526	0
pdvd	039349_42/52	6	0	-2206	1.481	3850	138.2	137.9	2.367	2.238	1.489e+06	5.303e+05	0.3561	0.3092	533	172	49	322	1.134e+04	5154	11215	4642	1
pdvd	039349_43/50	4	1	-2183	1.481	2161	19.81	19.07	1.016	0.9175	6.911e+05	3.457e+05	0.5001	0.402	170	61	7	33	8176	224.4	8048	-288	0
pdvd	039349_43/54	6	0	-2183	1.481	2177	78.38	78.1	3.002	3.124	1.02e+06	2.339e+05	0.2294	0.1201	390	119	26	146	1.136e+04	1048	11234	536	0
pdvd	039349_47/31	3	1	-2239	1.481	2902	15.72	15.62	1.429	1.271	7.295e+05	4.499e+05	0.6167	0.473	156	60	10	166	6014	1537	5886	1025	0
pdvd	039349_5/64	4	0	-2334	1.481	3403	271.4	270.9	0.6166	1.055	2.267e+06	2.582e+05	0.1139	0.04506	466	139	67	703	8404	5804	8276	5292	1
pdvd	039349_52/36	4	0	-2361	1.481	2718	187.5	187.2	0.4172	0.5332	8.429e+05	2.659e+05	0.3154	0.2474	165	61	17	323	8437	3246	8309	2734	1
pdvd	039349_53/45	5	1	-2360	1.481	2395	200.3	200	0.8141	0.9622	1.453e+06	3.8e+05	0.2616	0.1614	367	115	34	464	8679	2775	8551	2263	1
pdvd	039349_54/30	3	1	-2495	1.481	2646	53.19	53.88	3.096	3.568	1.224e+06	6.799e+05	0.5556	0.4746	305	94	17	221	6008	1021	5880	509	0
pdvd	039349_54/54	5	1	-2473	1.481	2669	134.9	134.4	1.498	1.585	1.097e+06	2.302e+05	0.2099	0.1412	341	106	22	305	8756	2214	8628	1702	1
pdvd	039349_58/72	5	1	-2083	1.481	2343	105.5	104.9	1.132	1.507	7.697e+05	0	0	0	335	96	42	218	8834	1945	8706	1433	1
pdvd	039349_59/61	6	1	-2365	1.481	1700	245	244.3	4.027	3.428	1.398e+06	3.826e+05	0.2737	0.1886	514	151	25	445	1.154e+04	1978	11410	1466	1
pdvd	039349_61/18	2	1	-2311	1.481	4043	137.1	137.4	0.5416	0.6962	1.241e+06	4.6e+05	0.3708	0.3149	352	127	20	167	5391	5317	5263	4805	1
pdvd	039349_61/50	4	0	-2303	1.481	3824	211.2	210.1	3.045	2.643	9.22e+05	3.445e+05	0.3736	0.2681	239	87	15	357	8494	5896	8366	5384	1
pdvd	039349_61/51	4	1	-2303	1.481	2164	235.9	234.9	0.9249	1.355	1.352e+06	2.34e+05	0.1731	0.1296	297	106	23	150	8130	2909	8002	2397	1
pdvd	039349_63/67	2	1	-2301	1.481	3033	56.83	54.87	3.486	2.675	1.653e+06	8.737e+05	0.5285	0.4811	413	151	24	1147	5549	2232	5421	1720	0
pdvd	039349_64/71	6	1	-2423	1.481	2506	258.1	257.3	2.446	2.564	1.444e+06	3.257e+05	0.2256	0.1739	538	167	34	430	1.153e+04	3650	11397	3138	1
pdvd	039349_67/75	6	0	-2346	1.481	3119	20.78	21.19	0.8628	0.9218	1.013e+06	7.102e+05	0.7011	0.6389	118	61	9	258	1.134e+04	1827	11211	1315	0
pdvd	039349_67/78	6	1	-2346	1.481	1662	150.5	149.9	1.183	1.268	1.279e+06	6.219e+05	0.4863	0.409	197	91	18	127	1.153e+04	664.4	11407	152	1
pdvd	039349_7/67	7	0	-2270	1.481	4650	48.64	48.23	0.2583	0.2096	6.332e+05	5.819e+05	0.9189	0.8859	28	29	16	99	1.196e+04	5415	11837	4903	0
pdvd	039349_72/65	1	1	-2436	1.481	2458	264.1	265.8	2.327	2.014	6.061e+05	4.545e+05	0.7499	0.6875	128	54	19	432	2683	3612	2555	3100	1
pdvd	039349_73/62	4	1	-2340	1.481	2175	249	248.5	1.403	1.236	1.016e+06	2.288e+05	0.2252	0.1203	278	84	21	194	8188	3033	8060	2521	1
pdvd	039349_77/63	7	1	-2339	1.481	4726	107.8	108.2	0.8509	1.141	1.128e+06	5.267e+05	0.4668	0.3912	264	101	20	259	1.224e+04	6231	12117	5719	1
pdvd	039349_8/54	6	0	-2186	1.481	1945	198.1	197.8	0.6354	0.7126	7.425e+05	4.199e+05	0.5655	0.4108	76	33	6	177	1.127e+04	2193	11147	1681	1
pdvd	039349_81/41	4	0	-2352	1.481	4872	97.54	96.68	0.2925	0.6692	7.797e+05	4.848e+05	0.6218	0.6065	151	41	3	64	8386	6357	8258	5845	1
pdvd	039349_81/62	6	0	-2352	1.481	4542	45.4	45.56	1.19	1.228	1.73e+06	2.093e+05	0.121	0.1003	723	196	31	79	1.136e+04	4993	11233	4481	0
pdvd	039349_82/48	7	0	-2265	1.481	3176	216.2	216	1.033	1.589	1.462e+06	2.895e+05	0.1981	0.1598	409	133	19	429	1.174e+04	4742	11609	4230	1
pdvd	039349_83/60	5	0	-2186	1.481	3542	171.4	171	1.944	2.017	1.424e+06	2.449e+05	0.1719	0.1319	443	139	35	287	9075	5028	8947	4516	1
pdvd	039349_9/47	5	1	-2214	1.481	2427	221.4	220.5	1.608	1.735	1.137e+06	2.574e+05	0.2264	0.1479	480	150	32	386	8799	3417	8671	2905	1
pdvd	039349_9/55	7	1	-2214	1.481	2130	220.2	220.6	2.463	2.14	1.119e+06	2.921e+05	0.261	0.1707	381	125	21	219	1.213e+04	2806	12006	2294	1
