event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra	set
168432	?	19032	19032	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	946105.0000	946105.0000	0	0	1			141
168432	?	49028	49028	7	7	6	1	1	0.8571	0.8571	0.8977	0.9700	0.9324	3479687.0000	3220266.5000	356007.6000	96587.1000	2	50029	47020	141
171572	?	85025	85025	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	377378.8000	377378.8000	0	0	2			141
173495	?	26021	26021	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1726242.5000	1726242.5000	0	0	1			141
174771	?	85085	85060	5	7	3	2	4	0.6000	0.4286	1.0000	0.4884	0.6563	1099114.7000	2250382.3000	0.0000	1151267.6000	7	85084,85085	74047,75048,85060,93077	141
175896	?	17044	17044	1	2	1	0	1	1.0000	0.5000	1.0000	0.5394	0.7008	859323.2000	1592966.7000	0	733643.5000	1		66037	141
179048	?	17012	17012	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2479509.8000	2479509.8000	0	0	2			141
179369	?	17002	17002	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	914888.8000	914888.8000	0	0	8			141
181050	?	15006	15005	20	11	10	10	1	0.5000	0.9091	0.4150	0.9875	0.5844	5689989.8415	2391402.3000	3328543.9415	29956.4000	13	15001,15006,50010,51011,52012,53013,61021,64025,65026,67027	57017	141
278420	?	61027	61027	10	9	7	3	2	0.7000	0.7778	0.9154	0.9270	0.9212	1734497.5000	1712878.2000	146671.2000	125051.9000	12	65031,66032,77043	72038,74040	141
281325	?	42039	42039	11	9	8	3	1	0.7273	0.8889	0.7760	0.9898	0.8700	2830221.2000	2219013.8000	633838.6000	22631.2000	10	27016,41034,41036	23012	141
282271	?	6063	6063	4	25	3	1	22	0.7500	0.1200	0.9355	0.7354	0.8235	2574647.0000	3275210.9000	166045.5000	866609.4000	22	6004	33020,35022,36023,37024,38025,39026,42029,45032,46033,47034,48035,61048,62049,64051,65052,66053,67054,68055,69056,72059,73060,74061	141
282979	?	14003	14003	3	4	3	0	1	1.0000	0.7500	1.0000	0.9751	0.9874	2043069.6000	2095222.4000	0	52152.8000	11		20010	141
283515	?	23009	-1	1	0	0	1	0	0.0000	-	0.0000	-	-	1964650.4875	0	1964650.4875	0	14	23009		141
284206	?	10051	10051	4	2	1	3	1	0.2500	0.5000	0.3564	0.9871	0.5237	3528397.4000	1273994.5000	2270795.6000	16392.7000	1	10052,10054,10056	35037	141
286655	?	79023	19006	6	11	6	0	5	1.0000	0.5455	1.0000	0.6573	0.7932	2713441.7000	4128294.5000	0	1414852.8000	2		67016,69018,71020,81062,82063	141
286681	?	3012	3012	1	5	1	0	4	1.0000	0.2000	1.0000	0.9513	0.9750	2381985.5000	2503902.6000	0	121917.1000	5		29013,33017,36020,37021	141
287007	?	22001	22001	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3013706.4000	3013706.4000	0	0	1			141
289246	?	63034	63034	25	27	23	2	4	0.9200	0.8519	0.8767	0.9640	0.9183	4195262.8000	3815442.0000	517184.0000	137363.2000	4	77063,77064	66037,67038,70041,74045	141
291072	?	21023	21023	33	37	33	0	4	1.0000	0.8919	1.0000	0.9773	0.9885	9975738.7000	10207472.4000	0	231733.7000	6		65057,67059,69061,70062	141
293149	?	4001	4001	14	9	9	5	0	0.6429	1.0000	0.9296	1.0000	0.9635	4691243.0000	4361126.1000	330116.9000	0	5	27006,29008,30009,31010,38017		141
294174	?	71067	71067	9	10	3	6	7	0.3333	0.3000	0.4745	0.8518	0.6095	2816824.6000	1569315.3000	1480120.3000	232611.0000	11	64059,64065,65066,72069,72073,72074	47036,51040,52041,55044,59048,62051,77079	141
318769	?	19003	65037	3	5	3	0	2	1.0000	0.6000	1.0000	0.6015	0.7512	4469603.0000	7430979.8000	0	2961376.8000	5		19001,65037	141
347085	?	72066	72066	17	21	17	0	4	1.0000	0.8095	1.0000	0.9166	0.9565	3671035.2000	4005231.7000	0	334196.5000	6		30016,33019,38024,71058	141
347824	?	24112	107060	22	23	22	0	1	1.0000	0.9565	1.0000	0.9950	0.9975	7175679.7000	7211960.7000	0	36281.0000	2		89023	141
348471	?	60026	60026	17	21	17	0	4	1.0000	0.8095	1.0000	0.8884	0.9409	6234013.2000	7017269.5000	0	783256.3000	6		18006,33013,39019,63051	141
350121	?	2011	2011	5	15	5	0	10	1.0000	0.3333	1.0000	0.8255	0.9044	4989383.7000	6044290.3000	0	1054906.6000	11		14017,16019,17020,19022,22025,24027,25028,28031,30041,31042	141
350354	?	18092	18092	32	39	32	0	7	1.0000	0.8205	1.0000	0.9652	0.9823	8249728.9000	8547256.7000	0	297527.8000	9		51028,52029,53030,55032,57034,63040,64041	141
386442	?	16008	16008	3	17	3	0	14	1.0000	0.1765	1.0000	0.8219	0.9022	2705352.2000	3291725.6000	0	586373.4000	15		22012,39013,40014,41015,43017,44018,46020,47021,48022,49023,50024,51025,65027,66028	141
393505	?	63025	63025	3	7	3	0	4	1.0000	0.4286	1.0000	0.8545	0.9216	1049198.7000	1227827.3000	0	178628.6000	5		60018,61019,62020,76030	141
395597	?	20004	20004	2	3	1	1	2	0.5000	0.3333	0.7619	0.9674	0.8525	2794145.1976	2200529.7000	665248.1976	71632.7000	3	20006	83011,84012	141
396037	?	69026	69026	7	7	5	2	2	0.7143	0.7143	0.6204	0.9679	0.7561	2289558.5000	1467480.3000	869174.1000	47095.9000	3	63015,65017	55007,56008	141
396323	?	18012	18012	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2946164.6000	2946164.6000	0	0	0			141
397630	?	33038	19010	11	2	2	9	0	0.1818	1.0000	0.5432	1.0000	0.7040	4409552.8000	2395106.7000	2014446.1000	0	11	25015,32022,33028,33029,33037,33038,33039,34041,34042		141
400504	?	62014	62014	3	4	3	0	1	1.0000	0.7500	1.0000	0.9444	0.9714	1229642.5000	1302059.8000	0	72417.3000	0		21003	141
406125	?	38021	38021	1	7	1	0	6	1.0000	0.1429	1.0000	0.0497	0.0948	140400.4000	2822573.9000	0	2682173.5000	2		18013,66046,68048,69049,72052,73053	141
408304	?	9039	9039	13	15	12	1	3	0.9231	0.8000	0.7726	0.9763	0.8626	3947633.3477	3123761.5000	897852.0477	73980.2000	3	9038	32018,34020,36022	141
409140	?	13006	13006	4	7	4	0	3	1.0000	0.5714	1.0000	0.9178	0.9571	1328860.3000	1447888.9000	0	119028.6000	3		38008,39009,40010	141
412242	?	14007	14007	7	7	6	1	1	0.8571	0.8571	0.9700	0.9845	0.9772	8325753.1000	8203747.3000	249523.3000	127517.5000	2	50049	79069	141
489327	?	19005	19005	23	24	23	0	1	1.0000	0.9583	1.0000	0.6548	0.7914	3421964.1000	5225901.4000	0	1803937.3000	0		19005	141
499423	?	11045	11045	2	2	2	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2151051.3000	2151051.3000	0	0	1			141
499577	?	13009	13009	4	9	4	0	5	1.0000	0.4444	1.0000	0.7034	0.8259	3841283.3000	5461030.9000	0	1619747.6000	4		66033,69036,72039,79053,95059	141
