sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
mcp1k	18255	1	51051	spanned	19	447	6	253.1	4	0.58	20	17	1.8	1.13	-0.58	0.82	19001	19001	0	0	211	211	3.11	92	62	62	0.06	62	1	19	19	17.54	-33.5	302.6	0	2	0-	104.97	-116.84	499.88	0	104.97	32036	48226	0.664
mcp1k	18255	1	52085	spanned	25	263	7	139.9	6	0.5	17	15	1.8	1.02	-0.56	0.92	6004	6004	0	0	11	11	1.65	101	63	63		0	1	6	6	0.5	80.4	135.4	0	1	+	8.03	115.88	51.38	0	8.03	49668	101043	0.492
mcp1k	18255	1	52195	eroded	23	830	16	1.7	8	2.04	2	0	45.37	42.23	-2.32	14.27	45014	50019	0	0	11	11	2.29	101	75	75			1	13	13	2.04	-46.6	326.9	0	1	-	-51.62	199.36	344.47	0	51.62			
mcp1k	18255	1	53427	spanned	14	352	5	195.5	3	0.79	24	20	2.4	1.3	-0.79	1.22	14002	14002	1	1	11	11	3.46	107	91	91	0.08	91	1	14	14	12.74	72.3	433.9	0	2	+0	17.56	75.04	437.71	0	17.56	44284	46688	0.949
mcp1k	18255	1	56463	one-sided	22	671	11	196.1	7	0.47	23	0											3.31	92	41	41	1.73	41	0	12	17	0.47	27.9	318.9	0	1	-	-165.74	-12.7	347.54	0	165.74			
mcp1k	18255	1	57575	spanned	12	504	7	285.1	6	0.57	42	34	1.8	1.05	-0.89	0.57	12000	12000	0	0	13	13	2.64	116	84	84		0	1	12	12	9.06	15.9	345.5	0	1	-	-44.99	-3.85	234.13	0	44.99	48725	49390	0.987
mcp1k	18255	1	58321	spanned	19	345	4	177.8	2	0.74	10	9	2.4	1.07	-0.74	1.41	19001	19001	0	0	2212	2212	3.71	61	22	22	0.14	22	1	19	19	74.25	127.3	473.1	1	2	0+	74.25	127.31	473.07	0	74.25	33822	48646	0.695
mcp1k	18255	1	59003	one-sided	18	444	3	144.4	1	0.7	35	0											2.56	139	99	99	1.66	36	0	18	22	0.7	-14.5	360.9	1	1	-	-0.7	-14.54	360.89	0	0.7			
mcp1k	18255	1	59025	spanned	19	646	7	299.7	4	0.87	11	10	1.8	0.44	-0.87	0.88	19001	19001	0	0	13	13	2.02	58	46	46	0.03	46	1	19	19	55.98	43.6	252.1	0	1	0	-164.07	-25.35	132.93	0	164.07	23318	52386	0.445
mcp1k	18255	1	59247	spanned	15	277	4	159.4	2	0.57	11	11	1.8	1.01	-0.92	0.57	15004	15004	0	0	211	211	2.47	73	58	58		0	1	15	15	8.96	160.9	147.0	0	2	0+	-121.81	80.11	123.22	0	121.81	31339	58064	0.54
mcp1k	18255	1	60933	spanned	18	299	11	145.3	5	0.76	13	14	1.8	0.81	-0.85	0.76	18007	18007	0	0	11	11	2.44	75	63	63		0	1	18	18	24.66	103.3	349.0	0	1	0	-70.23	25.07	277.35	0	70.23	48694	60316	0.807
mcp1k	18255	1	61579	spanned	22	456	16	156.2	6	0.74	12	10	1.8	0.9	-0.82	0.74	20000	20000	0	0	13	13	2.75	51	59	59	0.08	59	1	20	20	3.37	-145.0	61.8	0	1	-	46.5	-41.33	167.75	0	46.5	26944	49145	0.548
mcp1k	18255	1	63603	spanned	13	256	5	120.9	1	0.47	10	11	1.2	0.33	-0.68	0.47	13004	13004	0	0	13	13	1.97	52	49	49	0.17	49	1	13	13	1.63	190.1	140.4	0	2	0+	42.88	179.66	149.24	0	42.88	25238	56018	0.451
mcp1k	18259	1	166738	spanned	16	770	35	225.9	19	0.48	18	20	1.2	0.56	-0.48	0.58	16007	16007	0	0	13	13	2.07	75	77	77		0	1	16	16	2.51	56.9	189.4	0	1	+	24.67	46.03	178.13	0	24.67	42481	47573	0.893
