evt	arm	nJ	dM	dJ	sM	sJ	degJ	tier	snap	path	rms	verdict
10550	work-pr104-bare-nuecc48	1	47.36502106623152	47.705558295777095	0	0	1	None	0	3.7495056425031135	None	OK
111412	work-pr104-bare-nuecc48	1	40.53314552499591	39.18830610828788	1	0	1	None	0	2.376813325649457	None	MISS
131357	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
137238	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
163543	work-pr104-bare-nuecc48	0	33.34680207773911	None	None	None	None	None	0	None	None	-
172230	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
174637	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
196649	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
214469	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
219295	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
235435	work-pr104-bare-nuecc48	1	30.81989155070219	31.90088631711929	3	0	1	None	0	3.931862803652134	None	OK
239794	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
246579	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
256587	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
267597	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
268784	work-pr104-bare-nuecc48	1	0.0	2.6285966023797824	2	0	1	None	0	2.8109260685789543	None	OK
269774	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
30504	work-pr104-bare-nuecc48	2	74.75390348066459	75.34738579739265	2	0	1	None	0	2.1313473903802413	None	OK
342199	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
350186	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
388	work-pr104-bare-nuecc48	1	0.0	2.7391099702923	1	0	1	None	0	2.869812830876066	None	OK
38856	work-pr104-bare-nuecc48	2	24.484444925028015	22.171151731194232	1	2	3	B	1	4.992377573310328	0.4617485119994048	FIX
389538	work-pr104-bare-nuecc48	0	213.46653638808013	None	None	None	None	None	0	None	None	-
42280	work-pr104-bare-nuecc48	1	0.0	4.4705542018489055	1	0	1	None	0	4.50076063405217	None	OK
422851	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
433451	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
444187	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
447477	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
46363	work-pr104-bare-nuecc48	2	45.05672697777572	43.786323253935116	1	1	4	None	0	2.077868323341101	None	MISS
469665	work-pr104-bare-nuecc48	1	1.4052235081333617	0.0	1	0	1	None	0	1.5242606288609075	None	MISS
489330	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
52672	work-pr104-bare-nuecc48	0	30.60341140238305	None	None	None	None	None	0	None	None	-
54095	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
69314	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
74544	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
81597	work-pr104-bare-nuecc48	0	0.0	None	None	None	None	None	0	None	None	-
90055	work-pr104-bare-nuecc48	1	0.0	1.5426231515468098	2	0	1	None	0	1.54262315154681	None	OK
105946	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
114446	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
142421	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
180801	work-pr104-bare-ncpi0	0	78.96152166596495	None	None	None	None	None	0	None	None	-
21073	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
285567	work-pr104-bare-ncpi0	1	0.0	3.6138473891064162	4	0	1	None	0	3.857997677287297	None	OK
314838	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
359980	work-pr104-bare-ncpi0	3	27.079753621934085	26.897367951887254	1	1	3	None	0	0.8778695207650615	None	OK
37112	work-pr104-bare-ncpi0	2	2.0032039537588924	0.0	2	0	1	None	0	2.0054290358462503	None	MISS
463565	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
506114	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
506746	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
521075	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
56982	work-pr104-bare-ncpi0	0	11.096622041277145	None	None	None	None	None	0	None	None	-
71372	work-pr104-bare-ncpi0	0	0.0	None	None	None	None	None	0	None	None	-
84229	work-pr104-bare-ncpi0	1	98.63092363063996	98.81540558999284	1	0	1	None	0	2.75434746789871	None	OK
166738	work-pr104-bare-mcp1k	0	0.0	None	None	None	None	None	0	None	None	-
166804	work-pr104-bare-mcp1k	1	24.61457527902111	26.568485878079937	1	0	1	None	0	3.0357120669548125	None	OK
167112	work-pr104-bare-mcp1k	0	0.0	None	None	None	None	None	0	None	None	-
167684	work-pr104-bare-mcp1k	1	0.0	3.453423556350201	0	0	1	None	0	3.6626298150089043	None	OK
168526	work-pr104-bare-mcp1k	0	0.0	None	None	None	None	None	0	None	None	-
168658	work-pr104-bare-mcp1k	0	0.0	None	None	None	None	None	0	None	None	-
169356	work-pr104-bare-mcp1k	0	0.0	None	None	None	None	None	0	None	None	-
169488	work-pr104-bare-mcp1k	1	0.0	0.9895495149067761	0	0	1	None	0	0.9895495149067761	None	OK
169598	work-pr104-bare-mcp1k	0	0.0	None	None	None	None	None	0	None	None	-
