sample	event	stratum	what
mcp1k	50787	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 6:1000007 1->0
mcp1k	51865	control	fc bundle 11:1000012 0->1
mcp1k	52085	control	vertex ADVERSE 0.09->2.60cm
mcp1k	54175	control	numu09 1->0; vertex ADVERSE 0.92->10.17cm
mcp1k	54351	ISO	numu09 0->1
mcp1k	55583	other	fc bundle 8:9 0->1
mcp1k	55715	ISO	numu09 1->0
mcp1k	56211	ISO	vertex toward 6.30->0.42cm
mcp1k	56353	other	fc bundle 8:0 0->1
mcp1k	57903	ISO	vertex ADVERSE 1.04->12.77cm
mcp1k	58169	other	fc bundle 13:1000008 0->1
mcp1k	58345	ISO	vertex toward 46.43->39.08cm
mcp1k	58607	ISO	vertex toward 3.47->0.24cm
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.09cm
mcp1k	59663	other	fc bundle 12:1000010 0->1; fc bundle 1:9 0->1
mcp1k	59899	control	vertex ADVERSE 4.47->10.76cm
mcp1k	60017	control	numu09 1->0
mcp1k	61579	control	vertex ADVERSE 2.43->4.09cm
mcp1k	61843	ISO	vertex toward 12.38->0.24cm
mcp1k	62281	ISO	vertex toward 29.27->0.56cm
mcp1k	62429	other	fc bundle 2:1000011 0->1
mcp1k	62583	control	numu09 1->0
mcp1k	62721	control	vertex ADVERSE 0.00->3.15cm
mcp1k	63359	control	vertex toward 3.57->0.16cm
mcp1k	63493	other	fc bundle 14:1000018 0->1
mcp1k	63947	other	fc bundle 11:1000011 0->1
mcp1k	64503	ISO	numu09 0->1
mcp1k	64613	control	fc bundle 3:6 0->1
mcp1k	65018	other	fc bundle 2:7 0->1
mcp1k	65025	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:1000009 0->1; vertex ADVERSE 0.00->infcm
mcp1k	65053	control	numu09 1->0; vertex toward 10.74->2.33cm
mcp1k	65267	control	vertex ADVERSE 0.00->1.04cm
mcp1k	65942	other	fc bundle 2:5 0->1
mcp1k	66118	ISO	numu09 1->0; vertex ADVERSE 0.13->66.54cm
mcp1k	67152	other	fc bundle 19:1000009 0->1
mcp1k	67746	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 10:1000005 0->1; vertex ADVERSE 0.00->infcm
mcp1k	68648	ISO	numu09 0->1
mcp1k	69308	other	fc bundle 10:1000007 0->1
mcp1k	70562	other	fc bundle 8:5 0->1
mcp1k	72256	ISO	numu09 1->0; vertex ADVERSE 0.96->10.09cm
mcp1k	72586	ISO	numu09 1->0; vertex toward 300.05->298.67cm
mcp1k	73004	ISO	vertex ADVERSE 0.30->2.30cm
