sample	event	stratum	what
mcp1k	50787	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 6:1000007 1->0
mcp1k	51865	control	fc bundle 11:1000012 0->1
mcp1k	52613	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 2:1 1->0
mcp1k	54351	ISO	numu09 0->1
mcp1k	55583	other	fc bundle 8:9 0->1
mcp1k	56211	ISO	vertex toward 6.30->0.25cm
mcp1k	56353	other	fc bundle 8:0 0->1
mcp1k	57903	ISO	numu09 1->0; vertex ADVERSE 1.04->13.39cm
mcp1k	58169	other	fc bundle 13:1000008 0->1
mcp1k	58345	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 7:1000009 0->1; vertex ADVERSE 46.43->infcm
mcp1k	58607	ISO	vertex toward 3.47->0.32cm
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.73cm
mcp1k	59663	other	fc bundle 12:1000010 0->1; fc bundle 1:9 0->1
mcp1k	59899	control	vertex toward 4.47->1.97cm
mcp1k	59929	control	numu09 1->0; vertex ADVERSE 0.00->3.63cm
mcp1k	61843	ISO	vertex ADVERSE 12.38->15.24cm
mcp1k	62281	ISO	vertex toward 29.27->0.46cm
mcp1k	62429	other	fc bundle 2:1000011 0->1
mcp1k	62583	control	numu09 1->0
mcp1k	62613	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:1000000 0->1; vertex ADVERSE 0.00->infcm
mcp1k	63163	ISO	vertex ADVERSE 0.26->1.71cm
mcp1k	63359	control	vertex toward 3.57->0.12cm
mcp1k	63493	other	fc bundle 14:1000018 0->1
mcp1k	63551	ISO	numu09 1->0
mcp1k	63947	other	fc bundle 11:1000011 0->1
mcp1k	64409	ISO	nue7 0->1
mcp1k	64613	control	fc bundle 3:6 0->1
mcp1k	65018	other	fc bundle 2:7 0->1
mcp1k	65267	control	vertex ADVERSE 0.00->1.03cm
mcp1k	65942	other	fc bundle 2:5 0->1
mcp1k	65999	control	numu09 0->1
mcp1k	66118	ISO	numu09 1->0; vertex ADVERSE 0.13->12.55cm
mcp1k	66272	control	vertex ADVERSE 1.33->3.43cm
mcp1k	67152	other	fc bundle 19:1000009 0->1
mcp1k	67394	ISO	numu09 0->1
mcp1k	69308	other	fc bundle 10:1000007 0->1
mcp1k	70562	other	fc bundle 8:5 0->1
mcp1k	71178	control	vertex ADVERSE 22.81->32.00cm
mcp1k	72586	ISO	numu09 1->0
mcp1k	73004	ISO	vertex ADVERSE 0.30->2.42cm
mcp1k	166804	control	numu09 0->1; vertex toward 24.66->0.22cm
