event	sample	origin	bucket	pi0	tags	gain_ratio	in_merge	in_orphan	in_unowned	in_noop	out_mem	out_other	seed_out	n_showers_touched	sel_shower	has_pio	n_cands	vertex_how	vertex_dist	mass_axis	mass_vertex	reco_pio_mass	flags	confidence	verdict	note	manifest_note	why
47696	mcp2k	nuecc	vertex-bad (not actionable)	-	no-marks	0.000	0	0	0	0	0	0		0	16000	False	0							unclear	vertex-bad (undecidable)	[agent-bulk] The vertex sits in the middle of a long straight through-going track, so I record this as a vertex result and not as a clustering failure. On vtx-az+065-el+20 there is ONE thin, uniform, dead-straight charge track running corner to corner across the +-101 cm frame -- well over 200 cm long -- and the blue star sits ON it with charge continuing both ways past it; the only structure on the line is a couple of small dense knots that read as delta rays. On vtx-az-055-el+20 the same line shows about 54 cm of dense charge on each side of the star. Nothing converges at the star: no second prong, no stem, no V. Shower 16000 (103.9 MeV, the only shower in scope) is a 20.2 cm slice of that line starting at the star, and on shw16000-az+085-el+20 its yellow member set lies along the track, not across it. So my reading is that the star is a point on a cosmic-like through-going muon and that 16000 is a piece of it, i.e. NOT an EM shower. THE ALTERNATIVE READING, which I cannot rule out: the vertex is right, 16000 is a genuine 100 MeV electron leaving it, and the charge on the other side is a coincident track that happens to be collinear -- the display's cloud line says '2 of 13 clusters carry the reconstruction (ids 11, 16)', and cluster 11 contributes NO segments at all to this dump, so I cannot check whether the far half of the line is the same object as the near half. That is why the verdict is the undecidable bucket. WHAT I FOUND BEFORE I SAW THE WIDE FRAMES, recorded because it is checkable either way: on shower 16000's acceptance plot there are 3 member squares and 4 blue circles, and all four circles are INSIDE the pass-1 gate box -- 46008 (1.4 cm at 26.6 cm / 3.3 deg), 47009 (0.4 cm at 32.1 cm / 5.2 deg), 41007 (0.6 cm at 34.2 cm / 4.4 deg) and 36002 (0.4 cm pdg 2212 at 69.4 cm / 5.3 deg), every one tier 1 -- while the two non-seed members it DID take, 39005 (60.3 cm / 3.6 deg) and 40006 (66.7 cm / 5.3 deg), are farther away at the same angle. Read on its own that is a clean under-clustering signature. I deliberately did NOT record marks for it: under the through-going-track reading those fragments are pieces of the muon and growing the shower onto them would be the wrong correction, so the two readings disagree about what the fix is and I am not going to pick. Scope: 1 of 8 showers in scope (16000); the seven skipped are 46008 7.7 MeV, 41007 5.5, 38004 3.0, 36002 2.2, 47009 2.1, 35001 0.3, 37003 0.2 -- all under 8 MeV; note that four of them are exactly the fragments discussed above. Pi0: no reco pi0 group, no gamma slots assignable, nothing to pair.		scanner set the verdict radio to 'vertex-bad (undecidable)' (unclear)
51546	mcp2k	numucc_em	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	67024	False	0							likely	correct	[agent-bulk] mcp2k numucc_em. drag_check both true. Vertex is good: at el+60 the star is the lower end of the 75.8 cm muon (16000, pdg 13, correctly unowned) and the shower begins right there. shw 67024 (181.7 MeV, 10 seg, conn 2) is a clean converted-photon topology -- at az+085 it is a Lambda opening from a single apex at the X into two arms, exactly what a gamma conversion looks like, and both arms plus the diffuse cloud between them are entirely inside the yellow member set. All ten members are cluster 67, added by from_vertices (walk_add), spanning 0-17.9 cm at 0.6-31.8 deg -- a wide compact cone, not a chain. The acceptance plot carries ONE non-member circle, 53002 (0.4 cm, 2.0 MeV) at 25.6 cm / 34.6 deg, outside the 25 deg step and negligible, and nothing else unclaimed sits inside the cone. The shower start is 7.7 cm from the muon at 168.4 deg, i.e. the muon is behind it -- a photon converting 8 cm off the vertex, which is textbook. Correctly left unowned: the cluster-66 hook near the vertex (66016, pdg 13, 15.0 cm and 66014, 8.3 cm) at 96-102 deg from the shower axis, and 54003 (16.8 MeV, 2.5 cm) at 45.2 cm / 21.9 deg, well beyond the 18 cm member spread. One EM shower only in scope; the other 7 are 16.8 MeV and below and I did not look at them. No second photon anywhere in the reco, so the absence of a pi0 group here is a missing gamma, not a mis-pairing -- the same finding as the pilot's evt284200.		scanner set the verdict radio to 'correct' (likely)
52044	mcp2k	numucc_em	good (no major change)	-	stub	0.333	0	0	1	0	0	0		1	18004	False	0							likely	correct	[agent-bulk] LEADING shower 18004 (103.5 MeV, 5 seg, pdg 11, len 16.8): clustering is correct. On shw18004-az-055-el+20 and az+085-el+20 the yellow member set is a two-prong blob sharing ONE apex at the X, plus two tiny on-axis fragments 50024 (0.33 cm, 18.0 cm / 10.5 deg) and 43017 (0.28 cm, 46.1 cm / 5.5 deg). Acceptance plot: five member squares and exactly ONE non-member circle inside 60 cm, 49023 at 15.7 cm / 34.7 deg, well above the 25 deg dashed step and only 0.46 cm long. No grey charge contiguous with the member set inside its cone, so nothing is missing; single apex, so not over-clustered. Vertex judged from vtx-az-055-el+20, vtx-az+065-el+20, vtx-az-055-el+60 at the event's own r95 framing (event_half_span_cm 126.1, no --vtx-span re-capture needed): the blue star sits at the lower end of the 109.5 cm muon 18001 (pdg 13, cluster 18, correctly left UNOWNED/grey) where the two EM prongs also start, so the vertex is fine. CAVEAT ON THE PAIRING, not a clustering claim: 18004's start is EXACTLY the main vertex (-85.1,-118.7,240.2) and its seed is in cluster 18, the same cluster as the muon, so it cannot be a converted photon; the reconstruction's pi0 group 0 = 18004 + 58029 (stored 122.9 MeV) rests on that object, and the vertex convention returns no chord for it (pio.kine_div: 'theta - -> m = -'). Same pathology as the pilot's evt280159 section 2.2. I did NOT re-pair it, because I could not name a better gamma1. SECOND FINDING - shower 24035 (40.7 MeV, 3 seg, pio_id -1) IS UNDER-CLUSTERED and this is the strong grey case: on shw24035-az-055-el+20 its yellow member set ends and a GREY, contiguous, collinear chain continues straight along the orange axis for at least as far again. That grey piece is 24009 (cluster 24 - the SAME cluster as the members - 16.6 cm long, tier 1, 7.28 cm / 10.0 deg, owner NONE, site from_vertices walk_exclude). On shw24035-acc it is the circle at (7.3 cm, 10.0 deg), inside the 12.5 deg dashed step. Marked 24009 IN on 24035. Weaker, NOT marked, and the ones I would let the owner reverse: 24012 (1.7 cm) and 24010 (2.95 cm, pdg 211) at 22.5 cm / 28.7-30.0 deg, just outside the 25 deg step but still grey and on the same ray. OPEN, deliberately not marked: 58029 (53.0 MeV) sits at 41.7 cm / 26.6 deg from 24035 on that same ray, so 24035 + 24009 + 58029 could be one photon shower split in three - but 58029 is owned by a neighbouring shower and I have no reconciliation test for it (correction 11), and merging it would dissolve the reco pi0, so I leave it as a question for the owner. NOT LOOKED AT: 12 of the 15 showers were out of scope (all below the 20 MeV kine_best cut) - 49023, 27015, 48022, 44018, 52026, 26014, 51025, 42016, 45019, 25013, 47021, 46020. This verdict is a claim about shower 18004, with a named finding on 24035, not an event-level all-clear.		scanner set the verdict radio to 'correct' (likely)
52605	mcp2k	nuecc	good (no major change)	-	pid | no-marks	0.000	0	0	0	0	0	0		0	51023	False	0							unclear	correct	[agent-bulk] nuecc. Vertex judged from the native r95 framing (event_half_span_cm 58.0, no --vtx-span re-capture needed): the blue star sits at the base of the charge where the EM stem and the two short track prongs meet, on all three sweep frames (az-055/az+065/el+60). Not a vertex failure. shw 51023 (135.5 MeV, 7 seg, pdg 11, len 44.7, starts on the vertex): all seven members lie inside 26.3 cm and 27.3 deg of the axis, one apex at the X, no straight MIP stem inside the yellow set. Nothing contiguous is missing: the only unowned (grey) charge touching the shower start is 51026 (pdg 13, 5.8 cm) and 51027 (pdg 211, 3.7 cm), the two hadronic prongs on the far side of the vertex, and they are correctly left out of an EM shower; every other non-member within 40 cm is at 87 deg (43009, pdg 2212) or 153 deg (44010). CONFIDENCE unclear, and this is why: I looked and the evidence does not separate two readings. 11004 and 11005 (cluster 11, 9.2 and 10.6 cm) sit at 27.3 deg / 20-26 cm, i.e. ABOVE the widest dashed pass-1 step on the acceptance plot, taken by pass3_cone, and on the az+085 and el+65 frames cluster 11 reads as a piece detached from the vertex blob by a ~10 cm gap. I read it as brem spray - 27 deg at 25 cm is 12 cm transverse, about one Moliere radius for a 135 MeV shower - but the competing reading is that the vertex blob is the electron and cluster 11 is a separate conversion, which would make this over-clustered. shw 45011 (22.0 MeV, 1 seg, 4.6 cm) is a lone stub 42 cm out at 41.6 deg; too small to judge shape and I make no claim on it. pi0: showers[].pio_id is -1 for both, i.e. the reconstruction accepted NO pi0 group, and the auto-slotted top-two pair in pio-*.png is the capture's own placeholder, not a reco pairing; priced anyway it gives m = 41.7 MeV on the axis convention against a 157.5 MeV pair energy, nowhere near 135, so I store no candidate. This is a clustering statement and is silent on PID. Not looked at: the 5 showers the scope rule skipped (43009, 44010, 18006, 42008, 41007), all under the 20 MeV min_kine_best. [label corrected during this same run: first saved as confidence likely, re-saved as unclear because the note itself names two readings I cannot separate - correction 10.]		scanner set the verdict radio to 'correct' (unclear)
52693	mcp2k	numucc_em	vertex-bad (not actionable)	-		0.000	0	0	0	0	1	0		1	18034	False	0							likely	vertex-bad (undecidable)	[agent-bulk] CORRECTED VERDICT -- I first recorded this event as over-clustered (likely) and then re-recorded it as vertex-bad after measuring the geometry; the earlier label is superseded, and the reason is worth reading because it is the trap. The star is NOT at a convergence: it sits in the middle of ONE straight through-going track ~375 cm long. Take the direction of the 232.4 cm grey pdg-13 segment 18036 near the vertex as an axis (it is unowned and it runs the +0 to +227 cm side). Ten of shower 18034's fourteen members lie on the SAME line on the other side: 18001, 29008, 51017, 52018, 53019, 56031, 57032 and the seed all sit 0.5-1.2 cm perpendicular of that axis, spread from s = 0 to s = -148 cm, and 29008 (34.3 cm, 58 fitted points, pdg 13) is antiparallel to the muon direction to 179.5 deg at 0.7-0.8 cm perpendicular. The muon's own scatter about its axis is 0.85 cm, so the far side is as straight as the near side: no kink at the star, no apex, one line. It is visible in ov-xz.png as a single horizontal streak crossing the whole event with the star in the middle of it, and it is what the az+065 vertex frame shows once you stop reading the star as a junction. Only 4 of the 14 members are genuinely off the line -- 50015/50016 (5.6 cm perp at s = -18 to -21) and 54020/55021 (20.5 cm perp at s = -104 to -120) -- which is the size and placement of delta rays or small EM blobs along a track, not of a 183 MeV shower. So the reconstruction has split one through-going track into a 232 cm muon on one side and a 183 MeV pdg-11 shower on the other, and no clustering judgement about 18034 is meaningful until the vertex is settled: this is a vertex result, not a clustering result. The reading I cannot exclude, and why this is likely and not certain: I have no dQ/dx across the star, so I cannot prove the two sides are one particle rather than two collinear ones; but 179.5 deg with sub-cm alignment over 148 cm is not something two independent particles do. This is the pilot's evt175896 pattern (a straight line through the vertex called two objects), sharper because here one side is already reconstructed as a 232 cm muon. Judged from the --vtx-span 60 close-in sweep as well as the native 262 cm framing; the close-in sweep is what first made it look like a clean muon-in/shower-out vertex, so the close framing alone was not enough on this event -- the whole-event ov-xz view and the axis measurement are what settled it. The OUT mark on 29008 stands and is stronger under this reading than under the old one: it is the backward continuation of the track. Showers NOT looked at: the 5 the scope rule skipped (46010 4.9 MeV, 48012 4.4, 49013 1.8, 45009 1.0, 47011 0.8), all under the 20 MeV threshold. No pi0 group and no second EM shower above 20 MeV.		scanner set the verdict radio to 'vertex-bad (undecidable)' (likely)
53658	mcp2k	other_em	vertex-bad (not actionable)	-	pid | no-marks	0.000	0	0	0	0	0	0		0	15003	False	0							likely	vertex-bad (undecidable)	[agent-bulk] Vertex judged from the event's own +-102 cm sweep (event_half_span_cm 102.4, no --vtx-span re-capture needed) plus ov-xz. The blue star sits at (-85.2,-95.1,1.05) and in ov-xz it lies EXACTLY on the red z=0 TPC upstream boundary line. The only convergence of charge in the event is the three-prong junction at (-126.1,-99.4,60.8), 60 cm away: seg 15002 (pdg 211, 72 cm) runs from the boundary star up to that junction, seg 15001 (pdg 2212, 16.8 cm) continues past it, and shower 15003's stem branches off it. That reads as a particle entering the upstream face and stopping, with the vertex finder pinning the vertex at the entry point, not at an interaction. Alternative reading I cannot exclude: a real nu interaction 1 cm inside the upstream face with one forward prong that re-interacts at z=61 -- physical, but a priori improbable, hence verdict vertex-bad and not a clustering call. CLUSTERING, for the record and NOT the verdict: shower 15003 (129.6 MeV, 1 segment, 16.8 cm) covers its whole visible prong; the only unowned contiguous charge is 15001 (5.2 cm, 171.3 deg) and 15002 (3.6 cm, 164.1 deg), both behind the start on the far side of the junction, and the only in-cone non-member is 41007 (2.2 MeV, 18.3 cm, 27.7 deg, its own shower) -- nothing substantial is missing and nothing extra is swallowed. SEPARATE FLAG, not a recorded PID verdict: 15003 is straight and narrow in both azimuths (az-055 and az+085) with no widening, and carries 129.6 MeV over 16.8 cm = 7.7 MeV/cm charge-equivalent against 2.4-4.8 MeV/cm for the pilot's three accepted showers; it reads more like a stopping proton than an EM shower, but 130 MeV is only ~1 X0 of development so a genuine shower can look like a stub and I will not call PID on it. Showers NOT looked at: 22004, 40006, 39005, 54010, 41007, 43009, 42008 -- all 7 skipped by the scope rule, all under 20 MeV (max 15.1), and all either >100 cm away or at 103-142 deg from the 15003 axis. drag_check live: probe_radius_px 185, seg_u 147.70 -> 11.02, cloud_redrew true, probe_degenerate false.		scanner set the verdict radio to 'vertex-bad (undecidable)' (likely)
54341	mcp1k	other_em	1 under-clustered	-	tail | merge | absorb-orphan | pid	0.250	1	1	1	0	0	0		1	101041	False	0							likely	under-clustered	[agent-bulk] shw 101041 (242.5 MeV, 12 seg, pdg 11) is under-clustered: its member set has a hole in the middle of its own cone. On shw101041-az+085-el+20 the yellow set runs as one chain from the X along the orange axis, but the acceptance plot shows two NON-member circles at 65 cm / 3.9 deg and 68 cm / 4.2 deg sitting INSIDE the pass-1 box (5 deg, 80 cm), while 101041 does own a member out at 93 cm / 4.3 deg. The pieces there are 34015 (16.5 cm, tier 1, owner NONE - grey, contiguous unclaimed charge on the axis) plus 34014/34016, owned by neighbour shower 34014. Marked 34014, 34015, 34016 IN. This reads as one long EM cascade split into two showers, not two objects. Vertex is fine: at az-055 and az+065 and el+60 the blue star sits where three prongs converge (18001 pdg 2212 33 cm and 18003 pdg 13 23 cm run out at 179 deg from the shower axis, i.e. the opposite side, correctly unowned). NOT over-clustered: single apex at the X on both azimuths. pi0: this event has NO reco pairing (pio_grp=0, every shower pio_id=-1); the pio-*.png slots [101041, 34014] were filled by the capture tool, not by the reconstruction. Pricing my own 101041+34014 pair gives 41.2 MeV (axis convention) and 4.9 MeV (vertex convention, theta 2.6 deg) - both far below 135, and a 293 MeV pi0 would need a 75 deg opening angle. That kinematic collinearity is evidence FOR merging them, not for a pi0. Scope: 4 showers of 18 examined (101041, 34014, 18008 25.3 MeV, 96031 35.1 MeV pdg 211); 14 skipped by the <20 MeV rule and not looked at, so this is a claim about 4 showers, not about the event. The vtx-* sweep is half-span 140 cm on this event so it was used for topology only; membership was judged on the auto-framed shw* frames. Verdict is about clustering and silent on PID.		scanner set the verdict radio to 'under-clustered' (likely)
54453	mcp2k	numucc_em	1 under-clustered	-	tail | merge	0.500	1	0	1	0	0	0		1	57050	False	0							likely	under-clustered	[agent-bulk] mcp2k numucc_em, 32 showers, scope rule reaches 5 (57050, 24030, 37038, 58051, 65058); the other 27 are all 10.2 MeV and below and I did not look at them. VERTEX: r95 was 296.8 cm so the default sweep framed the vertex at +-297 cm and was unusable; I judged the vertex from a --vtx-span 60 re-capture (shots-vtx/evt54453). At +-60 cm the star sits cleanly on the upstream end of one object: segment 22010 (cluster 22, pdg 13, 31.5 cm, 53 points) leaves the star with 0.0 cm closest approach and runs out to 30 cm, continued by 22016 (11.7 cm, pdg 2212) and 22018 (6.6 cm) to 39 cm. All of cluster 22 is correctly left unowned. Vertex is good, so this is a clustering call, not a vertex call. LEADING SHOWER 57050 (198.8 MeV, 4 seg, 33.8 cm, conn 2, pio_id -1): its start X is 45.6 cm from the star, i.e. a detached conversion beyond the muon stem, and its member set (57050 seed 11.5 cm, 23025 19.3 cm, 23027 2.7 cm, 66059 0.4 cm) is one connected object with a clear kink at the shower maximum, visible at az-055/el+65 as a junction from which several prongs radiate into a broad point cloud. UNDER-CLUSTERING, and the strong half of it is grey: 23028 (cluster 23, 6.3 cm, 12 points) is owned by NO shower at all, sits 9.4 cm from 57050's start, and is a sibling of 57050's own two largest members 23025 and 23027, which are also cluster 23. The weaker half, and the one I would let the owner reverse: 23026 (cluster 23, 13.0 cm, 23 points) is owned by 58051, a 31.5 MeV shower whose own seed segment is only 4.9 cm long -- a 13 cm segment hanging off a 5 cm seed, in the big shower's own cluster. I ran the correction-11 reconciliation test rather than reading the owner column: 57050's owner-grouped count is 4 and its cmp_div says 4 segments, and 58051's owner-grouped count is 2 and its cmp_div says 2, so 23026 is genuinely NOT a dual member of 57050 -- the neighbour really does hold it exclusively. THE CAVEAT that keeps this at likely and not certain: both marked segments read 59.5 deg to 57050's axis at 9.4 cm, which is a transverse offset of about 8 cm. That is inside one Moliere radius in LAr (~9.5 cm) and so physically belongs, but it is far outside the pass-1 acceptance window -- 57050's acceptance plot has NO non-member circle anywhere in it, because the plot's angle axis stops near 34 deg and these sit off the top of it. So the corroboration the brief asks for (a circle just outside a dashed step) is absent by construction here, and the case rests on the grey segment plus the cluster identity. NOT MARKED, but worth naming: 66059 (0.4 cm, pdg 13) is a member at 31.4 cm / 26.8 deg absorbed by pass4_angle, a long reach for negligible charge; and 65058 (23.1 MeV) is a scattered object whose four members run 0-46.4 cm and include three 0.2-0.4 cm stubs picked up by in_other_clusters_seg_cone at 45, 50 and 77 cm from the vertex -- I did not record a verdict on it. PI0: no reco pi0 group (all pio_id -1). The display auto-slotted 57050 + 24030 (106.6 MeV, detached 87.3 cm from the star), which is the only plausible pair in the event, and it does NOT price as a pi0 in either convention: vertex convention theta 34.9 deg -> m 87.3 MeV, axis convention theta 139.3 deg -> m 273.0 MeV. So this event is not the both-conventions-accept case; it is a photon pair that is either not a pi0 or has a badly measured opening angle. The kine_pio_* block reports mass 12.0 from 57050 + 58051 at 8.7 deg, which is a BDT feature over all candidate pairs and not a pairing -- I did not read it as one.		scanner set the verdict radio to 'under-clustered' (likely)
55740	mcp2k	numucc_em	vertex-bad (not actionable)	-	pid | no-marks	0.000	0	0	0	0	0	0		0	22018	False	0							certain	vertex-bad (undecidable)	[agent-bulk] VERTEX RESULT, not a clustering result - by the rubric I stopped on the vertex and this event carries NO clustering judgement. event_half_span_cm was 286.9, so per correction 5 I re-captured with --vtx-span 60 and judged the vertex from shots-vtx/evt55740/vtx-az-055-el+20, vtx-az+065-el+20 and vtx-az-055-el+60, plus ov-iso.png for the whole-event framing. The blue star sits alone at the far end of a bare two-point stub with no neutrino-candidate charge anywhere near it. Measured from state.json segments: the only segments touching the main vertex (-56.6,133.3,253.2) at 0.00 cm are 62028 (cluster 62, pdg 13, 35.3 cm) and 62037 (cluster 62, pdg 211, 3.4 cm) - and cluster 62 is NOT one of the three clusters carrying the reconstruction (the cloud div says 'ids 17, 22, 23'). The nearest neutrino-candidate charge is 48.5 cm away (22013, the shower's own member) and the 168 cm track 17000 is 124.4 cm away. On ov-iso the event is two long, roughly parallel, never-touching tracks - 22014 (123.1 cm, cluster 22, grey/unowned) carrying the shower 22018 at its top end, and 17000 (168.0 cm, cluster 17) far to the right - with the star floating above and between them on a third cluster. Nothing converges at the star, so the vertex is placed off the neutrino candidate entirely. Two observations recorded but NOT acted on, because the vertex verdict pre-empts them: (a) 22014, a 123.1 cm pdg-13 track in the SAME cluster 22, sits at 14.2 cm / 6.0 deg, tier 1, from shower 22018's axis and is UNOWNED - this is the reverse of the usual grey case: swallowing a 123 cm MIP stem into a 108.6 MeV shower would be over-clustering, and the reconstruction's from_vertices walk_exclude looks right to me; I did NOT mark it. (b) 22018 reaches out to two 0.25-0.27 cm fragments 64030 (73.4 cm / 6.8 deg) and 65031 (87.4 cm / 10.9 deg, tier 2) via pass4_angle, a long reach for a shower whose own length is 36.9 cm, but the charge is negligible. Also worth the owner's eye: shower 17000 is in the shower table with reco pdg 13, kine_best 418.6 MeV over 178 cm with 2 segments - it is the muon, listed as a shower; I make no PID verdict on it here because the vertex verdict owns this event. NOT LOOKED AT: 12 of the 15 showers were out of scope, all below the 20 MeV kine_best cut (56024, 63029, 66032, 67033, 68034, 69035, 61027, 70036, 54022, 53021, 60026, 55023).		scanner set the verdict radio to 'vertex-bad (undecidable)' (certain)
56243	mcp1k	numucc_em	good (no major change)	3 pi0, vertex usable	pid | no-marks	0.000	0	0	0	0	0	0		0	69032	True	1	main_vertex	0.0	138.9	165.9	165.9		likely	correct	[agent-bulk] shw 69032 (120.1 MeV, 7 seg, start 10.1 cm from the nu vertex): one trail along the orange axis with a single apex at the X, no second direction and no straight MIP stem swallowed. Nothing contiguous is missing: on the acceptance plot the only non-member inside the cone, 44017 (6.2 MeV), sits at 79.9 cm / 39.4 deg, outside the pass-1 box on BOTH axes. shw 71044 (112.2 MeV, start 40.0 cm out, all 7 members within 14 deg over 75 cm) is likewise complete - every non-member within 50 cm of it is at 85-174 deg. This is a clustering statement, silent on PID: 71044 is collimated enough to read as track-like and I did not test that. pi0: the reconstruction accepted NO pi0 group, yet 69032 + 71044 are two detached EM objects of 120/112 MeV; the display's axis convention gives m = 138.9 MeV, inside the accept window, while the vertex convention gives 165.9 MeV - the pr/114 6.1 inconsistency - so this is stored as a CANDIDATE, not a settled pairing. Not looked at: the other 16 showers, all at or below 6.2 MeV (scope rule min_kine_best 20 MeV).		scanner set the verdict radio to 'correct' (likely) | pi0 anchored on the reco main vertex
