# doc pdvd/98 -- per-candidate crop diagnostics and the two drift labels (d98_michel_crops.py)
# drift_tick = (tick*0.5 - cluster_t0_us - trigger_offset_us)*drift_speed/10, charge-weighted over the Z pixels;
# drift_fit = x_anode(W) - |x| over the role-3 fit points (353.10 PDHD / 341.55 PDVD)
det	key	apa	face	trigger_offset_us	drift_speed_mmus	cluster_t0_us	drift_tick	drift_fit	drift_fit_rms	drift_tick_sd	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	n_cells3	n_pts3	n_pts1	c_center	t_center	c0	t0	inrange
pdvd	039252_0/82	5	1	-2484	1.481	5945	164.9	164.3	0.8848	1.023	7.761e+05	3.014e+05	0.3884	0.3033	210	70	15	176	8878	9151	8750	8639	1
pdvd	039252_1/30	2	0	-2494	1.481	1437	172.7	172.8	0.6407	0.715	1.428e+06	3.391e+05	0.2374	0.1519	304	103	32	222	5208	218.2	5080	-294	1
pdvd	039252_10/73	5	1	-2496	1.481	3696	308	307.8	0.5989	0.6024	9.069e+05	4.373e+05	0.4821	0.4208	224	79	14	587	8647	6560	8519	6048	1
pdvd	039252_12/95	6	0	-2512	1.481	3557	173.2	173.2	0.8844	1.031	1.313e+06	5.693e+05	0.4337	0.2545	366	118	19	262	1.126e+04	4428	11131	3916	1
pdvd	039252_14/37	2	1	-2501	1.481	4338	93.92	94.16	0.4433	0.5086	3.288e+05	0	0	0	170	33	13	169	5513	4943	5385	4431	1
pdvd	039252_14/81	4	1	-2476	1.481	5280	101.2	101.3	0.5971	0.8505	9.246e+05	1.523e+05	0.1647	0.08944	351	109	20	177	8284	6976	8156	6464	1
pdvd	039252_15/81	6	0	-2479	1.481	2667	33.27	33.25	3.376	3.272	1.366e+06	7.498e+05	0.5488	0.342	305	103	23	344	1.134e+04	825.3	11208	313	0
pdvd	039252_15/82	6	0	-2479	1.481	4824	8.061	8.02	0.9971	1.153	7.992e+05	5.196e+05	0.6501	0.5155	110	40	9	59	1.115e+04	4799	11027	4287	0
pdvd	039252_15/91	7	1	-2479	1.481	4513	164.6	164.3	3.02	3.06	1.194e+06	2.773e+05	0.2322	0.1703	419	125	31	302	1.218e+04	6291	12056	5779	1
pdvd	039252_16/88	4	0	-2483	1.481	4014	113.4	112.7	2.413	2.318	8.414e+05	4.19e+05	0.498	0.3444	252	84	15	505	8523	4594	8395	4082	1
pdvd	039252_17/88	6	1	-2473	1.481	3784	136.5	136.9	1.849	1.693	1.016e+06	3.825e+05	0.3765	0.2065	306	97	18	115	1.169e+04	4466	11557	3954	1
pdvd	039252_2/55	3	0	-2493	1.481	4914	63.01	62.4	2.654	3.068	9.468e+05	2.71e+05	0.2862	0.2119	293	193	25	52	5820	5692	5692	5180	0
pdvd	039252_2/83	6	0	-2465	1.481	6040	27.44	27.27	1.491	1.89	1.148e+06	4.042e+05	0.3521	0.31	279	97	26	51	1.135e+04	7521	11221	7009	0
pdvd	039252_2/86	4	1	-2465	1.481	6484	58.46	58.36	0.4949	0.6462	1.278e+06	2.938e+05	0.23	0.1656	501	165	40	110	8233	8829	8105	8317	0
pdvd	039252_3/40	1	1	-2500	1.481	4701	79.01	78.49	1.489	1.315	1.516e+06	9.099e+05	0.6003	0.5533	434	166	25	442	2621	5468	2493	4956	0
pdvd	039252_3/68	4	0	-2499	1.481	2602	189	188.8	0.932	0.8803	1.101e+06	3.214e+05	0.292	0.1972	341	110	20	371	8572	2759	8444	2247	1
pdvd	039252_8/32	1	0	-2499	1.481	5063	123.4	123.7	1.318	1.392	1.183e+06	4.793e+05	0.4052	0.2942	426	138	25	298	2804	6795	2676	6283	1
pdvd	039253_0/110	5	0	-2493	1.481	5388	71.32	71.34	0.1713	0.5598	4.697e+05	4.634e+05	0.9866	0.9832	11	26	4	153	9048	6755	8920	6243	0
pdvd	039253_0/44	1	1	-2500	1.481	4644	140.5	140.2	0.2845	0.6189	9.611e+05	5.143e+05	0.5352	0.1683	217	61	10	135	2619	6186	2491	5674	1
pdvd	039349_4/36	3	1	-2323	1.481	4787	8.075	8.094	1.594	1.371	1.313e+06	3.476e+05	0.2648	0.2017	412	122	18	150	5972	5038	5844	4526	0
pdvd	039349_81/41	4	0	-2352	1.481	4872	97.54	96.68	0.2925	0.6692	7.797e+05	4.848e+05	0.6218	0.6065	151	41	3	64	8386	6357	8258	5845	1
pdvd	039349_81/62	6	0	-2352	1.481	4542	45.4	45.56	1.19	1.228	1.73e+06	2.093e+05	0.121	0.1003	723	196	31	79	1.136e+04	4993	11233	4481	0
