# doc pdvd/98 -- per-candidate crop diagnostics and the two drift labels (d98_michel_crops.py)
# drift_tick = (tick*0.5 - cluster_t0_us - trigger_offset_us)*drift_speed/10, charge-weighted over the Z pixels;
# drift_fit = x_anode(W) - |x| over the role-3 fit points (353.10 PDHD / 341.55 PDVD)
det	key	apa	face	trigger_offset_us	drift_speed_mmus	cluster_t0_us	drift_tick	drift_fit	drift_fit_rms	drift_tick_sd	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	n_cells3	n_pts3	n_pts1	c_center	t_center	c0	t0	inrange
pdvd	039252_0/75	4	1	-2484	1.481	4450	268.3	267.8	1.782	1.615	1.984e+06	1.501e+05	0.07565	0.02961	601	168	39	538	8250	7557	8122	7045	1
pdvd	039252_1/30	2	0	-2494	1.481	1437	171.7	171.8	1.727	1.875	1.468e+06	7.132e+05	0.4859	0.422	259	106	27	230	5211	205	5083	-307	1
pdvd	039252_12/117	7	1	-2512	1.481	2595	320.5	320.8	1.039	0.9667	1.071e+06	3.474e+05	0.3244	0.1661	303	102	26	423	1.202e+04	4494	11888	3982	1
pdvd	039252_12/93	6	0	-2512	1.481	3557	173.1	172.6	0.8675	0.9708	1.43e+06	4.565e+05	0.3191	0.2666	398	115	44	256	1.126e+04	4427	11133	3915	1
pdvd	039252_14/37	2	1	-2501	1.481	4338	93.67	93.63	0.467	0.7236	9.707e+05	5.567e+05	0.5735	0.5227	248	102	18	168	5512	4939	5384	4427	1
pdvd	039252_14/86	4	1	-2476	1.481	5280	101.6	101.2	0.5949	0.6413	1.04e+06	3.701e+05	0.3559	0.2978	298	109	16	177	8282	6980	8154	6468	1
pdvd	039252_15/94	7	1	-2479	1.481	4513	164.6	163.6	3.205	3.06	1.343e+06	3.119e+05	0.2322	0.171	419	122	36	306	1.218e+04	6291	12056	5779	1
pdvd	039252_16/99	4	0	-2483	1.481	4014	113.7	112.7	2.301	2.075	9.465e+05	5.056e+05	0.5342	0.3913	246	84	14	513	8523	4598	8395	4086	1
pdvd	039252_2/51	3	0	-2493	1.481	4914	63.01	62.95	2.386	3.066	9.855e+05	3.098e+05	0.3144	0.2438	292	195	23	52	5820	5692	5692	5180	0
pdvd	039252_2/90	4	1	-2465	1.481	6484	58.55	58.2	0.4704	0.6429	1.612e+06	2.844e+05	0.1764	0.132	550	181	31	106	8236	8830	8108	8318	0
pdvd	039252_3/40	1	1	-2500	1.481	4701	78.95	78.5	1.455	1.35	1.516e+06	8.942e+05	0.5899	0.5215	426	155	23	450	2621	5467	2493	4955	0
pdvd	039252_3/77	4	0	-2499	1.481	2602	189.2	189	0.9084	0.7207	1.159e+06	4.058e+05	0.35	0.2696	314	106	15	372	8573	2762	8445	2250	1
pdvd	039252_8/38	1	0	-2499	1.481	5063	123.4	123.9	1.259	1.392	1.27e+06	5.669e+05	0.4462	0.3394	426	141	33	301	2804	6795	2676	6283	1
pdvd	039253_1/31	0	1	-2497	1.481	6017	105.2	105.4	1.015	0.4643	1.325e+05	0	0	0	115	34	9	383	2095	8461	1967	7949	1
pdvd	039253_11/118	7	1	-2494	1.481	5031	37.77	37.62	0.6491	0.5964	7.845e+05	2.666e+05	0.3398	0.2512	182	66	15	63	1.219e+04	5583	12061	5071	0
pdvd	039253_12/35	0	0	-2488	1.481	1623	137.5	137.7	1.517	1.227	9.418e+05	3.197e+05	0.3395	0.2792	334	107	21	344	2412	127.6	2284	-384	1
pdvd	039253_14/45	2	1	-2486	1.481	3709	153.9	154.2	1.132	1.575	9.978e+05	2.217e+04	0.02222	0	471	127	28	451	5459	4525	5331	4013	1
pdvd	039253_15/41	3	1	-2503	1.481	4555	20.75	20.21	1.474	1.314	1.267e+06	3.679e+05	0.2905	0.2163	432	140	34	178	6081	4385	5953	3873	0
pdvd	039253_17/110	6	1	-2646	1.481	7420	24.48	24.35	1.946	2.031	1.283e+06	3.006e+05	0.2342	0.1413	351	90	18	146	1.156e+04	9880	11428	9368	0
pdvd	039253_2/121	4	1	-2487	1.481	4152	177.5	177.2	0.5345	0.6078	1.036e+06	3.083e+05	0.2977	0.2245	307	101	18	118	8094	5726	7966	5214	1
pdvd	039253_2/32	2	0	-2514	1.481	2289	51.79	51.42	0.559	0.7238	1.321e+06	4.364e+05	0.3305	0.2556	408	135	20	38	5004	250.9	4876	-261	0
pdvd	039253_2/78	5	1	-2487	1.481	4328	99.68	99.27	1.601	1.683	1.973e+06	1.174e+06	0.5949	0.5692	298	136	24	514	8706	5028	8578	4516	1
pdvd	039253_2/92	4	1	-2487	1.481	3402	236.9	236.6	0.3981	0.4939	1.072e+06	2.404e+05	0.2242	0.129	302	92	14	431	8283	5029	8155	4517	1
pdvd	039253_3/61	4	0	-2501	1.481	3676	186.3	186.1	0.488	0.5715	1.417e+06	2.208e+05	0.1558	0.08099	408	123	31	328	8529	4867	8401	4355	1
pdvd	039253_4/77	4	0	-2471	1.481	4707	22.02	21.79	1.593	1.679	1.881e+06	6.79e+05	0.3609	0.2906	467	151	24	56	8385	4770	8257	4258	0
pdvd	039253_5/32	0	0	-2501	1.481	5911	19.67	19.73	1.065	1.021	8.135e+05	4.023e+05	0.4945	0.4127	246	83	12	225	2344	7085	2216	6573	0
pdvd	039253_7/34	3	1	-2534	1.481	3668	81.87	82.06	1.263	1.612	1.374e+06	6.046e+05	0.4401	0.3307	388	139	23	289	6010	3374	5882	2862	1
pdvd	039253_8/28	0	1	-2594	1.481	6245	13.01	12.34	2.397	1.094	6.64e+05	3.559e+05	0.536	0.4676	165	66	8	331	1986	7477	1858	6965	0
pdvd	039253_8/68	4	1	-2564	1.481	6295	24.8	24.16	0.8568	0.9836	7.793e+05	3.14e+05	0.4029	0.3209	156	55	10	39	8228	7796	8100	7284	0
pdvd	039253_9/106	6	1	-2503	1.481	3433	114.4	114.9	2.903	3.527	1.342e+06	0	0	0	432	105	24	116	1.144e+04	3405	11316	2893	1
pdvd	039349_0/28	2	0	-2482	1.481	407.7	322.7	322.7	0.1038	0.273	1.508e+06	1.029e+06	0.6821	0.632	176	77	12	58	5069	209	4941	-303	1
pdvd	039349_1/61	4	1	-2377	1.481	3775	79.5	81.36	3.471	1.822	3.883e+05	2.256e+05	0.581	0.4993	79	36	8	123	8104	3871	7976	3359	0
pdvd	039349_11/19	3	0	-2500	1.481	2373	84.71	85.01	0.7368	0.8033	8.412e+05	5.136e+05	0.6106	0.5601	102	59	17	85	5796	890.4	5668	378	1
pdvd	039349_18/40	4	1	-2367	1.481	3003	116.9	116.8	0.1384	0.58	1.213e+06	8.508e+05	0.7013	0.6748	68	50	17	222	8322	2851	8194	2339	1
pdvd	039349_18/34	4	0	-2367	1.481	4305	60.79	60.48	1.425	1.282	9.486e+05	4.165e+05	0.4391	0.3421	193	69	16	158	8581	4696	8453	4184	0
pdvd	039349_21/53	5	1	-2299	1.481	1628	203.9	204.5	1.325	1.116	2.735e+06	2.116e+06	0.7734	0.7041	191	112	23	315	8855	1413	8727	901	1
pdvd	039349_23/56	6	1	-2275	1.481	2384	151.1	150.2	3.273	3.085	1.313e+06	3.493e+05	0.2661	0.1981	470	147	22	266	1.158e+04	2260	11449	1748	1
pdvd	039349_27/65	6	1	-2207	1.481	3055	278.3	277.6	4.08	4.07	1.393e+06	4.208e+05	0.3021	0.2151	558	172	27	508	1.167e+04	5454	11543	4942	1
pdvd	039349_3/47	4	0	-2210	1.481	3894	20.54	20.2	0.6904	0.4763	7.674e+05	2.263e+05	0.2949	0.2084	88	32	14	29	8548	3645	8420	3133	0
pdvd	039349_34/46	4	1	-2329	1.481	2895	94.9	95.08	2.44	2.769	1.006e+06	4.112e+05	0.4088	0.2573	332	103	16	47	8090	2414	7962	1902	1
pdvd	039349_35/67	6	1	-2323	1.481	4039	192.8	193	0.3692	0.6286	9.003e+05	3.36e+05	0.3732	0.3123	282	100	36	371	1.156e+04	6037	11432	5525	1
pdvd	039349_36/49	6	0	-2421	1.481	3941	108.9	108.5	2.047	2.296	1.767e+06	3.673e+05	0.2079	0.1534	517	133	27	99	1.116e+04	4510	11032	3998	1
pdvd	039349_37/38	4	1	-2237	1.481	3274	202.3	201.5	0.5341	1.111	5.194e+05	4.103e+05	0.79	0.8165	75	32	4	442	8088	4806	7960	4294	1
pdvd	039349_38/72	0	1	-2370	1.481	2508	207.7	206.3	1.718	1.317	1.273e+06	1.015e+06	0.7974	0.7709	202	113	16	344	1975	3081	1847	2569	1
pdvd	039349_4/39	3	1	-2323	1.481	4787	8.075	8.164	1.54	1.371	1.313e+06	3.476e+05	0.2648	0.2019	412	122	19	153	5972	5038	5844	4526	0
pdvd	039349_42/56	6	0	-2206	1.481	3850	138.2	137.8	2.626	2.263	1.72e+06	6.364e+05	0.3701	0.3277	541	176	35	306	1.134e+04	5154	11215	4642	1
pdvd	039349_43/52	6	0	-2183	1.481	2177	78.35	77.73	3.213	3.708	1.386e+06	3.947e+05	0.2848	0.2108	431	136	27	141	1.136e+04	1047	11233	535	0
pdvd	039349_47/32	3	1	-2239	1.481	2902	16.05	16.01	1.264	1.332	8.213e+05	4.746e+05	0.5778	0.4606	174	64	11	166	6015	1542	5887	1030	0
pdvd	039349_5/66	4	0	-2334	1.481	3403	271.1	271.4	0.7985	0.7574	2.551e+06	1.55e+06	0.6078	0.5729	235	134	23	720	8407	5801	8279	5289	1
pdvd	039349_52/33	4	0	-2361	1.481	2718	187.5	187.5	0.3541	0.5594	8.807e+05	1.976e+05	0.2244	0.08436	173	55	11	323	8437	3246	8309	2734	1
pdvd	039349_53/48	5	1	-2360	1.481	2812	138.5	138.1	0.7376	0.9502	1.634e+06	4.413e+05	0.27	0.1701	361	112	25	461	8679	2775	8551	2263	1
pdvd	039349_54/58	5	1	-2473	1.481	2669	135.2	134.5	1.505	1.358	1.195e+06	3.119e+05	0.2611	0.1966	321	103	22	302	8756	2218	8628	1706	1
pdvd	039349_56/38	5	0	-2384	1.481	3416	157.5	157.7	0.7771	0.9088	1.14e+06	2.79e+05	0.2448	0.07095	322	103	19	357	9054	4193	8926	3681	1
pdvd	039349_59/60	6	1	-2365	1.481	1700	246	243.6	2.349	2.453	1.12e+06	1.46e+05	0.1303	0.09515	431	128	14	460	1.154e+04	1992	11410	1480	1
pdvd	039349_61/16	2	1	-2311	1.481	4043	137.4	137.1	0.9623	0.8085	1.313e+06	3.022e+05	0.2301	0.1737	388	135	30	166	5390	5321	5262	4809	1
pdvd	039349_61/44	4	0	-2303	1.481	3824	211.5	210.3	2.842	2.38	1.096e+06	2.498e+05	0.228	0.1439	296	97	18	367	8496	5900	8368	5388	1
pdvd	039349_61/45	4	1	-2303	1.481	2164	236.1	235.7	1.091	1.242	1.461e+06	3.012e+05	0.2062	0.141	279	103	25	154	8130	2912	8002	2400	1
pdvd	039349_63/55	6	0	-2298	1.481	3405	203.6	203.6	0.3196	0.4635	9.768e+05	6.268e+05	0.6417	0.4829	112	41	16	288	1.132e+04	4964	11192	4452	1
pdvd	039349_64/45	5	0	-2423	1.481	4770	31.53	31	1.366	1.459	2.279e+06	9.251e+05	0.406	0.3694	347	140	144	68	8982	5118	8854	4606	0
pdvd	039349_64/66	6	1	-2423	1.481	2506	257.9	257.3	2.525	2.721	1.662e+06	3.661e+05	0.2203	0.1707	549	170	35	443	1.153e+04	3648	11397	3136	1
pdvd	039349_67/78	6	0	-2346	1.481	3119	20.78	21.34	0.8588	0.9218	1.139e+06	7.988e+05	0.7011	0.6389	118	61	9	259	1.134e+04	1827	11211	1315	0
pdvd	039349_77/59	7	1	-2339	1.481	4726	107.9	107.7	1.526	1.635	1.314e+06	6.804e+05	0.5178	0.4637	310	115	51	264	1.225e+04	6233	12117	5721	1
pdvd	039349_81/64	6	0	-2352	1.481	4542	45.41	45.46	1.047	1.232	1.871e+06	2.247e+05	0.1201	0.1031	710	189	31	79	1.136e+04	4993	11233	4481	0
pdvd	039349_82/48	7	0	-2265	1.481	3176	216.2	216.2	1.008	1.534	1.587e+06	3.286e+05	0.2071	0.1638	382	103	19	433	1.174e+04	4742	11609	4230	1
pdvd	039349_83/67	5	0	-2186	1.481	3542	171.4	171.1	2.001	2.017	1.602e+06	2.754e+05	0.1719	0.1319	443	139	31	294	9075	5028	8947	4516	1
