evt59085	correct	likely	4	ok
evt168432	correct	likely	7	ok
evt280972	correct	unclear	7	ok
evt286655	over-clustered	likely	6	ok
evt292005	not an EM shower	likely	5	ok
evt317939	correct	likely	4	ok
evt349549	correct	likely	5	ok
evt393212	correct	likely	4	ok
evt486247	correct	likely	3	ok
evt47696	vertex-bad (undecidable)	unclear	5	ok
evt53658	vertex-bad (undecidable)	likely	5	ok
evt58006	correct	likely	5	ok
evt72786	over-clustered	likely	5	ok
evt91917	under-clustered	unclear	5	ok
evt98844	over-clustered	likely	5	ok
evt105074	vertex-bad (undecidable)	likely	3	ok
evt171572	over-clustered	certain	3	ok
evt176533	correct	likely	4	ok
evt242726	correct	likely	4	ok
evt287794	correct	likely	3	ok
evt293536	not an EM shower	likely	5	ok
evt321367	correct	likely	4	ok
evt393505	over-clustered	certain	4	ok
evt396037	under-clustered	likely	5	ok
evt398191	not an EM shower	unclear	4	ok
evt408678	correct	likely	4	ok
evt499423	over-clustered	likely	4	ok
