sample	event	cls	kind	gid	cluster	cl_class	cl_gid	npts	cl_npts	Q	Qfrac	ext	rms	dvtx	dheld	dcand	cx	cy	cz	n_cand_pts	Qcand	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
mcp1k	48895	UNHELD-TRACK	UNHELD	2	-1	OWN	0	102.0	0.0	720285.5	0.0305	15.4	0.69	9.1	3.0	0.0	-163.7	-173.4	205.2	4033.0	23620098.7	1.0	3.0	5.5	4.7	0.0
mcp1k	49951	NEARBY-UNMATCHED	NEARBY	-1	11	UNMATCHED	1000003	49.0	49.0	580987.0	0.0595	21.0	0.77	17.1	nan	0.3	201.8	174.9	37.3	1078.0	9770677.5	nan	nan	nan	nan	nan
mcp1k	54341	UNHELD-WIDE	UNHELD	0	-1	OWN	0	88.0	0.0	994152.3	0.042	12.1	0.86	8.6	3.0	0.0	116.9	174.3	158.4	2493.0	23657791.7	1.0	3.0	6.6	5.6	0.0
mcp1k	57903	UNHELD-WIDE	UNHELD	7	-1	OWN	0	76.0	0.0	484653.0	0.0533	8.6	2.31	5.9	3.1	0.0	-16.2	-52.2	278.8	1374.0	9097331.6	1.0	3.1	11.7	9.4	0.0
mcp1k	57903	UNHELD-WIDE	UNHELD	2	-1	OWN	0	65.0	0.0	422574.0	0.0465	8.0	1.77	6.2	3.1	0.0	-16.1	-63.8	279.5	1374.0	9097331.6	1.0	3.1	11.1	8.3	0.0
mcp1k	58345	UNHELD-TRACK	UNHELD	0	-1	OWN	0	35.0	0.0	200591.7	0.0387	5.4	0.44	10.3	3.0	0.0	85.9	176.9	106.4	781.0	5189630.4	1.0	3.0	4.6	4.3	0.0
mcp1k	65289	NEARBY-OTHER	NEARBY	-1	4	OTHER	3	4697.0	4697.0	39929645.6	0.9852	252.0	3.7	8.9	nan	1.5	-101.8	11.8	284.3	3885.0	40529333.9	nan	nan	nan	nan	nan
mcp1k	65289	UNHELD-WIDE	UNHELD	0	-1	OWN	0	644.0	0.0	6026967.8	0.1487	14.3	3.38	6.2	3.0	0.0	-80.8	50.1	304.9	3885.0	40529333.9	1.0	3.0	11.0	9.2	0.0
mcp1k	65289	UNHELD-WIDE	UNHELD	1	-1	OWN	0	248.0	0.0	1997791.0	0.0493	14.0	1.7	12.5	3.0	0.0	-80.6	52.5	290.4	3885.0	40529333.9	1.0	3.0	10.0	7.6	0.0
mcp1k	65999	NEARBY-COMPANION	NEARBY	-1	10	COMPANION	9	68.0	68.0	655097.9	0.1103	12.9	1.22	1.7	nan	0.3	-203.1	-88.3	253.0	466.0	5936930.8	nan	nan	nan	nan	nan
mcp1k	65999	NEARBY-COMPANION	NEARBY	-1	7	COMPANION	9	38.0	38.0	191982.8	0.0323	92.2	3.58	18.6	nan	0.3	-204.1	-57.0	304.9	466.0	5936930.8	nan	nan	nan	nan	nan
mcp1k	67746	UNHELD-WIDE	UNHELD	21	-1	OWN	0	991.0	0.0	5148969.4	0.2117	49.6	2.12	4.3	3.0	0.0	72.8	35.7	377.7	4786.0	24322793.8	1.0	3.0	11.7	8.4	0.0
mcp1k	67746	UNHELD-WIDE	UNHELD	19	-1	OWN	0	709.0	0.0	4198456.2	0.1726	47.1	2.07	10.3	3.0	0.0	73.0	23.2	384.7	4786.0	24322793.8	1.0	3.0	12.9	7.8	0.004
mcp1k	168614	UNHELD-WIDE	UNHELD	1	-1	OWN	0	1042.0	0.0	7091219.6	0.2579	16.2	4.36	6.3	3.0	0.0	107.6	92.4	246.1	4380.0	27501276.6	1.0	3.0	20.2	15.9	0.298
mcp1k	170792	UNHELD-WIDE	UNHELD	0	-1	OWN	0	141.0	0.0	2041260.4	0.0781	10.2	1.09	4.5	3.0	0.0	-140.9	177.3	121.4	1557.0	26146506.0	1.0	3.0	6.4	5.0	0.0
mcp1k	174114	UNHELD-WIDE	UNHELD	4	-1	OWN	0	69.0	0.0	1334122.8	0.0861	5.6	1.01	13.8	3.0	0.0	173.2	-156.4	338.5	1057.0	15486788.8	1.0	3.0	8.9	7.9	0.0
mcp1k	174422	NEARBY-UNMATCHED	NEARBY	-1	8	UNMATCHED	1000003	59.0	59.0	428395.4	0.0776	18.5	0.43	0.4	nan	0.5	-15.4	171.9	181.7	706.0	5517497.1	nan	nan	nan	nan	nan
mcp1k	277298	UNHELD-WIDE	UNHELD	2	-1	OWN	0	136.0	0.0	1233570.9	0.1033	7.5	1.1	6.7	3.0	0.0	-169.2	-97.5	90.4	1350.0	11942112.9	1.0	3.0	6.1	5.5	0.0
mcp1k	277298	UNHELD-WIDE	UNHELD	1	-1	OWN	0	81.0	0.0	697361.0	0.0584	5.2	1.17	4.5	3.0	0.0	-169.3	-87.4	84.6	1350.0	11942112.9	1.0	3.0	6.6	6.1	0.0
mcp1k	278420	UNHELD-WIDE	UNHELD	1	-1	OWN	0	571.0	0.0	9847695.8	0.2056	16.6	2.46	3.7	3.0	0.0	20.8	-32.3	79.3	3820.0	47889221.8	1.0	3.0	12.3	9.9	0.004
mcp1k	278420	UNHELD-WIDE	UNHELD	2	-1	OWN	0	235.0	0.0	2484186.5	0.0519	6.7	1.22	4.4	3.0	0.0	20.7	-25.2	69.4	3820.0	47889221.8	1.0	3.0	7.3	6.4	0.0
mcp1k	280466	NEARBY-COMPANION	NEARBY	-1	12	COMPANION	2	3081.0	3081.0	19706696.1	1.7229	173.7	3.28	26.9	nan	0.5	-30.9	-104.3	57.9	1387.0	11437940.2	nan	nan	nan	nan	nan
mcp1k	280994	UNHELD-TRACK	UNHELD	1	-1	OWN	0	81.0	0.0	466541.0	0.0428	11.6	0.8	12.0	3.0	0.0	-28.8	-162.3	54.5	1741.0	10891986.4	1.0	3.0	6.2	5.4	0.0
mcp1k	282204	UNHELD-WIDE	UNHELD	0	-1	OWN	0	427.0	0.0	1902776.4	0.1002	25.7	0.81	4.0	3.0	0.0	-198.5	0.8	233.5	2164.0	18983708.4	1.0	3.0	6.0	5.3	0.0
mcp1k	282231	NEARBY-COMPANION	NEARBY	-1	8	COMPANION	8	60.0	60.0	726028.0	0.0512	5.7	0.61	0.3	nan	0.4	-0.2	51.6	465.4	950.0	14176929.5	nan	nan	nan	nan	nan
mcp1k	282979	UNHELD-WIDE	UNHELD	0	-1	OWN	0	142.0	0.0	1151108.5	0.0665	7.1	1.02	4.3	3.0	0.0	-25.1	170.5	397.7	2077.0	17316592.1	1.0	3.0	6.5	5.9	0.0
mcp1k	283515	UNHELD-WIDE	UNHELD	1	-1	OWN	0	100.0	0.0	1300411.0	0.0484	10.0	0.86	3.6	3.0	0.0	-96.1	186.2	79.7	2202.0	26893262.2	1.0	3.0	5.8	5.1	0.0
mcp1k	283771	UNHELD-WIDE	UNHELD	10	-1	OWN	0	390.0	0.0	1845325.1	0.0833	27.2	1.08	4.0	3.0	0.0	100.2	166.5	400.0	4049.0	22149067.2	1.0	3.0	7.2	6.1	0.0
