# doc 84 round 1 A/B index -- OFF 361f9e58-3883-4dcd-aba1-cd6ab57928d9 / ON c1bbb7c6-2d1a-48b4-8e03-7fa075ee497b / ON2 ea9b4914-6152-4cc4-9da7-df104939e6e0
# off=pre-flip production; on=SBND flip (MCS long_muon_else_pf + P1 fallback + P5); on2=+P2(16deg)+P3(7.5cm) preview (HELD)
# bee_idx	event	status
0	66366	owner ref (stub 6.81cm): on=unchanged chain 126.2cm, MCS 869.3 MeV amb 0.80; on2=RESCUED by P3(7.5cm): chain 126.2->300.6cm, best dqdx 656 -> range 692.2 MeV, MCS amb 0.80->0.35
1	313847	owner ref (10.99deg): RESIDUAL in on AND on2 -- formation-time graph lacks the 162.4cm candidate (final-frame artifact; probe log R1.5); P2 held
2	497311	RESCUED: shower 15000 kine_best 508.5 -> 766.3 MeV (range 766.3)
3	393538	unchanged (context: broken-chain census row; no P1 target)
4	281595	unchanged (context: broken-chain census row; no P1 target)
5	278684	unchanged (context: broken-chain census row; no P1 target)
6	499577	unchanged (context: broken-chain census row; no P1 target)
7	177536	RESCUED: shower 17006 kine_best 511.8 -> 679.0 MeV (range 679.0)
8	74784	unchanged (context: broken-chain census row; no P1 target)
9	53793	RESCUED: shower 12002 kine_best 391.0 -> 527.8 MeV (range 557.2)
10	178885	RESCUED: shower 9016 kine_best 364.3 -> 463.1 MeV (range 455.8)
11	77978	RESCUED: shower 15000 kine_best 219.2 -> 337.5 MeV (range 337.5)
12	55278	RESCUED: shower 13000 kine_best 181.4 -> 318.2 MeV (range 318.2)
13	75554	RESCUED: shower 51036 kine_best 139.1 -> 299.1 MeV (range 299.1)
14	74336	RESCUED: shower 22002 kine_best 195.6 -> 268.7 MeV (range 268.7)
15	71222	RESCUED: shower 22007 kine_best 178.9 -> 226.2 MeV (range 226.2)
16	392901	RESCUED: shower 127030 kine_best 157.0 -> 190.3 MeV (range 190.3)
17	286681	RESCUED: shower 72040 kine_best 181.1 -> 420.3 MeV (range 123.3)
18	159569	RESCUED: shower 12000 kine_best 104.3 -> 187.6 MeV (range 187.6)
19	286191	RESCUED: shower 63011 kine_best 13.1 -> 114.3 MeV (range 114.3)
20	319475	RESCUED: shower 18000 kine_best 109.1 -> 184.2 MeV (range 184.2)
21	283713	RESCUED: shower 23011 kine_best 161.7 -> 170.6 MeV (range 108.6)
22	395695	RESCUED: shower 59035 kine_best 190.8 -> 241.7 MeV (range 126.1)
23	55220	unchanged (context: broken-chain census row; no P1 target)
24	282271	RESCUED: shower 51038 kine_best 66.7 -> 85.0 MeV (range 85.0)
25	61579	RESCUED: shower 74026 kine_best 111.2 -> 157.8 MeV (range 100.5)
26	243628	RESCUED: shower 73029 kine_best 171.8 -> 312.3 MeV (range 83.3)
27	294174	pdg-11 start segment case (audit sec 2.1): watch the electron-table range; unchanged by design this round
28	99232	delta-ray dQdx context event; unchanged this round (P6 not implemented)
29	55740	delta-ray dQdx context event; unchanged this round (P6 not implemented)
30	66872	RESCUED: shower 50019 kine_best 113.5 -> 194.7 MeV (range 60.4)
