sample	event	nflash	nclus	n_noflash	n_correct	n_wrong	n_oob	note
mcp1k	48301	10	36	0	24	12	0	
mcp1k	48367	13	83	0	51	32	0	
mcp1k	48565	17	36	0	21	15	0	
mcp1k	48895	15	52	0	33	19	0	
mcp1k	49445	19	62	0	42	20	0	
mcp1k	49467	17	56	1	17	37	1	
mcp1k	49511	15	37	0	23	13	1	
mcp1k	49709	16	43	0	32	11	0	
mcp1k	49885	15	45	0	17	28	0	
mcp1k	49951	11	40	0	21	19	0	
mcp1k	50017	12	64	0	32	32	0	
mcp1k	50303	15	67	0	21	43	3	
mcp1k	50523	11	50	1	19	29	1	
mcp1k	50743	13	64	0	26	33	5	
mcp1k	50765	13	49	0	37	12	0	
mcp1k	50787	15	32	0	18	14	0	
mcp1k	50809	16	62	0	34	28	0	
mcp1k	50831	15	61	0	29	32	0	
mcp1k	50919	11	45	0	26	19	0	
mcp1k	51051	18	95	0	60	35	0	
mcp1k	51469	19	73	0	45	28	0	
mcp1k	51513	19	58	0	10	48	0	
mcp1k	51865	12	54	0	20	24	10	
mcp1k	52085	9	54	0	41	13	0	
mcp1k	52195	13	51	0	39	12	0	
mcp1k	52613	12	64	0	46	18	0	
mcp1k	52657	23	77	1	48	28	0	
mcp1k	52723	13	31	0	17	14	0	
mcp1k	53361	23	78	0	31	47	0	
mcp1k	53427	12	43	1	20	22	0	
mcp1k	53493	15	50	0	32	18	0	
mcp1k	53581	9	31	0	11	18	2	
mcp1k	53713	16	76	0	45	31	0	
mcp1k	53779	14	60	0	40	20	0	
mcp1k	53955	15	77	0	57	20	0	
mcp1k	54175	13	69	0	37	32	0	
mcp1k	54209	15	39	0	21	18	0	
mcp1k	54285	13	40	0	13	27	0	
mcp1k	54341	20	107	0	20	87	0	
mcp1k	54351	15	59	0	35	24	0	
mcp1k	54505	13	48	0	14	33	1	
mcp1k	54527	16	48	0	38	10	0	
mcp1k	55231	15	64	0	35	29	0	
mcp1k	55539	18	41	0	11	30	0	
mcp1k	55583	13	31	0	28	3	0	
mcp1k	55595	9	38	0	25	13	0	
mcp1k	55627	20	78	0	59	19	0	
mcp1k	55693	15	42	0	17	25	0	
mcp1k	55715	12	58	0	43	14	1	
mcp1k	55925	14	41	0	29	12	0	
mcp1k	55957	13	61	0	40	21	0	
mcp1k	56211	20	101	0	40	59	2	
mcp1k	56243	14	71	0	17	54	0	
mcp1k	56299	10	38	0	24	13	1	
mcp1k	56353	12	40	0	23	16	1	
mcp1k	56387	18	65	0	6	59	0	
mcp1k	56463	13	118	0	38	80	0	
mcp1k	56519	13	40	0	22	17	1	
mcp1k	57245	13	48	0	27	21	0	
mcp1k	57311	13	45	0	28	17	0	
mcp1k	57333	10	37	0	26	11	0	
mcp1k	57355	14	59	0	17	42	0	
mcp1k	57441	20	60	0	37	23	0	
mcp1k	57485	15	42	0	23	17	2	
mcp1k	57487	13	70	0	29	38	3	
mcp1k	57575	16	71	0	20	49	2	
mcp1k	57661	10	107	1	76	28	2	
mcp1k	57883	17	64	0	31	33	0	
mcp1k	57903	11	70	0	22	48	0	
mcp1k	57949	18	83	0	58	25	0	
mcp1k	58169	16	49	0	20	29	0	
mcp1k	58211	8	28	0	10	18	0	
mcp1k	58255	11	66	0	33	33	0	
mcp1k	58321	21	56	0	23	33	0	
mcp1k	58343	12	44	0	21	21	2	
mcp1k	58345	15	28	1	16	11	0	
mcp1k	58433	13	29	0	13	16	0	
mcp1k	58519	21	45	0	26	19	0	
mcp1k	58543	12	58	0	21	37	0	
mcp1k	58607	17	79	1	39	37	2	
mcp1k	58653	15	85	0	28	57	0	
mcp1k	58667	12	44	1	10	32	1	
mcp1k	58711	17	42	1	15	26	0	
mcp1k	58717	26	84	0	36	48	0	
mcp1k	58755	22	101	0	82	19	0	
mcp1k	58777	14	42	0	22	20	0	
mcp1k	58821	19	60	0	17	41	2	
mcp1k	58997	15	47	0	30	17	0	
mcp1k	59003	19	58	0	46	12	0	
mcp1k	59019	16	71	0	39	30	2	
mcp1k	59025	15	41	0	19	20	2	
mcp1k	59047	8	32	0	2	30	0	
mcp1k	59063	14	44	0	28	16	0	
mcp1k	59069	6	58	0	9	49	0	
mcp1k	59085	17	84	0	22	62	0	
mcp1k	59093	15	54	0	36	18	0	
mcp1k	59179	14	41	0	22	19	0	
mcp1k	59247	15	49	0	17	28	4	
mcp1k	59261	13	52	0	21	31	0	
mcp1k	59335	9	55	0	40	13	2	
mcp1k	59371	11	37	0	24	13	0	
mcp1k	59377	12	40	0	32	8	0	
mcp1k	59415	13	66	1	53	12	0	
mcp1k	59459	16	78	0	50	26	2	
mcp1k	59553	10	34	0	5	28	1	
mcp1k	59663	12	31	0	25	6	0	
mcp1k	59685	5	22	0	12	5	5	
mcp1k	59723	10	48	0	26	22	0	
mcp1k	59753	24	78	0	33	44	1	
mcp1k	59773	23	83	0	42	41	0	
mcp1k	59789	13	58	0	43	15	0	
mcp1k	59795	15	128	0	27	101	0	
mcp1k	59863	17	50	0	23	27	0	
mcp1k	59899	12	58	0	17	41	0	
mcp1k	59929	17	60	0	31	28	1	
mcp1k	60017	12	67	0	6	61	0	
mcp1k	60119	18	83	0	20	62	1	
mcp1k	60345	15	49	0	26	23	0	
mcp1k	60369	17	70	1	51	14	4	
mcp1k	60559	16	47	0	24	16	7	
mcp1k	60669	17	106	0	24	82	0	
mcp1k	60763	16	52	0	25	27	0	
mcp1k	60933	16	62	0	19	43	0	
mcp1k	60985	14	44	0	21	23	0	
mcp1k	61071	12	69	0	17	50	2	
mcp1k	61093	19	39	0	22	17	0	
mcp1k	61307	16	40	0	31	9	0	
mcp1k	61313	16	116	0	94	22	0	
mcp1k	61351	13	55	0	15	40	0	
mcp1k	61417	13	35	0	22	13	0	
mcp1k	61461	10	33	1	8	24	0	
mcp1k	61483	14	29	0	13	16	0	
mcp1k	61579	22	85	0	66	19	0	
mcp1k	61637	11	24	0	13	11	0	
mcp1k	61681	16	58	0	43	15	0	
mcp1k	61711	12	40	0	12	28	0	
mcp1k	61843	17	76	0	17	59	0	
mcp1k	61997	17	35	0	15	20	0	
mcp1k	62011	13	35	0	16	19	0	
mcp1k	62019	24	77	1	34	42	0	
mcp1k	62149	17	77	0	43	34	0	
mcp1k	62209	15	76	0	53	23	0	
mcp1k	62231	13	33	0	8	25	0	
mcp1k	62281	25	82	0	19	63	0	
mcp1k	62303	12	44	0	18	24	2	
mcp1k	62327	10	48	0	24	24	0	
mcp1k	62429	14	54	0	8	46	0	
mcp1k	62459	17	52	0	36	16	0	
mcp1k	62473	13	41	0	26	15	0	
mcp1k	62495	17	93	0	69	24	0	
mcp1k	62561	16	50	0	29	21	0	
mcp1k	62583	16	86	0	49	37	0	
mcp1k	62613	14	45	0	26	19	0	
mcp1k	62721	14	78	0	26	52	0	
mcp1k	62825	15	55	0	33	22	0	
mcp1k	62943	17	77	0	48	29	0	
mcp1k	62979	14	42	0	25	17	0	
mcp1k	63097	15	30	0	23	7	0	
mcp1k	63163	5	41	0	4	24	13	
mcp1k	63273	16	75	0	43	32	0	
mcp1k	63359	15	300	0	17	283	0	
mcp1k	63427	11	57	0	34	22	1	
mcp1k	63493	15	52	0	13	30	9	
mcp1k	63515	10	37	0	2	33	2	
mcp1k	63537	14	55	0	38	17	0	
mcp1k	63551	8	18	0	14	4	0	
mcp1k	63559	12	56	0	24	32	0	
mcp1k	63581	15	40	0	17	23	0	
mcp1k	63603	14	42	0	16	26	0	
mcp1k	63669	9	36	0	31	5	0	
mcp1k	63711	19	121	0	25	96	0	
mcp1k	63947	12	36	0	22	14	0	
mcp1k	64057	18	59	0	37	19	3	
mcp1k	64079	16	50	0	9	41	0	
mcp1k	64107	18	78	0	46	31	1	
mcp1k	64409	9	62	0	20	42	0	
mcp1k	64453	15	39	0	14	24	1	
mcp1k	64475	18	63	0	32	31	0	
mcp1k	64503	15	48	0	27	21	0	
mcp1k	64591	14	85	0	49	36	0	
mcp1k	64613	15	52	0	25	27	0	
mcp1k	64701	14	53	0	44	9	0	
mcp1k	64717	22	109	0	78	31	0	
mcp1k	64921	12	62	0	32	30	0	
mcp1k	64959	10	71	0	40	29	2	
mcp1k	65018	17	39	0	23	16	0	
mcp1k	65025	16	126	0	22	104	0	
mcp1k	65053	10	144	0	131	12	1	
mcp1k	65267	17	47	0	37	10	0	
mcp1k	65289	13	47	0	35	12	0	
mcp1k	65295	16	41	0	21	20	0	
mcp1k	65355	17	55	0	29	26	0	
mcp1k	65612	13	33	0	22	11	0	
mcp1k	65647	10	31	0	18	12	1	
