sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
mcp2k	47212	UNHELD	0	8	36152.5	0.0008	2.7	0.19	37.4	3.1	-161.5	-113.3	241.2	-1	OWN	0	0	0.0	4046	42613048.2	1.0	3.1	3.4	3.4	0.0
mcp2k	47784	UNHELD	0	56	308882.2	0.0116	6.4	0.51	8.6	3.0	57.6	-80.9	127.2	-1	OWN	0	0	0.0	3406	26537385.6	1.0	3.0	4.8	4.5	0.0
mcp2k	47916	NEARBY	-1	13	112968.1	0.0456	41.8	0.39	18.4	nan	3.4	148.7	306.2	9	UNMATCHED	13	1000006	0.6	304	2479394.2					
mcp2k	48488	NEARBY	-1	13208	203606476.8	14.0379	225.4	7.89	28.8	nan	-154.1	16.7	261.9	18	OTHER	13208	1	2.6	2302	14504045.5					
mcp2k	48488	NEARBY	-1	11	68157.7	0.0047	0.7	0.33	44.9	nan	-163.3	166.0	238.8	58	OTHER	11	1	1.0	2302	14504045.5					
mcp2k	49415	UNHELD	0	15	315898.1	0.042	1.8	0.41	5.5	3.0	151.7	98.0	374.0	-1	OWN	0	0	0.0	375	7514487.7	1.0	3.0	4.0	3.9	0.0
mcp2k	49742	NEARBY	-1	4155	42718866.1	5.279	168.6	1.68	5.9	nan	145.5	-61.3	72.2	19	UNMATCHED	4155	1000000	4.4	981	8092172.1					
mcp2k	49745	UNHELD	0	6	30111.4	0.002	1.7	0.17	21.2	3.0	-58.4	-81.3	305.6	-1	OWN	0	0	0.0	913	15062805.9	1.0	3.0	3.4	3.3	0.0
mcp2k	49745	UNHELD	1	9	96873.3	0.0064	2.5	0.32	5.2	3.0	-52.7	-66.9	300.7	-1	OWN	0	0	0.0	913	15062805.9	1.0	3.0	4.0	3.8	0.0
mcp2k	49745	UNHELD	2	20	202436.6	0.0134	1.7	0.71	4.4	3.0	-51.6	-62.6	307.3	-1	OWN	0	0	0.0	913	15062805.9	1.0	3.0	5.2	4.9	0.0
mcp2k	49987	NEARBY	-1	3561	48093598.9	4.447	172.6	4.28	115.7	nan	-55.9	81.8	436.3	4	OTHER	3561	2	0.2	1926	10814795.8					
mcp2k	50446	UNHELD	0	15	119220.0	0.0186	3.9	0.33	40.0	3.0	111.4	-56.6	255.4	-1	OWN	0	0	0.0	861	6420346.2	1.0	3.0	4.1	3.9	0.0
mcp2k	50446	UNHELD	1	40	256711.0	0.04	7.7	0.63	45.3	3.1	110.9	-56.5	266.5	-1	OWN	0	0	0.0	861	6420346.2	1.0	3.1	5.3	5.0	0.0
mcp2k	50801	NEARBY	-1	5576	62488852.2	5.8249	289.4	1.48	319.8	nan	41.9	18.7	29.8	14	COMPANION	5576	3	2.0	1002	10727798.0					
mcp2k	51128	NEARBY	-1	5	6592.3	0.0006	0.5	0.21	315.6	nan	0.1	197.9	39.4	4	UNMATCHED	5	1000004	0.4	1097	11779480.7					
mcp2k	51128	NEARBY	-1	2919	22080736.3	1.8745	160.0	1.89	314.0	nan	-95.7	115.0	81.6	19	OTHER	2919	2	3.0	1097	11779480.7					
mcp2k	51219	UNHELD	0	16	92342.2	0.0036	3.7	0.21	129.0	3.1	-107.9	-15.6	103.6	-1	OWN	0	0	0.0	3499	25723054.2	1.0	3.1	3.8	3.6	0.0
