event	channel	tag	half
evt105946	NCpi0	vtxscan-prod0813-ncpi0	test
evt114446	NCpi0	vtxscan-prod0813-ncpi0	dev
evt131357	nueCC	vtxscan-prod0813	test
evt137238	nueCC	vtxscan-prod0813	dev
evt138009	nueCC	vtxscan-prod0813	dev
evt142421	NCpi0	vtxscan-prod0813-ncpi0	dev
evt167684	BNBincl	vtxscan-prod0813-mcp1k	dev
evt172230	nueCC	vtxscan-prod0813	test
evt174576	BNBincl	vtxscan-prod0813-mcp1k	dev
evt180801	NCpi0	vtxscan-prod0813-ncpi0	test
evt214469	nueCC	vtxscan-prod0813	test
evt219295	nueCC	vtxscan-prod0813	dev
evt235435	nueCC	vtxscan-prod0813	test
evt246579	nueCC	vtxscan-prod0813	dev
evt267597	nueCC	vtxscan-prod0813	test
evt268067	nueCC	vtxscan-prod0813	dev
evt268784	nueCC	vtxscan-prod0813	test
evt280774	BNBincl	vtxscan-prod0813-mcp1k	dev
evt280994	BNBincl	vtxscan-prod0813-mcp1k	dev
evt281214	BNBincl	vtxscan-prod0813-mcp1k	dev
evt283905	BNBincl	vtxscan-prod0813-mcp1k	dev
evt284657	BNBincl	vtxscan-prod0813-mcp1k	dev
evt285311	BNBincl	vtxscan-prod0813-mcp1k	dev
evt287599	BNBincl	vtxscan-prod0813-mcp1k	dev
evt287654	BNBincl	vtxscan-prod0813-mcp1k	dev
evt291064	BNBincl	vtxscan-prod0813-mcp1k	dev
evt292027	BNBincl	vtxscan-prod0813-mcp1k	dev
evt292577	BNBincl	vtxscan-prod0813-mcp1k	dev
evt314838	NCpi0	vtxscan-prod0813-ncpi0	test
evt319611	BNBincl	vtxscan-prod0813-mcp1k	dev
evt342199	nueCC	vtxscan-prod0813	dev
evt348691	BNBincl	vtxscan-prod0813-mcp1k	dev
evt350297	BNBincl	vtxscan-prod0813-mcp1k	dev
evt351749	BNBincl	vtxscan-prod0813-mcp1k	dev
evt353223	BNBincl	vtxscan-prod0813-mcp1k	dev
evt359980	NCpi0	vtxscan-prod0813-ncpi0	test
evt360535	nueCC	vtxscan-prod0813	dev
evt390842	BNBincl	vtxscan-prod0813-mcp1k	dev
evt391766	BNBincl	vtxscan-prod0813-mcp1k	dev
evt402330	BNBincl	vtxscan-prod0813-mcp1k	dev
evt405740	BNBincl	vtxscan-prod0813-mcp1k	dev
evt406752	BNBincl	vtxscan-prod0813-mcp1k	dev
evt409942	BNBincl	vtxscan-prod0813-mcp1k	dev
evt422851	nueCC	vtxscan-prod0813	dev
evt423981	nueCC	vtxscan-prod0813	test
evt433451	nueCC	vtxscan-prod0813	dev
evt447477	nueCC	vtxscan-prod0813	dev
evt463565	NCpi0	vtxscan-prod0813-ncpi0	dev
evt488755	BNBincl	vtxscan-prod0813-mcp1k	dev
evt506114	NCpi0	vtxscan-prod0813-ncpi0	test
evt506746	NCpi0	vtxscan-prod0813-ncpi0	test
evt521075	NCpi0	vtxscan-prod0813-ncpi0	test
evt56982	NCpi0	vtxscan-prod0813-ncpi0	test
evt59335	BNBincl	vtxscan-prod0813-mcp1k	dev
evt59899	BNBincl	vtxscan-prod0813-mcp1k	dev
evt66646	BNBincl	vtxscan-prod0813-mcp1k	dev
evt69314	nueCC	vtxscan-prod0813	test
evt71372	NCpi0	vtxscan-prod0813-ncpi0	dev
evt74544	nueCC	vtxscan-prod0813	test
evt81597	nueCC	vtxscan-prod0813	dev
