sample	event	stratum	what
mcp1k	50303	control	numu09 0->1
mcp1k	54351	ISO	numu09 0->1
mcp1k	56211	ISO	vertex toward 6.30->0.41cm
mcp1k	57903	ISO	vertex ADVERSE 1.04->13.32cm
mcp1k	58345	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 7:1000009 0->1; vertex ADVERSE 46.43->infcm
mcp1k	58607	ISO	vertex toward 3.47->0.54cm
mcp1k	59335	ISO	vertex toward 65.05->0.90cm
mcp1k	59899	other	vertex toward 4.47->0.32cm
mcp1k	62281	ISO	vertex ADVERSE 29.27->97.96cm
mcp1k	62583	control	numu09 1->0
mcp1k	63163	ISO	numu09 1->0
mcp1k	63669	control	numu09 1->0
mcp1k	65025	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:1000009 0->1; vertex ADVERSE 0.00->infcm
mcp1k	66118	ISO	numu09 1->0; vertex ADVERSE 0.13->12.60cm
mcp1k	66712	ISO	vertex toward 1.32->0.17cm
mcp1k	68648	ISO	vertex ADVERSE 0.00->1.37cm
mcp1k	71046	ISO	vertex ADVERSE 0.28->3.57cm
mcp1k	71178	control	vertex toward 22.81->17.59cm
mcp1k	72586	ISO	numu09 1->0
mcp1k	73004	ISO	vertex ADVERSE 0.30->2.04cm
mcp1k	166870	ISO	vertex ADVERSE 2.52->20.22cm
mcp1k	170792	ISO	numu09 1->0; vertex ADVERSE 2.42->6.44cm
mcp1k	170880	ISO	vertex toward 1.79->0.57cm
mcp1k	172788	ISO	numu09 1->0; vertex ADVERSE 99.26->280.40cm
mcp1k	174114	ISO	numu09 0->1; vertex ADVERSE 0.13->2.70cm
mcp1k	174576	ISO	vertex ADVERSE 0.97->3.32cm
mcp1k	174928	ISO	vertex ADVERSE 0.41->1.50cm
mcp1k	175808	ISO	numu09 0->1; vertex toward 9.90->1.92cm
mcp1k	278046	ISO	vertex toward 7.74->0.25cm
mcp1k	278420	ISO	vertex ADVERSE 0.57->25.15cm
mcp1k	279256	ISO	vertex toward 29.46->0.48cm
mcp1k	280752	control	vertex ADVERSE 0.76->3.58cm
mcp1k	280994	ISO	vertex ADVERSE 0.00->1.07cm
mcp1k	281837	ISO	numu09 0->1; vertex ADVERSE 0.16->5.60cm
mcp1k	281953	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 10:1000001 0->1; vertex ADVERSE 0.00->infcm
mcp1k	282072	ISO	vertex ADVERSE 0.16->2.06cm
mcp1k	282231	ISO	numu09 1->0; vertex ADVERSE 0.00->50.43cm
mcp1k	282737	control	vertex ADVERSE 0.06->27.48cm
mcp1k	282979	ISO	vertex ADVERSE 87.82->100.49cm
mcp1k	283463	ISO	vertex ADVERSE 0.92->9.13cm
mcp1k	283713	ISO	vertex ADVERSE 0.62->2.79cm
mcp1k	284013	control	vertex toward 5.55->0.29cm
mcp1k	284145	ISO	vertex toward 5.68->0.64cm
mcp1k	284200	ISO	numu09 1->0
mcp1k	284791	ISO	vertex ADVERSE 8.08->9.94cm
mcp1k	285311	ISO	vertex ADVERSE 0.20->2.86cm
mcp1k	285665	ISO	vertex toward 88.95->1.89cm
mcp1k	286353	control	vertex toward 262.56->260.07cm
mcp1k	286655	control	vertex toward 27.88->9.41cm
