sample	event	stratum	what
mcp1k	48367	ISO	numu09 1->0; vertex ADVERSE 0.00->39.94cm
mcp1k	50787	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 6:1000007 1->0
mcp1k	50831	control	vertex toward 1.36->0.21cm
mcp1k	52613	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 2:1 1->0
mcp1k	54175	control	vertex ADVERSE 0.92->5.26cm
mcp1k	54351	ISO	numu09 0->1
mcp1k	56211	ISO	vertex toward 6.30->4.21cm
mcp1k	57485	control	numu09 1->0; vertex ADVERSE 0.27->45.50cm
mcp1k	58607	ISO	vertex ADVERSE 3.47->13.28cm
mcp1k	58711	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 15:1000007 1->0
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.23cm
mcp1k	59899	control	vertex toward 4.47->0.87cm
mcp1k	60017	control	numu09 1->0
mcp1k	61579	control	vertex ADVERSE 2.43->7.72cm
mcp1k	61843	ISO	vertex ADVERSE 12.38->65.83cm
mcp1k	62281	ISO	vertex toward 29.27->0.37cm
mcp1k	62303	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 12:1000006 1->0
mcp1k	62583	control	numu09 1->0
mcp1k	62613	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:1000000 0->1; vertex ADVERSE 0.00->infcm
mcp1k	63359	control	vertex toward 3.57->0.03cm
mcp1k	63559	ISO	numu09 1->0; vertex ADVERSE 0.94->24.52cm
mcp1k	64409	ISO	nue43 1->0
mcp1k	65025	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:1000009 0->1; vertex ADVERSE 0.00->infcm
mcp1k	66118	ISO	numu09 1->0; vertex ADVERSE 0.13->12.62cm
mcp1k	66272	control	vertex ADVERSE 1.33->4.08cm
mcp1k	66646	control	numu09 1->0; vertex ADVERSE 0.16->3.30cm
mcp1k	67394	ISO	numu09 0->1
mcp1k	71178	control	vertex toward 22.81->4.63cm
mcp1k	71222	ISO	vertex ADVERSE 0.51->2.97cm
mcp1k	72586	ISO	numu09 1->0
mcp1k	166870	ISO	vertex ADVERSE 2.52->6.52cm
mcp1k	169774	control	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 2:9 0->1; vertex ADVERSE 12.13->infcm
mcp1k	170792	ISO	numu09 1->0; vertex ADVERSE 2.42->3.90cm
mcp1k	170814	ISO	vertex ADVERSE 0.04->51.35cm
mcp1k	172788	ISO	nu_eval 1->0; numu09 1->0; stm bundle 26:1000000 0->1; vertex ADVERSE 99.26->infcm
mcp1k	172794	control	vertex ADVERSE 0.51->82.70cm
mcp1k	174114	ISO	vertex ADVERSE 0.13->1.44cm
mcp1k	175016	control	vertex ADVERSE 0.00->4.61cm
mcp1k	175428	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 17:9 1->0
mcp1k	175808	ISO	numu09 0->1; vertex toward 9.90->1.65cm
mcp1k	276836	control	numu09 0->1; vertex toward 224.78->0.71cm
mcp1k	278640	control	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:3 0->1; vertex ADVERSE 0.00->infcm
mcp1k	278662	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; numu09 0->1; stm bundle 1:3 1->0
mcp1k	278785	ISO	numu09 1->0
mcp1k	279256	ISO	vertex toward 29.46->0.08cm
mcp1k	279445	control	numu09 0->1
mcp1k	279643	control	vertex ADVERSE 0.54->1.81cm
mcp1k	280017	control	vertex toward 3.66->0.43cm
mcp1k	280752	control	vertex ADVERSE 0.76->3.55cm
mcp1k	281485	control	vertex ADVERSE 4.04->50.40cm
mcp1k	281837	ISO	vertex ADVERSE 0.16->8.80cm
mcp1k	281953	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 10:1000001 0->1; vertex ADVERSE 0.00->infcm
mcp1k	282231	ISO	numu09 1->0; vertex ADVERSE 0.00->51.04cm
mcp1k	282737	control	vertex ADVERSE 0.06->29.08cm
mcp1k	282979	ISO	vertex toward 87.82->36.51cm
mcp1k	283091	control	numu09 1->0; vertex ADVERSE 0.01->110.83cm
mcp1k	283515	ISO	numu09 1->0
mcp1k	283595	control	vertex ADVERSE 0.97->5.90cm
mcp1k	283905	control	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 4:5 0->1; vertex ADVERSE 0.00->infcm
mcp1k	284013	control	vertex toward 5.55->4.04cm
mcp1k	284145	ISO	vertex toward 5.68->0.13cm
mcp1k	284200	ISO	numu09 1->0
mcp1k	284235	control	vertex ADVERSE 1.73->43.42cm
mcp1k	284794	ISO	numu09 1->0; vertex ADVERSE 0.00->3.83cm
mcp1k	285366	control	vertex toward 66.92->0.04cm
mcp1k	285663	other	label cosmic-tagged->nu-candidate; nu_eval 0->1; stm bundle 7:1000002 1->0
mcp1k	285665	ISO	numu09 1->0
