sample	event	stratum	what
mcp1k	48895	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 17:4 0->1; vertex ADVERSE 0.00->infcm
mcp1k	50303	control	numu09 0->1
mcp1k	54351	ISO	numu09 0->1
mcp1k	56211	ISO	vertex toward 6.30->0.42cm
mcp1k	57903	ISO	vertex ADVERSE 1.04->3.39cm
mcp1k	58345	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 7:1000009 0->1; vertex ADVERSE 46.43->infcm
mcp1k	58607	ISO	vertex toward 3.47->1.04cm
mcp1k	58717	other	numu09 0->1
mcp1k	62281	ISO	vertex toward 29.27->0.66cm
mcp1k	62583	control	numu09 1->0
mcp1k	62613	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:1000000 0->1; vertex ADVERSE 0.00->infcm
mcp1k	63163	ISO	vertex ADVERSE 0.26->1.31cm
mcp1k	64717	ISO	vertex ADVERSE 0.02->9.61cm
mcp1k	65025	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 16:1000009 0->1; vertex ADVERSE 0.00->infcm
mcp1k	65267	control	vertex ADVERSE 0.00->1.00cm
mcp1k	66118	ISO	numu09 1->0; vertex ADVERSE 0.13->69.75cm
mcp1k	71178	control	vertex toward 22.81->17.72cm
mcp1k	72586	ISO	numu09 1->0
mcp1k	73004	ISO	vertex ADVERSE 0.30->2.19cm
mcp1k	168614	ISO	numu09 1->0
mcp1k	170792	ISO	vertex toward 2.42->0.80cm
mcp1k	170880	ISO	vertex ADVERSE 1.79->13.82cm
mcp1k	172090	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 10:1000003 0->1
mcp1k	172266	ISO	numu09 1->0; vertex ADVERSE 0.55->112.79cm
mcp1k	172788	ISO	vertex ADVERSE 99.26->279.73cm
mcp1k	173058	control	vertex ADVERSE 0.00->1.15cm
mcp1k	174114	ISO	numu09 0->1; vertex ADVERSE 0.13->1.42cm
mcp1k	175808	ISO	numu09 0->1; vertex toward 9.90->1.70cm
mcp1k	278046	ISO	vertex toward 7.74->4.45cm
mcp1k	278420	ISO	numu09 1->0; vertex ADVERSE 0.57->30.81cm
mcp1k	279256	ISO	vertex toward 29.46->0.11cm
mcp1k	280752	control	vertex ADVERSE 0.76->4.82cm
