sample	event	stratum	what
mcp1k	48895	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 17:4 0->1; vertex ADVERSE 0.00->infcm
mcp1k	50303	control	numu09 0->1
mcp1k	56211	ISO	vertex toward 6.30->4.44cm
mcp1k	57903	ISO	vertex ADVERSE 1.04->13.18cm
mcp1k	58345	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 7:1000009 0->1; vertex ADVERSE 46.43->infcm
mcp1k	58607	ISO	vertex toward 3.47->0.80cm
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.89cm
mcp1k	62149	ISO	vertex ADVERSE 0.12->1.17cm
mcp1k	62281	ISO	vertex toward 29.27->0.54cm
mcp1k	62583	control	numu09 1->0
mcp1k	62613	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:1000000 0->1; vertex ADVERSE 0.00->infcm
mcp1k	63163	ISO	vertex ADVERSE 0.26->1.94cm
mcp1k	63551	ISO	vertex ADVERSE 0.00->2.34cm
mcp1k	63669	control	numu09 1->0
mcp1k	64921	control	numu09 0->1
mcp1k	66118	ISO	vertex ADVERSE 0.13->70.33cm
mcp1k	71178	control	vertex ADVERSE 22.81->32.01cm
mcp1k	72586	ISO	vertex toward 300.05->296.49cm
mcp1k	73004	ISO	vertex ADVERSE 0.30->1.99cm
mcp1k	166870	ISO	vertex ADVERSE 2.52->19.69cm
mcp1k	170792	ISO	numu09 1->0; vertex toward 2.42->0.94cm
mcp1k	172090	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 10:1000003 0->1
mcp1k	172788	ISO	nu_eval 1->0; numu09 1->0; stm bundle 26:1000000 0->1; vertex ADVERSE 99.26->infcm
mcp1k	174114	ISO	vertex ADVERSE 0.13->2.01cm
mcp1k	175808	ISO	numu09 0->1; vertex toward 9.90->1.75cm
mcp1k	278420	ISO	vertex ADVERSE 0.57->27.64cm
mcp1k	279256	ISO	vertex toward 29.46->0.28cm
mcp1k	280752	control	vertex ADVERSE 0.76->3.44cm
mcp1k	280972	ISO	vertex ADVERSE 0.25->6.69cm
mcp1k	280994	ISO	vertex ADVERSE 0.00->1.03cm
mcp1k	281595	ISO	vertex ADVERSE 0.42->2.83cm
mcp1k	281837	ISO	numu09 0->1; vertex ADVERSE 0.16->6.64cm
