sample	event	stratum	what
mcp1k	48895	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 17:4 0->1; vertex ADVERSE 0.00->infcm
mcp1k	50303	control	numu09 0->1
mcp1k	50831	control	vertex ADVERSE 1.36->3.76cm
mcp1k	56211	ISO	vertex toward 6.30->0.92cm
mcp1k	57903	ISO	vertex ADVERSE 1.04->25.30cm
mcp1k	58607	ISO	vertex ADVERSE 3.47->13.28cm
mcp1k	59003	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 19:10 0->1; vertex ADVERSE 0.00->infcm
mcp1k	59335	ISO	numu09 0->1; vertex toward 65.05->0.87cm
mcp1k	59899	other	vertex toward 4.47->0.36cm
mcp1k	59929	control	numu09 1->0; vertex ADVERSE 0.00->3.69cm
mcp1k	62281	ISO	numu09 1->0; vertex toward 29.27->0.43cm
mcp1k	62583	control	numu09 1->0
mcp1k	62613	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; stm bundle 17:1000000 0->1; vertex ADVERSE 0.00->infcm
mcp1k	63559	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 11:1000004 0->1; vertex ADVERSE 0.94->infcm
mcp1k	64717	ISO	vertex ADVERSE 0.02->9.52cm
mcp1k	68648	ISO	vertex ADVERSE 0.00->1.30cm
mcp1k	71178	control	vertex toward 22.81->12.06cm
mcp1k	72586	ISO	numu09 1->0; vertex toward 300.05->295.21cm
mcp1k	166870	ISO	vertex ADVERSE 2.52->18.55cm
mcp1k	168614	ISO	numu09 1->0
mcp1k	169824	ISO	vertex ADVERSE 0.07->1.20cm
mcp1k	170792	ISO	numu09 1->0; vertex ADVERSE 2.42->6.74cm
mcp1k	170880	ISO	vertex ADVERSE 1.79->14.28cm
mcp1k	172788	ISO	numu09 1->0; vertex ADVERSE 99.26->280.96cm
mcp1k	174114	ISO	numu09 0->1; vertex ADVERSE 0.13->1.77cm
mcp1k	174576	ISO	label nu-candidate->cosmic-tagged; nu_eval 1->0; numu09 1->0; stm bundle 5:2 0->1; vertex ADVERSE 0.97->infcm
mcp1k	174928	ISO	vertex ADVERSE 0.41->1.84cm
mcp1k	175808	ISO	numu09 0->1; vertex toward 9.90->1.98cm
mcp1k	278046	ISO	vertex ADVERSE 7.74->9.24cm
mcp1k	279256	ISO	vertex toward 29.46->27.07cm
