# doc pdvd/99 re-scan list for arm p98vonq (match match_p98vonq.json); one row per flagged record item; new_vs_identity = reason types not already flagged on the identity match
volume	old_key	new_key	verdict	michel_kind	status	f_fwd	f_rev	dx_cm	stop_move_cm	new_vs_identity	reasons
?	039252_16/31	039252_16/31	THRU	— not set —	ok	0.9963	0.9969	0.0		-	candidate:none
?	039252_16/91	039252_16/93	MESSY	none	ok	0.9534	0.9296	0.0		-	candidate:none;class:MESSY
?	039252_9/49	039252_9/111	STM_ONLY	detached dots	merged	0.9832	0.2226	96.7		match,michel_tag,t0	match:merged;t0:dx96.7;michel_tag:158024:lost;michel_tag:159025:lost
?	039253_10/30	039253_10/28	THRU	— not set —	ok	0.996	0.9904	0.0		-	candidate:none
?	039253_2/50	039253_2/50	THRU	— not set —	ok	0.996	0.998	0.0		-	candidate:none
?	039253_3/60	039253_3/59	STM_MICHEL	both	ok	0.9913	0.9938	0.0		-	candidate:none
?	039349_25/57	039349_25/59	THRU	— not set —	ok	0.989	0.9916	0.0		-	candidate:none
?	039349_25/69	039349_25/73	THRU	— not set —	ok	0.9933	0.9944	0.0		-	candidate:none
?	039349_25/71	039349_25/75	THRU	— not set —	ok	0.9921	0.9895	0.0		-	candidate:none
?	039349_27/54	039349_27/63	THRU	— not set —	ok	0.9957	0.549	0.0		-	candidate:none
?	039349_45/19	039349_45/24	THRU	— not set —	ok	0.969	0.9894	0.0		-	candidate:none
?	039349_48/20	039349_48/22	THRU	— not set —	ok	0.9569	0.9812	0.0		-	candidate:none
?	039349_50/55	039349_50/60	STM_ONLY	detached dots	ok	0.9977	0.9891	-47.1		michel_tag,t0	candidate:none;t0:dx-47.1;michel_tag:165001:lost;michel_tag:166002:lost;michel_tag:167003:lost
?	039349_68/23	039349_68/22	THRU	— not set —	ok	0.987	1.0	0.0		-	candidate:none
?	039349_7/20	039349_7/28	STM_MICHEL	attached	ok	0.9885	0.9716	0.0		-	candidate:none
?	039349_74/53	039349_74/48	THRU	— not set —	ok	0.9917	0.995	0.0		-	candidate:none
?	039349_81/21	039349_81/18	THRU	none	ok	0.9613	1.0	0.0		-	candidate:none
?	039349_82/50	039349_82/50	THRU	— not set —	ok	0.9924	0.9953	0.0		-	candidate:none
bottom	039252_12/45	039252_12/40	THRU	none	ok	0.9918	0.9952	0.0		candidate	candidate:none
bottom	039252_14/37	039252_14/37	STM_MICHEL	both	ok	0.9777	0.9634	0.0	0.13	michel_tag	michel_tag:134013:lost
bottom	039252_16/32	039252_16/32	STM_MICHEL	attached	ok	0.9764	0.9758	-95.2		candidate,t0	candidate:none;t0:dx-95.2
bottom	039252_16/33	039252_16/33	THRU	none	ok	0.9488	0.9869	0.0		candidate	candidate:none
bottom	039252_17/104	039252_17/78	STM_ONLY	detached dots	lost	0.5424	0.9939	-0.6		match	match:lost
bottom	039252_3/45	039252_3/45	STM_MICHEL	attached	ok	0.9842	1.0	0.0		candidate	candidate:none
bottom	039252_4/55	039252_4/55	THRU	none	ok	0.9954	0.9897	0.0		candidate	candidate:none
bottom	039252_6/114	039252_6/25	THRU	— not set —	split	0.7839	0.9964	0.0		match	match:split
bottom	039252_7/34	039252_7/29	THRU	none	ok	0.9967	1.0	0.0		candidate	candidate:none
bottom	039252_9/52	039252_9/49	STM_MICHEL	attached	ok	0.945	0.9665	0.0	1.13	michel_tag	michel_tag:173014:lost
bottom	039253_0/44	039253_0/39	STM_MICHEL	attached	ok	0.9963	1.0	0.0		candidate	candidate:none
bottom	039253_1/116	039253_1/116	THRU	none	ok	0.9927	0.9953	0.0		candidate	candidate:none
bottom	039253_10/25	039253_10/24	THRU	none	ok	0.9911	0.9888	0.0		candidate	candidate:none
bottom	039253_10/35	039253_10/34	THRU	none	ok	0.9609	0.9667	0.0	26.12	stop	stop:26.1cm
bottom	039253_11/44	039253_11/41	THRU	none	ok	0.9317	0.9972	0.0		candidate	candidate:none
bottom	039253_12/41	039253_12/42	STM_ONLY	none	ok	0.9783	0.969	11.2		candidate,t0	candidate:none;t0:dx11.2
bottom	039253_14/47	039253_14/43	THRU	none	ok	0.9968	0.9953	0.0		candidate	candidate:none
bottom	039253_15/105	039253_15/107	STM_MICHEL	both	ok	0.9961	0.9925	0.0		candidate	candidate:none
bottom	039253_15/36	039253_15/29	STM_MICHEL	attached	ok	0.9985	0.998	0.0		candidate	candidate:none
bottom	039253_16/119	039253_16/130	THRU	none	ok	0.9968	0.9978	0.0		candidate	candidate:none
bottom	039253_16/51	039253_16/52	STM_ONLY	detached dots	ok	1.0	0.9967	55.5		candidate,michel_tag,t0	candidate:none;t0:dx55.5;michel_tag:148003:lost
bottom	039253_17/127	039253_17/23	STM_ONLY	none	lost	0.4847	0.9927	8.9		match,t0	match:lost;t0:dx8.9
bottom	039253_2/13	039253_2/13	STM_MICHEL	attached	ok	0.986	0.9875	0.0		candidate	candidate:none
bottom	039253_6/41	039253_6/44	STM_ONLY	detached dots	ok	0.9915	0.9957	0.0	0.03	michel_tag	michel_tag:173008:lost
bottom	039253_8/31	039253_8/31	THRU	— not set —	ok	0.9853	0.9914	0.0		candidate	candidate:none
bottom	039349_10/27	039349_10/30	THRU	— not set —	ok	0.9896	0.9808	0.0		candidate	candidate:none
bottom	039349_11/24	039349_11/28	THRU	none	ok	0.9985	0.9975	0.0		candidate	candidate:none
bottom	039349_13/32	039349_13/16	THRU	none	ok	0.9988	0.9994	0.0		candidate	candidate:none
bottom	039349_15/18	039349_15/63	THRU	none	merged	0.8012	0.0501	231.7		match,t0	match:merged;t0:dx231.7
bottom	039349_18/18	039349_18/19	THRU	none	ok	0.9964	0.9414	0.0		candidate	candidate:none
bottom	039349_18/9	039349_18/16	THRU	none	ok	0.9832	0.9573	-91.8	4.06	t0	t0:dx-91.8
bottom	039349_2/10	039349_2/13	THRU	none	ok	0.7919	0.9841	0.0		candidate	candidate:none
bottom	039349_2/15	039349_2/18	THRU	none	ok	0.9924	0.9981	-13.0		candidate,t0	candidate:none;t0:dx-13.0
bottom	039349_22/28	039349_22/30	THRU	none	ok	0.9841	0.9874	0.0		candidate	candidate:none
bottom	039349_24/21	039349_24/22	UNCLEAR	none	ok	0.9625	0.9398	0.0	1.57	-	class:UNCLEAR
bottom	039349_24/35	039349_24/37	STM_ONLY	detached dots	ok	0.9936	0.9561	0.0	5.6	michel_tag,stop	stop:5.6cm;michel_tag:124001:lost
bottom	039349_26/18	039349_26/25	STM_ONLY	detached dots	ok	0.8642	0.9689	0.0		candidate	candidate:none
bottom	039349_28/60	039349_28/66	STM_MICHEL	attached	ok	0.9957	0.9958	0.0		candidate	candidate:none
bottom	039349_3/26	039349_3/26	THRU	none	ok	0.9926	0.988	0.0		candidate	candidate:none
bottom	039349_30/28	039349_30/30	THRU	none	ok	0.9823	0.9934	0.0		candidate	candidate:none
bottom	039349_30/66	039349_30/75	THRU	none	ok	0.987	0.9913	0.0		candidate	candidate:none
bottom	039349_35/75	039349_35/78	STM_ONLY	none	ok	0.9551	0.9788	0.0		candidate	candidate:none
bottom	039349_39/27	039349_39/24	THRU	none	ok	0.9917	0.9868	0.0		candidate	candidate:none
bottom	039349_43/66	039349_43/66	STM_MICHEL	attached	merged	0.9955	0.3679	0.0		match,michel_tag	match:merged;michel_tag:172009:lost
bottom	039349_47/24	039349_47/24	THRU	none	ok	0.8504	0.9138	0.0	35.71	stop	stop:35.7cm
bottom	039349_51/17	039349_51/15	THRU	none	ok	0.9833	0.9901	0.0		candidate	candidate:none
bottom	039349_51/24	039349_51/71	STM_MICHEL	detached dots	collision	0.9382	0.3894	0.0		match	match:collision
bottom	039349_51/29	039349_51/27	STM_MICHEL	both	ok	0.9944	0.9908	0.0		candidate,michel_tag	candidate:none;michel_tag:106007:lost
bottom	039349_54/30	039349_54/33	STM_MICHEL	both	ok	0.9937	0.9773	0.0		candidate,michel_tag	candidate:none;michel_tag:118015:lost
