key	in_A0	in_A1	A0_is_stm	A0_michel	A1_is_stm	A1_michel
039252_10/69	1	1	0	0	0	0
039252_13/66	1	1	0	0	0	0
039252_4/108	1	1	0	0	0	0
039252_5/82	1	1	0	0	0	0
039252_8/82	1	1	0	0	0	0
039252_9/48	1	1	1	0	1	0
039253_2/112	1	1	0	0	0	0
039253_2/95	1	1	0	0	0	0
039253_5/82	1	1	0	0	0	0
039349_15/41	1	1	0	0	0	0
039349_16/41	1	1	0	0	0	0
039349_23/54	1	1	0	0	0	0
039349_26/47	1	1	1	0	1	0
039349_27/22	1	1	0	0	0	0
039349_3/74	1	1	1	1	1	1
039349_33/18	1	1	0	0	0	0
039349_34/47	1	1	0	1	0	1
039349_64/70	1	1	0	0	0	0
039349_77/40	1	1	1	1	1	1
039349_77/54	1	1	0	0	0	0
039349_82/19	1	1	0	0	0	0
