# doc pdvd/97 -- d97_video_picks.py; skipped after visual check: none
det	cls	rank	key	tier	source	ratio	contrast	muon_len	ke_best	ke_region	n_dots	n_mu	n_e	n_gamma	stop	pf	ev_who	evidence
pdhd	dots	1	028084_21/55	0	agent:high	1.046	2.068	180.199	0.000	3.510	0	6	2	1	-31.6,542.7,334.4	mu- 123 MeV(mu- 64 MeV(mu- 70 MeV(mu- 70 MeV(mu- 40 MeV(mu- 207 MeV(gamma 0.42 MeV(e- 0.42 MeV)))))), e- 19 MeV)	agent	180 cm, enters through the top (y face 3.8 cm) near the back and stops at (-31.6, 542.7, 334.4): d_face 63.3 cm (y), 29.1 cm from the cathode, 103 cm past the APA seam, 326 cm from the anode, in APA2 but at its top, far from the y<60 corner. Not isochronous (|dx|/L = 0.32). The profile sits on a ~5.5-6e4 plateau and climbs steadily over the last ~15 cm, 8e4 -> 9-10e4 -> 1.15-1.23e5 in the last 3 cm, riding just above the muon reference curve with no collapse: a clean Bragg rise, pin left at the fit end. Nothing is attached at the stop: all three azimuths show the track ending at the star with no arm or stub, and no row within 35 cm past it, so no undershoot candidate. Two isolated 2-point specks: 287016 at 35.4 cm (cos_fwd 0.12, 34 cm off the body line) and 286015 at 41.5 cm (cos_fwd 0.53, 28 cm off the line), both compact and detached: capture gammas, which on an STM_ONLY count in any direction. f_meas (stop = high-time end, ~slice 487): U, V and W charge end there; the two specks show as lone cells; the V (5597) and W (8888) dead bands are well away. 55011 is a delta 107 cm back on the body: delta / other.
pdhd	dots	2	028084_30/111	0	owner	1.004	1.942	144.013	0.000	18.979	0	8	2	1	336.2,498.2,356.8	mu- 32 MeV(mu- 57 MeV(mu- 60 MeV(mu- 104 MeV(mu- 48 MeV(mu- 67 MeV(mu- 124 MeV(e- 7.27 MeV, mu- 47 MeV(gamma 1.01 MeV(e- 1.01 MeV)))))))))	agent	About 144 cm; enters through the top 2.7 cm from y = 606 and stops at (336.2, 498.2, 356.8): 21.8 cm from the anode face (nearest), 108 cm below the top, 334 cm from the cathode, 126 cm from the APA seam, in APA3. dQ/dx: plateau ~5-6.5e4 (ragged, one pair at 9.5e4 near 20 cm), 5-8e4 over the last 10 cm, then a textbook Bragg rise over the last ~2 cm (1.06e5 -> 1.23e5 -> 1.52e5 -> 1.63e5 -> 1.75e5 at the last point), sitting on the muon reference curve and peaking at the fit end: no overshoot (no peak-then-collapse) and the pin stays. No forward piece leaves the fit end, so no hot tip. f_meas: the track ends cleanly in all three planes, no dead channel at the end. 299040 (5 points, 2.4 cm, faint at 4452) sits 16.2 cm from the stop at cos_fwd 0.2, about 16 cm off the body line, with a clean charge-free gap to the stop in all three 3-D azimuths and in f_meas (W 9573 vs the track end at ~9538, same time slice): detached and compact, so gamma not michel under the attachment tie-break; a capture gamma on this STM_ONLY. 111016 (chain delta ray, 9.4-14.4 cm, cos_fwd -1.0) leaves the body at the 111014/111034 vertex 9.4 cm back and hugs the body line (~2 cm off it), its charge falling from 5e4 to ~0 going out: delta / other. The other seven pdg-13 rows are the muon body up to the top entry.
pdhd	attached	1	028084_0/97	0	owner	1.070	2.142	62.034	30.467	56.972	1	2	1	0	24.0,548.4,53.6	mu- 164 MeV(mu- 19 MeV(e- 30 MeV))	agent	62 cm chain, enters through the top 6.3 cm from y=606 and stops at (24.0, 548.4, 53.6), 53.4 cm from the nearest face (z), 21.5 cm from the cathode and 177 cm from the APA seam, in APA1 (x>0, z<231). The profile sits on a ragged plateau of about 5e4 (dips to 2e4 at s 15-20) and climbs over the last ~8 cm to 1.35e5 at s~2.5 along the muon reference curve, with the last points still ~1.0e5; the droop from the peak to the last point stays far above the plateau, so it is ordinary scatter, not an overshoot collapse, and the pin stays at the fit end. The hot 2.5 cm piece 97012 (1.1e5) is on the chain, cos_fwd -0.99: the Bragg peak itself, not a hot tip past the end. A 10 cm arm (97011 8.4 cm + 97001 1.7 cm, d 0-7.4, cos_fwd 0.43) leaves the stop at plateau charge (5.5-6.0e4), hooking off the muon line in all three azimuths; a muon at its Bragg peak cannot continue at MIP, so this is the Michel. Four small pieces 17-41 cm out, all 16-35 cm to +x of the body line on the Michel side, stepping down in time in f_meas away from the Michel: 279007 and 280008 (along the Michel direction) and 282010 are gamma; 281009 is +35 cm in x like the Michel but -22 in z (cos_fwd -0.36), called gamma, arguable. No dead channels at the stop in f_meas.
pdhd	attached	2	028084_1/142	0	owner	1.018	1.980	201.380	31.161	53.482	1	1	1	0	51.6,408.8,302.5	mu- 469 MeV(e- 31 MeV)	agent	201 cm single-segment chain, enters through the top 12.9 cm from y=606 and stops at (51.6, 408.8, 302.5), 160 cm from the nearest face, 49 cm from the cathode and 71.5 cm from the APA seam, in APA3. The profile rides a ragged 4-6e4 plateau (dip to 3.7e4 at s 31-35), bumps to ~9e4 at s 7-9 and climbs to ~1.2e5 (about 2x plateau) over the last 2-3 cm, on the muon curve; short but a real rise, and the last point sits at the peak, so no overshoot. A 10.8 cm arm 142003 (d 0-10.2, cos_fwd 0.81) leaves the stop at plateau charge (4-8.5e4, no climb at its far end): in f_meas the track reverses direction in time slice at the stop in U, V and W, and in the c azimuth the arm bends ~60 deg off the muon line. A muon at its Bragg peak cannot continue at MIP, so the arm is the Michel; not a hot tip (10 cm at plateau, not a couple of cm at several times it). 348001 (2 points, 12.6-12.9 cm, cos_fwd 0.68) sits on the Michel line 2.5 cm past its end: tagged michel as the electron continuation across a small break; gamma would be the alternative. 350002 is a 2-point speck 54 cm back up the muon side, ~20 cm off the body line, opposite the Michel direction: delta / other. No dead channels at the stop in any plane (W dead bands are 100+ channels away).
pdhd	both	1	028084_26/109	0	owner	0.911	1.787	49.468	3.680	11.527	2	1	1	1	72.3,101.9,436.1	mu- 143 MeV(gamma 3.68 MeV(e- 3.68 MeV))	agent	50 cm track entering 7.4 cm inside the back face at (67.8, 142.2, 454.9) and ending at (72.3, 101.9, 436.1), 26 cm from the nearest face (z), 94 cm above the floor, 72 cm from the cathode and 205 cm from the APA seam, in APA3. dy = -40 over a 45 cm chord, so the fit end is the lower end, consistent with a downgoing cosmic. Clear Bragg rise: plateau ~5.5-7e4, points at ~1.05-1.1e5 at 7-8 cm, then the last 2 cm climb along the muon curve to 1.2, 1.33, 1.5 and 1.65e5 at the last point. No collapse, so the pin stays. Nothing continues past the stop in the 3-D azimuths or in f_meas; the grey tracks in W and U cross elsewhere. The only activity at the stop is two compact 2-point clumps, 295004 and 296005, both 3.2-3.3 cm from the stop on opposite sides of it (cos_fwd 0.53 and -0.14), reading 9.3e4 and ~3.2e4. Within 5 cm a compact piece counts as the Michel even across a gap (rule 13), so they are the Michel. They have size 0.0, which the degenerate-row rule would call delta / other, so the Michel rests on very little charge. Three specks 52-58 cm out in the forward hemisphere (293002 cos_fwd 0.71, 294003 0.31, 297006 0.68), past the stop and clear of the body, are tagged gamma; they are faint and uncertain. 292001 (2.7 cm, 26.7 cm out, cos_fwd -0.27, slightly backward and ~26 cm off the body line) is off in an unrelated direction: delta / other.
pdhd	both	2	029107_3/107	0	agent:high	0.897	1.793	304.200	19.046	70.010	1	2	1	1	21.7,307.3,365.4	mu- 700 MeV(gamma 19 MeV(e- 19 MeV), mu- 7.38 MeV)	agent	304 cm track entering 18.6 cm below the top face, fit end in APA3 at (21.7, 307, 365): 97 cm from the nearest face, 134 cm from the APA seam, 19 cm from the cathode. The end view shows the last ~110 cm running at constant x ~20 cm (near-isochronous lower section, horizontal in U and V of f_meas), so it runs parallel to the cathode rather than into it. The profile climbs cleanly: plateau ~4.5-5e4 at s=25-45 cm, ~7-8.5e4 over 5-20 cm, ~9.5-9.9e4 in the last 2 cm, following the muon curve shape - a clear Bragg rise to ~2x plateau. From the stop vertex a ~15 cm arm (107002 1.4-6.6 cm and 107003 6.6-15.4 cm, both shower-typed, cos_fwd -0.55/-0.77) leaves at an angle down and back beside the body; the d azimuth shows it clearly separated from the body line: the Michel. 107007 is a 2 cm piece at the vertex whose charge falls outwards (8.7e4 to 1.7e4), not several times the plateau, so no hot tip: michel. 331005 (2 pts, 22 cm) sits ~11 cm off the body in x, along the Michel arm direction: gamma. 330004 (4 pts, 37 cm) is forward and below the stop, ~90 deg from the Michel direction: delta / other. A grey dotted trace (~25 cm, not in the object table) also leaves the stop at an angle with a hook; unexplained but it cannot rescue a through-going muon given the rise.
pdhd	bare	1	029107_26/88	0	agent:high	1.169	2.469	86.163	0.000	0.000	0	3	0	0	82.5,525.4,331.7	mu- 67 MeV(mu- 178 MeV(mu- 18 MeV))	agent	86.2 cm, enters 14 cm below the top face (y=592) and stops at x=82.5, y=525, z=331.7: 80.6 cm from the nearest face (top), 80 cm from the cathode and 101 cm from the APA seam, in APA3. The profile runs on a smooth, slightly wavy plateau of ~3-5e4 and then climbs steadily over the last ~6 cm from ~2.5e4 to ~1.2e5 at the final points, following the shape of the muon reference curve: a clear Bragg rise, peaking at the last point, so no overshoot and the pin stays. The 3.2 cm last segment 88009 (1.05e5) is the fitted muon tip. Nothing leaves the stop in any of the three azimuths and the object table has no piece other than the muon chain; f_meas shows the cluster charge ending in U, V and W with no dead band near the stop. A separate straight track runs parallel to the muon some 30-40 cm off to the side in the 3-D frames (not in the object table); it is a different object and does not touch the stop. No decay activity, no capture gamma candidates.
pdhd	bare	2	028084_26/115	0	agent:high	0.871	1.695	229.887	0.000	12.584	0	1	0	0	107.8,367.9,368.9	mu- 532 MeV	agent	230 cm single-segment track, chain entry 19.3 cm below the top face at (68.3, 586.7, 360.4), stopping mid-volume at (107.8, 367.9, 368.9) in APA3, 93 cm from the nearest (back z) face, 105 cm from the cathode and 138 cm from the seam. The profile rides a ~5.5-6e4 plateau and climbs over the last ~10 cm: ~1e5 at 7-9 cm, a dip to ~6.5e4 at 4-5 cm, then 1.02e5 and 1.4e5 at the last two points, following the muon reference curve; ragged but a real rise, with no collapse after the peak (no overshoot) and nothing past the end (no hot tip, no undershoot). Charge ends cleanly in all three planes of f_meas with no dead band near the end, and nothing continues past the star in c/d/e. The object table holds only the muon: no arm, stub or speck anywhere within the drawn window, so no decay activity (consistent with mu- capture). The only thing I could not resolve is the 19 cm of missing track between the chain entry and the top face, which does not bear on the stop.
pdvd	dots	1	039349_48/58	0	pdvd-record:high	1.124	2.147	265.448	0.507	6.833	1	4	2	1	38.4,135.7,166.0	mu- 33 MeV(mu- 63 MeV(mu- 547 MeV(e- 13 MeV, mu- 40 MeV(gamma 0.51 MeV(e- 0.51 MeV)))))	pdvd-record:high	265 cm chain entering 0.3 cm from the z face and ending 132.4 cm from the nearest wall, deeply contained. This is the cleanest Bragg in my chunk: a 5.3e4 plateau beyond s=40 climbing smoothly along the solid muon curve through 6.0e4 at s=20, 6.7-7.5e4 at s=10-18, 8.7-9.0e4 at s=6-13, 9.5-1.02e5 at s=3-4, 1.14-1.22e5 at s=1.5-2.5 and 1.39e5 at s=0.5, with the row mean for the last segment 58015 quoted at 1.05e5 over its 7.8 cm. The rise is monotone over 20 cm and the peak is at the origin, so the pin does not move and no undershoot applies (nothing sits forward of the fit end at several times MIP). Past the stop there is exactly one thing: 222018, two points spanning 0.3 cm, 9.3 cm from the stop, 7.3 cm past it and 5.7 cm off the entry-stop chord, carrying 2.0e4 e/cm and 0.5 MeV, and the chain itself records that it was bridged to the stop vertex across 9.11 cm of EMPTY space rather than by a graph edge. f_meas confirms the gap: in all three planes the speck is a single isolated brown dot at time slice 1058 with a clean charge-free break below it before the track s own hits resume at 1040. That is the rubric s attachment tie-break in its literal form -- a 0.3 cm two-point speck across a 9 cm gap is not a 35 MeV electron -- so it is a detached dot, gamma, not a michel, and the verdict stays STM_ONLY. 220017 is the second dot, two points over 4.5 cm, 41.6 cm out, 17.6 cm past the stop and 37.6 cm off the chord; I measured it at 42 degrees from 222018 as seen from the stop, i.e. on the same side of the stop as the decay charge rather than scattered in an unrelated direction, and charge is explicitly not a criterion for a faint speck at 40 cm, so gamma as well. 58010 is the one thing close and backward: 10 points over 5.5 cm, 4.0 cm back along the muon, 3.3 cm off the chord at cos_fwd -0.87, and the chain body-excludes it as pdg 11 -- that is the delta / other rule almost word for word. Two gammas and no michel gives detached dots.
pdvd	dots	2	039349_17/52	0	pdvd-record:high	1.094	2.257	85.762	0.000	9.253	0	1	1	1	272.2,-127.8,37.8	mu- 222 MeV(gamma 2.06 MeV(e- 2.06 MeV))	pdvd-record:high	85.8 cm chain in one fitted segment (52003, 145 pts, mean 56941). It enters exactly at the anode x face (d_face 0.0) and stops 37.0 cm from the z wall, 68 cm from the anode, in_fv 1. The Bragg is the cleanest in my chunk: the profile sits on a 4.5-6.5e4 band out beyond s = 20 and then tracks the muon reference curve point for point over the last 15 cm - 6.5e4 at s = 13, 8.0e4 at s = 8, 9.0e4 at s = 5, 1.00e5, 1.12e5, 1.18e5 and 1.23e5 at the last point - a factor of two above its own plateau, the right shape, and topping out just where the rubric says real stoppers top out. This is the one item where the chain agrees: is_stm 1. Two objects sit past the stop, and both are compact detached dots, each two points and 0.3 cm across, each drawn as an isolated marker clear of the amber body in c, d and e and each visible as a genuine isolated blob in all three f_meas planes (times 812 and 848 against the track end at 805), so they are measured charge and not fit artefacts. 93004 sits 17.6 cm out at cos_fwd +0.5 carrying 78784 e/cm and the chain independently calls it a capture gamma of 2.06 MeV; 94005 sits 11.0 cm out at cos_fwd -0.21, i.e. essentially sideways, so about 11 cm clear of the muon body line, carrying 15551 e/cm. Neither is an electron: the rubric is explicit that a 0.3 cm two-point speck across a gap of this size is not a 35 MeV electron, and there is no arm of any kind leaving the stop (n_stop_arms 0, no unfitted clusters). So both are gamma, the verdict stays STM_ONLY rather than STM_MICHEL - isolated capture gammas do not promote it - and michel_kind is detached dots.
