# doc pdvd/97 -- d97_video_picks.py; skipped after visual check: pdhd:028084_17/97,pdhd:028084_18/104,pdhd:028084_26/109,pdhd:028084_26/115,pdhd:029107_26/88,pdhd:029107_3/107
det	cls	rank	key	tier	source	ratio	contrast	muon_len	ke_best	ke_region	n_dots	ncl	n_mu	n_e	n_gamma	em_near	michel_near	gamma_near	stop	pf	ev_who	evidence
pdhd	dots	1	028084_21/55	0	agent:high	1.046	2.068	180.199	0.000	3.510	0	0	6	2	1	1	1	1	-31.6,542.7,334.4	mu- 123 MeV(mu- 64 MeV(mu- 70 MeV(mu- 70 MeV(mu- 40 MeV(mu- 207 MeV(gamma 0.42 MeV(e- 0.42 MeV)))))), e- 19 MeV)	agent	180 cm, enters through the top (y face 3.8 cm) near the back and stops at (-31.6, 542.7, 334.4): d_face 63.3 cm (y), 29.1 cm from the cathode, 103 cm past the APA seam, 326 cm from the anode, in APA2 but at its top, far from the y<60 corner. Not isochronous (|dx|/L = 0.32). The profile sits on a ~5.5-6e4 plateau and climbs steadily over the last ~15 cm, 8e4 -> 9-10e4 -> 1.15-1.23e5 in the last 3 cm, riding just above the muon reference curve with no collapse: a clean Bragg rise, pin left at the fit end. Nothing is attached at the stop: all three azimuths show the track ending at the star with no arm or stub, and no row within 35 cm past it, so no undershoot candidate. Two isolated 2-point specks: 287016 at 35.4 cm (cos_fwd 0.12, 34 cm off the body line) and 286015 at 41.5 cm (cos_fwd 0.53, 28 cm off the line), both compact and detached: capture gammas, which on an STM_ONLY count in any direction. f_meas (stop = high-time end, ~slice 487): U, V and W charge end there; the two specks show as lone cells; the V (5597) and W (8888) dead bands are well away. 55011 is a delta 107 cm back on the body: delta / other.
pdhd	dots	2	028084_30/111	0	owner	1.004	1.942	144.013	0.000	18.979	0	0	8	2	1	2	2	1	336.2,498.2,356.8	mu- 32 MeV(mu- 57 MeV(mu- 60 MeV(mu- 104 MeV(mu- 48 MeV(mu- 67 MeV(mu- 124 MeV(e- 7.27 MeV, mu- 47 MeV(gamma 1.01 MeV(e- 1.01 MeV)))))))))	agent	About 144 cm; enters through the top 2.7 cm from y = 606 and stops at (336.2, 498.2, 356.8): 21.8 cm from the anode face (nearest), 108 cm below the top, 334 cm from the cathode, 126 cm from the APA seam, in APA3. dQ/dx: plateau ~5-6.5e4 (ragged, one pair at 9.5e4 near 20 cm), 5-8e4 over the last 10 cm, then a textbook Bragg rise over the last ~2 cm (1.06e5 -> 1.23e5 -> 1.52e5 -> 1.63e5 -> 1.75e5 at the last point), sitting on the muon reference curve and peaking at the fit end: no overshoot (no peak-then-collapse) and the pin stays. No forward piece leaves the fit end, so no hot tip. f_meas: the track ends cleanly in all three planes, no dead channel at the end. 299040 (5 points, 2.4 cm, faint at 4452) sits 16.2 cm from the stop at cos_fwd 0.2, about 16 cm off the body line, with a clean charge-free gap to the stop in all three 3-D azimuths and in f_meas (W 9573 vs the track end at ~9538, same time slice): detached and compact, so gamma not michel under the attachment tie-break; a capture gamma on this STM_ONLY. 111016 (chain delta ray, 9.4-14.4 cm, cos_fwd -1.0) leaves the body at the 111014/111034 vertex 9.4 cm back and hugs the body line (~2 cm off it), its charge falling from 5e4 to ~0 going out: delta / other. The other seven pdg-13 rows are the muon body up to the top entry.
pdhd	attached	1	028084_0/97	0	owner	1.070	2.142	62.034	30.467	56.972	1	1	2	1	0	1	1	0	24.0,548.4,53.6	mu- 164 MeV(mu- 19 MeV(e- 30 MeV))	agent	62 cm chain, enters through the top 6.3 cm from y=606 and stops at (24.0, 548.4, 53.6), 53.4 cm from the nearest face (z), 21.5 cm from the cathode and 177 cm from the APA seam, in APA1 (x>0, z<231). The profile sits on a ragged plateau of about 5e4 (dips to 2e4 at s 15-20) and climbs over the last ~8 cm to 1.35e5 at s~2.5 along the muon reference curve, with the last points still ~1.0e5; the droop from the peak to the last point stays far above the plateau, so it is ordinary scatter, not an overshoot collapse, and the pin stays at the fit end. The hot 2.5 cm piece 97012 (1.1e5) is on the chain, cos_fwd -0.99: the Bragg peak itself, not a hot tip past the end. A 10 cm arm (97011 8.4 cm + 97001 1.7 cm, d 0-7.4, cos_fwd 0.43) leaves the stop at plateau charge (5.5-6.0e4), hooking off the muon line in all three azimuths; a muon at its Bragg peak cannot continue at MIP, so this is the Michel. Four small pieces 17-41 cm out, all 16-35 cm to +x of the body line on the Michel side, stepping down in time in f_meas away from the Michel: 279007 and 280008 (along the Michel direction) and 282010 are gamma; 281009 is +35 cm in x like the Michel but -22 in z (cos_fwd -0.36), called gamma, arguable. No dead channels at the stop in f_meas.
pdhd	attached	2	028084_1/142	0	owner	1.018	1.980	201.380	31.161	53.482	1	2	1	1	0	1	1	0	51.6,408.8,302.5	mu- 469 MeV(e- 31 MeV)	agent	201 cm single-segment chain, enters through the top 12.9 cm from y=606 and stops at (51.6, 408.8, 302.5), 160 cm from the nearest face, 49 cm from the cathode and 71.5 cm from the APA seam, in APA3. The profile rides a ragged 4-6e4 plateau (dip to 3.7e4 at s 31-35), bumps to ~9e4 at s 7-9 and climbs to ~1.2e5 (about 2x plateau) over the last 2-3 cm, on the muon curve; short but a real rise, and the last point sits at the peak, so no overshoot. A 10.8 cm arm 142003 (d 0-10.2, cos_fwd 0.81) leaves the stop at plateau charge (4-8.5e4, no climb at its far end): in f_meas the track reverses direction in time slice at the stop in U, V and W, and in the c azimuth the arm bends ~60 deg off the muon line. A muon at its Bragg peak cannot continue at MIP, so the arm is the Michel; not a hot tip (10 cm at plateau, not a couple of cm at several times it). 348001 (2 points, 12.6-12.9 cm, cos_fwd 0.68) sits on the Michel line 2.5 cm past its end: tagged michel as the electron continuation across a small break; gamma would be the alternative. 350002 is a 2-point speck 54 cm back up the muon side, ~20 cm off the body line, opposite the Michel direction: delta / other. No dead channels at the stop in any plane (W dead bands are 100+ channels away).
pdhd	both	1	029107_16/106	0	agent:high	1.028	2.165	372.787	30.064	32.811	2	2	5	11	0	1	1	0	73.5,375.5,274.4	mu- 208 MeV(mu- 57 MeV(mu- 311 MeV(mu- 31 MeV(mu- 349 MeV(e- 30 MeV), e- 19 MeV(e- 3.59 MeV))), e- 1.97 MeV(e- 16 MeV(e- 41 MeV(e- 32 MeV(e- 2.56 MeV(e- 7.37 MeV(e- 163 MeV))))))), e- 3.29 MeV)	agent	373 cm, enters through the top (d_face 0.1) and stops at (73.5, 375.5, 274.4) in APA3, deep in the volume: 188 cm from the nearest face, 71 cm from the cathode, 43 cm from the APA seam, 284 cm from the anode. The dQ/dx plateau is ~55-65k; over the last ~10 cm it climbs smoothly through 75-85k and 1.0-1.1e5 to 1.15-1.25e5 at the last points, tracking the muon curve closely: a clean Bragg rise, no terminal collapse. A ~7 cm arm of three pieces (S106010 from the stop vertex, then S378065, S378066) leaves the stop at roughly 90 deg (cos_fwd ~0), clearly off the muon line in all three azimuths, at roughly plateau charge (mostly 45-85k, ragged): a muon at its Bragg peak cannot continue at MIP, so this is the Michel. Measured charge ends at the stop in U, V and W; W dead bands sit 55+ channels away. S377060 (3.2 cm) is detached ~16 cm out, sideways: gamma. S311056/S311058/S311059 sit 22-28 cm out in a compact group with a diffuse blob, well clear of the body line and on the same side as the Michel arm in all three azimuths: gamma. All remaining unnamed rows (a pink delta/shower branch and attached arms) lie 133-264 cm back up the track near the top: delta / other.
pdhd	both	2	029107_3/111	0	agent:high	0.821	1.658	329.772	39.803	43.945	2	2	3	3	0	1	1	0	93.2,177.7,313.9	mu- 127 MeV(mu- 336 MeV(e- 7.64 MeV, mu- 352 MeV(e- 39 MeV)), e- 8.15 MeV)	agent	330 cm muon, enters through the back face (z = 456.9, d_face 5.4) at y = 441 and stops mid-volume at (93.2, 177.7, 313.9) in APA3: 148 cm from the nearest face, 90.7 cm from the cathode, 82.9 cm past the seam. The profile sits on a ~6-8e4 plateau and climbs to 1.0-1.1e5 at s 6-8 cm and 1.3-1.42e5 over the last ~2 cm, following the muon curve (a few 6-7e4 points at s 3-5 cm are scatter); the last point is the highest, no overshoot. 111002 (8.9 cm, 16 pts) leaves the stop vertex at a sharp kink (cos_fwd 0.44, ~90 deg in the c and d azimuths) and continues as 111003 (3.8 cm) to 11.7 cm; its charge starts at the shared Bragg point and settles at ~5.5-6.5e4, i.e. plateau, falling to ~4e4 - a muon at its Bragg peak cannot continue at MIP, so a second particle; not a hot tip (8.9 cm long, off-axis, not several times plateau), undershoot check negative. 349012 (1.2 cm, 4.2e4) sits just past the arm end on its line at 14.7 cm: electron continuation, michel. 348011 (2 cm, faint 5.9e3, 17 cm, cos 0.2) is a detached speck on the Michel side: gamma. 347010 (2 pts, 44 cm) lies ~36 deg from the Michel direction, on its side: gamma. 111004 and 111009 sit 137-263 cm back on the body: delta / other. f_meas: charge ends at the stop plus the arm in U, V and W; the V dead band at 6245 is on the body, not at the stop.
pdhd	bare	1	028084_21/120	0	agent:high	0.840	1.668	348.052	0.000	6.460	0	0	3	2	0	0	0	0	270.9,286.9,209.4	mu- 54 MeV(e- 13 MeV, mu- 356 MeV(mu- 437 MeV, e- 4.79 MeV))	agent	348 cm, enters through the top (y face 8.3 cm) and stops at (270.9, 286.9, 209.4): d_face 87 cm (anode side, x), 279 cm from the bottom, 21.6 cm before the APA seam (not at it), 268 cm from the cathode, in APA1. Not isochronous (|dx|/L = 0.15). The profile sits on a ~5e4 plateau at 30-45 cm, climbs to 6-8e4 over 15-30 cm and 7.5-9.5e4 over 2-15 cm, then 1.0e5 and 1.37e5 in the last 1.5 cm, tracking the muon reference curve with no collapse: a clean Bragg rise, pin left at the fit end. Nothing past the stop: all three azimuths show the track ending at the star with no stub, arm or speck, and the object table has nothing within 170 cm but the muon itself, so no undershoot candidate and no capture gamma. f_meas (stop = low-time end, ~slice 745): U, V and W charge all end there; the V dead band at ~4800 is ~38 channels beyond the stop while U and W stay live and empty, so the end is not a dead-band artifact; the horizontal lines at slice ~875 are the fit polyline crossing the wrap boundary at the far edge. 120011 and 120018 are a delta and an unclassified arm 170-309 cm back on the body: delta / other. One other-flash blob is hidden, but the call rests on the rise, not rule 3.
pdhd	bare	2	028084_11/110	2	agent:medium	1.615	3.223	152.563	0.000	24.684	0	0	3	4	0	4	3	0	206.8,493.6,291.9	mu- 312 MeV(mu- 61 MeV(mu- 43 MeV, e- 3.30 MeV(e- 20 MeV, e- 4.48 MeV)), e- 11 MeV)	agent	153 cm; enters through the top (y=605.8, 0.2 cm) and the fit ends mid-volume at (206.8,494,292) in APA3, 112 cm below the top, 151 cm from the anode, 204 cm from the cathode and 61 cm from the APA seam. Strong Bragg rise: plateau ~5.5-6.5e4 over s=15-45, a dip to 3.3-4.5e4 at s=7-14, then the last segment 110004 (8.7 cm, 1.5e5 average) climbs through 8.5e4 (s=6) and 1.2e5 (s=5.5) to 1.43-1.75e5 over s=0-4, i.e. 2.5-3x plateau on the muon curve. The last point (1.43e5) is ~18% under the peak at s~3.5: ordinary scatter, not a collapse, so the pin stays. Nothing lies past the end: every other row sits behind the stop (cos_fwd -0.97 to -1.0) and f_meas shows no charge beyond slice ~635 in any plane, no dead band at the end. No hot tip ahead (no undershoot). Behind the stop: 110010 (2.6 cm at 7.7-10 cm) hugs the body; 110011 (7.5 cm, faint 6.7e3) and 110013 (3.8 cm, 2.7e4) leave the body at an angle from a point ~10 cm upstream of the stop and reach 13-16 cm out, so they branch off the muon body rather than start at the stop vertex: delta rays, delta / other; 110009 is a 10 cm arm dropping off the body 20-23 cm back, also a delta ray. Hard: 110011/110013 start right at the ~10 cm radius inside which direction does not discriminate; had they started at the stop vertex they would be a backward Michel and the verdict STM_MICHEL.
pdvd	dots	1	039349_48/58	0	pdvd-record:high	1.124	2.147	265.448	0.507	6.833	1	1	4	2	1	2	2	1	38.4,135.7,166.0	mu- 33 MeV(mu- 63 MeV(mu- 547 MeV(e- 13 MeV, mu- 40 MeV(gamma 0.51 MeV(e- 0.51 MeV)))))	pdvd-record:high	265 cm chain entering 0.3 cm from the z face and ending 132.4 cm from the nearest wall, deeply contained. This is the cleanest Bragg in my chunk: a 5.3e4 plateau beyond s=40 climbing smoothly along the solid muon curve through 6.0e4 at s=20, 6.7-7.5e4 at s=10-18, 8.7-9.0e4 at s=6-13, 9.5-1.02e5 at s=3-4, 1.14-1.22e5 at s=1.5-2.5 and 1.39e5 at s=0.5, with the row mean for the last segment 58015 quoted at 1.05e5 over its 7.8 cm. The rise is monotone over 20 cm and the peak is at the origin, so the pin does not move and no undershoot applies (nothing sits forward of the fit end at several times MIP). Past the stop there is exactly one thing: 222018, two points spanning 0.3 cm, 9.3 cm from the stop, 7.3 cm past it and 5.7 cm off the entry-stop chord, carrying 2.0e4 e/cm and 0.5 MeV, and the chain itself records that it was bridged to the stop vertex across 9.11 cm of EMPTY space rather than by a graph edge. f_meas confirms the gap: in all three planes the speck is a single isolated brown dot at time slice 1058 with a clean charge-free break below it before the track s own hits resume at 1040. That is the rubric s attachment tie-break in its literal form -- a 0.3 cm two-point speck across a 9 cm gap is not a 35 MeV electron -- so it is a detached dot, gamma, not a michel, and the verdict stays STM_ONLY. 220017 is the second dot, two points over 4.5 cm, 41.6 cm out, 17.6 cm past the stop and 37.6 cm off the chord; I measured it at 42 degrees from 222018 as seen from the stop, i.e. on the same side of the stop as the decay charge rather than scattered in an unrelated direction, and charge is explicitly not a criterion for a faint speck at 40 cm, so gamma as well. 58010 is the one thing close and backward: 10 points over 5.5 cm, 4.0 cm back along the muon, 3.3 cm off the chord at cos_fwd -0.87, and the chain body-excludes it as pdg 11 -- that is the delta / other rule almost word for word. Two gammas and no michel gives detached dots.
pdvd	dots	2	039349_17/52	0	pdvd-record:high	1.094	2.257	85.762	0.000	9.253	0	0	1	1	1	1	1	1	272.2,-127.8,37.8	mu- 222 MeV(gamma 2.06 MeV(e- 2.06 MeV))	pdvd-record:high	85.8 cm chain in one fitted segment (52003, 145 pts, mean 56941). It enters exactly at the anode x face (d_face 0.0) and stops 37.0 cm from the z wall, 68 cm from the anode, in_fv 1. The Bragg is the cleanest in my chunk: the profile sits on a 4.5-6.5e4 band out beyond s = 20 and then tracks the muon reference curve point for point over the last 15 cm - 6.5e4 at s = 13, 8.0e4 at s = 8, 9.0e4 at s = 5, 1.00e5, 1.12e5, 1.18e5 and 1.23e5 at the last point - a factor of two above its own plateau, the right shape, and topping out just where the rubric says real stoppers top out. This is the one item where the chain agrees: is_stm 1. Two objects sit past the stop, and both are compact detached dots, each two points and 0.3 cm across, each drawn as an isolated marker clear of the amber body in c, d and e and each visible as a genuine isolated blob in all three f_meas planes (times 812 and 848 against the track end at 805), so they are measured charge and not fit artefacts. 93004 sits 17.6 cm out at cos_fwd +0.5 carrying 78784 e/cm and the chain independently calls it a capture gamma of 2.06 MeV; 94005 sits 11.0 cm out at cos_fwd -0.21, i.e. essentially sideways, so about 11 cm clear of the muon body line, carrying 15551 e/cm. Neither is an electron: the rubric is explicit that a 0.3 cm two-point speck across a gap of this size is not a 35 MeV electron, and there is no arm of any kind leaving the stop (n_stop_arms 0, no unfitted clusters). So both are gamma, the verdict stays STM_ONLY rather than STM_MICHEL - isolated capture gammas do not promote it - and michel_kind is detached dots.
