item	verdict	kind	connected	confidence	comment
mcp1k-65289-p049	NO	CROSSING-TRACK	YES	3	Straight 400 cm track spanning full detector height through the vertex; cosmic morphology
mcp1k-351639-p039	UNSURE	TRACK	UNSURE	1	225 cm near-vertical track down to the floor; candidate is only a few grey dots, no vertex
mcp2k-173340-p019	NO	HALO	YES	2	Red fills the band directly above the green trajectory; one object, ~20 cm wide
mcp2k-75795-p005	NO	HALO	YES	2	Red is the upper half of the wide band around the green prong from the vertex
mcp1k-321107-p008	NO	HALO	YES	3	Red fills the lower half of the flat band that the green line runs through
mcp2k-75862-p906	NO	HALO	YES	3	Red is a 20 cm segment sitting directly on the green track
mcp1k-317741-p031	NO	CROSSING-TRACK	YES	2	340 cm straight track from the upstream wall to the floor, passing through the vertex
mcp2k-179369-p038	YES	TRACK	YES	3	Two unheld prongs, ~70 cm each, meeting at the vertex, no green along either
mcp1k-351639-p022	UNSURE	FRAGMENT	UNSURE	1	15 cm tip collinear with a longer neighbouring cluster, ~6 cm from two grey candidate dots
mcp2k-94678-p021	NO	HALO	YES	2	Red is the lower half of the band around the green trajectory
mcp1k-349461-p020	NO	HALO	YES	2	Red fills the wedge above the green line along the same track
mcp2k-100245-p053	NO	CROSSING-TRACK	YES	3	Straight 310 cm track through the vertex, extends far on both sides
mcp2k-322707-p018	NO	HALO	YES	2	Red is the upper half of a diamond centred on the green trajectory
mcp2k-322135-p012	NO	HALO	YES	2	Red fills the band above the long green line from the vertex
mcp1k-283969-p033	NO	CROSSING-TRACK	YES	3	400 cm vertical track top to bottom, passes ~10 cm from the vertex
mcp1k-280466-p055	YES	TRACK	YES	3	300 cm unheld track leaving the vertex along drift; green prong goes the other way
mcp2k-75052-p010	NO	HALO	YES	2	Red is the upper wedge of the diamond around the green trajectory
mcp2k-395837-p047	YES	TRACK	YES	3	230 cm unheld track from the vertex, clearly diverging from the held green prong
mcp1k-402880-p023	NO	HALO	YES	2	Red fills the band above the green line, grey fills below; one object
mcp2k-75206-p007	NO	HALO	YES	2	Red is the lower half of a wide flat sheet with the green line through the middle
mcp2k-174164-p009	NO	HALO	YES	2	Red is the upper wedge of the diamond around the green trajectory
mcp2k-100728-p025	UNSURE	FRAGMENT	UNSURE	2	25 cm unheld clump ~5 cm from a tiny candidate blob; merges into a neighbouring blue cluster
mcp2k-68308-p032	NO	CROSSING-TRACK	YES	3	400 cm vertical track top to bottom straight through the vertex
mcp2k-493835-p911	YES	FRAGMENT	YES	2	13 cm unheld stub on the far side of the vertex from the green track, clear kink
mcp1k-401516-p036	YES	TRACK	YES	3	445 cm unheld track starting at the vertex, both ends contained
mcp2k-396323-p011	NO	HALO	YES	3	Red sits exactly on the green track in x-y; the fan is only the drift-degenerate spread
mcp2k-283833-p001	NO	HALO	YES	3	Red is the left half of the 30 cm band the green line runs along
mcp2k-395717-p017	NO	HALO	YES	2	Red is the drift-direction wedge beside the candidate's own green track
mcp1k-171600-p910	NO	HALO	YES	3	Red is an 18 cm segment lying on the green track
nuecc48-10550-p042	NO	CROSSING-TRACK	YES	3	370 cm band from the ceiling to the upstream wall, passing through the vertex
mcp1k-284235-p907	NO	NOISE	NO	3	Single isolated point, ~12 cm from any candidate structure
mcp1k-352123-p041	NO	CROSSING-TRACK	YES	3	380 cm near-vertical track top to near-floor, passing at the vertex
mcp2k-104172-p045	YES	SHOWER	YES	3	Fan of unheld prongs from the vertex, ~70 cm; green holds only a separate blob
mcp1k-401252-p034	YES	SHOWER	YES	2	Large unheld shower-like bundle ~80 cm tall beside the held green prong
mcp2k-175952-p002	NO	HALO	YES	3	Red is the left half of the band around the long green trajectory
