# doc 89 Phase 4a -- gzip -> zstd-19 re-encode of the record layer
# verified member-for-member (name,size,sha256) before the .gz was removed
rel	bytes_gz	bytes_zst	verdict	note
pdvd-rounds-20260904/doc23-27-early/039252_0.tar.gz	155735	113622	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac0.tar.gz	155284	113262	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac1off.tar.gz	155462	113432	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac2off.tar.gz	155451	113186	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac3.tar.gz	155997	113640	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac3def.tar.gz	155496	113504	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac3off.tar.gz	155576	113434	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ac3off2.tar.gz	155410	113169	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_cathxa.tar.gz	159532	115961	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_0_cc3a.tar.gz	155212	113048	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_ccprod.tar.gz	156902	114362	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_0_cctt.tar.gz	156910	114665	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_0_nm4b.tar.gz	155573	113452	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_rc14.tar.gz	155354	113032	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_tm0.tar.gz	155721	113661	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_tm0k.tar.gz	155950	113545	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_0_wfresc.tar.gz	178335	130381	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_0_xtpcresc.tar.gz	174921	128010	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_10.tar.gz	224687	160420	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_10_ac3.tar.gz	224842	160525	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_10_cathxa.tar.gz	228975	163193	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_10_cc3a.tar.gz	224179	160094	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_10_ccprod.tar.gz	226312	161764	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_10_cctt.tar.gz	226593	162071	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_10_nm4b.tar.gz	224332	160194	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_10_rc14.tar.gz	223021	158957	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_10_tm0.tar.gz	222883	159344	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_10_tm0k.tar.gz	225000	160379	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11.tar.gz	206124	147451	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11_ac3.tar.gz	206426	147602	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11_cathxa.tar.gz	211058	151015	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_11_cc3a.tar.gz	205818	147135	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11_ccprod.tar.gz	207955	148727	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_11_cctt.tar.gz	208112	148920	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_11_nm4b.tar.gz	206459	147717	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11_rc14.tar.gz	204527	146766	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11_tm0.tar.gz	205592	147199	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_11_tm0k.tar.gz	206284	147430	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12.tar.gz	217538	159641	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12_ac3.tar.gz	217822	159745	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12_cathxa.tar.gz	222902	163053	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_12_cc3a.tar.gz	216959	159014	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12_ccprod.tar.gz	219197	160515	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_12_cctt.tar.gz	219187	160581	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_12_nm4b.tar.gz	217434	159450	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12_rc14.tar.gz	215719	157839	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12_tm0.tar.gz	215930	158052	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_12_tm0k.tar.gz	217948	159950	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13.tar.gz	168145	121966	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13_ac3.tar.gz	168485	122181	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13_cathxa.tar.gz	172994	124770	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_13_cc3a.tar.gz	167483	121489	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13_ccprod.tar.gz	169551	122679	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_13_cctt.tar.gz	169822	122729	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_13_nm4b.tar.gz	167900	121500	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13_rc14.tar.gz	166848	121439	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13_tm0.tar.gz	166450	120786	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_13_tm0k.tar.gz	168350	122059	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14.tar.gz	216095	156117	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14_ac3.tar.gz	216542	156630	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14_cathxa.tar.gz	221889	159879	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_14_cc3a.tar.gz	215943	156350	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14_ccprod.tar.gz	218456	157113	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_14_cctt.tar.gz	218351	157345	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_14_nm4b.tar.gz	216019	156014	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14_rc14.tar.gz	211191	152959	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14_tm0.tar.gz	210980	152926	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_14_tm0k.tar.gz	216507	156506	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15.tar.gz	242840	173276	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ac0.tar.gz	242360	172781	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ac1off.tar.gz	242705	172653	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ac2off.tar.gz	243082	173420	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ac3.tar.gz	242916	173149	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ac3off.tar.gz	242929	173138	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ac3off2.tar.gz	242869	172776	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_cathxa.tar.gz	249309	177231	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_15_cc3a.tar.gz	242352	172540	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_ccprod.tar.gz	246002	174752	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_15_cctt.tar.gz	246219	175054	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_15_nm4b.tar.gz	242962	173063	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_rc14.tar.gz	237703	168947	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_tm0.tar.gz	238728	169971	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_15_tm0k.tar.gz	243334	173344	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16.tar.gz	196280	143976	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16_ac3.tar.gz	196414	144116	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16_cathxa.tar.gz	201235	146646	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_16_cc3a.tar.gz	195754	143604	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16_ccprod.tar.gz	197880	144523	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_16_cctt.tar.gz	198006	144776	OK	2 members
pdvd-rounds-20260904/doc23-27-early/039252_16_nm4b.tar.gz	195635	143504	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16_rc14.tar.gz	193831	142042	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16_tm0.tar.gz	195804	143549	OK	4 members
pdvd-rounds-20260904/doc23-27-early/039252_16_tm0k.tar.gz	196302	143926	OK	4 members
