# doc pr/125 production pair (shower_pass3_cone_guard_len=15 + shower_samevtx_track_absorb, SBND ON 2026-08-29, toolkit 8b371920)
# A/B index -- OFF 7f4ffdb1-36b4-4ac5-a761-853e408a2a97 / ON cdf0749a-c74a-4d0d-9083-8f9554679daf
#   (UUIDs verified against the local zips by per-event mc-layer md5 BEFORE this file was
#    written.  OFF = dbg98d/dbg141d = pre-flip production; ON = flipchk98/flipchk141 = the
#    flipped production point.  Hash attribution: exactly idx 0-6 differ, idx 7-9 are
#    verified no-ops; only mabc-pr.zip moves, pctree identical everywhere.)
# 0 movers (vtx105); nusel byte-identical both manifests; owned 98 net +0, 141 net -1
# (94392's 46.8cm mu ends unclaimed -> pseudo-n in the PF tree, doc pr/124 sec C).
# bee_idx	event	status
0	94392	RESCUED: 305.6 MeV fake e- -> 45.5 MeV e- + released 29.8cm mu (98.4 MeV); label `over-clustered`
1	52693	RESCUED: 183.0 -> 153.0 MeV e- + released 34.3cm mu (108.9 MeV); label `vertex-bad` (one through-track split)
2	77328	fix-direction: 180.6 -> 38.3 MeV e- + re-rooted 16.5cm proton (153.8 MeV); scanner: "proton mis-PIDed as a 180 MeV EM shower is a live reading"
3	173819	fix-direction: 301.9 -> 10.5 MeV e- + re-rooted 37.8cm proton (250.2 MeV); label `not an EM shower` (3x MIP stopping-proton profile)
4	37112	RESCUED (owner: "one shower, everything"): gamma 549.3 + proton stem + pruned comp -> ONE pdg-11 shower 783.0 MeV / 35 seg; the bogus gamma-proton pi0 group (mass 281.2) dissolves (kine falls back to 18.6+183.9 @ 69.2).  PI0 QUESTION (pr/126 rescan list): no scanner pairing exists for this event -- is 67048+84074 (783+184) the true pi0?
5	415278	ADJUDICATED COST (owner accepted 2026-08-29 "Flip anyway"): 3 declined tracks reshuffle between its two labeled showers, qF1 0.959->0.957 / 0.976->0.974 at the new production point.  PI0 QUESTION: on the pr/126 rescan list, no scanner pairing
6	396222	mover, PRIORITY ROW: 3 guard declines wake id_pi0_without_vertex (Path 2) -- its FIRST acceptance on SBND (dormant 0/76 pre-flip, peer pr/126 audit).  Path 2 MUTATES the nu vertex (NSC:5675-5676 prototype hack): mv moves 1.4 cm, kine_reco_Enu 4613->3797, pio_flag 1->2 mass 799->260.  Unlabeled in vtx105 (movers gate blind here).  nusel selection unchanged.  CAUTION (pr/126): 396222 has NO scanner pi0 verdict -- the Enu shift is a movement, not yet a regression.  If adverse, the cleaner mitigation is a Path-2 disable knob (isolates the never-SBND-validated prototype hack) rather than a qualifier on the validated guard (pr/126 sec 2.6 framing: Path-2 dormancy is a property of the shower set, not a safety margin).
7	137238	no-op verified FOR THIS FLIP (2 decline-set muons re-absorbed identically, byte-identical archives) -- but the EVENT is not healthy: owner 2026-08-29 "the electron 89 MeV should connect to some thing, which is missing from the PF tree".  Root cause is unrelated to this pair: the pr/93 r4 straight_cont_cross_cluster fix for this same event stopped firing when the Q/L era moved cb0805 -> grp0825 (its muon body drifted g=5.68 -> 8.00 cm, out of the 6cm base tier).  Fixed in doc pr/127 (sccc_max_gap 6 -> 10).  LESSON: "no-op verified" is a statement about the A/B, never about the event.
8	175896	no-op verified (doc pr/124 sec C measured residual)
9	176502	no-op verified (doc pr/124 sec C measured residual).  PI0 QUESTION: on the pr/126 rescan list, no scanner pairing
