# doc pdvd/98 -- per-candidate crop diagnostics and the two drift labels (d98_michel_crops.py)
# drift_tick = (tick*0.5 - cluster_t0_us - trigger_offset_us)*drift_speed/10, charge-weighted over the Z pixels;
# drift_fit = x_anode(W) - |x| over the role-3 fit points (353.10 PDHD / 341.55 PDVD)
det	key	apa	face	trigger_offset_us	drift_speed_mmus	cluster_t0_us	drift_tick	drift_fit	drift_fit_rms	drift_tick_sd	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	n_cells3	n_pts3	n_pts1	c_center	t_center	c0	t0	inrange
pdhd	028084_0/97	1	1	250	1.576	-2051	326.2	326.2	2.206	2.359	1.531e+06	7.225e+05	0.4718	0.3628	331	111	19	105	4275	537.1	4147	25	1
pdhd	028084_1/142	3	1	250	1.576	-263.5	304.3	304.2	2.238	2.084	1.85e+06	1.099e+06	0.594	0.3622	317	105	21	337	9431	3834	9303	3322	1
pdhd	028084_17/97	1	1	250	1.576	-398.8	72.52	73.15	2.803	2.7	3.085e+06	2.246e+06	0.7279	0.6804	426	145	25	594	4221	622.9	4093	111	0
pdhd	028084_18/108	3	1	250	1.576	30.63	330.4	330.3	0.9102	1.168	1.496e+06	3.737e+05	0.2498	0.217	277	194	32	140	9305	4754	9177	4242	1
pdhd	028084_23/51	2	0	250	1.576	-28.12	60.17	60.78	0.759	0.6019	8.633e+05	6.422e+05	0.7439	0.6769	81	34	8	582	7250	1207	7122	695	0
pdhd	028084_26/109	3	1	249.8	1.576	-1359	278.1	278.3	0.5084	0.5086	7.27e+04	0	0	0	65	18	4	83	9705	1310	9577	798	1
pdhd	028084_4/114	3	1	250	1.576	602.5	103.8	103.7	0.5187	0.5253	1.25e+06	6.552e+05	0.5242	0.4092	265	94	36	494	9504	3022	9376	2510	1
pdhd	029107_0/50	2	0	249.8	1.576	314.9	151.4	153	1.661	2.419	1.804e+06	5.432e+05	0.3011	0.2177	615	196	20	289	7610	3051	7482	2539	1
pdhd	029107_0/127	3	1	249.8	1.576	1382	28.51	27.89	2.613	2.691	1.057e+06	4.396e+05	0.416	0.3223	308	102	18	68	9690	3625	9562	3113	0
pdhd	029107_11/90	1	1	249.8	1.576	-1473	208.8	208.6	0.5671	0.5238	7.001e+05	5.076e+05	0.7251	0.6295	98	44	7	468	4356	204.9	4228	-307	1
pdhd	029107_12/108	3	1	250.2	1.576	-597.4	324.8	326.9	3.065	2.341	1.632e+05	0	0	0	94	28	4	842	9580	3428	9452	2916	1
pdhd	029107_15/142	3	1	249.9	1.576	47.81	275.4	275.8	0.2885	0.5283	1.458e+06	6.934e+05	0.4755	0.4169	323	109	38	180	9646	4090	9518	3578	1
pdhd	029107_16/106	3	1	249.8	1.576	683.3	283.4	282.7	1.573	1.842	1.272e+06	7.27e+05	0.5717	0.4533	246	88	19	625	9364	5463	9236	4951	1
pdhd	029107_23/55	2	0	249.9	1.576	-300.4	223.9	223.8	0.707	0.542	1.078e+06	4.194e+05	0.389	0.3116	153	55	18	52	7638	2740	7510	2228	1
pdhd	029107_25/89	3	1	250.2	1.576	-61.49	195.4	195	0.6169	0.6557	1.351e+06	6.837e+05	0.5062	0.3994	332	109	20	863	9337	2857	9209	2345	1
pdhd	029107_25/123	2	0	250.2	1.576	321.3	313.4	312.6	1.117	1.274	1.213e+06	7.466e+05	0.6156	0.4129	317	122	16	460	7630	5120	7502	4608	1
pdhd	029107_3/111	3	1	249.8	1.576	751	264.7	264.2	2.859	3.018	1.815e+06	8.6e+05	0.4738	0.3599	505	160	26	551	9457	5361	9329	4849	1
pdhd	029107_9/115	1	1	249.7	1.576	310.8	30.56	30.84	1.009	1.604	1.912e+06	8.632e+05	0.4514	0.3836	339	124	19	392	4598	1509	4470	997	0
pdhd	028084_12/101	3	1	250	1.576	1179	220.9	221	0.5869	0.5636	1.108e+06	4.955e+05	0.4472	0.2454	348	118	21	745	9535	5662	9407	5150	1
pdhd	028084_12/117	1	1	250	1.576	695.7	291.9	291.2	2.421	2.195	3.673e+06	2.893e+06	0.7875	0.7005	400	152	20	157	4434	5596	4306	5084	1
pdhd	028084_19/59	2	0	250	1.576	1249	71.65	71.79	1.487	1.408	1.27e+06	8.21e+05	0.6465	0.5753	203	74	19	471	7444	3907	7316	3395	0
pdhd	028084_20/116	3	1	250	1.576	1163	114.1	115	1.32	2.08	1.17e+06	3.874e+05	0.3311	0.3095	359	114	27	323	9602	4273	9474	3761	1
pdhd	028084_25/36	2	0	250	1.576	-49.83	85.73	85.45	2.334	2.617	1.586e+06	4.768e+05	0.3007	0.2298	290	94	27	316	7524	1488	7396	976	1
pdhd	028084_4/119	2	0	250	1.576	-1498	307.9	307.9	0.4459	0.8213	1.558e+06	1.804e+05	0.1158	0.05521	491	148	33	433	7446	1412	7318	900	1
pdhd	028084_7/61	2	0	250	1.576	-52.03	93.56	91.67	2.948	3.471	3.692e+04	0	0	0	62	18	9	199	7527	1583	7399	1071	1
pdhd	028084_8/110	3	1	250	1.576	1315	187.4	187.6	0.3288	0.2675	2.552e+06	2.205e+06	0.864	0.7981	159	67	29	112	9580	5508	9452	4996	1
pdhd	029107_2/108	1	1	250	1.576	364.4	181.1	179.8	3.827	4.418	4.637e+06	2.505e+06	0.5403	0.4375	798	254	44	649	4585	3528	4457	3016	1
pdhd	029107_20/57	2	0	250.1	1.576	-1200	311.3	310.7	1.84	1.64	1.134e+06	5.625e+05	0.4958	0.4015	307	105	18	185	7283	2051	7155	1539	1
pdhd	029107_20/139	3	1	250.1	1.576	-434.6	293.8	293.9	0.8267	1.639	2.282e+06	9.483e+05	0.4155	0.3964	606	162	33	532	9322	3359	9194	2847	1
pdhd	029107_23/128	3	1	249.9	1.576	-1185	276.6	274.9	2.584	3.396	4.002e+06	2.601e+06	0.65	0.1589	590	174	23	77	9598	1641	9470	1129	1
pdhd	029107_25/110	3	1	250.2	1.576	955.2	125.3	125	1.207	1.423	8.733e+05	0	0	0	479	128	36	265	9580	4000	9452	3488	1
pdhd	029107_3/107	3	1	249.8	1.576	-1463	334.6	333.7	1.056	1.424	5.894e+06	5.09e+06	0.8636	0.8472	257	85	16	508	9558	1820	9430	1308	1
pdhd	029107_4/69	2	0	249.8	1.576	-1533	310.8	311.7	0.9028	0.5549	2.161e+05	0	0	0	86	762	23	116	7342	1377	7214	865	1
pdvd	039252_0/75	4	1	-2484	1.481	4450	268.3	267.8	1.782	1.615	1.984e+06	1.501e+05	0.07565	0.02961	601	168	39	538	8250	7557	8122	7045	1
pdvd	039252_1/30	2	0	-2494	1.481	1437	171.7	171.8	1.727	1.875	1.468e+06	7.132e+05	0.4859	0.422	259	106	27	230	5211	205	5083	-307	1
pdvd	039252_12/117	7	1	-2512	1.481	2595	320.5	320.8	1.039	0.9667	1.071e+06	3.474e+05	0.3244	0.1661	303	102	26	423	1.202e+04	4494	11888	3982	1
pdvd	039252_12/93	6	0	-2512	1.481	3557	173.1	172.6	0.8675	0.9708	1.43e+06	4.565e+05	0.3191	0.2666	398	115	44	256	1.126e+04	4427	11133	3915	1
pdvd	039252_14/37	2	1	-2501	1.481	4338	93.67	93.63	0.467	0.7236	9.707e+05	5.567e+05	0.5735	0.5227	248	102	18	168	5512	4939	5384	4427	1
pdvd	039252_14/86	4	1	-2476	1.481	5280	101.6	101.2	0.5949	0.6413	1.04e+06	3.701e+05	0.3559	0.2978	298	109	16	177	8282	6980	8154	6468	1
pdvd	039252_15/94	7	1	-2479	1.481	4513	164.6	163.6	3.205	3.06	1.343e+06	3.119e+05	0.2322	0.171	419	122	36	306	1.218e+04	6291	12056	5779	1
