# doc 107 -- the 31 true nueCC in FV (5<|x|<190, |y|<190, 10<z<450 cm; Edep>100 MeV) of the lar+WCT SBND MC production
# Bee set (31 events, verified): https://www.phy.bnl.gov/twister/bee/set/27f7c3e0-2c54-4ef2-aed6-d32799a8f991/event/list/
# event i: https://www.phy.bnl.gov/twister/bee/set/27f7c3e0-2c54-4ef2-aed6-d32799a8f991/event/<i>/
# built: scripts/bee/merge_mabc_bee.py -w /nfs/data/1/xqian/sbnd_data/run/bee --src 'bee_{evt}.zip' (production zips unmodified; all layers incl. mc.json truth+reco PF, sed-* truth deposits)
# order = failure category. vtx = |reco - true vertex| cm; true e = true electron KE (mc.json); reco PF = reco particles at the vertex (mc.json "nu 0" node)
# fails = uBooNE nue sub-tagger flags that are 0 (background-like) in T_tagger; mip_filled=0 => no e- shower at the vertex => nue_score = -15
# bee_idx	event	category	true (mode, Enu, e KE)	vtx	nue	numu	reco PF at vertex	evidence
0	r713_s5_e5	NO CANDIDATE	RES 853 MeV, e- 204	-	-	-	-	no in-window candidate: nearest cluster (21.8 cm) is 478 cm long and matched to a flash at 144.7 us; the only in-window activity is a 1.5 cm blob with lm_flag=1
1	r715_s99_e39	NO CANDIDATE	QE 826 MeV, e- 589	-	-	-	-	0 in-window mains: the nu charge is 7.0 cm from a 340 cm cluster matched to a flash at 48.5 us
2	r480_s49_e45	WRONG CLUSTER	QE 333 MeV, e- 236	135.9	-15	0.83	gamma 282, mu- 218, pi+ 6, pi+ 7	the nu piece (33.4 cm activity, 0.6 cm from the true vertex) lost "longest wins" to an 85 cm activity of the same flash bundle; PR cosmic tagger fires on the pick
3	r717_s40_e27	VERTEX MOVED OFF THE NU PIECE	QE 464 MeV, e- 344	17.0	-11.78	-1.53	gamma 8, pi0 170	nu attached to a 430 cm STM-tagged cosmic (vetoed); the 32.6 cm companion (1.0 cm from the true vertex) was selected, but the final main cluster/vertex sits 17 cm away (cluster 60, 38 cm from the true vertex); shower as pi0; fails mip, pio, stw
4	r711_s8_e28	VERTEX MISPLACED	RES 989 MeV, e- 247	32.5	-15	-0.13	proton 194	right cluster (contains the true vertex) but reco vertex 32 cm away; no e- shower at the reco vertex
5	r716_s81_e4	VERTEX MISPLACED	QE 359 MeV, e- 290	34.7	-15	-0.18	e- 14, gamma 18, mu- 90, pi+ 30, pi+ 37	right cluster, vertex 35 cm away; no e- shower at the reco vertex; PF has mu-/pi+ nodes with no true muon or pion
6	r713_s81_e37	VERTEX MISPLACED	MEC 1417 MeV, e- 1227	19.1	2.21	-0.22	e- 869, e- 100, e- 27, pi+ 84	right cluster, vertex 19 cm off; shower found but split (869+100+27 vs 1227); no failing sub-flag, low BDT score
7	r713_s47_e30	EM MISRECO, pi0 in final state	RES 906 MeV, e- 170 (+pi0 89)	0.9	1.32	1.15	pi+ 29, e- 60, e- 142, pi0 112, p 336, p 79	primary e- 142 MeV next to a reconstructed pi0; fails gap, stem_dir
8	r714_s30_e17	EM STEM NOT MIP-LIKE	RES 1951 MeV, e- 656 (+pi+ 365, 286)	0.2	2.57	1.55	e- 540, mu- 161, pi+ 107, pi+ 45	e- found (540 vs 656) but fails mip (stem dQ/dx); the two true pi+ appear as mu- 161, pi+ 107, pi+ 45
9	r714_s38_e41	SHOWER ENERGY LOW	DIS 4438 MeV, e- 1237 (+pi+ 2006, p 1028)	2.5	-1.42	1.31	e- 448, neutron 378, neutron 496, gamma 26	shower 448 vs 1237; no pi+ track in the PF (two neutron nodes 378/496 MeV); fails br4, cme; numu_cc_flag on
